Gene name,Gene stable ID,Overlap
C17orf97,ENSG00000187624,Common
C16orf87,ENSG00000155330,ATF4_Only
C14orf93,ENSG00000100802,Common
AARS1,ENSG00000090861,Common
ABCB1,ENSG00000085563,ATF4_Only
ABCC4,ENSG00000125257,Common
ABL1,ENSG00000097007,CHOP_Only
ACAA1,ENSG00000060971,Common
ACACA,ENSG00000278540,ATF4_Only
ACAD8,ENSG00000151498,ATF4_Only
ACOT1,ENSG00000184227,Common
ACOT2,ENSG00000119673,Common
ACOX2,ENSG00000168306,ATF4_Only
ACTR3,ENSG00000115091,CHOP_Only
ADM2,ENSG00000128165,ATF4_Only
AFF1,ENSG00000172493,Common
AGAP1,ENSG00000157985,Common
AKNA,ENSG00000106948,Common
AKR1B10,ENSG00000198074,CHOP_Only
ALDH18A1,ENSG00000059573,Common
ALDH1L2,ENSG00000136010,Common
ALKBH5,ENSG00000091542,ATF4_Only
AMACR,ENSG00000242110,Common
ANAPC1,ENSG00000153107,ATF4_Only
ANGPTL4,ENSG00000167772,ATF4_Only
ANGPTL6,ENSG00000130812,Common
ANK2,ENSG00000145362,ATF4_Only
ANKRD1,ENSG00000148677,Common
ANKRD11,ENSG00000167522,ATF4_Only
ANP32B,ENSG00000136938,ATF4_Only
APBB2,ENSG00000163697,ATF4_Only
APOBEC1,ENSG00000111701,ATF4_Only
ARHGEF11,ENSG00000132694,CHOP_Only
ARHGEF2,ENSG00000116584,Common
ARID5B,ENSG00000150347,ATF4_Only
ARL6IP5,ENSG00000144746,CHOP_Only
ARPC5L,ENSG00000136950,ATF4_Only
ASCC2,ENSG00000100325,Common
ASNS,ENSG00000070669,ATF4_Only
ATF3,ENSG00000162772,Common
ATF5,ENSG00000169136,Common
ATF6,ENSG00000118217,Common
ATL2,ENSG00000119787,ATF4_Only
ATP6V1G1,ENSG00000136888,ATF4_Only
ATXN2L,ENSG00000168488,ATF4_Only
B4GALNT2,ENSG00000167080,Common
B9D2,ENSG00000123810,ATF4_Only
BCAR1,ENSG00000050820,ATF4_Only
BCAT1,ENSG00000060982,ATF4_Only
BCAT2,ENSG00000105552,Common
BDNF,ENSG00000176697,Common
BEND6,ENSG00000151917,CHOP_Only
BHLHE22,ENSG00000180828,ATF4_Only
BNIP1,ENSG00000113734,ATF4_Only
BOLA1,ENSG00000178096,ATF4_Only
CABP1,ENSG00000157782,ATF4_Only
