rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
A1BG,21,4,19,16,23,22,0.406647420717692,1.0,6811.0,0.673672388061231,0.811841406583987,16.7994993157409,0.829807869613186,0,4.07034633113773,ns
AAAS,76,17,17,23,33,41,0.992253206146453,0.998096454508247,13878.0,0.0064946464433792,0.668908558288114,32.8663195440744,0.0097093188043527,0,5.03853800360853,ns
AACS,48,85,55,73,78,74,0.448227909616998,0.776321330828942,7316.0,0.338325340977989,0.446120160821713,69.7632839430422,0.758372677788926,0,6.124396048087509,ns
AADAT,68,14,24,29,47,38,0.64157632790008,0.878230544290248,9780.0,0.288476844079204,0.619719326454513,34.8979110907388,0.465495962066593,0,5.125068777476285,ns
AAGAB,432,321,531,190,416,437,0.439835826499829,0.772572900448761,7218.0,-0.186399014620472,0.241302444991648,372.082868309465,-0.77247047632246,0,8.539480156228846,ns
AAK1,59,56,69,45,77,51,0.975488999785797,0.994442051743683,13681.0,0.01299979809367,0.423104173374175,57.9475052416687,0.0307248165150419,0,5.856674646491023,ns
AAMDC,67,65,77,73,78,46,0.905877174099423,0.975312513534051,12919.0,0.0495739214671158,0.419263791410976,66.9332621214132,0.118240407310828,0,6.064651423424842,ns
AAMP,511,261,426,247,382,304,0.303514210848753,0.661149683309426,5533.0,-0.21339227601474,0.207393117336158,340.502036308592,-1.02892650805213,0,8.41151961580509,ns
AAR2,774,540,749,644,638,692,0.563729951047462,0.839629503468135,8828.0,0.0981845026487068,0.170072362030031,661.721455512567,0.577310160667785,0,9.370080247718054,ns
AARD,49,61,36,36,81,61,0.501224331086836,0.807761745262628,8009.0,0.327716314516064,0.487263700677218,53.24109573672,0.672564597076677,0,5.734468358054238,ns
AARS1,485,273,397,552,595,677,1.70129899957944e-05,0.0007519741578141,220.0,0.825967763962404,0.19204673162561,492.068078135764,4.30086863218587,0,8.942714117522987,up
AARS2,151,128,116,86,129,160,0.916937161445025,0.978234951683466,13048.0,0.0338750381383708,0.324807730624396,125.996254230175,0.104292585873036,0,6.977237033945325,ns
AARSD1,157,144,190,223,235,205,0.0255610452612881,0.184594317325579,1458.0,0.576556026809973,0.258219167191371,191.463255159122,2.23281653752169,0,7.58092373238829,ns
AASDH,141,57,89,156,131,120,0.0499051339426218,0.274668959727114,1956.0,0.707237858831345,0.360692798001522,114.807727261954,1.9607762138582,0,6.843075937252831,ns
AASDHPPT,608,542,502,427,676,481,0.841134719565708,0.955149652973427,12251.0,0.0371466038486395,0.185323223738065,528.409179950864,0.200442249489153,0,9.045511720240134,ns
AASS,190,209,236,151,185,228,0.842465563040991,0.955307287699957,12266.0,-0.0538463012690546,0.27093742577347,197.19143267041,-0.198740728104782,0,7.623453062421527,ns
ABAT,47,44,53,1,45,36,0.288283017180776,0.64624264595439,5360.0,-0.798284413689486,0.751754037814902,35.5045097452676,-1.06189574453079,0,5.149930380741618,ns
ABCA3,67,49,60,44,45,20,0.29066689132697,0.648548800960291,5387.0,-0.539012639454623,0.510109927917118,46.28853298685,-1.05665977068025,0,5.532582935198432,ns
ABCA5,36,8,29,1,32,25,0.801431532244295,1.0,11659.0,-0.230520497569869,0.916601212182946,19.8602709449765,-0.251494864403321,0,4.311813399944362,ns
ABCB1,40,19,62,19,36,22,0.411018859890975,0.75084489828665,6865.0,-0.498289959252002,0.606116969231699,30.9827888939262,-0.822101977912983,0,4.953395108038219,ns
ABCB10,112,70,171,71,90,53,0.149770723780389,0.48497654566057,3529.0,-0.555835366114744,0.385905185934215,90.1897157785403,-1.44034178957496,0,6.494891029020023,ns
ABCB6,16,10,9,12,35,24,0.160761275820693,1.0,3699.0,1.09974880944466,0.784125790042135,17.076507007457,1.40251579964685,0,4.093940997341067,ns
ABCB7,131,90,123,81,146,157,0.380583596470551,0.727681678246621,6454.0,0.280184861583179,0.319546064880706,117.827287792041,0.876821505180416,0,6.88052988346993,ns
ABCB8,32,4,23,31,21,20,0.475150545978089,1.0,7694.0,0.561352091276681,0.786070964370805,21.3423405376051,0.714123936286089,0,4.415646494893882,ns
ABCB9,58,56,39,17,80,52,0.974876385866851,0.994408683118563,13674.0,-0.017176142524457,0.545395810222631,48.4108199402065,-0.0314929858325198,0,5.597257624402223,ns
ABCC10,11,22,33,1,9,18,0.226179913155878,1.0,4569.0,-1.17647101755652,0.972082836348722,15.0799501147489,-1.21025798786399,0,3.914559750992387,ns
ABCC4,278,243,200,84,178,181,0.0374252412807137,0.231209050961665,1725.0,-0.621963664520249,0.298863704939676,188.161469862645,-2.0810946737269,0,7.555827425019474,ns
ABCC5,140,178,196,83,152,134,0.202649579557783,0.55587837284508,4262.0,-0.396506314567858,0.311219908556591,143.715416287701,-1.27403904334661,0,7.1670710171154255,ns
ABCD3,234,183,199,112,246,181,0.702424145369115,0.903130026387581,10527.0,-0.102498246101225,0.268284774701446,185.867851178106,-0.382050178640542,0,7.53813344439549,ns
ABCD4,67,65,133,27,106,80,0.610404807180666,0.864195060065483,9381.0,-0.236702351119873,0.464581640602191,75.4559989498759,-0.509495706315598,0,6.237563698239632,ns
ABCE1,459,410,501,406,689,509,0.0587969031053523,0.295932239025075,2147.0,0.332118908023595,0.175751359363691,484.459664592139,1.88970890026702,0,8.920232743721987,ns
ABCF2,689,440,565,412,536,445,0.407623347964552,0.748610665617012,6823.0,-0.140056371108271,0.169133198952545,499.800425875617,-0.828083262042292,0,8.965208320507823,ns
ABCF3,24,14,30,43,26,24,0.301594327672128,0.659479029072132,5515.0,0.673596046629096,0.652064579456058,26.9923683964074,1.03302045204019,0,4.754479663905678,ns
ABCG1,14,10,10,6,1,3,0.2151205730558,1.0,4415.0,-1.52919527162482,1.23361238482196,7.19650078627586,-1.2396075869857,0,2.847295583579154,ns
ABHD10,365,146,386,344,287,234,0.563469493779842,0.839629503468135,8823.0,0.169047480288547,0.292623680114694,286.266843028624,0.577695831801065,0,8.16121676905944,ns
ABHD11,48,11,62,65,81,98,0.0171910466832626,0.146023990122982,1227.0,1.22474223031014,0.514036876098534,59.516290102373,2.38259604953978,0,5.895212694960335,ns
ABHD12,115,43,112,123,67,98,0.426539024836956,0.761738379708827,7074.0,0.341700042317804,0.429742160714006,92.0155145911532,0.795128040846812,0,6.52380522710751,ns
ABHD13,165,154,184,123,229,168,0.591727313958049,0.853702730108023,9184.0,0.144134651069825,0.268740163311001,166.027950031194,0.536334611447801,0,7.375282322775118,ns
ABHD14A-ACY1,24,11,18,6,12,22,0.761934495871211,1.0,11151.0,-0.257969879682649,0.851550340956109,14.7922295209436,-0.302941431968666,0,3.8867676102314377,ns
ABHD14B,31,2,15,21,19,7,0.803325529416857,1.0,11683.0,0.239648193623962,0.962266425978863,15.1111334903971,0.249045573194742,0,3.917539976412064,ns
ABHD15,93,66,112,54,98,59,0.524770595332675,0.820029459791309,8371.0,-0.239865961164624,0.37714243656641,77.0332604399547,-0.636008939615542,0,6.267409583697291,ns
ABHD17A,6,14,12,2,8,4,0.310476676075976,1.0,5606.0,-1.1944945764216,1.17774430894156,7.49234352005959,-1.01422232937393,0,2.9054170479158308,ns
ABHD17B,280,182,265,176,288,258,0.595639842157481,0.85547204704392,9224.0,0.120013071934257,0.226149170364518,233.931984859435,0.53068101793526,0,7.869945320568742,ns
ABHD17C,300,259,289,118,181,229,0.029046046051981,0.198904050570044,1543.0,-0.569489226301913,0.260891197355581,222.670232157373,-2.18286102434391,0,7.798764892986026,ns
ABHD18,87,108,148,73,162,104,0.865223341787677,0.966551007864933,12461.0,0.0601608615543433,0.35445266037266,110.238454023065,0.169728903970116,0,6.7844837508096765,ns
ABHD2,332,242,253,161,291,176,0.226941645871686,0.581610930265295,4578.0,-0.294553130053648,0.243779952135714,234.288153734608,-1.20827462419744,0,7.872140199117045,ns
ABHD3,103,117,88,82,147,68,0.975398901870763,0.994442051743683,13680.0,0.0116853784533212,0.378930463857641,99.1039485190046,0.0308377910141087,0,6.630870633583733,ns
ABHD4,23,17,29,25,45,25,0.346605911361226,0.698672446533285,6044.0,0.579990371198204,0.616228880498342,26.5283911292352,0.941193101383316,0,4.729465277794464,ns
ABHD5,258,204,273,166,243,283,0.866141220579352,0.966551007864933,12465.0,0.0406170524349501,0.240962181258625,231.966075692382,0.168561938735754,0,7.85777002095072,ns
ABHD6,60,49,67,33,56,24,0.278842684819593,0.635076434978642,5252.0,-0.529923247226317,0.489345353719109,46.3400219817714,-1.08292281350749,0,5.534186823444544,ns
ABHD8,32,31,97,39,12,15,0.144107505343694,0.477119980239046,3442.0,-1.00506316482424,0.688086201988384,36.5758430494943,-1.46066461138137,0,5.192819212820708,ns
ABI1,196,188,185,121,209,125,0.40393861886745,0.745633670381269,6774.0,-0.233001368286203,0.279174712969831,166.350132916148,-0.834607711449074,0,7.378079208730045,ns
ABI2,305,259,308,264,341,285,0.445541561271873,0.775035087979909,7288.0,0.156084189343516,0.204601578465449,288.582842679888,0.762868940279822,0,8.172841718583571,ns
ABI3BP,16,7,3,7,25,8,0.515056539233978,1.0,8186.0,0.682167028898217,1.04790068680519,10.4290659712533,0.650984427711357,0,3.382538050541676,ns
ABITRAM,145,106,101,101,203,121,0.253262793752798,0.609078320713634,4921.0,0.363747197064201,0.318389390928922,125.826234411598,1.14246016804437,0,6.975288941162134,ns
ABL1,231,79,249,159,150,148,0.829799447411443,0.949402262222482,11993.0,-0.07277550507438,0.338555611968695,162.725969929156,-0.214958791116153,0,7.346300703219926,ns
ABL2,400,276,349,207,372,402,0.807576464495182,0.943741562402494,11733.0,0.0552164520765451,0.22671158124861,324.021233762973,0.243553733657723,0,8.33994454868947,ns
ABLIM1,262,175,225,113,208,153,0.149437452658979,0.484665766878723,3520.0,-0.366555650231176,0.254283887307125,181.891829295289,-1.4415213410217,0,7.5069369273769775,ns
ABRACL,322,346,334,205,362,310,0.636357282009735,0.875858203858834,9717.0,-0.107799927136097,0.22800418156601,306.660239664257,-0.472798026754118,0,8.260497314456913,ns
ABRAXAS1,52,54,14,31,41,11,0.50092039800965,0.807761745262628,8005.0,-0.471050558735038,0.699882575133106,33.7823140208801,-0.673042272334686,0,5.078196248133466,ns
ABRAXAS2,301,235,255,126,334,241,0.716639337647974,0.909746861567757,10656.0,-0.0966745898465999,0.266355026064548,239.127632384867,-0.362953878794733,0,7.901637040030127,ns
ABT1,674,686,716,411,708,434,0.0790864430704186,0.350128950805942,2480.0,-0.33108998101104,0.188546589198521,589.163547069872,-1.75601151109891,0,9.202524359984816,ns
ABTB2,67,71,71,83,138,129,0.0175269448045974,0.147758207938551,1237.0,0.838053656048553,0.352795905930679,92.1961887792479,2.37546309909056,0,6.526635208416979,ns
ACAA1,81,54,57,64,81,93,0.25664074426526,0.612645114400969,4970.0,0.44684907014892,0.393919403812152,70.6102405509633,1.1343667405681,0,6.141805526552491,ns
ACAA2,142,134,161,153,163,80,0.988689079989085,0.997498178493837,13824.0,-0.0048023741930528,0.33875333534746,137.132231131956,-0.0141766108018598,0,7.099423887290372,ns
ACACA,7,6,9,7,17,22,0.222737877445195,1.0,4526.0,1.16820202269012,0.958107959186386,11.0845273686348,1.21928015678123,0,3.470475351564079,ns
ACAD10,22,17,20,1,51,24,0.691219689179884,1.0,10370.0,0.356870928169972,0.898465687653522,20.90121371434,0.39720039738189,0,4.385514815605881,ns
