rownames(count),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
A1BG,24,60,19,37,33,52,0.291927593724785,0.626132714125326,5808.0,0.666767499860828,0.632665307211663,37.1071790830529,1.0539024224348,0,5.213626425279358,ns
AAAS,19,94,62,81,84,91,0.0677165526150982,0.300794356503186,2705.0,0.912119296190845,0.499274779157844,71.875252394372,1.82688838745144,0,6.167423211953053,ns
AACS,28,15,20,30,43,15,0.354033370750934,0.68336237465392,6559.0,0.703270142285417,0.758820139389723,24.7777345333664,0.926794250414886,0,4.630972380554358,ns
AAGAB,293,448,337,359,255,291,0.765938669354601,0.921839725440586,11041.0,0.0605316178675513,0.203336769626546,319.692106768235,0.297691450389053,0,8.320539314040476,ns
AAK1,33,39,42,25,35,1,0.404230436313662,0.722780007956567,7165.0,-0.729100146199375,0.874126778292348,26.9453703727589,-0.834089704497681,0,4.751965512057413,ns
AAMDC,54,85,61,39,84,7,0.542354719110971,0.819303897286989,8639.0,-0.389305631901393,0.638985231008215,50.9068620815299,-0.609256071986409,0,5.669788234955064,ns
AAMP,316,489,361,403,347,259,0.641285919946283,0.869801152232569,9709.0,0.0828759805656324,0.177883004942871,347.784389135691,0.465901622205274,0,8.442049366174324,ns
AAR2,584,767,601,653,647,352,0.850431819738133,0.957137093037799,11763.0,0.0291944198274655,0.154822131797629,573.643423446355,0.188567483786014,0,9.164010426540393,ns
AARD,71,72,44,35,86,25,0.890412787842664,0.968000958093078,12277.0,-0.0742159279357746,0.538647868286336,52.7553723192448,-0.137781902250698,0,5.721246112378822,ns
AARS1,310,445,251,807,518,317,2.76339388491852e-06,0.0001329413530156,250.0,0.974948558308173,0.207981688623234,427.469572531419,4.68766536497512,0,8.739677921772524,up
AARS2,99,104,146,152,140,126,0.100672328381183,0.372205992450196,3253.0,0.528100975968796,0.321698371284508,127.597225915081,1.64160288987521,0,6.9954531536575955,ns
AARSD1,171,98,39,125,111,189,0.0628564665677348,0.288650142577376,2619.0,0.835973404493636,0.449398431630439,124.757708021588,1.86020543387453,0,6.962985143461383,ns
AASDH,136,102,81,96,130,133,0.162224085144191,0.471272722712363,4148.0,0.500389874119631,0.358027326012461,113.351597311146,1.3976303979161,0,6.824660910951636,ns
AASDHPPT,469,457,398,280,472,319,0.999898863304496,0.999982008062795,13282.0,-2.76989996918459e-05,0.218522110442186,389.082572776049,-0.0001267560506156,0,8.60393255242261,ns
AASS,139,89,100,125,128,84,0.387684460188101,0.708007021860557,6985.0,0.294580079261389,0.34101854534172,108.668442586982,0.863824220956085,0,6.763789231029824,ns
ABCA3,34,25,42,29,20,7,0.380209471554636,0.701561723594293,6904.0,-0.679371710634142,0.77420359835468,24.7295320438795,-0.877510401757273,0,4.62816303480276,ns
ABCB1,43,70,17,2,34,48,0.888859448054687,0.967453382088154,12262.0,-0.121289894952716,0.867921382064468,34.8054659602688,-0.139747559466978,0,5.121241984137871,ns
ABCB10,86,71,58,108,41,43,0.868542833046879,0.960305998538449,11955.0,0.0767217753072177,0.46354857489362,64.7441482717288,0.165509677868872,0,6.016677899410699,ns
ABCB7,74,163,90,155,91,69,0.514002376967818,0.80420275631481,8347.0,0.23681467894215,0.362868578009366,101.212709240613,0.65261831223104,0,6.661246649838205,ns
ABCB8,1,7,36,1,30,42,0.390554916576419,0.710835953641736,7013.0,1.05577278000707,1.22962811043096,21.6052482011744,0.858611454187591,0,4.433309899596385,ns
ABCC10,28,8,6,21,11,39,0.245105614159563,0.574135441009374,5265.0,1.12902790313581,0.971357425560231,19.9956390534207,1.1623197325996,0,4.321613484785993,ns
ABCC4,135,161,124,60,106,75,0.167481359964065,0.478881934429729,4216.0,-0.480179155653221,0.347869691267906,105.20188540323,-1.38034202951995,0,6.717016750274861,ns
ABCC5,151,99,103,197,127,28,0.724076648006381,0.907541853441992,10518.0,0.161810379629309,0.458365919458207,110.785052195412,0.353015729922876,0,6.7916194269530195,ns
ABCD3,168,267,93,147,166,123,0.814911147706539,0.943123207608405,11455.0,0.0728125389898586,0.311038283644739,152.491748551691,0.234095102817065,0,7.252587369200243,ns
ABCD4,29,81,27,58,70,17,0.532506668644547,0.814409326818927,8536.0,0.382564676501611,0.612903562826645,43.6616219854984,0.624184128963558,0,5.448293820886462,ns
ABCE1,492,547,473,478,415,254,0.417161112705099,0.733023952328281,7299.0,-0.13659754165917,0.168357045054897,422.593709575317,-0.811356255478518,0,8.723127482291217,ns
ABCF2,401,513,365,572,351,255,0.453020077688758,0.759998045178256,7691.0,0.145097723847702,0.193363179620931,390.2100762135,0.75038962501626,0,8.60810722224641,ns
ABCF3,20,45,42,11,53,42,0.61961490392969,0.858167223390562,9468.0,0.355594605434881,0.716352389003015,35.6972082653754,0.496396202335251,0,5.157739346195342,ns
ABHD10,311,347,214,342,185,188,0.998273148514619,0.999857731853824,13262.0,-0.0005131904522632,0.237117333141743,252.025627906223,-0.0021642890693126,0,7.977426635298687,ns
ABHD11,32,109,42,119,72,28,0.310825819536214,0.645437427618478,6030.0,0.539835402959582,0.532649568993843,62.2560317597669,1.01349073459181,0,5.960141716298408,ns
