rownames(count),DMSO.Total.1,DMSO.Total.2,DMSO.Total.3,TPG.Total.1,TPG.Total.2,TPG.Total.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
A1BG,65,84,39,94,116,75,0.156390819770052,0.363199684156349,5285.0,0.494593096462779,0.348964809182533,77.9066280907767,1.41731510871078,0,6.283674169091051,ns
AAAS,374,397,327,349,430,370,0.841849598726558,0.928225307455654,13596.0,-0.0313693022522438,0.157217399491527,373.083909910388,-0.199528184244864,0,8.543356331775994,ns
AACS,463,302,352,378,514,342,0.75239612306707,0.881142458293865,12469.0,0.0549529762242454,0.174187654730573,387.525353490292,0.315481463420842,0,8.598146890247193,ns
AADAT,113,143,84,125,85,126,0.695018120382662,0.848591745970956,11885.0,-0.115428291597555,0.29441917212319,112.590266582177,-0.392054263196074,0,6.814938301734726,ns
AAGAB,1048,968,1063,1042,1067,932,0.207116471399406,0.427599023434035,6036.0,-0.115692247813801,0.0917075844944668,1015.20500623332,-1.26153412993646,0,9.987555373266368,ns
AAK1,256,234,233,274,241,226,0.715679095142255,0.860287345443874,12097.0,-0.0622339155290166,0.170859826235978,242.475511303467,-0.364239604475917,0,7.92169524014649,ns
AAMDC,224,243,186,149,167,250,0.226554119657176,0.453475889346252,6270.0,-0.291518743667919,0.241067418530522,203.920163700001,-1.20928305220562,0,7.6718606263932445,ns
AAMP,1625,1447,1641,1922,1696,1410,0.931599305133657,0.969357204571274,14462.0,-0.0076747249002792,0.0894147909909386,1610.79449950412,-0.0858328338658986,0,10.65355673559224,ns
AAR2,1257,1041,1120,1309,1247,1117,0.917974079627413,0.964089901413805,14340.0,0.0086635180458734,0.0841232572185737,1172.62468829181,0.102986003304216,0,10.195525621147704,ns
AARD,84,44,50,48,43,43,0.202802977464688,0.423020641269354,5967.0,-0.489815210519917,0.384589185449497,51.5786417147943,-1.27360630265106,0,5.688701876212777,ns
AARS1,1931,1272,1754,2329,2191,2238,0.0002704987468354,0.0031944750942771,944.0,0.359694272865642,0.098762086031318,1929.17994079185,3.64202790078351,0,10.913771999112262,ns
AARS2,469,497,513,444,414,422,0.0222071925283796,0.093841661308543,2716.0,-0.307918286173047,0.134649981783564,459.708373205157,-2.28680525681759,0,8.844575133657399,ns
AARSD1,689,533,664,756,711,727,0.269634259626694,0.505609783127691,6794.0,0.12644516181336,0.114543496069757,674.447285824455,1.10390520764579,0,9.397561877645698,ns
AASDH,271,208,270,346,322,244,0.296128852788752,0.535046613738272,7124.0,0.185337594627092,0.1773954357378,273.592344507017,1.04477093142933,0,8.09588405195657,ns
AASDHPPT,1265,1269,1382,1460,1571,1393,0.392063360671454,0.625060371508519,8292.0,0.0769920120614188,0.0899563984429573,1382.24709714662,0.855881442499508,0,10.432799826555108,ns
AASS,1461,1387,1472,1484,1386,1482,0.316864581171816,0.555689370551079,7365.0,-0.0847281175262279,0.0846500809416581,1440.04272849462,-1.00092187253339,0,10.491895904157966,ns
ABAT,182,165,129,204,127,171,0.942150879409462,0.974337918559281,14550.0,-0.0173219940601208,0.238704253748745,161.867615760238,-0.0725667590253901,0,7.338670569761091,ns
ABCA2,34,15,4,26,7,4,0.484966021829284,1.0,9331.0,-0.610819906761916,0.874676963125799,14.6163465192336,-0.698337709248741,0,3.869510837280526,ns
ABCA3,325,241,191,148,126,128,4.27594369716365e-06,9.53157650245255e-05,498.0,-1.00095631416066,0.217717609832213,193.213817745188,-4.59749817633981,0,7.594054462414356,down
ABCA5,102,89,111,136,121,113,0.440739539045801,0.669959698178407,8816.0,0.194775753829172,0.252645463146182,110.994346443549,0.77094498909119,0,6.79434238377735,ns
ABCA7,10,26,16,27,18,26,0.592260999911306,1.0,10621.0,0.332927886670026,0.621641601271904,20.4984617879448,0.535562430166903,0,4.357443748317328,ns
ABCB1,178,229,183,157,171,177,0.136084300736613,0.332454186284582,4989.0,-0.324643943358988,0.217804014703062,183.0057818749,-1.49053241190978,0,7.515745419434172,ns
ABCB10,445,544,445,461,489,431,0.281203845850947,0.519480033473394,6923.0,-0.157366337008399,0.146031524697915,468.49707160945,-1.07761894107407,0,8.871896219969265,ns
ABCB4,10,9,18,35,21,20,0.148135978744271,1.0,5166.0,0.928354953916804,0.641950618685374,18.4644363129625,1.44614698840535,0,4.2066773151397046,ns
ABCB6,195,166,147,74,62,86,6.98879987681166e-07,1.98421144328609e-05,391.0,-1.28146151143813,0.258271976411229,122.591509558226,-4.96167462395436,0,6.937715254101892,down
ABCB7,1094,959,1118,1223,1225,1062,0.588550634697695,0.782481320457845,10577.0,0.0491676638738171,0.0908934215521726,1105.42510844343,0.540937540189254,0,10.110385571835959,ns
ABCB8,118,129,109,136,96,140,0.902195579923889,0.95647056852451,14201.0,-0.0322518311638327,0.26244842565812,121.039196111354,-0.122888263029041,0,6.919330500733368,ns
ABCB9,196,155,130,153,130,126,0.155123296520368,0.361041116300797,5266.0,-0.325763420126165,0.229142055009908,147.483963616027,-1.42166578767952,0,7.204414284117752,ns
ABCC10,100,103,61,91,52,91,0.435855188533784,0.665734424009571,8753.0,-0.265519743799765,0.340754434024885,82.881608156011,-0.779211412346213,0,6.372980090867833,ns
ABCC4,1322,1338,1288,1303,1237,982,0.0053921574820819,0.0323807490356808,1871.0,-0.267757233934339,0.0962247930851342,1240.61731051268,-2.78262208054261,0,10.276842444957298,ns
ABCC5,568,454,523,621,509,560,0.772683049163906,0.890249561885679,12690.0,0.0365465185974038,0.126516703637475,535.136044572387,0.288867142018854,0,9.063761896016366,ns
ABCC8,39,15,28,15,38,1,0.368953931163145,1.0,8026.0,-0.701438182776158,0.780733770259199,22.3274603616848,-0.898434536196999,0,4.4807472559460155,ns
ABCD1,28,22,13,16,22,6,0.36177264070788,1.0,7939.0,-0.619832102546669,0.679646017141491,17.6778648274235,-0.911992547464059,0,4.143872128162573,ns
ABCD3,882,788,968,823,752,787,0.0192679250017986,0.0847576568684198,2598.0,-0.255267101573776,0.109074222602547,831.436987752176,-2.34030640313558,0,9.699463119670705,ns
ABCD4,271,239,269,359,326,229,0.477425854600795,0.700025752576156,9244.0,0.127212695383305,0.179059618111355,279.102169300585,0.710448825509015,0,8.124649527460804,ns
ABCE1,1907,1642,1862,1888,1831,1614,0.110743609762008,0.288515562536506,4620.0,-0.117754954462869,0.0738340515472659,1780.45255415415,-1.59485971574358,0,10.798028275657337,ns
ABCF2,1401,1101,1084,1349,1259,1249,0.873158549590587,0.945190937006836,13889.0,0.0143728342328095,0.0900284080503356,1230.58289695051,0.159647766122595,0,10.265126131398523,ns
ABCF2-H2BE1,3,19,1,8,4,1,0.434365996378583,1.0,8736.0,-0.994425506799363,1.27206295357734,6.11713484242221,-0.781742368962801,0,2.612856078323448,ns
ABCF3,60,57,31,52,123,62,0.154492599887615,0.359920745299563,5262.0,0.586671905661378,0.412034800187905,63.2888250142611,1.4238406692683,0,5.9838788785888,ns
ABCG1,9,21,16,20,6,19,0.844673083024833,1.0,13623.0,-0.144899318890052,0.739585557803069,15.27180579279,-0.19591961654913,0,3.932798756516061,ns
ABCG2,31,33,40,21,53,42,0.891380456788307,0.952425248030593,14089.0,0.0658901202059486,0.482507734901555,36.6520148413352,0.136557645483946,0,5.1958206035248775,ns
ABHD1,3,1,15,4,8,6,0.879095328132951,1.0,13966.0,-0.178429163489209,1.17297976444663,6.182596547039,-0.152116148033795,0,2.628212863826182,ns
ABHD10,713,592,611,885,882,735,0.0062374247277517,0.0361197975496983,1943.0,0.289313922883909,0.105780825436684,727.933187378166,2.73503181403213,0,9.507662229949254,ns
ABHD11,155,142,144,147,143,170,0.892845341657782,0.952843312607483,14105.0,-0.0300263743322169,0.222905139959843,149.640990681504,-0.134704719404973,0,7.225361612009474,ns
ABHD12,578,486,475,436,496,473,0.090327023191885,0.251686818386826,4282.0,-0.221740487330678,0.130922676225338,488.894431515568,-1.69367518082985,0,8.933379162986133,ns
ABHD13,242,236,194,332,307,272,0.0479394089882647,0.161903066376248,3462.0,0.340466491179682,0.172134893769861,260.949652353276,1.97790514010991,0,8.027627669723044,ns
ABHD14A,69,86,55,69,29,51,0.12948940251246,0.321220526768899,4902.0,-0.599710122279872,0.39555624444688,60.0059381456906,-1.51611845521101,0,5.907033370765803,ns
ABHD14A-ACY1,182,207,169,191,143,228,0.722077759174109,0.863449160086427,12170.0,-0.0828420744542167,0.232909659802455,186.654963168674,-0.35568329164398,0,7.54423006028892,ns
ABHD14B,72,78,47,27,48,59,0.121068657767928,0.306329876151363,4781.0,-0.638286019178583,0.411716781814682,55.5600765965655,-1.55030362465497,0,5.795976683144915,ns
ABHD15,120,131,186,124,56,101,0.0176636928116124,0.079547526937813,2530.0,-0.741261026541985,0.31242647886301,120.389078971533,-2.37259347939906,0,6.911560714528282,ns
ABHD17A,39,37,30,41,79,53,0.141578500732719,0.34122078520059,5065.0,0.614597755059059,0.418111297398059,45.9602161204665,1.46993816929547,0,5.5223136769269185,ns
ABHD17B,311,316,362,310,359,399,0.917559907403096,0.963837294860122,14338.0,0.0177563669872549,0.171546064951123,342.195864831362,0.103507865320689,0,8.418678515869342,ns
ABHD17C,285,233,255,257,313,257,0.977913246396129,0.990238088327213,14899.0,0.0047335109608676,0.170976367607679,264.830987893214,0.0276851767709153,0,8.048928131648838,ns
ABHD18,414,347,324,348,454,391,0.76341696142066,0.885732826999451,12590.0,0.0471521395937596,0.156653310230027,377.126848161627,0.300996764923269,0,8.558906051288115,ns
ABHD2,799,621,683,673,556,649,0.0353855242360749,0.130763883004217,3137.0,-0.253193412538297,0.120343714577007,660.681722540657,-2.10391887460212,0,9.367811623539872,ns
ABHD3,344,295,378,273,361,318,0.272384131619301,0.509046505910077,6820.0,-0.187893819173951,0.171187822962769,327.367797700891,-1.09758869481514,0,8.354768604494138,ns
ABHD4,116,88,99,84,109,172,0.528736617987037,0.73855324621614,9849.0,0.195185225671001,0.309849415479352,111.069499190895,0.629935755628393,0,6.795318882222964,ns
ABHD5,435,475,468,525,540,509,0.484297235784951,0.704390717335917,9325.0,0.0920322713951114,0.131586001538221,489.60131456245,0.699407766170167,0,8.935463621396346,ns
ABHD6,84,113,63,103,57,54,0.264897141462158,0.500287894587163,6735.0,-0.39552136105653,0.354762364497425,78.8432262139694,-1.11489098235334,0,6.30091490662727,ns
ABHD8,157,90,95,151,155,131,0.292689953588571,0.530820319357413,7081.0,0.269834800131214,0.256438721839192,127.901741065132,1.0522389060277,0,6.998892092844436,ns
ABI1,531,550,559,637,551,557,0.930985140214694,0.969317767916275,14453.0,-0.0106344727741077,0.12279220048337,561.467734743408,-0.0866054418134479,0,9.133059308993404,ns
ABI2,1568,1349,1453,1452,1387,1389,0.0683728410471128,0.206412456316955,3913.0,-0.141402814978304,0.0775855056515531,1426.410637637,-1.82254164345288,0,10.47817365185774,ns
ABI3BP,92,96,83,94,94,124,0.691388315561351,0.846414380647363,11847.0,0.112950789588141,0.284531073913765,96.9022039305693,0.396971719237857,0,6.598457573360993,ns
ABITRAM,215,183,169,304,261,210,0.0647676089178038,0.198534259423217,3845.0,0.351982039342133,0.190584164602239,220.590272701956,1.84685878848718,0,7.785225364049166,ns
ABL1,347,200,253,293,357,351,0.19948157869532,0.418915092494756,5921.0,0.244407996680615,0.190492820610637,296.862895203488,1.28302996352906,0,8.213652972384619,ns
ABL2,893,754,853,965,743,745,0.261198229218095,0.496160428225542,6697.0,-0.125022051047354,0.111272790702289,820.195505861255,-1.1235635437764,0,9.67982402842956,ns
ABLIM1,1046,900,873,1008,834,841,0.0959781949846914,0.262233310983278,4379.0,-0.166629333698236,0.100097391619403,911.792085718467,-1.66467208588017,0,9.83256107655552,ns
ABRACL,958,989,956,738,718,724,6.82426148437521e-07,1.94246478815511e-05,390.0,-0.511016282043832,0.102896795648235,848.645036875234,-4.96629927904465,0,9.72901743304214,ns
ABRAXAS1,111,51,59,121,150,92,0.0492141109668514,0.164456907237513,3504.0,0.634505620582965,0.322619252350467,95.2059869980367,1.96673204081972,0,6.572980394689396,ns
ABRAXAS2,437,249,380,454,640,412,0.0288125628482048,0.112781473969648,2956.0,0.410726740204506,0.187886059665888,422.21275687528,2.18604158783728,0,8.721826359181405,ns
ABT1,577,555,563,576,436,638,0.386308652923403,0.620893033495798,8208.0,-0.130468656369884,0.15059907984754,556.556648932602,-0.86633103271258,0,9.120384729048538,ns
ABTB1,5,1,15,8,2,4,0.567075243657328,1.0,10366.0,-0.693166748191533,1.21105881808645,5.8258821259438,-0.57236423024175,0,2.5424765119766004,ns
ABTB2,75,82,124,152,124,126,0.143858148486552,0.344268546363919,5100.0,0.411195892508128,0.281337832892865,112.830617389963,1.46157339835881,0,6.818014796190416,ns
ACAA1,254,249,228,207,272,191,0.240484392644027,0.470408926830732,6449.0,-0.224271025640879,0.191067844883342,232.680406521134,-1.17377691561764,0,7.8622059196201475,ns
ACAA2,618,606,505,530,569,578,0.289539291907437,0.528243451855048,7022.0,-0.137212886818481,0.12955210468401,566.010029390087,-1.05913282654231,0,9.144683806830374,ns
