,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
A1BG,0.129030802835497,0.391584452664727,-0.0028776799921902,0.992853234727926,A1BG,ns,0
PSMC6,0.0115033784614343,0.964726243221071,0.453179990786549,0.0648724892116542,PSMC6,ns,0
PSMD10,-0.248609154127173,0.142747278073669,-0.104037472989217,0.699672902373592,PSMD10,ns,0
PSMD11,-0.0877961712929477,0.347501531453833,0.0640967562486516,0.631838418361009,PSMD11,ns,0
PSMD12,0.0694252845882023,0.587343766642654,0.11537016247583,0.47636032072447,PSMD12,ns,0
PSMD13,0.0963622533829471,0.498171465727636,0.212924605454569,0.230312430470862,PSMD13,ns,0
PSMD14,-0.0839167598913294,0.601395463466505,0.179108818170828,0.347833549197067,PSMD14,ns,0
PSMC5,-0.179686220483459,0.0831557031668298,0.039894789675503,0.832420361467645,PSMC5,ns,0
PSMD2,-0.0486068495126745,0.766765208451909,0.153399517154312,0.387398956775727,PSMD2,ns,0
PSMD4,0.0200138204175647,0.915016904478985,0.281214277981093,0.0316788224784773,PSMD4,ns,0
PSMD6,-0.174765089379235,0.23404136176529,0.263089999326379,0.210017850108701,PSMD6,ns,0
PSMD7,0.010345203602648,0.957027369011191,0.206106021758186,0.0941843306741073,PSMD7,ns,0
PSMD8,-0.0505385577498327,0.651301288157927,0.0392861482908399,0.774532273579433,PSMD8,ns,0
PSMD9,0.0372660608228139,0.849387511258526,0.0581644921921503,0.797442362752588,PSMD9,ns,0
PSME3,-0.0794397676662984,0.530588207874085,-0.0927836100191141,0.593278107431523,PSME3,ns,0
PSMD3,-0.0990554534222462,0.505031182915055,0.174341790928792,0.373917541942876,PSMD3,ns,0
PSMC3IP,0.224074379194461,0.184930706878674,0.285080225665506,0.279867944284305,PSMC3IP,ns,0
PSMC3,0.0397294212380319,0.834282836492092,0.39388828945851,0.0119138347356598,PSMC3,ns,0
PSMC2,-0.0861930140814355,0.488091872406042,0.154499767794333,0.266660791923633,PSMC2,ns,0
PSENEN,-0.132355408893707,0.348973461707131,-0.0178669383569757,0.946044127267332,PSENEN,ns,0
PSIP1,0.0080745157634713,0.965332830280814,-0.111521815519153,0.595178993101576,PSIP1,ns,0
PSKH1,-0.131400906987122,0.470834663592773,-0.431577665761364,0.138547163238234,PSKH1,ns,0
PSMA1,-0.152396698421134,0.163098707362769,0.134395220998738,0.450178083653281,PSMA1,ns,0
PSMA2,-0.258344530064759,0.0035628328106194,-0.10619516770186,0.477949909776608,PSMA2,ns,0
PSMA3,-0.149994001375688,0.211986443920021,0.276897102938529,0.0530340163803363,PSMA3,ns,0
PSMA4,-0.223741377700026,0.0012539922264652,-0.124025084548721,0.312223110498239,PSMA4,ns,0
PSMA5,0.0525202856476033,0.751011536496423,0.195986932362484,0.255566714262692,PSMA5,ns,0
PSMA6,-0.12293645599357,0.33295319383775,-0.257337278059342,0.0953209530235938,PSMA6,ns,0
PSMB1,-0.27405638531464,0.0008020330070475,-0.0613484110547535,0.663972673883058,PSMB1,ns,0
PSMB10,0.006343113672225,0.981750379110079,-0.195400520078889,0.435405972576669,PSMB10,ns,0
PSMB2,-0.178494193665399,0.0378178524778147,-0.0970574733061824,0.490851198277014,PSMB2,ns,0
PSMB4,-0.0707306158257558,0.53508787652839,0.132018822381416,0.314797380143171,PSMB4,ns,0
PSMB5,-0.193018641959008,0.0193290437796142,0.0241101977676448,0.867317330794186,PSMB5,ns,0
PSMB6,-0.129909726672033,0.2049020423499,0.0406126413467195,0.773885555647215,PSMB6,ns,0
PSME3IP1,-0.0494968150343576,0.792225385035599,0.0232066276686252,0.938911854635687,PSME3IP1,ns,0
PSEN1,0.0325509106716532,0.888070566176155,-0.0077339992997585,0.980690956279476,PSEN1,ns,0
PSME4,0.0204391854835553,0.921889199722255,0.0511143393682915,0.867317330794186,PSME4,ns,0
