,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
AAAS,0.0400455372519952,0.863732254235355,0.542675073793017,0.165287366286951,AAAS,ns,0
QRSL1,0.185927748001434,0.435125683208597,-0.236035596314645,0.442569571297138,QRSL1,ns,0
QSER1,-0.104636708705505,0.683459728255495,-0.22681451784223,0.374233807187781,QSER1,ns,0
QSOX1,-0.162560401951044,0.459305267404111,0.048823266422171,0.8395978630418,QSOX1,ns,0
QSOX2,0.003282183028793,0.994176297042753,0.0377726936904196,0.916739181896097,QSOX2,ns,0
QTRT2,0.315083913520945,0.217731874532819,0.0720932257277231,0.857274621403734,QTRT2,ns,0
R3HCC1,-0.157963919907865,0.526760516964384,-0.285360961268187,0.384846455238528,R3HCC1,ns,0
QRICH1,0.210341050291788,0.337763173189216,0.0921587030632803,0.812087591538415,QRICH1,ns,0
R3HCC1L,0.101283412455969,0.629494255857663,1.47047600442308,0.0140517068343718,R3HCC1L,ns,0
R3HDM2,0.257103306418933,0.206917760608005,-0.0604412349284717,0.295294930657878,R3HDM2,ns,0
RAB10,0.0296677679843135,0.909867994853459,0.0028387627348182,0.995595099104376,RAB10,ns,0
RAB11A,-0.118069481533009,0.564767900232874,-0.197125414130194,0.440143503083389,RAB11A,ns,0
RAB11B,-0.0330298668061336,0.898744086235804,-0.0412287351391785,0.701781404595538,RAB11B,ns,0
RAB11FIP1,-0.318721205456304,0.140114240428913,-0.152688616050501,0.652723106804102,RAB11FIP1,ns,0
RAB11FIP2,0.224265914758687,0.206782930630896,-0.381799273767614,0.247590163483935,RAB11FIP2,ns,0
R3HDM1,-0.0460773900642414,0.830290856784268,-0.154131912984549,0.27773445099742,R3HDM1,ns,0
QPRT,-0.115441942949659,0.650012695939635,0.0158914129159304,0.974002242392802,QPRT,ns,0
QPCTL,0.432173870065301,0.143861451606035,-0.0073040673385755,0.974002242392802,QPCTL,ns,0
QPCT,0.190532427400927,0.438627508178051,0.0113239855879406,0.979735628939506,QPCT,ns,0
PXMP2,-0.0099953129306029,0.975001707111498,-0.234697289699541,0.483674188279523,PXMP2,ns,0
PXMP4,-0.152653952632502,0.538356894004372,-0.0289913765352149,0.665967750603551,PXMP4,ns,0
PXN,-0.336382568643699,0.192554313537494,-0.0426668935319544,0.915085857906842,PXN,ns,0
PXYLP1,-0.343603219759196,0.20521703790084,-0.0547436389775249,0.848320627951014,PXYLP1,ns,0
PYCR1,0.738852450800063,0.0072136446694282,0.021303727634855,0.966850033350254,PYCR1,ns,0
PYGB,0.0475179451205998,0.847642260219162,0.0032724708206267,0.995595099104376,PYGB,ns,0
PYGL,-1.75377461985334,0.0028513982790647,-0.0539562522803798,0.76548993421005,PYGL,ns,0
PYGO1,-0.159778240778017,0.520476794267156,-0.126105604308874,0.705753850392392,PYGO1,ns,0
PYGO2,-0.134590440050637,0.566881783818025,0.03557266703864,0.936263948408309,PYGO2,ns,0
PYM1,-0.129095970992232,0.606974379691441,-0.121183642619498,0.736225766275097,PYM1,ns,0
PYROXD1,0.870898328964999,0.0003463090171424,-0.0012884436976291,0.995595099104376,PYROXD1,ns,0
PYURF,-0.0690166529594223,0.772512244188177,-0.284017329653197,0.329452945091115,PYURF,ns,0
QARS1,-0.0671080047892748,0.809915501807437,0.625039146741721,0.0618584973548554,QARS1,ns,0
QDPR,-0.504496966105021,0.0759977168561519,0.466969943054613,0.161878863047592,QDPR,ns,0
QKI,-0.0938619642461077,0.606974379691441,-0.209344244611731,0.426197489882865,QKI,ns,0
RAB11FIP4,-0.0794858531453732,0.711992185503176,-0.0538363243579849,0.889295709795999,RAB11FIP4,ns,0
PXK,0.0789507605263763,0.756045485216992,0.213538558693283,0.469275141052423,PXK,ns,0
RAB11FIP5,-0.338682556742522,0.194818812651746,-0.272002173455725,0.423089541702357,RAB11FIP5,ns,0
RAB14,-0.0650136833412426,0.757973036870824,-0.266727420222431,0.268548432395236,RAB14,ns,0
RAB3GAP2,-0.0191623901964822,0.944113790582654,0.0279168979682935,0.953100179865641,RAB3GAP2,ns,0
RAB3IP,-0.0872268273090567,0.70927039064022,0.00388310261763,0.994425886598541,RAB3IP,ns,0
RAB40B,-0.0370110068760824,0.893994742024039,-0.0405703865471115,0.901379941261694,RAB40B,ns,0
RAB40C,-0.0022617080527523,0.994882936375071,0.436488951823425,0.166866238090978,RAB40C,ns,0
RAB4A,-0.315169927253938,0.138304712639967,-1.36734305564491,0.0002309757003685,RAB4A,ns,0
RAB4B-EGLN2,0.190213539527911,0.433304050438728,-0.395655781111214,0.257954709848527,RAB4B-EGLN2,ns,0
RAB3GAP1,0.139345161468378,0.520476794267156,0.058386923320945,0.885794813450107,RAB3GAP1,ns,0
RAB5A,-0.0282843507908108,0.925589488368089,0.328640048115478,0.270806456670597,RAB5A,ns,0
RAB5C,-0.12305339206145,0.581386442844416,-0.605429209919002,0.0485082498956731,RAB5C,ns,0
RAB5IF,-0.146360757623827,0.36268535960992,-0.360404760594146,0.0162750385607086,RAB5IF,ns,0
RAB6A,-0.0660958733706221,0.789433487119138,-0.225615280832972,0.460919241634528,RAB6A,ns,0
RAB6B,0.0144837105886106,0.946224434615667,-0.136609697697393,0.492495149257088,RAB6B,ns,0
RAB7A,-0.146542472139219,0.490027705855377,-0.259595224153033,0.316693310478581,RAB7A,ns,0
RAB8A,-0.188189486509992,0.423976976354774,-0.24037081762401,0.440143503083389,RAB8A,ns,0
RAB5B,-0.0589167653279901,0.832636369675004,-0.151187800791947,0.663238578070134,RAB5B,ns,0
RAB3B,-0.216219587362646,0.334548425193175,-0.176675316041264,0.549495236766702,RAB3B,ns,0
RAB39B,1.1273528363328,0.0021540285857531,0.932251559978034,0.0823282891890447,RAB39B,ns,0
RAB36,-0.027099486705874,0.891113760918891,0.128964149669982,0.666073691716777,RAB36,ns,0
RAB18,0.230486293000723,0.188257453074045,-0.0682874515261691,0.844128700871069,RAB18,ns,0
RAB1A,0.0446745597666202,0.874267823063856,0.172334897419445,0.600011131280254,RAB1A,ns,0
RAB1B,0.0657654077736678,0.723156976376282,0.0927911211047836,0.751223864006952,RAB1B,ns,0
RAB20,-0.0244069042366635,0.912365441442389,0.269970118989116,0.402043348758721,RAB20,ns,0
RAB21,-0.131625833117317,0.522273448351314,-0.665310090301313,0.0200683585677937,RAB21,ns,0
RAB22A,-0.0254818275126809,0.932206497772684,-1.32210488155039,0.0099714768403205,RAB22A,ns,0
RAB23,-0.0981560704826631,0.704468379360598,-0.141551211639813,0.678290137154198,RAB23,ns,0
RAB24,0.113376485715008,0.649914305694442,0.198959774365592,0.530966333632264,RAB24,ns,0
RAB28,0.115947554671991,0.649094196978204,-0.290168195743844,0.391097264479744,RAB28,ns,0
RAB29,-0.508910186712499,0.0337238525938299,0.0496299559116822,0.901333849179238,RAB29,ns,0
RAB30,0.0871804221234775,0.667427768706724,0.026152325067286,0.873694541688348,RAB30,ns,0
RAB31,-0.448087861609556,3.58509856377329e-05,-0.410068321809279,0.0899322048969721,RAB31,ns,0
RAB33B,1.27723465481818,8.4049789663176e-07,0.877041776867344,0.0627256366634256,RAB33B,ns,0
RAB34,-0.299476450423441,0.228101888975833,-0.212655709009438,0.509020502753006,RAB34,ns,0
RAB35,-0.163677614835669,0.458884489680506,-0.126594216921416,0.70255589087896,RAB35,ns,0
RAB12,-0.339352726543409,0.0714014532234432,-0.864681653032289,0.0030768027776378,RAB12,ns,0
RAB8B,0.0862557429121603,0.746840287649573,-0.132709084511108,0.688568334894492,RAB8B,ns,0
PXDN,-0.372841006742565,0.16840472439935,-0.0185959329957562,0.969544206175313,PXDN,ns,0
PWWP3A,-0.0084711473589813,0.980190068283662,-0.0508837517448935,0.885399146068036,PWWP3A,ns,0
PTER,-0.24255052964072,0.292280847766969,0.0622575226143811,0.87841211404426,PTER,ns,0
PTGES2,0.058634157351448,0.794768925304864,-0.0609078485411655,0.807164455902504,PTGES2,ns,0
PTGES3,-0.421498461317986,3.91498583678844e-05,-0.213273480088394,0.261082409086815,PTGES3,ns,0
PTGES3L-AARSD1,0.571346601790378,0.0217111846852178,0.293980991633285,0.306191825936326,PTGES3L-AARSD1,ns,0
PTGFRN,-0.586237177173522,0.0287832184719551,0.120065344116155,0.743175437269371,PTGFRN,ns,0
PTK2,0.0097074251597452,0.975354519962921,-0.14367113747066,0.671431737556725,PTK2,ns,0
PTDSS2,0.0355183035115239,0.905203487870205,0.18616422023684,0.501854368028717,PTDSS2,ns,0
PTK7,-0.479346371109088,0.0495462241814891,-0.135647413715988,0.639663501561878,PTK7,ns,0
PTMS,-0.377643829330824,0.182228439618443,0.0854871285839367,0.827158249520616,PTMS,ns,0
PTOV1,0.049311448436206,0.841029825468464,-0.276821550555199,0.187412577168073,PTOV1,ns,0
PTP4A1,0.212204097090462,0.058159974787772,-0.0603332021328901,0.79408697267006,PTP4A1,ns,0
PTPA,-0.0939572115500275,0.709763095080692,-0.0371329721113259,0.91941303232133,PTPA,ns,0
PTPMT1,-0.0420018051767554,0.883604502019195,-0.438159263945384,0.172606871742241,PTPMT1,ns,0
PTPN1,-0.198581309723866,0.186499880858779,-0.159541095820823,0.525472197116187,PTPN1,ns,0
PTMA,-0.0675108955820978,0.722506427839114,0.26086503553606,0.124571756112527,PTMA,ns,0
PTDSS1,-0.233268844275234,0.172724818280979,-0.239513582897654,0.353597169940995,PTDSS1,ns,0
PTCH1,0.068596145509988,0.80979147702086,-0.108471773623909,0.728680624161188,PTCH1,ns,0
PTCD3,-0.0251915390638066,0.92842435488701,-0.0769085238457794,0.520181214867968,PTCD3,ns,0
PSMF1,-0.0281469126643505,0.922467837148566,0.0565577884370699,0.880407135239695,PSMF1,ns,0
PSMG1,0.0360162693248439,0.905294439200874,-0.030826025510797,0.901183053723127,PSMG1,ns,0
PSMG2,-0.0192936871160043,0.946224434615667,0.119773862561784,0.679896181467412,PSMG2,ns,0
PSMG3,0.158443110295546,0.356938825079143,0.0553775412883609,0.83838874685821,PSMG3,ns,0
PSMG4,-0.131735334536769,0.597960304327372,0.193579965092772,0.563961562858351,PSMG4,ns,0
PSPC1,0.0837484982841783,0.753122305136372,-0.13602221303653,0.699763459471475,PSPC1,ns,0
PSRC1,-0.359062896294788,0.18105986085644,-0.786999062804242,0.0782406265730418,PSRC1,ns,0
PSTK,0.195811902041325,0.433012208452473,0.15193173918438,0.655740563882984,PSTK,ns,0
PSTPIP2,-0.241550392593803,0.2750828509962,0.113015267744219,0.671431737556725,PSTPIP2,ns,0
PTAR1,-0.170459952447775,0.430460019472552,-0.228320734446474,0.49356056317573,PTAR1,ns,0
PTBP1,0.0625635866306184,0.721864199421888,0.262665859792538,0.123948191357986,PTBP1,ns,0
PTBP2,0.311212454509045,0.0188959589982005,0.0291081136261077,0.948903899736776,PTBP2,ns,0
PTBP3,-0.0286675677128469,0.924521658236744,-0.191328324697831,0.571039052683881,PTBP3,ns,0
PTCD1,-0.023938927474072,0.933472292049582,0.321200577555663,0.259231958719022,PTCD1,ns,0
PTCD2,-0.0991484644319911,0.7007102878424,0.894536430148658,0.0391162723120309,PTCD2,ns,0
PTPN11,-0.0766931490671847,0.756045485216992,-0.0778469520318302,0.84298439466919,PTPN11,ns,0
PXDC1,0.0262904817587053,0.924210997855632,-0.0753912574847962,0.829347794238167,PXDC1,ns,0
