baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	77.9066280907767	0.129030802835497	0.219454518952179	0.154176326832665	0.391584452664727
A1CF	0	NA	NA	NA	NA
A2M	0	NA	NA	NA	NA
A2ML1	0	NA	NA	NA	NA
A4GALT	4.79164280199052	-0.00706455397319651	0.192373660483994	0.410737862161791	NA
A4GNT	0	NA	NA	NA	NA
AAAS	373.083909910388	-0.0173612181988437	0.130520917595644	0.855289139054628	0.942172947685745
AACS	387.525353490292	0.0220634243402975	0.141159179023283	0.818648035148609	0.923762182608061
AADAC	0	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA
AADAT	112.590266582177	-0.0219799132288349	0.171409059811914	0.777932433623977	0.907390746191246
AAGAB	1015.20500623332	-0.089399453801417	0.100196216666496	0.30250933588903	0.570361198311747
AAK1	242.475511303467	-0.028482454953257	0.144320280064102	0.766037113075532	0.899772389844447
AAMDC	203.920163700001	-0.120779693121643	0.188529004277038	0.226610310390321	0.4897405961379
AAMP	1610.79449950412	-0.00888287163575816	0.092367380171343	0.914922799015689	0.969211922170237
AANAT	0.319271824611366	-0.00281177226031453	0.19259730778462	0.732397546480251	NA
AAR2	1172.62468829181	0.00745504792324084	0.0910198821320598	0.931943887949646	0.97570541395781
AARD	51.5786417147943	-0.069977570193413	0.193363287846497	0.326109721946193	NA
AARS1	1929.17994079185	0.336290364731168	0.0971836687845231	0.000111942184527638	0.00198777336239792
AARS2	459.708373205157	-0.211300143706993	0.153296517979659	0.0591644737212082	0.21386096935067
AARSD1	674.447285824455	0.0914568716281262	0.114508709305471	0.326542586228627	0.596213954606638
AASDH	273.592344507017	0.0855811776384323	0.155318590805835	0.394676150523018	0.661455009076848
AASDHPPT	1382.24709714662	0.0643246838205269	0.0890178920144153	0.420772616398399	0.680351690644826
AASS	1440.04272849462	-0.0693502355417289	0.0876279466314492	0.37378478330451	0.641179210829748
AATF	0.159635912305683	-0.00253665695920986	0.192585097885023	0.809837851875957	NA
AATK	25.0139855325935	-0.0217423375382647	0.19348086672375	0.164717726991674	NA
ABAT	161.867615760238	-0.00879954691370994	0.159670042766682	0.918018402862513	0.970320471733081
ABCA1	3.49953768472982	-0.0289414729889006	0.195649805765004	0.0181732446645232	NA
ABCA10	1.11063663994849	0.000379766431908025	0.192552840845005	0.933571027952648	NA
