baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	116.911349153065	-0.00287767999219029	0.232136461362565	0.975635252961771	0.992853234727926
A1CF	0	NA	NA	NA	NA
A2M	0.130195217786575	-0.00456737527631171	0.263979545904409	0.872073489702978	NA
A2ML1	0	NA	NA	NA	NA
A4GALT	3.92178986441691	0.000343903537049168	0.263900918437527	0.956631204661878	NA
A4GNT	0	NA	NA	NA	NA
AAAS	701.157360132794	0.417088200787504	0.184102652901179	0.00547150292483453	0.0480428483452021
AACS	183.645880417473	-0.001690304496958	0.210274504829838	0.987353793592074	0.996933020210268
AADAC	0	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA
AADAT	82.4788780933759	-0.261813570584428	0.40060916402937	0.050298922322127	0.214018082715851
AAGAB	1164.77206973118	0.139874649119407	0.14211775283507	0.247047951491425	0.530513699282974
AAK1	91.9861570641274	-0.00236474839180065	0.241960221443929	0.974878539334765	0.992853234727926
AAMDC	436.962682256806	-0.262604142092024	0.233513615155296	0.0944008417005445	0.314942337407119
AAMP	2890.9055786389	0.0860400471545347	0.0930579658550694	0.322179640622289	0.609808736595415
AANAT	1.69839331891224	0.00635114149048031	0.264055692676981	0.620062131346334	NA
AAR2	905.091752157894	-0.0306445366233274	0.139652514841382	0.790629262734242	0.915965283322618
AARD	111.839444101078	0.0559043382975755	0.23614918239254	0.623781488292277	0.83040321368987
AARS1	1305.99148027347	0.316226459656804	0.135024278694481	0.00761636639092534	0.0606027763558687
AARS2	411.6394754978	0.290807880370792	0.238824669345712	0.0701945105710664	0.262999720562405
AARSD1	626.106789819228	0.5858842574176	0.216117521185232	0.000811409793646191	0.0112887510780667
AASDH	159.878194636691	0.0575031462175314	0.230683300113376	0.626671525641031	0.832604612844917
AASDHPPT	1118.71038419758	0.0352199874564059	0.130938984512479	0.755412583206808	0.900799216592163
AASS	789.823421378562	-0.120748482909598	0.16366711868706	0.355421245027633	0.6399004952286
AATF	4.88691005537979	0.000397969589571734	0.263884774728623	0.952637571945799	NA
AATK	30.5711824875917	0.0362536527896173	0.258016837967508	0.573796087691461	0.80137474134336
ABAT	93.1912681898661	-1.61830031730634	0.714673902530453	0.000481465595687485	0.0075311216811772
ABCA1	0	NA	NA	NA	NA
ABCA10	0.484397629329287	-0.00537275972020723	0.264033991125425	0.772884978517817	NA
ABCA12	1.57760206020292	-0.00463996364438967	0.263782180920586	0.740245704833183	NA
ABCA13	0	NA	NA	NA	NA
ABCA2	9.95746833534905	-0.0279029473903841	0.265362092076806	0.0248700424268086	NA
ABCA3	117.620436602361	-1.72391506165919	0.471761760107534	1.13538004209315e-05	0.00035709624984438
ABCA4	0.520780871146298	-0.00540895408964896	0.264039902002212	0.735350538331959	NA
ABCA5	40.9985398255779	0.0354135703408866	0.251865888657235	0.672713051874678	0.857555604983864
ABCA6	0	NA	NA	NA	NA
ABCA7	9.96328091370231	-0.0545571430424012	0.271165826639367	0.0141233257847051	NA
ABCA8	0	NA	NA	NA	NA
ABCA9	0.154399392628385	0.00454945053571042	0.263966062439745	0.789320209615498	NA
ABCB1	141.549583458148	-0.205990224398085	0.295976766129458	0.142732121935852	0.394008632267154
ABCB10	250.447640535615	-0.257021555391672	0.291743966059213	0.101136713117966	0.32703379725375
ABCB11	0	NA	NA	NA	NA
ABCB4	10.6216738992445	-0.0355460439932402	0.265966004851374	0.102368008626652	NA
ABCB5	1.51705436298328	-0.00567644470383112	0.264059043871303	0.716446924800245	NA
ABCB6	170.227913360098	-0.3252417572771	0.36274800467779	0.0579816784065847	0.233025699457843
ABCB7	875.362807830854	0.0172194203894107	0.158862935054467	0.892038451733531	0.959442126809698
ABCB8	90.8846419303195	0.0329690182094964	0.238029571024152	0.756721379355298	0.901381204279749
ABCB9	101.911574728662	-0.999367291824376	0.618074936811405	0.00356682567189064	0.0354700292267315
ABCC1	0.154399392628385	0.00454945053571042	0.263966062439745	0.789320209615498	NA
ABCC10	82.1563912705621	-0.0916631070700223	0.26992945648857	0.234986203997827	0.518661936341117
ABCC11	0	NA	NA	NA	NA
ABCC12	0	NA	NA	NA	NA
ABCC2	1.7651503557509	2.6759402087718e-06	0.263929653481155	0.967341903525375	NA
ABCC3	1.68940838434842	-0.0130662013270652	0.264406397739721	0.331250806392387	NA
ABCC4	586.196257894244	-0.527859302485285	0.241211307376459	0.00378335230143658	0.0368049140624035
ABCC5	286.974420031517	0.228941512078589	0.242630970337715	0.137900112605869	0.387116550475147
ABCC6	0	NA	NA	NA	NA
ABCC8	4.55539155007621	-0.0074229626778893	0.264000249200277	0.349938071499368	NA
ABCC9	0.211796698322346	0.00407352109518263	0.263979066614584	0.784630162730766	NA
ABCD1	9.29260279285986	-0.0368562914195174	0.265125441151163	0.290822740131626	NA
ABCD2	1.13537371826216	-0.00955033674235036	0.264215605102779	0.457743000090625	NA
ABCD3	530.256255813354	-0.00449925338448459	0.162365806325923	0.969369352893721	0.99100706166367
ABCD4	148.991846687973	0.105892923852298	0.239723741078281	0.40468416301493	0.679137091331838
ABCE1	1398.39260251602	-0.222448769157254	0.131145377095542	0.0514119974607509	0.217461163991724
ABCF1	0	NA	NA	NA	NA
ABCF2	1305.10943110276	0.0185632187176219	0.123179586091396	0.853929841824736	0.941703664569252
ABCF2-H2BE1	3.78703409784188	-0.0112122661394597	0.264173760877873	0.15443280966492	NA
ABCF3	81.5923550546637	0.113344810163964	0.261688541828307	0.322013920845991	0.609808736595415
ABCG1	15.3325352657934	-0.0364492316468539	0.262157219415642	0.465156516779372	0.726608747220165
ABCG2	30.5015156500031	0.149411032541455	0.315261384622819	0.0581080702370486	0.233365159133363
ABCG4	0.260390435573149	-0.00503667826414688	0.264012537920727	0.794070487241712	NA
ABCG5	0	NA	NA	NA	NA
ABCG8	0	NA	NA	NA	NA
ABHD1	2.95605581208327	-0.013023754607448	0.264439870669483	0.239553033465411	NA
ABHD10	481.769491638055	0.0655436383247054	0.178987218616433	0.622258532411608	0.829822990462719
ABHD11	244.879890734296	0.265117456527467	0.27641518901476	0.100159755767462	0.325509278976291
ABHD12	520.24816601668	-0.631784425565129	0.243562885562214	0.00100541175655983	0.0133394723205215
ABHD12B	0	NA	NA	NA	NA
ABHD13	128.907479900827	-0.121155751970709	0.268401948342029	0.253876798313846	0.537852486285151
ABHD14A	119.564833092657	-0.229619814792232	0.340029837404192	0.0872358290103889	0.300246883111523
ABHD14A-ACY1	281.354465910992	0.202206342890673	0.233143974046885	0.178384743278577	0.446380019118884
ABHD14B	96.7816727295072	0.158119418913402	0.2799865708866	0.209437929384275	0.486225525435918
ABHD15	109.276150626881	-0.0654242863269224	0.247473683226036	0.509596109766726	0.758678350996958
ABHD16A	0	NA	NA	NA	NA
ABHD16B	0	NA	NA	NA	NA
ABHD17A	45.8466878953657	-0.0866779492553407	0.265324796156448	0.33685006151024	0.623072863522154
ABHD17B	258.568339819348	-0.152710341311321	0.222450520194014	0.281147569797396	0.569131139138926
ABHD17C	198.280361126844	-0.108507693636169	0.25048453492265	0.344241146437284	0.630246422562665
ABHD18	159.681060179548	0.0666802278587851	0.226698081151291	0.592627048243258	0.812644275734767
ABHD2	554.682081590212	-0.182735918903524	0.177773298885537	0.181400191325513	0.450178083653281
ABHD3	144.415873303932	-0.0798233941323932	0.23134086017985	0.515639616953724	0.762898774275764
ABHD4	102.153475208649	0.015992543618758	0.23059003749834	0.890140938796884	0.958716371858181
ABHD5	278.887857133283	-0.0979957004651971	0.217151764840548	0.461178800528071	0.723851578621852
ABHD6	41.9957436008333	-0.0983379994385143	0.277853897962386	0.172334951554215	0.438301909217183
ABHD8	124.500633122631	-1.09591145840649	0.750042200176597	0.00238726579301755	0.0261205342169246
