baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	23.9988599180277	-0.0480496958966969	0.22536459673193	0.499801776546562	NA
A1CF	0	NA	NA	NA	NA
A2M	0	NA	NA	NA	NA
A2ML1	0	NA	NA	NA	NA
A4GALT	3.0933048724055	0.00418636061927118	0.232186341117269	0.713021165480851	NA
A4GNT	0	NA	NA	NA	NA
AAAS	34.4670199278253	0.0400455372519952	0.212902080447991	0.664729902967049	0.863732254235355
AACS	153.606274364688	0.0869433957377716	0.189677954413422	0.459993229000707	0.741958951064871
AADAC	0	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA
AADAT	59.0439082353196	0.0102641766282571	0.19604403312249	0.92423018862499	0.974396356294605
AAGAB	281.682015931358	-0.147156154832374	0.14740490210296	0.207492586523097	0.513110564049831
AAK1	117.432791265812	-0.193449699055676	0.213681914127632	0.149985925848211	0.438564564164428
AAMDC	48.3662942160477	0.0389149518477133	0.20499610134282	0.700934045182184	0.880368823956587
AAMP	252.313991607455	-0.0294345139831705	0.203824611262624	0.765477221584768	0.909952791412351
AANAT	0.302297877090802	-0.00407187887431347	0.23248631999974	0.731548216741667	NA
AAR2	751.754460472296	0.0373033669587034	0.0968819895267925	0.672636314970463	0.867705194450688
AARD	24.7901207284891	-0.0195793559697702	0.218091188491685	0.79086389383555	NA
AARS1	714.281436758285	1.02080276458252	0.118643584558595	5.48317845847139e-19	8.21970629220696e-17
AARS2	122.127082462253	-0.132608022652969	0.200775723249058	0.283899011689833	0.59592286369644
AARSD1	208.245155655641	0.587886535197414	0.225584024302043	0.000897901211955471	0.0142262592021042
AASDH	187.594633059415	-0.0667504917718943	0.16977207773275	0.569314605445569	0.81009259038966
AASDHPPT	544.358235206469	-0.128817381606201	0.116734309893303	0.201836537067521	0.506321645611916
AASS	398.170722764347	0.0692829014090841	0.131509953874686	0.523455273108323	0.782381924443944
AATF	0.151148938545401	-0.00367355170039057	0.232464899460479	0.808409194734354	NA
AATK	11.7892266580657	-0.131087441633923	0.282930765660235	0.0201397583666447	NA
ABAT	51.5781637842272	0.0246248514531061	0.202798322169703	0.803889038273648	0.926584415781919
