baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	37.1071790830529	0.120830342859617	0.326624909837153	0.329765975153277	0.623871336977705
A1CF	0	NA	NA	NA	NA
A2M	0	NA	NA	NA	NA
A2ML1	0	NA	NA	NA	NA
A4GALT	0	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA
AAAS	71.875252394372	0.542675073793017	0.5546671986775	0.027483379406027	0.165287366286951
AACS	24.7777345333664	0.0819011313799753	0.322418494076853	0.431443339009671	0.707152438931262
AADAC	0	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA
AADAT	19.759307649627	-0.204221679192598	0.425238823861259	0.000808834041102576	0.0151429417526948
AAGAB	319.692106768235	0.0378690936609536	0.182645558100882	0.805737157354108	0.924957053384
AAK1	26.9453703727589	-0.0994377785662174	0.335521684924	0.218479434544613	0.509020502753006
AAMDC	50.9068620815299	-0.153038111247065	0.338349950833583	0.230390407938935	0.522235149117849
AAMP	347.784389135691	0.0659098629028853	0.173165930443265	0.654861038536258	0.853032717271684
AANAT	0	NA	NA	NA	NA
AAR2	573.643423446355	0.0146435689748391	0.150561077731461	0.920988376288939	0.974002242392802
AARD	52.7553723192448	-0.052476023866835	0.2912724323763	0.701122947353277	0.876365440661223
AARS1	427.469572531419	0.874062753673406	0.204372109306842	1.96038505776817e-06	0.0001056134548178
AARS2	127.597225915081	0.344625418821495	0.3066270272079	0.0848101068979963	0.312188927977969
AARSD1	124.757708021588	0.369749676347084	0.444464460908871	0.0521658721360979	0.240305706345253
AASDH	113.351597311146	0.216359971032565	0.303394574073182	0.219131476972591	0.509656404683679
AASDHPPT	389.082572776049	-0.0240072477970165	0.1925472823479	0.874776713235357	0.957132079993398
AASS	108.668442586982	0.149857498217051	0.271030883813203	0.378413400065368	0.667611244735981
AATF	0.6192118238769	-0.0084647808999657	0.328945107130751	0.7423475806626	NA
AATK	11.7297151017119	-0.0300425217913364	0.325401847465785	0.676481403271057	0.863024687209474
ABAT	26.2348874597675	-0.228553662832531	0.445466749944939	0.00227279334083707	0.0330013028041695
ABCA1	0	NA	NA	NA	NA
ABCA10	0	NA	NA	NA	NA
ABCA12	0.37152709432614	-0.00806653050375159	0.328910252999502	0.762885682880702	NA
ABCA13	0	NA	NA	NA	NA
ABCA2	0.12384236477538	-0.0070722754678781	0.328816486737616	0.887230250218113	NA
ABCA3	24.7295320438795	-0.0799674056602192	0.322415047390714	0.428170250762798	0.704793663769888
ABCA4	0	NA	NA	NA	NA
ABCA5	9.78438861354768	-0.03135088790965	0.32627453575396	0.482038595027417	0.744369682657276
ABCA6	0	NA	NA	NA	NA
ABCA7	3.61977875719032	-0.0265491911121954	0.330365572035937	0.144847182762559	NA
ABCA8	0	NA	NA	NA	NA
ABCA9	0	NA	NA	NA	NA
ABCB1	34.8054659602688	-0.0576894255429003	0.322784652724207	0.417638113572301	0.696909800459554
ABCB10	64.7441482717288	0.00224651445795646	0.270949480370425	0.991537108040954	0.997382678683017
ABCB11	0	NA	NA	NA	NA
ABCB4	5.96681013408062	-0.0278093027220578	0.328768846519183	0.269460832552863	0.566177134773456
ABCB5	0	NA	NA	NA	NA
ABCB6	17.1816132214861	-0.00950265966274183	0.322787964915003	0.8323644851578	0.938057688111855
ABCB7	101.212709240613	0.0958192796336254	0.267782852077895	0.554412722777701	0.795467041357506
ABCB8	21.6052482011744	0.103799338779183	0.339041326965733	0.234155071307838	0.526605590588407
ABCB9	22.7040525591526	-0.125785228978392	0.352357831604875	0.0893175113971561	0.320592026431448
ABCC1	0.154014839368569	0.00715912501916509	0.328799330543105	0.774551235894211	NA
ABCC10	19.9956390534207	0.0916998527951963	0.333825534912625	0.263007555799384	0.558611635470525
ABCC11	0	NA	NA	NA	NA
ABCC12	0	NA	NA	NA	NA
ABCC2	0.462044518105706	0.00871411050592085	0.328898910451081	0.655474529744526	NA
ABCC3	1.60514717399993	-0.0227399217982441	0.329827008726812	0.312941193315459	NA
ABCC4	105.20188540323	-0.25763544425124	0.308680883660143	0.16560443108814	0.443362945745554
ABCC5	110.785052195412	-0.00701454021603276	0.26795907451996	0.959509794299952	0.986022677465385
ABCC6	0	NA	NA	NA	NA
ABCC8	0.981147202864929	-0.0146566068675276	0.329249289500621	0.492398259327193	NA
ABCC9	0	NA	NA	NA	NA
ABCD1	0.85856455545787	0.00743844672277355	0.328920959601821	0.654741147523422	NA
ABCD2	0	NA	NA	NA	NA
ABCD3	152.491748551691	0.0641765954223048	0.235291636858762	0.697812696385915	0.874987987234444
ABCD4	43.6616219854984	0.0787493197218074	0.300795499494318	0.56807009010135	0.80349405824788
ABCE1	422.593709575317	-0.109186394466553	0.1673438896744	0.44540377750853	0.71558809237679
ABCF1	0	NA	NA	NA	NA
ABCF2	390.2100762135	0.0853559567835915	0.174852646695519	0.564422571992728	0.801564030030886
ABCF2-H2BE1	0.166784889730906	-0.00707805690057443	0.328816801250947	0.886417409135629	NA
ABCF3	35.6972082653754	0.0238541244209536	0.299655672733926	0.849842546685831	0.94665069765613
ABCG1	6.39879132750978	-0.00553374729579293	0.32727101554367	0.819957480868705	0.932982696929698
ABCG2	3.7216320246721	-0.00348821463342966	0.327956554833528	0.866418370242022	NA
ABCG4	0.24768472955076	-0.00782974295443713	0.32888126546603	0.809000182632083	NA
ABCG5	0	NA	NA	NA	NA
ABCG8	0	NA	NA	NA	NA
ABHD1	0	NA	NA	NA	NA
ABHD10	252.025627906223	-0.0132619501812567	0.195975402829857	0.929703320540431	0.975772263534118
ABHD11	62.2560317597669	0.132565668053042	0.313500089430073	0.354278599311342	0.646073706336675
ABHD12	68.2656319416008	-0.23083413166018	0.404215256121988	0.0583071167672674	0.256084856841839
ABHD12B	0	NA	NA	NA	NA
ABHD13	114.526693440656	-0.127456620325104	0.288691499458391	0.4070379677609	0.689095555112396
ABHD14A	5.63611318133648	-0.02635440059867	0.327913011929139	0.428675418662286	0.705115888132721
ABHD14A-ACY1	34.0987264970107	0.0848176569665006	0.322277428946702	0.405444823790951	0.687798014415454
ABHD14B	12.3345736964451	-0.0683398735145529	0.334118044287962	0.136857696051023	0.402043348758721
ABHD15	59.2664059595037	-0.0593533191480132	0.29091293300823	0.665506312709641	0.857976835988659
ABHD16A	0	NA	NA	NA	NA
ABHD16B	0	NA	NA	NA	NA
ABHD17A	3.21844967107905	-0.0294866258261803	0.329377370925121	0.265512773510605	NA
ABHD17B	226.640063412513	-0.116134641095269	0.200211367445793	0.466040404222008	0.731335601532925
ABHD17C	158.303469406486	-0.233174543951623	0.324798736115666	0.168596822944353	0.447456899568472
ABHD18	57.0358308408582	-0.0751899165835496	0.293880406159959	0.590022860068775	0.817780822045309
ABHD2	167.933227185894	-0.113639732858874	0.337479966738439	0.227373231947784	0.51893251977407
ABHD3	41.3721004801323	-0.197891947753374	0.390792603306133	0.0578162874607972	0.255095284399361
ABHD4	27.2230837071743	-0.0732930262868314	0.315784853458555	0.513338864096945	0.76548993421005
ABHD5	173.372513170402	-0.163545118231442	0.271141812528142	0.327483590292687	0.620979985605986
ABHD6	25.2720137552847	-0.132406367279844	0.351501494843983	0.138103211004219	0.402945952454386
ABHD8	36.7905731952421	-0.176307196380022	0.387537133838555	0.0113231145558411	0.0957771003039563
ABI1	141.947137651303	-0.082129896332406	0.269269518718581	0.603224430692986	0.825544016706502
ABI2	217.682905471017	-0.044575274608846	0.201693793239232	0.776789876866552	0.910576077400292
ABI3	0	NA	NA	NA	NA
ABI3BP	7.70363327678017	0.0372568834317442	0.327715687087228	0.412211568409839	0.692881042076698
ABITRAM	73.4145609047179	-0.225718460118604	0.338708399300497	0.18463580343972	0.468044454234066
ABL1	156.480694772062	0.0947807690547577	0.223236073403793	0.569968560727242	0.804671176054783
ABL2	207.712110922568	-0.147145787726584	0.235740599747652	0.380518348847894	0.668555083658929
ABLIM1	121.9577064731	-0.216458505639252	0.326095458142202	0.189782432681395	0.475342530172454
ABLIM2	1.65335465725179	-0.0207746240957001	0.329033828510092	0.557611022845277	NA
ABLIM3	0.833924448654529	-0.00851338016022362	0.328946451077625	0.746519750069191	NA
ABO	0	NA	NA	NA	NA
ABR	0	NA	NA	NA	NA
ABRA	0	NA	NA	NA	NA
ABRACL	259.502211571091	0.429209250548684	0.226675281997171	0.0179103728445012	0.126370066416312
ABRAXAS1	36.6635102264293	0.14143681616366	0.343921515195139	0.207010712910426	0.496316041395805
ABRAXAS2	190.412968193089	0.0954029960969768	0.209276236417676	0.559331758085097	0.798535947528933
ABT1	494.413709283088	0.29016208295805	0.167189792480831	0.0452865905405961	0.220597690250546
ABTB1	0.166784889730906	-0.00707805690057443	0.328816801250947	0.886417409135629	NA
ABTB2	77.3935231645876	0.0670103401119991	0.269849957434774	0.675750695619044	0.862665238599486
ACAA1	34.5528506073747	-0.137467299697656	0.333752265354077	0.283263636184029	0.57975261167507
ACAA2	160.338274432593	0.798792995891434	0.315187165083799	0.00117540841094374	0.0201956536062152
ACACA	3.19397804835701	-0.0388839867227472	0.330724659255402	0.242040692366335	NA
ACACB	5.30029855792426	0.000952655814923071	0.328338972911091	0.945586292328659	0.979735628939506
ACAD10	7.68999512762672	-0.0285077493554158	0.328037469937402	0.315733354767745	0.6099729234887
ACAD11	66.6208366046822	1.01984980615077	0.562544327926747	0.0035674578712071	0.0455473109602953
ACAD8	45.8762154805057	0.0750712958674358	0.305977733210709	0.551892429360736	0.793659450929266
ACAD9	49.153447139736	0.0418262996370984	0.316830581437965	0.597098732259358	0.822326066128444
ACADL	2.9262819480028	0.0118150595795181	0.32905697669708	0.560782963770821	NA
ACADM	377.338033638572	0.0970223968467895	0.168209897257115	0.501980175513451	0.756568287359352
ACADS	9.64815422174795	0.0296145028108296	0.328614682787303	0.314119199947977	0.608243240880118
ACADSB	46.2843924738892	-0.0105554084422545	0.303119792431871	0.920229900268019	0.973824054355862
ACADVL	9.39621579194602	0.00186568867231713	0.324391953272855	0.976113567074765	0.992317026287729
ACAN	0	NA	NA	NA	NA
ACAP1	0	NA	NA	NA	NA
