baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	31.5763710324529	1.13432883933942	0.913801874958496	1.24132907846238	0.214484206843391	0.75602923681504
A1CF	0	NA	NA	NA	NA	NA
A2M	0	NA	NA	NA	NA	NA
A2ML1	0	NA	NA	NA	NA	NA
A4GALT	1.3005462190273	1.3603912677701	5.80814863624091	0.234221152551384	0.814813294332183	0.985581992147205
A4GNT	0	NA	NA	NA	NA	NA
AAAS	56.0882146330754	0.849978789225852	0.667804911153967	1.27279505590501	0.203090776066575	0.744413620798327
AACS	78.7831287312955	0.465473072686984	0.605739915901009	0.76843717983256	0.442227498852623	0.929612380203447
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADAT	36.3087982000011	-2.90109924356703	1.06047747027362	-2.73565382093266	0.00622564818354594	0.158787143830334
AAGAB	303.815439427729	0.259317799496883	0.248321759924909	1.04428141768687	0.296355207597782	0.833192563516635
AAK1	64.9659671388809	-0.439576349847632	0.744711744667148	-0.590263753721385	0.555013835809098	0.966037509471943
AAMDC	49.9281648780713	-0.634618971110958	0.826427145537295	-0.767906735079915	0.442542595804443	0.92971503486925
AAMP	307.862381074204	0.181435853454009	0.30841919990605	0.588276778842815	0.556346529382306	0.966201234475972
AANAT	0.126999404407603	1.82092407514378	6.21680464291576	0.292903538028781	0.769595884446492	0.978805695656258
AAR2	648.652363481163	-0.0258005691292808	0.180239118908547	-0.143146334078408	0.886174612407674	0.989491717727579
AARD	41.0974748121877	0.115958610206348	0.814845314726145	0.142307512985235	0.886837112420249	0.989693705365809
AARS1	547.154898088427	-0.081761785476507	0.256037369971007	-0.319335359075769	0.749472222497945	0.978805695656258
AARS2	125.251236046162	0.805115023936862	0.427038799686588	1.88534396529718	0.0593834139947508	0.481108717801226
AARSD1	159.570574565848	0.117441270806157	0.537204381478671	0.218615623504217	0.826949481382137	0.985581992147205
AASDH	144.448024532877	0.607821172997598	0.436957552086958	1.39103025018008	0.164216253890978	0.694865942921142
AASDHPPT	454.431390640395	0.134802590008272	0.264889085817298	0.50890201682847	0.610820906229427	0.978805695656258
AASS	230.077168364046	0.205396480644909	0.326147889078111	0.629764862883161	0.528848437835392	0.96074482048802
AATF	0.425438511742861	-0.907350368776333	6.18716627955171	-0.146650393375572	0.88340797548779	0.989158167099313
AATK	11.7627687932032	1.09093652570201	1.98582500985061	0.549361862344596	0.582757141140536	0.975979859994519
ABAT	36.9327365901656	-2.31322507344699	1.11567704007329	-2.07338234126878	0.0381367110293098	0.396958457421579
ABCA1	0.622782158583912	4.03942866174906	6.14711854211636	0.65712555143899	0.511100190644879	0.953579545544555
ABCA10	0.455120444688673	-1.41141024654232	6.16716356652983	-0.228858896203478	0.818978588780525	0.985581992147205
ABCA12	0.874299731152103	-4.07020666805789	6.13414851801504	-0.663532461938983	0.506989596175918	0.952089531223761
ABCA13	0.389199440202994	-2.83748171705108	6.15376691595015	-0.461096716175018	0.644729217618028	0.978805695656258
ABCA2	2.24772043108289	2.07888124768188	3.68510412844158	0.564130937749386	0.572665024443706	0.973912973037691
ABCA3	38.2859164494036	-0.689816661476961	0.807638624325342	-0.854115492622951	0.393041000590133	0.905927702850354
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	26.8249673652151	-0.642044426643606	1.15417320284094	-0.556280829483172	0.578018890316724	0.9743147102421
ABCA6	0	NA	NA	NA	NA	NA
ABCA7	3.96554062518811	-9.32750061887555	3.03210336751116	-3.07624757085107	0.00209623714280222	0.0854231481564021
ABCA8	0	NA	NA	NA	NA	NA
ABCA9	0	NA	NA	NA	NA	NA
ABCB1	34.8793296857245	0.357123516270516	1.06187638691082	0.336313643162787	0.736634362772189	0.978805695656258
ABCB10	102.657165333725	0.316465786772431	0.500747577694345	0.631986655291623	0.527395597237364	0.959917502614166
ABCB11	0	NA	NA	NA	NA	NA
ABCB4	6.6544203655232	-3.77341738955672	2.16111983587629	-1.7460472699917	0.0808027382910438	0.543517349278409
ABCB5	0.390900905830148	-0.999109641055331	6.15020612357254	-0.162451407478188	0.870950391113121	0.98647014691426
ABCB6	18.4280779533604	-0.287064549756775	1.33156038005947	-0.215585079021317	0.829311187530738	0.985581992147205
ABCB7	161.175330112991	-0.182406789966982	0.384074264386772	-0.474925833050075	0.634839837801401	0.978805695656258
ABCB8	25.9412490309223	1.51915752098681	1.29648789385541	1.17174832729771	0.241298114046325	0.780191811768124
ABCB9	38.4185958089839	-1.44388779177317	0.88589547475711	-1.62986247578367	0.103130565934675	0.59071539796191
ABCC1	1.47196720184791	1.07194359806419	5.03333040172396	0.21296905080919	0.831351102781018	0.985581992147205
ABCC10	22.1375950898507	1.09524642996818	1.09680826574817	0.998576017496618	0.31800012266921	0.853715385183761
ABCC11	0.543585124795487	-4.63236484792076	6.11760982960812	-0.757218092840925	0.44891921239862	0.931301212815779
ABCC12	0.3485266585068	-1.78811748662923	6.19517930193613	-0.288630465638081	0.772864179060643	0.978805695656258
ABCC2	6.0458022663176	4.56644655155188	2.74214069389461	1.66528528668098	0.0958558525303582	0.576457541241306
ABCC3	1.4043189201327	-7.23687450866368	4.22732417895176	-1.711927972001	0.0869099430709752	0.55855182714106
ABCC4	247.916652772874	-0.405222724525036	0.302093024580516	-1.34138391671812	0.179795836679122	0.716642590919691
ABCC5	178.560961430387	0.122699689706742	0.487726289611807	0.25157489419814	0.801369666120924	0.984044890338625
ABCC6	0	NA	NA	NA	NA	NA
ABCC8	6.1938551154301	-1.75212592718882	2.51925850135367	-0.695492711941768	0.486746576964717	0.944430180991424
ABCC9	0.305379877257627	3.0275506108414	6.17098041217521	0.490610957841984	0.623701634683528	0.978805695656258
ABCD1	2.89300861175627	1.03626726430771	3.37177615348514	0.307335723706511	0.758587847000034	0.978805695656258
ABCD2	0.609138278148234	4.20322505242442	6.14335286009162	0.684190725837899	0.493854737754269	0.94582617528893
ABCD3	206.815144853058	0.00127127016029293	0.384868078065629	0.0033031322490616	0.997364486568726	0.999676690947113
ABCD4	77.4527870905174	0.0319459002366081	0.606151395718995	0.0527028403501655	0.957968675900825	0.994667255606259
ABCE1	503.155051168861	-0.259115031962686	0.202467908666338	-1.27978321932342	0.200621387136695	0.742141823434864
ABCF1	0	NA	NA	NA	NA	NA
