RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
A1BG	33	35	13	28	12	23
A1CF	0	0	0	0	0	0
A2M	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0
A4GALT	0	0	15	2	1	0
A4GNT	0	0	0	0	0	0
AAAS	38	31	24	30	52	35
AACS	206	101	118	141	236	143
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	55	59	55	62	58	67
AAGAB	334	266	284	285	270	266
AAK1	136	116	134	113	104	105
AAMDC	47	32	53	37	50	74
AAMP	237	216	306	328	270	172
AANAT	2	0	0	0	0	0
AAR2	822	628	717	830	847	727
AARD	39	12	29	17	26	29
AARS1	518	337	523	1030	988	998
AARS2	129	128	131	148	114	87
AARSD1	203	99	173	264	270	272
AASDH	216	143	217	205	218	143
AASDHPPT	590	503	582	574	484	556
AASS	454	336	337	414	406	473
AATF	1	0	0	0	0	0
AATK	25	18	11	10	7	0
ABAT	70	41	37	58	44	65
ABCA1	4	0	5	0	0	0
ABCA10	1	0	0	0	6	0
ABCA12	0	0	0	0	9	1
ABCA13	0	0	0	3	3	0
ABCA2	13	10	2	0	5	1
ABCA3	89	36	51	49	84	42
ABCA4	0	0	0	0	0	0
ABCA5	41	25	65	71	41	64
ABCA6	0	0	0	0	0	0
ABCA7	1	0	0	13	8	6
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCB1	51	35	40	26	30	29
ABCB10	133	168	181	157	133	156
ABCB11	0	0	0	0	0	0
ABCB4	5	0	3	17	13	10
ABCB5	2	0	0	2	1	1
ABCB6	24	12	14	25	12	36
ABCB7	220	174	214	284	330	269
ABCB8	32	44	26	23	44	23
ABCB9	72	61	45	67	56	63
ABCC1	0	9	0	0	9	1
ABCC10	18	24	24	42	14	30
ABCC11	0	0	3	5	0	0
ABCC12	0	0	0	0	0	5
ABCC2	23	22	15	5	0	16
ABCC3	0	0	0	4	1	2
ABCC4	468	448	428	463	502	383
ABCC5	311	244	249	301	245	300
ABCC6	0	0	0	0	0	0
ABCC8	22	9	13	11	28	0
ABCC9	1	3	0	0	0	0
ABCD1	4	11	0	10	4	5
ABCD2	6	1	2	0	0	0
ABCD3	269	193	337	342	325	250
ABCD4	102	99	117	192	122	124
ABCE1	594	500	622	697	652	660
ABCF1	0	0	0	0	0	0
ABCF2	482	328	444	430	416	448
ABCF2-H2BE1	1	18	0	0	0	0
ABCF3	30	35	4	19	72	37
ABCG1	5	16	6	4	1	7
ABCG2	5	2	6	3	21	17
ABCG4	2	0	8	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	1	0	0	0	0	0
ABHD1	0	0	5	1	8	0
ABHD10	373	302	319	434	480	411
ABHD11	69	35	32	58	33	69
ABHD12	121	88	120	117	115	127
ABHD12B	0	0	0	0	0	0
ABHD13	194	186	127	262	255	175
ABHD14A	2	11	2	9	6	3
ABHD14A-ACY1	36	9	33	29	32	29
ABHD14B	10	6	12	4	15	8
ABHD15	62	66	102	56	32	63
ABHD16A	2	2	0	4	0	4
ABHD16B	0	0	0	0	0	0
ABHD17A	14	1	4	8	35	3
ABHD17B	269	251	244	212	251	304
ABHD17C	223	138	143	139	200	174
ABHD18	236	161	198	166	252	155
ABHD2	292	195	207	181	183	215
ABHD3	179	180	192	132	172	196
ABHD4	54	26	34	50	57	111
ABHD5	295	330	289	349	380	305
ABHD6	43	60	38	68	28	29
ABHD8	29	10	23	18	31	30
ABI1	267	216	265	244	169	220
ABI2	607	476	523	505	508	496
ABI3	0	0	0	0	0	0
ABI3BP	11	6	5	8	0	15
ABITRAM	96	81	110	139	135	101
ABL1	278	156	170	187	235	216
ABL2	555	423	503	512	370	511
ABLIM1	317	266	292	353	338	248
ABLIM2	1	0	5	3	0	7
