gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
A1BG	107	33	108	75	74	75
A1CF	0	0	0	0	0	0
A2M	0	4	0	0	0	0
A2ML1	0	0	0	0	7	0
A4GALT	16	3	13	6	0	1
A4GNT	0	0	0	0	0	0
AAAS	552	225	571	473	289	365
AACS	288	305	349	162	330	327
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	151	66	65	118	135	77
AAGAB	1621	1157	1970	1217	1765	1538
AAK1	156	114	151	153	201	152
AAMDC	490	472	537	189	388	303
AAMP	3313	2172	3329	2297	3063	2644
AANAT	0	6	5	9	7	1
AAR2	1273	805	1094	1029	1131	1057
AARD	115	144	123	77	120	132
AARS1	1650	757	1407	1503	1444	1513
AARS2	525	403	480	336	550	506
AARSD1	695	678	734	651	868	850
AASDH	214	94	128	205	218	167
AASDHPPT	1527	1277	1413	1101	2090	1496
AASS	1219	1153	1164	1053	1440	1132
AATF	0	0	1	0	0	10
AATK	31	17	75	7	43	25
ABAT	224	128	210	108	184	122
ABCA1	0	4	10	0	0	0
ABCA10	0	0	0	0	10	0
ABCA12	1	0	0	0	0	0
ABCA13	0	0	0	0	0	6
ABCA2	29	2	29	14	3	9
ABCA3	303	218	307	102	76	86
ABCA4	0	0	0	0	0	0
ABCA5	46	43	73	39	103	64
ABCA6	0	0	0	0	0	0
ABCA7	28	16	16	24	12	16
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCB1	167	98	232	131	240	168
ABCB10	408	316	619	248	487	355
ABCB11	0	0	0	0	0	0
ABCB4	5	12	11	14	19	41
ABCB5	0	5	2	0	0	0
ABCB6	236	131	199	86	120	79
ABCB7	1070	962	1007	953	1436	1194
ABCB8	185	117	113	87	157	56
ABCB9	176	151	176	96	234	137
ABCC1	2	0	0	0	0	2
ABCC10	111	56	125	58	21	55
ABCC11	6	2	0	0	5	0
ABCC12	2	0	0	0	0	0
ABCC2	12	43	16	5	4	2
ABCC3	0	0	0	0	0	0
ABCC4	914	808	982	604	944	761
ABCC5	360	398	382	230	421	332
ABCC6	0	0	0	0	0	0
ABCC8	11	4	6	17	10	5
ABCC9	3	0	0	4	0	0
ABCD1	0	13	9	17	6	17
ABCD2	0	3	0	4	0	5
ABCD3	805	738	806	468	872	669
ABCD4	260	166	339	154	306	201
ABCE1	1671	1549	1815	1151	2244	1494
ABCF1	0	0	0	0	0	0
ABCF2	1584	1137	1552	1341	1413	1276
ABCF2-H2BE1	1	13	26	0	1	0
ABCF3	89	17	49	102	46	69
ABCG1	15	14	15	6	17	11
ABCG2	41	81	46	34	56	36
ABCG4	2	0	0	0	3	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	1	0	0	0	2	0
ABHD10	634	333	720	614	622	570
ABHD11	242	162	283	282	341	275
ABHD12	760	340	826	443	380	416
ABHD12B	0	0	0	0	0	0
ABHD13	180	185	187	189	334	221
ABHD14A	177	73	130	101	34	53
ABHD14A-ACY1	327	115	257	213	89	107
ABHD14B	214	59	82	60	66	53
ABHD15	172	133	203	110	157	96
ABHD16A	0	17	2	0	1	0
ABHD16B	0	0	0	0	0	0
ABHD17A	78	28	63	35	107	15
ABHD17B	317	194	295	223	380	332
ABHD17C	367	333	379	184	285	276
ABHD18	225	292	343	277	410	270
ABHD2	928	700	826	473	894	617
ABHD3	259	191	245	174	395	166
ABHD4	73	65	84	90	71	53
ABHD5	420	315	390	298	450	415
ABHD6	83	74	124	105	142	87
ABHD8	165	71	212	90	71	110
ABI1	460	407	426	480	732	528
ABI2	1238	1066	1188	819	1205	935
ABI3	1	0	0	0	0	0
ABI3BP	130	110	105	116	169	112
ABITRAM	270	187	237	226	441	283
ABL1	293	95	294	230	240	199
ABL2	741	406	563	588	760	684
ABLIM1	949	601	824	598	745	595
ABLIM2	15	21	32	0	11	26
ABLIM3	0	11	5	0	0	3
ABO	0	0	0	0	0	0
ABR	1	0	0	0	0	0
ABRA	0	0	0	0	0	0
ABRACL	2108	1984	1914	991	1648	1203
ABRAXAS1	104	105	88	75	151	65
ABRAXAS2	403	262	356	176	502	352
ABT1	1078	916	1124	741	1206	773
ABTB1	20	9	7	0	5	3
ABTB2	77	83	76	106	154	171
ACAA1	374	341	476	234	385	509
ACAA2	723	879	904	789	1060	646
ACACA	21	30	21	18	37	40
ACACB	32	18	32	12	36	49
ACAD10	116	84	73	74	120	105
ACAD11	235	309	247	218	375	289
ACAD8	197	154	208	176	165	191
ACAD9	479	423	387	333	687	534
ACADL	13	18	27	10	29	25
ACADM	1833	1599	1802	1452	2284	1502
ACADS	130	128	147	93	129	131
ACADSB	305	225	347	244	358	242
ACADVL	432	214	487	267	256	302
ACAN	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0
ACAP2	166	148	233	114	292	276
ACAP3	88	66	110	150	82	79
ACAT1	1672	1197	1815	1079	1923	1411
ACAT2	3634	3269	3565	2668	4175	3406
ACBD3	935	647	902	861	1391	1153
ACBD4	40	19	27	38	43	36
ACBD5	588	452	694	488	674	690
ACBD6	1001	834	862	553	859	764
ACBD7	468	543	647	426	699	503
ACCS	5	15	17	6	8	6
ACCSL	0	0	0	0	1	0
ACD	409	256	532	437	342	360
ACE	22	24	49	15	10	18
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	7	2	3	0	4	10
ACER3	392	303	390	316	486	312
ACHE	1	1	8	14	14	14
ACIN1	1392	891	1538	1353	1775	1373
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	4	0
ACKR3	0	0	5	0	0	0
ACKR4	0	0	3	0	0	0
ACLY	4989	4008	5143	4257	5238	4557
ACMSD	0	0	0	0	0	0
ACO1	153	132	129	144	194	151
ACO2	1181	869	1181	1039	941	904
ACOD1	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0
ACOT11	18	15	15	13	28	14
ACOT12	0	0	6	0	0	0
ACOT13	1098	1134	1211	930	1191	791
ACOT2	921	679	832	552	937	742
ACOT4	0	0	0	0	3	0
ACOT6	0	0	0	0	0	0
ACOT7	1889	1472	2094	1593	1623	1507
ACOT8	672	313	667	429	423	327
ACOT9	440	469	599	461	771	667
ACOX1	794	502	712	491	731	628
ACOX2	12	5	6	0	6	7
ACOX3	30	32	19	22	44	56
ACOXL	63	27	69	78	81	37
ACP1	2192	1537	2249	1186	1804	1479
ACP2	407	261	331	242	317	375
ACP3	0	12	8	6	3	2
ACP4	0	0	0	0	0	0
ACP5	0	0	0	0	7	0
ACP6	581	521	655	363	650	493
ACP7	0	0	0	0	0	6
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0
ACSBG1	6	1	2	9	0	4
ACSBG2	0	0	1	0	0	0
ACSF2	28	13	51	40	28	42
ACSF3	198	75	181	126	100	87
ACSL1	195	172	239	165	278	215
ACSL3	1660	1489	1692	1595	2508	1777
ACSL4	303	230	236	276	446	307
ACSL5	0	0	0	0	0	4
ACSL6	39	29	23	0	20	27
ACSM1	0	7	0	0	0	0
ACSM2A	1	0	0	0	2	0
ACSM2B	0	0	0	0	2	0
ACSM3	3	17	24	6	3	35
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSM6	3	0	0	0	0	0
ACSS1	492	418	461	341	420	434
ACSS2	62	68	114	104	77	63
ACSS3	19	23	78	30	94	68
ACTA1	11	0	0	0	0	9
ACTA2	214	166	262	194	138	109
ACTB	4307	2028	4507	3650	3300	2816
ACTBL2	18	1	0	0	2	11
ACTC1	0	0	0	0	0	0
ACTG1	62222	53876	68874	44477	58633	51750
ACTG2	3	0	0	0	0	0
ACTL10	4	0	0	0	0	0
ACTL6A	848	496	723	731	929	619
ACTL6B	0	0	0	0	0	1
ACTL7A	0	0	0	0	0	0
