gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
A1BG	21	4	19	16	23	22
A1CF	0	0	0	0	0	0
A2M	0	4	0	0	0	0
A2ML1	0	0	0	0	0	0
A4GALT	7	0	7	6	0	1
A4GNT	0	0	0	0	0	0
AAAS	76	17	17	23	33	41
AACS	48	85	55	73	78	74
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	68	14	24	29	47	38
AAGAB	432	321	531	190	416	437
AAK1	59	56	69	45	77	51
AAMDC	67	65	77	73	78	46
AAMP	511	261	426	247	382	304
AANAT	0	0	0	0	6	0
AAR2	774	540	749	644	638	692
AARD	49	61	36	36	81	61
AARS1	485	273	397	552	595	677
AARS2	151	128	116	86	129	160
AARSD1	157	144	190	223	235	205
AASDH	141	57	89	156	131	120
AASDHPPT	608	542	502	427	676	481
AASS	190	209	236	151	185	228
AATF	0	0	1	0	0	10
AATK	0	7	22	0	27	10
ABAT	47	44	53	1	45	36
ABCA1	0	4	4	0	0	0
ABCA10	0	0	0	0	0	0
ABCA12	1	0	0	0	0	0
ABCA13	0	0	0	0	0	0
ABCA2	16	0	10	9	3	4
ABCA3	67	49	60	44	45	20
ABCA4	0	0	0	0	0	0
ABCA5	36	8	29	1	32	25
ABCA6	0	0	0	0	0	0
ABCA7	14	0	10	18	1	0
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCB1	40	19	62	19	36	22
ABCB10	112	70	171	71	90	53
ABCB11	0	0	0	0	0	0
ABCB4	2	4	2	0	7	17
ABCB5	0	5	2	0	0	0
ABCB6	16	10	9	12	35	24
ABCB7	131	90	123	81	146	157
ABCB8	32	4	23	31	21	20
ABCB9	58	56	39	17	80	52
ABCC1	2	0	0	0	0	2
ABCC10	11	22	33	1	9	18
ABCC11	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0
ABCC2	9	24	4	0	4	2
ABCC3	0	0	0	0	0	0
ABCC4	278	243	200	84	178	181
ABCC5	140	178	196	83	152	134
ABCC6	0	0	0	0	0	0
ABCC8	0	0	6	0	9	4
ABCC9	0	0	0	0	0	0
ABCD1	0	2	1	9	0	12
ABCD2	0	2	0	0	0	0
ABCD3	234	183	199	112	246	181
ABCD4	67	65	133	27	106	80
ABCE1	459	410	501	406	689	509
ABCF1	0	0	0	0	0	0
ABCF2	689	440	565	412	536	445
ABCF2-H2BE1	1	0	13	0	1	0
ABCF3	24	14	30	43	26	24
ABCG1	14	10	10	6	1	3
ABCG2	5	8	25	14	13	0
ABCG4	0	0	0	0	3	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0
ABHD10	365	146	386	344	287	234
ABHD11	48	11	62	65	81	98
ABHD12	115	43	112	123	67	98
ABHD12B	0	0	0	0	0	0
ABHD13	165	154	184	123	229	168
ABHD14A	23	6	23	0	0	5
ABHD14A-ACY1	24	11	18	6	12	22
ABHD14B	31	2	15	21	19	7
ABHD15	93	66	112	54	98	59
ABHD16A	0	17	2	0	1	0
ABHD16B	0	0	0	0	0	0
ABHD17A	6	14	12	2	8	4
ABHD17B	280	182	265	176	288	258
ABHD17C	300	259	289	118	181	229
ABHD18	87	108	148	73	162	104
ABHD2	332	242	253	161	291	176
ABHD3	103	117	88	82	147	68
ABHD4	23	17	29	25	45	25
ABHD5	258	204	273	166	243	283
ABHD6	60	49	67	33	56	24
ABHD8	32	31	97	39	12	15
ABI1	196	188	185	121	209	125
ABI2	305	259	308	264	341	285
ABI3	0	0	0	0	0	0
ABI3BP	16	7	3	7	25	8
ABITRAM	145	106	101	101	203	121
ABL1	231	79	249	159	150	148
ABL2	400	276	349	207	372	402
ABLIM1	262	175	225	113	208	153
ABLIM2	12	15	13	0	11	13
ABLIM3	0	11	0	0	0	0
ABO	0	0	0	0	0	0
ABR	0	0	0	0	0	0
ABRA	0	0	0	0	0	0
ABRACL	322	346	334	205	362	310
ABRAXAS1	52	54	14	31	41	11
ABRAXAS2	301	235	255	126	334	241
ABT1	674	686	716	411	708	434
ABTB1	9	7	0	0	0	0
ABTB2	67	71	71	83	138	129
ACAA1	81	54	57	64	81	93
ACAA2	142	134	161	153	163	80
ACACA	7	6	9	7	17	22
ACACB	5	5	13	0	10	15
ACAD10	22	17	20	1	51	24
ACAD11	44	107	49	29	95	101
ACAD8	55	59	50	77	63	59
ACAD9	71	131	94	77	139	191
ACADL	0	6	11	6	5	8
ACADM	617	592	584	427	708	545
ACADS	11	28	12	0	11	18
ACADSB	63	67	88	43	70	59
ACADVL	12	14	21	5	13	21
ACAN	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0
ACAP2	106	71	175	43	139	130
ACAP3	8	13	34	18	15	20
ACAT1	142	134	237	158	234	182
ACAT2	501	441	428	517	760	718
ACBD3	725	469	694	479	912	694
ACBD4	18	12	3	0	18	3
ACBD5	341	260	414	188	343	324
ACBD6	288	219	216	135	220	185
ACBD7	156	116	108	153	164	108
ACCS	0	0	0	0	0	0
ACCSL	0	0	0	0	1	0
ACD	64	55	86	115	69	76
ACE	17	8	11	0	2	13
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	7	2	3	0	4	0
ACER3	88	79	137	58	117	85
ACHE	1	0	8	1	0	0
ACIN1	548	277	487	335	502	446
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0
ACKR4	0	0	3	0	0	0
ACLY	594	515	706	414	605	611
ACMSD	0	0	0	0	0	0
ACO1	50	32	17	6	31	31
ACO2	252	206	253	162	226	251
ACOD1	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0
ACOT11	6	0	4	0	3	3
ACOT12	0	0	6	0	0	0
ACOT13	166	137	137	87	108	95
ACOT2	358	294	323	273	422	346
ACOT4	0	0	0	0	3	0
ACOT6	0	0	0	0	0	0
ACOT7	255	166	208	163	141	186
ACOT8	51	25	86	92	53	57
ACOT9	124	118	154	127	176	136
ACOX1	236	137	245	119	184	211
ACOX2	0	0	0	0	0	0
ACOX3	4	13	7	4	13	43
ACOXL	25	9	10	42	16	13
ACP1	525	480	537	250	500	406
ACP2	150	87	103	110	115	69
ACP3	0	0	0	1	3	0
ACP4	0	0	0	0	0	0
ACP5	0	0	0	0	0	0
ACP6	126	102	156	58	98	61
ACP7	0	0	0	0	0	6
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0
ACSBG1	0	0	2	9	0	0
ACSBG2	0	0	0	0	0	0
