gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
A1BG	142	160	85	116	82	127
A1CF	0	0	0	0	0	0
A2M	0	1	0	0	0	0
A2ML1	0	0	0	0	0	0
A4GALT	0	0	4	0	19	0
A4GNT	0	0	0	0	0	0
AAAS	499	778	643	791	780	734
AACS	177	240	189	165	187	163
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	134	119	106	67	73	22
AAGAB	1001	1549	1082	1351	1077	1069
AAK1	101	78	105	41	130	91
AAMDC	480	588	551	259	428	363
AAMP	2611	3883	2794	3214	3066	2231
AANAT	0	0	0	11	0	0
AAR2	945	1164	918	972	947	634
AARD	134	109	94	104	123	109
AARS1	1165	1576	1054	1690	1433	1082
AARS2	306	378	454	448	513	376
AARSD1	567	552	446	783	659	727
AASDH	188	140	144	123	144	205
AASDHPPT	1123	1333	1156	1088	1180	941
AASS	1009	1102	678	755	702	626
AATF	0	5	0	0	0	20
AATK	36	4	52	29	16	39
ABAT	174	240	66	70	66	3
ABCA1	0	0	0	0	0	0
ABCA10	3	0	0	0	0	0
ABCA12	0	3	4	0	3	0
ABCA13	0	0	0	0	0	0
ABCA2	4	15	29	16	0	0
ABCA3	190	222	199	51	39	47
ABCA4	0	4	0	0	0	0
ABCA5	48	40	29	63	55	19
ABCA6	0	0	0	0	0	0
ABCA7	16	24	17	9	0	0
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	1	0	0
ABCB1	139	220	205	118	135	69
ABCB10	291	403	278	316	128	158
ABCB11	0	0	0	0	0	0
ABCB4	17	15	4	34	0	0
ABCB5	0	0	9	0	0	0
ABCB6	261	213	215	151	147	74
ABCB7	1004	1075	758	945	660	882
ABCB8	36	102	129	49	54	157
ABCB9	127	227	134	41	97	30
ABCC1	0	0	0	1	0	0
ABCC10	111	144	58	42	26	117
ABCC11	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0
ABCC2	0	10	0	3	0	0
ABCC3	7	3	1	0	0	0
ABCC4	809	932	625	367	528	387
ABCC5	309	303	200	400	278	258
ABCC6	0	0	0	0	0	0
ABCC8	4	4	0	0	0	16
ABCC9	0	0	0	0	0	1
ABCD1	16	22	4	15	5	0
ABCD2	3	5	0	0	0	0
ABCD3	457	832	495	469	643	389
ABCD4	115	166	153	210	156	113
ABCE1	1668	1908	1457	1276	1346	982
ABCF1	0	0	0	0	0	0
ABCF2	1369	1705	1201	1629	1218	944
ABCF2-H2BE1	13	0	9	0	1	0
ABCF3	47	77	93	64	86	112
ABCG1	24	16	19	27	8	3
ABCG2	20	13	16	44	52	34
ABCG4	0	2	0	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	11	0	7	0	0	0
ABHD10	523	604	393	695	377	381
ABHD11	178	303	194	353	272	203
ABHD12	720	747	662	515	394	228
ABHD12B	0	0	0	0	0	0
ABHD13	172	166	138	46	186	82
ABHD14A	164	194	131	145	40	78
ABHD14A-ACY1	231	300	268	274	322	295
ABHD14B	84	67	96	155	76	101
ABHD15	123	118	142	110	148	37
ABHD16A	0	0	0	0	0	0
ABHD16B	0	0	0	0	0	0
ABHD17A	77	64	44	38	43	21
ABHD17B	295	397	260	221	265	170
ABHD17C	158	336	229	219	268	51
ABHD18	170	156	150	252	164	93
ABHD2	684	793	530	614	484	350
ABHD3	219	148	144	185	122	76
ABHD4	73	121	126	73	84	131
ABHD5	249	503	272	333	215	185
ABHD6	75	54	42	50	5	34
ABHD8	215	192	168	150	63	12
ABI1	314	479	296	369	293	352
ABI2	831	1017	775	824	808	290
ABI3	1	0	0	0	0	0
ABI3BP	108	89	91	50	80	56
ABITRAM	225	252	156	216	121	106
ABL1	229	251	124	320	218	147
ABL2	402	488	333	313	231	302
ABLIM1	526	680	436	406	349	371
ABLIM2	1	8	1	0	13	0
ABLIM3	2	0	22	0	0	0
ABO	0	0	0	0	0	0
ABR	0	0	0	0	0	0
ABRA	0	0	0	0	0	0
ABRACL	1367	1912	1323	1211	1144	992
ABRAXAS1	102	27	64	61	138	94
ABRAXAS2	223	287	211	289	268	202
ABT1	778	892	637	796	772	819
ABTB1	0	0	8	2	1	1
ABTB2	98	94	54	141	51	59
ACAA1	287	353	301	262	335	212
ACAA2	689	677	698	857	694	831
ACACA	12	24	14	1	36	22
ACACB	2	31	6	23	0	21
ACAD10	36	37	43	89	48	58
ACAD11	225	212	171	400	303	328
ACAD8	145	163	136	260	101	16
ACAD9	301	380	232	412	373	388
ACADL	19	37	38	45	8	1
ACADM	1398	1766	1322	1557	1183	1256
ACADS	76	119	79	89	133	98
ACADSB	288	327	199	216	149	178
ACADVL	475	670	391	606	436	284
ACAN	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0
ACAP2	155	171	144	212	190	176
ACAP3	77	90	79	119	93	51
ACAT1	1013	1391	1197	1274	1170	1034
ACAT2	3016	3521	2842	3273	3003	2586
ACBD3	505	880	617	760	858	665
ACBD4	58	30	18	12	20	44
ACBD5	542	675	553	603	555	431
ACBD6	813	983	914	720	687	565
ACBD7	247	318	297	301	164	171
ACCS	0	12	22	8	23	0
ACCSL	0	0	0	0	0	0
ACD	316	392	383	538	404	442
ACE	9	24	10	13	28	0
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	2	0	1	0	0	0
ACER3	264	298	173	198	180	77
ACHE	7	9	0	12	0	0
ACIN1	1277	1710	1169	1571	1312	1108
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0
ACKR4	0	1	0	0	0	0
ACLY	4153	5421	4128	5280	4261	3197
ACMSD	0	0	0	0	0	0
ACO1	177	180	105	146	145	145
ACO2	1007	1163	1151	1088	1129	991
ACOD1	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0
ACOT11	6	28	4	26	24	0
ACOT12	0	1	0	0	0	0
ACOT13	1038	1148	946	739	744	706
ACOT2	894	869	770	922	778	509
ACOT4	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0
ACOT7	1800	2115	1814	1915	1509	1672
ACOT8	649	671	472	501	480	300
ACOT9	322	503	452	567	572	315
ACOX1	447	635	533	452	499	202
ACOX2	0	7	10	0	0	0
ACOX3	10	22	49	5	19	47
ACOXL	17	57	21	41	40	35
ACP1	1292	1766	1434	1391	904	1077
ACP2	274	299	342	481	325	242
ACP3	4	6	9	13	5	0
ACP4	0	0	0	0	0	0
ACP5	0	0	1	0	0	0
ACP6	409	538	541	486	501	544
ACP7	0	0	0	0	0	0
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0
ACSBG1	1	0	0	0	0	0
ACSBG2	0	0	7	0	0	0
ACSF2	40	44	35	25	22	1
ACSF3	88	133	104	83	133	85
ACSL1	207	297	124	133	165	138
ACSL3	1654	1653	1461	1527	1673	1048
ACSL4	126	148	165	279	180	168
ACSL5	0	0	0	12	23	0
ACSL6	41	29	24	30	43	0
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	2	0	0	0
ACSM2B	0	1	0	0	0	0
ACSM3	3	7	11	36	12	0
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0
ACSS1	376	460	432	513	415	321
ACSS2	65	135	49	115	37	81
ACSS3	62	42	16	54	21	65
ACTA1	0	0	0	4	0	0
ACTA2	319	252	129	216	182	148
ACTB	3317	4861	3891	4316	3894	3773
ACTBL2	0	7	3	8	4	0
ACTC1	0	0	0	13	0	0
ACTG1	45269	58678	49431	52646	47831	35319
ACTG2	0	3	0	0	0	0
ACTL10	5	0	0	0	0	0
ACTL6A	578	614	542	689	525	342
ACTL6B	0	0	0	1	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	117	109	126	158	39	69
ACTL9	0	0	0	0	0	0
ACTN1	1653	1955	1614	1753	1556	986
ACTN2	14	3	4	0	22	28
ACTN3	0	0	0	0	0	0
ACTN4	1	1	0	1	0	1
ACTR10	363	503	339	550	427	505
ACTR1A	1223	1530	1511	1573	1413	1326
ACTR1B	424	663	446	327	367	253
ACTR2	1920	2709	1846	1375	1564	1450
ACTR3	1245	1336	1003	1188	1001	900
ACTR3B	107	82	62	29	46	39
ACTR3C	4	6	8	0	0	0
ACTR5	115	111	108	275	253	252
ACTR6	329	361	334	556	688	504
ACTR8	171	233	111	251	91	145
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	7	18	7	43	0
ACVR1	75	107	62	81	99	79
ACVR1B	258	353	193	206	235	228
ACVR1C	21	17	35	1	0	1
ACVR2A	38	113	26	22	120	118
ACVR2B	366	413	403	339	361	114
ACVRL1	11	15	12	3	0	0
ACY1	231	300	268	274	322	295
ACY3	0	0	0	0	0	0
ACYP1	434	535	423	404	310	267
ACYP2	191	149	69	148	119	62
ADA	250	324	199	151	51	90
ADA2	0	0	0	0	0	0
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	387	482	323	320	259	347
ADAM10	357	414	414	285	283	145
ADAM11	38	71	97	58	29	42
ADAM12	12	9	23	0	21	0
ADAM15	67	128	67	63	97	37
ADAM17	368	615	437	471	494	257
ADAM18	0	0	0	0	0	0
ADAM19	27	22	22	50	9	0
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0
ADAM21	1	11	0	28	0	0
ADAM22	70	88	50	109	40	134
ADAM23	113	165	99	47	72	2
ADAM28	0	0	0	0	0	0
