gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
A1BG	24	60	19	37	33	52
A1CF	0	0	0	0	0	0
A2M	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0
AAAS	19	94	62	81	84	91
AACS	28	15	20	30	43	15
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	48	35	32	18	0	0
AAGAB	293	448	337	359	255	291
AAK1	33	39	42	25	35	1
AAMDC	54	85	61	39	84	7
AAMP	316	489	361	403	347	259
AANAT	0	0	0	0	0	0
AAR2	584	767	601	653	647	352
AARD	71	72	44	35	86	25
AARS1	310	445	251	807	518	317
AARS2	99	104	146	152	140	126
AARSD1	171	98	39	125	111	189
AASDH	136	102	81	96	130	133
AASDHPPT	469	457	398	280	472	319
AASS	139	89	100	125	128	84
AATF	0	5	0	0	0	0
AATK	20	0	24	6	0	17
ABAT	39	62	39	0	33	2
ABCA1	0	0	0	0	0	0
ABCA10	0	0	0	0	0	0
ABCA12	0	3	0	0	0	0
ABCA13	0	0	0	0	0	0
ABCA2	0	1	0	0	0	0
ABCA3	34	25	42	29	20	7
ABCA4	0	0	0	0	0	0
ABCA5	7	25	7	20	8	0
ABCA6	0	0	0	0	0	0
ABCA7	14	12	0	0	0	0
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCB1	43	70	17	2	34	48
ABCB10	86	71	58	108	41	43
ABCB11	0	0	0	0	0	0
ABCB4	7	12	2	20	0	0
ABCB5	0	0	0	0	0	0
ABCB6	19	10	25	32	23	0
ABCB7	74	163	90	155	91	69
ABCB8	1	7	36	1	30	42
ABCB9	33	40	37	18	22	0
ABCC1	0	0	0	1	0	0
ABCC10	28	8	6	21	11	39
ABCC11	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0
ABCC2	0	0	0	3	0	0
ABCC3	7	3	1	0	0	0
ABCC4	135	161	124	60	106	75
ABCC5	151	99	103	197	127	28
ABCC6	0	0	0	0	0	0
ABCC8	4	3	0	0	0	0
ABCC9	0	0	0	0	0	0
ABCD1	0	0	0	0	5	0
ABCD2	0	0	0	0	0	0
ABCD3	168	267	93	147	166	123
ABCD4	29	81	27	58	70	17
ABCE1	492	547	473	478	415	254
ABCF1	0	0	0	0	0	0
ABCF2	401	513	365	572	351	255
ABCF2-H2BE1	0	0	1	0	0	0
ABCF3	20	45	42	11	53	42
ABCG1	20	12	0	0	7	3
ABCG2	5	4	0	16	0	0
ABCG4	0	2	0	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0
ABHD10	311	347	214	342	185	188
ABHD11	32	109	42	119	72	28
ABHD12	97	98	75	142	38	2
ABHD12B	0	0	0	0	0	0
ABHD13	156	139	121	46	164	82
ABHD14A	2	7	10	0	15	1
ABHD14A-ACY1	24	57	14	46	17	50
ABHD14B	21	7	15	36	0	1
ABHD15	74	50	90	46	71	34
ABHD16A	0	0	0	0	0	0
ABHD16B	0	0	0	0	0	0
ABHD17A	7	13	1	1	0	1
ABHD17B	258	353	222	205	231	160
ABHD17C	140	268	210	153	222	32
ABHD18	94	61	53	60	75	19
ABHD2	235	284	174	237	165	14
ABHD3	87	59	38	46	43	0
ABHD4	40	27	41	22	26	14
ABHD5	165	349	162	265	102	89
ABHD6	54	17	33	34	0	19
ABHD8	41	44	71	76	0	7
ABI1	133	222	129	92	68	212
ABI2	244	346	181	245	271	105
ABI3	0	0	0	0	0	0
ABI3BP	9	2	1	8	26	1
ABITRAM	87	147	70	101	60	20
ABL1	214	199	99	242	154	86
ABL2	224	324	218	198	119	209
ABLIM1	160	216	108	109	40	132
ABLIM2	1	8	1	0	2	0
ABLIM3	0	0	5	0	0	0
ABO	0	0	0	0	0	0
ABR	0	0	0	0	0	0
ABRA	0	0	0	0	0	0
ABRACL	213	398	151	326	362	182
ABRAXAS1	44	15	22	24	32	69
ABRAXAS2	194	247	180	225	198	143
ABT1	498	595	403	558	495	483
ABTB1	0	0	1	0	0	0
ABTB2	98	94	54	130	51	59
ACAA1	52	55	38	30	13	30
ACAA2	105	133	123	170	173	233
ACACA	5	3	10	0	1	1
ACACB	0	4	1	0	0	21
ACAD10	6	15	6	24	0	1
ACAD11	27	50	47	96	65	102
ACAD8	52	32	41	96	54	14
ACAD9	23	77	31	72	5	86
ACADL	0	0	0	19	0	0
ACADM	392	512	341	447	343	315
ACADS	1	5	6	11	36	0
ACADSB	69	75	19	47	19	58
ACADVL	3	17	6	10	25	0
ACAN	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0
ACAP2	77	77	58	94	56	79
ACAP3	6	11	6	15	4	1
ACAT1	128	162	130	145	82	74
ACAT2	471	465	461	768	678	498
ACBD3	380	675	493	515	542	398
ACBD4	21	7	0	0	0	0
ACBD5	337	373	321	361	313	253
ACBD6	134	188	182	103	182	96
ACBD7	56	98	59	101	32	44
ACCS	0	0	0	0	0	0
ACCSL	0	0	0	0	0	0
ACD	67	101	109	81	112	95
ACE	4	8	0	0	7	0
ACE2	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	2	0	1	0	0	0
ACER3	54	95	61	15	75	2
ACHE	0	0	0	0	0	0
ACIN1	340	524	344	458	451	339
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0
ACKR4	0	1	0	0	0	0
ACLY	497	524	510	514	514	436
ACMSD	0	0	0	0	0	0
ACO1	28	21	26	8	8	1
ACO2	215	198	173	271	191	253
ACOD1	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0
ACOT11	3	1	2	11	15	0
ACOT12	0	1	0	0	0	0
ACOT13	102	133	61	56	86	50
ACOT2	305	392	328	403	404	280
ACOT4	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0
ACOT7	177	261	223	184	159	158
ACOT8	64	42	57	50	49	59
ACOT9	63	89	120	93	173	78
ACOX1	88	188	87	135	148	62
ACOX2	0	0	0	0	0	0
ACOX3	5	3	4	1	0	32
ACOXL	6	23	16	23	31	13
ACP1	399	531	364	381	159	155
ACP2	66	112	66	170	58	143
ACP3	0	0	0	9	0	0
ACP4	0	0	0	0	0	0
ACP5	0	0	0	0	0	0
ACP6	39	99	122	68	123	119
ACP7	0	0	0	0	0	0
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0
ACSBG2	0	0	7	0	0	0
ACSF2	1	1	6	0	13	0
ACSF3	18	33	23	21	20	1
ACSL1	43	75	48	40	26	2
ACSL3	516	492	447	379	395	266
ACSL4	56	63	58	95	26	31
ACSL5	0	0	0	0	0	0
ACSL6	8	0	0	0	0	0
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	2	0	0	0
ACSM2B	0	1	0	0	0	0
ACSM3	0	0	2	0	12	0
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0
ACSS1	28	53	116	63	58	47
ACSS2	28	14	19	41	4	1
ACSS3	24	8	1	19	4	13
ACTA1	0	0	0	0	0	0
ACTA2	137	79	1	75	27	46
ACTB	660	984	801	807	783	448
ACTBL2	0	7	0	8	4	0
ACTC1	0	0	0	0	0	0
ACTG1	14303	17045	13148	16429	14908	10926
ACTG2	0	3	0	0	0	0
ACTL10	0	0	0	0	0	0
ACTL6A	146	164	105	214	209	16
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	12	14	18	15	0	46
ACTL9	0	0	0	0	0	0
ACTN1	267	358	321	331	268	109
ACTN2	13	3	4	0	10	28
ACTN3	0	0	0	0	0	0
ACTN4	1	1	0	1	0	1
ACTR10	70	107	73	159	101	57
ACTR1A	228	242	229	340	287	285
ACTR1B	51	104	37	121	37	37
ACTR2	253	429	226	146	258	161
ACTR3	411	378	252	308	250	196
ACTR3B	61	31	25	14	2	2
ACTR3C	0	0	0	0	0	0
ACTR5	64	60	45	142	122	77
ACTR6	53	152	135	168	237	133
ACTR8	93	121	35	68	16	36
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	7	9	7	43	0
ACVR1	54	89	54	61	82	71
ACVR1B	228	314	154	182	231	217
ACVR1C	0	12	8	0	0	0
ACVR2A	38	102	24	6	67	98
ACVR2B	169	264	260	162	260	76
ACVRL1	11	1	0	0	0	0
ACY1	24	57	14	46	17	50
ACY3	0	0	0	0	0	0
ACYP1	122	140	169	119	104	31
ACYP2	49	51	32	50	12	5
ADA	44	21	15	28	2	0
ADA2	0	0	0	0	0	0
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	78	110	91	81	106	72
ADAM10	145	137	154	183	117	37
ADAM11	6	5	0	4	0	0
ADAM12	0	0	8	0	11	0
ADAM15	7	14	6	0	0	0
ADAM17	89	233	160	131	201	61
ADAM18	0	0	0	0	0	0
ADAM19	21	2	10	50	0	0
ADAM2	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0
ADAM21	0	4	0	10	0	0
ADAM22	8	42	7	0	10	2
ADAM23	26	42	17	12	29	1
ADAM28	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	0	0	1	0	0	0
ADAM9	32	29	36	57	76	12
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	904	1310	909	2319	1908	1633
ADAMTS10	0	9	0	0	0	0
ADAMTS12	0	0	0	0	0	0
