gene_name	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
A1BG	65	84	39	94	116	75
A1CF	0	0	0	0	0	0
A2M	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0
A4GALT	0	6	15	5	2	0
A4GNT	0	0	0	0	0	0
AAAS	374	397	327	349	430	370
AACS	463	302	352	378	514	342
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	113	143	84	125	85	126
AAGAB	1048	968	1063	1042	1067	932
AAK1	256	234	233	274	241	226
AAMDC	224	243	186	149	167	250
AAMP	1625	1447	1641	1922	1696	1410
AANAT	2	0	0	0	0	0
AAR2	1257	1041	1120	1309	1247	1117
AARD	84	44	50	48	43	43
AARS1	1931	1272	1754	2329	2191	2238
AARS2	469	497	513	444	414	422
AARSD1	689	533	664	756	711	727
AASDH	271	208	270	346	322	244
AASDHPPT	1265	1269	1382	1460	1571	1393
AASS	1461	1387	1472	1484	1386	1482
AATF	1	0	0	0	0	0
AATK	39	31	32	35	14	0
ABAT	182	165	129	204	127	171
ABCA1	4	11	5	0	0	0
ABCA10	1	0	0	0	6	0
ABCA12	0	0	0	0	9	5
ABCA13	0	0	0	3	9	0
ABCA2	34	15	4	26	7	4
ABCA3	325	241	191	148	126	128
ABCA4	0	0	0	2	0	0
ABCA5	102	89	111	136	121	113
ABCA6	0	0	0	0	0	0
ABCA7	10	26	16	27	18	26
ABCA8	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0
ABCB1	178	229	183	157	171	177
ABCB10	445	544	445	461	489	431
ABCB11	0	0	0	0	0	0
ABCB4	10	9	18	35	21	20
ABCB5	2	4	0	2	1	1
ABCB6	195	166	147	74	62	86
ABCB7	1094	959	1118	1223	1225	1062
ABCB8	118	129	109	136	96	140
ABCB9	196	155	130	153	130	126
ABCC1	0	9	0	1	13	1
ABCC10	100	103	61	91	52	91
ABCC11	3	0	3	5	0	0
ABCC12	0	0	0	1	0	5
ABCC2	44	28	22	8	0	25
ABCC3	0	4	0	4	7	2
ABCC4	1322	1338	1288	1303	1237	982
ABCC5	568	454	523	621	509	560
ABCC6	1	0	0	4	0	0
ABCC8	39	15	28	15	38	1
ABCC9	1	11	0	1	0	0
ABCD1	28	22	13	16	22	6
ABCD2	9	6	2	0	0	0
ABCD3	882	788	968	823	752	787
ABCD4	271	239	269	359	326	229
ABCE1	1907	1642	1862	1888	1831	1614
ABCF1	0	0	0	0	0	0
ABCF2	1401	1101	1084	1349	1259	1249
ABCF2-H2BE1	3	19	1	8	4	1
ABCF3	60	57	31	52	123	62
ABCG1	9	21	16	20	6	19
ABCG2	31	33	40	21	53	42
ABCG4	2	0	10	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	1	0	0	0	0	0
ABHD1	3	1	15	4	8	6
ABHD10	713	592	611	885	882	735
ABHD11	155	142	144	147	143	170
ABHD12	578	486	475	436	496	473
ABHD12B	2	0	0	0	0	0
ABHD13	242	236	194	332	307	272
ABHD14A	69	86	55	69	29	51
ABHD14A-ACY1	182	207	169	191	143	228
