rownames(count)	DMSO.GFP.1	DMSO.GFP.2	DMSO.GFP.3	TPG.GFP.1	TPG.GFP.2	TPG.GFP.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
A1BG	107	33	108	75	74	75	0.950639254755058	0.981899795483151	14259	-0.027349440003873	0.441803839006915	76.0611101343621	-0.0619040343002653
A1CF	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
A2M	0	4	0	0	0	0	0.433930364153282	1	8383.5	-3.10009683720376	3.9618676506405	0.80038509434414	-0.782483694704587
A2ML1	0	0	0	0	7	0	0.382354919154489	1	7729.5	3.45235963644308	3.9520329282509	0.977069226034853	0.873565503911688
A4GALT	16	3	13	6	0	1	0.200328200311483	1	5353	-1.91241099070294	1.49335115974652	6.20695677793215	-1.28061707269678
A4GNT	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
AAAS	552	225	571	473	289	365	0.702801475652161	0.865306008911037	11577	-0.11423713136129	0.299409443763461	405.459046832286	-0.381541510265586
AACS	288	305	349	162	330	327	0.430732520447486	0.694461620643088	8332	-0.209375611843906	0.265725737975101	288.601556689884	-0.787938772658615
AADAC	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
AADACL2	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
AADACL3	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
AADACL4	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
AADAT	151	66	65	118	135	77	0.472661794080957	0.72415393900519	8899	0.290119184649772	0.403978573699274	99.9252411124209	0.718154881317392
AAGAB	1621	1157	1970	1217	1765	1538	0.859743952962013	0.94368772463179	13367	-0.0267997958075032	0.151668244670854	1507.88661045357	-0.176700111916396
AAK1	156	114	151	153	201	152	0.271683070989608	0.553182004104085	6285	0.302601434275687	0.275293707641796	151.927545551406	1.09919488123362
AAMDC	490	472	537	189	388	303	0.000557719546629441	0.00999127581356968	628	-0.778172111779679	0.22546668906168	388.673469054739	-3.45138394952346
AAMP	3313	2172	3329	2297	3063	2644	0.482797215880144	0.73087404037272	9019	-0.0896410039514822	0.127728178101643	2740.98552958155	-0.701810714626713
AANAT	0	6	5	9	7	1	0.715978170104289	1	11699	0.590753921058379	1.62366808847379	4.84447263657469	0.363839090792056
AAR2	1273	805	1094	1029	1131	1057	0.613579987322336	0.812243597467826	10590	0.0812436774913956	0.160888163413482	1048.90540290595	0.504969885712471
AARD	115	144	123	77	120	132	0.518317129223768	0.752837498926165	9508	-0.227067374661776	0.351529222797359	118.252825514171	-0.645941674080023
AARS1	1650	757	1407	1503	1444	1513	0.098013281631369	0.310151999737782	3813	0.323781237947854	0.195689944506557	1355.00660298038	1.65456247005581
AARS2	525	403	480	336	550	506	0.984570748175749	0.994891318724697	14595	0.00378184955888995	0.195556552779729	457.547473892541	0.0193389048085223
AARSD1	695	678	734	651	868	850	0.299982119666966	0.580490087063514	6661	0.186857181852673	0.180281985252335	739.836626445036	1.03647173394022
AASDH	214	94	128	205	218	167	0.0970908189561134	0.308229038989773	3795	0.514616266610113	0.310173491218469	168.041865836653	1.65912394572638
AASDHPPT	1527	1277	1413	1101	2090	1496	0.359033587072659	0.634253501188005	7433	0.149280260748202	0.162755056097675	1450.98179920895	0.917208130594808
AASS	1219	1153	1164	1053	1440	1132	0.774047329364727	0.903499676435663	12258	0.0465163465719354	0.162029942581638	1181.72478158688	0.287084879688198
AATF	0	0	1	0	0	10	0.285481773693371	1	6458	3.28869441602299	3.07905428936758	1.86338497288381	1.06808588188241
AATK	31	17	75	7	43	25	0.322632801186217	0.601154591977069	6942	-0.705072904047502	0.712870268837312	30.7232629952693	-0.989062014323409
ABAT	224	128	210	108	184	122	0.153410301049437	0.402059512448346	4717	-0.404301957274332	0.283206206343437	157.14207060428	-1.42758861994728
ABCA1	0	4	10	0	0	0	0.0924578991969053	1	3722	-4.6318760565731	2.75285394441184	2.28645744952631	-1.68257239581329
ABCA10	0	0	0	0	10	0	0.27855546721486	1	6367	3.9649350354149	3.6591404142409	1.39581318004979	1.08357007016836
ABCA12	1	0	0	0	0	0	0.820182798196616	1	12880.5	-0.927531757915591	4.0804728567969	0.145943015202292	-0.227309870808377
ABCA13	0	0	0	0	0	6	0.373749939337666	1	7598	3.51355718318366	3.9501644485355	1.02886664241936	0.889471116699026
ABCA2	29	2	29	14	3	9	0.361625410680331	1	7464	-0.956688175860543	1.04868712177789	13.6300121187935	-0.912272264999903
ABCA3	303	218	307	102	76	86	1.19483128533336e-07	1.21752211799978e-05	109	-1.56984091638511	0.29651614691279	178.678945195753	-5.29428475558473
ABCA4	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCA5	46	43	73	39	103	64	0.462048951452732	0.716278288401834	8787	0.337306884790333	0.458623201357245	59.1106511400034	0.735477149416146
ABCA6	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCA7	28	16	16	24	12	16	0.897447723900866	1	13744	-0.0988334314045811	0.766827310164349	18.7571122810329	-0.128886165235037
ABCA8	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCA9	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCB1	167	98	232	131	240	168	0.596573505224791	0.801614072408874	10402	0.160951783131355	0.304064476204037	166.272451312508	0.529334387037542
ABCB10	408	316	619	248	487	355	0.242757898419295	0.520724599795889	5919	-0.276998259770489	0.237131447138005	391.89968862958	-1.16812115437934
ABCB11	0	0	0	0	0	0	1	1	17169.5	NA	NA	0	NA
ABCB4	5	12	11	14	19	41	0.10102237991312	1	3871	1.39485860457384	0.850566472229649	17.1740020981205	1.63991722001151
ABCB5	0	5	2	0	0	0	0.263669021986427	1	6187.5	-3.80501894119075	3.40414315853572	1.29769583896661	-1.11776114105244
ABCB6	236	131	199	86	120	79	0.00179480839411153	0.0224999287058655	895	-0.941111330751523	0.301421885958774	137.268818506073	-3.12223954062924
ABCB7	1070	962	1007	953	1436	1194	0.122561914516241	0.353947660610972	4236	0.24704703004172	0.159993252115418	1089.03271348236	1.54410905944647
ABCB8	185	117	113	87	157	56	0.216052315219613	0.489034657661349	5580	-0.468533226300795	0.378737070177658	115.659375929306	-1.23709365465867
ABCB9	176	151	176	96	234	137	0.677814639720666	0.849908241519241	11300	-0.126747532440137	0.305087062118404	156.901190908798	-0.415447090938738
ABCC1	2	0	0	0	0	2	0.959741767689433	1	14351	0.202192906402638	4.00559352528414	0.634841577877704	0.0504776396122957
ABCC10	111	56	125	58	21	55	0.0531648492077417	0.216697974367115	2892	-0.971294870284443	0.502329936772839	69.6361318401501	-1.933579504587
ABCC11	6	2	0	0	5	0	0.752237623372468	1	12056	-0.838244861826802	2.65527632208369	1.97375722841072	-0.31569025598398
ABCC12	2	0	0	0	0	0	0.676569386484693	1	11282.5	-1.68978917039404	4.05080427161518	0.291886030404585	-0.417149054135925
