rownames(count)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
A1BG	142	160	85	116	82	127	0.972774071907157	0.989840109583617	13880	0.0139909645221207	0.409940398235534	116.911349153065	0.0341292650891217
A1CF	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
A2M	0	1	0	0	0	0	0.855586569599313	1	12749	-0.742626074561041	4.0804728567969	0.130195217786575	-0.181995102191168
A2ML1	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
A4GALT	0	0	4	0	19	0	0.417281382906237	1	8149	2.28650203716694	2.81885114714157	3.92178986441691	0.811146782080191
A4GNT	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
AAAS	499	778	643	791	780	734	0.00470317368383765	0.0321127868669526	1495	0.500250497226676	0.176973909595396	701.157360132794	2.82669065948967
AACS	177	240	189	165	187	163	0.993808200440604	0.997761636990818	14075	0.002309217207945	0.297566199759256	183.645880417473	0.00776034781441323
AADAC	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
AADACL2	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
AADACL3	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
AADACL4	0	0	0	0	0	0	1	1	16853.5	NA	NA	0	NA
AADAT	134	119	106	67	73	22	0.0432925241019978	0.157005213652619	2945	-0.993787579924745	0.491760605626594	82.4788780933759	-2.02087676107865
AAGAB	1001	1549	1082	1351	1077	1069	0.192064036953473	0.415505290146267	5352	0.180800254213736	0.138597632134429	1164.77206973118	1.30449742487934
AAK1	101	78	105	41	130	91	0.826236100135426	0.922216334569763	12419	0.113923029338695	0.51893721946571	91.9861570641274	0.21953142897707
AAMDC	480	588	551	259	428	363	0.133186511529922	0.329914926219261	4571	-0.379955780978818	0.253024866234533	436.962682256806	-1.50165391502126
AAMP	2611	3883	2794	3214	3066	2231	0.310565171940557	0.552858825171548	6855	0.0944452843070026	0.0931379218372369	2890.9055786389	1.01403684389749
AANAT	0	0	0	11	0	0	0.269858678262868	1	6333	4.34139839680284	3.93460700018907	1.69839331891224	1.10338806305032
AAR2	945	1164	918	972	947	634	0.778262741714013	0.897203378751065	11984	-0.0393231098941532	0.139649809890315	905.091752157894	-0.281583698001728
AARD	134	109	94	104	123	109	0.577357635657641	0.773363480454395	9947	0.218786812214593	0.392619809613336	111.839444101078	0.557248531168259
AARS1	1165	1576	1054	1690	1433	1082	0.00262157506742521	0.0204063901015796	1295	0.364412696482131	0.121109833519348	1305.99148027347	3.00894391390535
