rownames(count)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
A1BG	24	60	19	37	33	52	0.291927593724785	0.626132714125326	5808	0.666767499860828	0.632665307211663	37.1071790830529	1.0539024224348
A1CF	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
A2M	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
A2ML1	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
A4GALT	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
A4GNT	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
AAAS	19	94	62	81	84	91	0.0677165526150982	0.300794356503186	2705	0.912119296190845	0.499274779157844	71.875252394372	1.82688838745144
AACS	28	15	20	30	43	15	0.354033370750934	0.68336237465392	6559	0.703270142285417	0.758820139389723	24.7777345333664	0.926794250414886
AADAC	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
AADACL2	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
AADACL3	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
AADACL4	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
AADAT	48	35	32	18	0	0	0.0331481759024912	0.195332244771809	2041	-2.5775823587628	1.20997124856996	19.759307649627	-2.13028397311853
AAGAB	293	448	337	359	255	291	0.765938669354601	0.921839725440586	11041	0.0605316178675513	0.203336769626546	319.692106768235	0.297691450389053
AAK1	33	39	42	25	35	1	0.404230436313662	0.722780007956567	7165	-0.729100146199375	0.874126778292348	26.9453703727589	-0.834089704497681
AAMDC	54	85	61	39	84	7	0.542354719110971	0.819303897286989	8639	-0.389305631901393	0.638985231008215	50.9068620815299	-0.609256071986409
AAMP	316	489	361	403	347	259	0.641285919946283	0.869801152232569	9709	0.0828759805656324	0.177883004942871	347.784389135691	0.465901622205274
AANAT	0	0	0	0	0	0	1	1	16428.5	NA	NA	0	NA
AAR2	584	767	601	653	647	352	0.850431819738133	0.957137093037799	11763	0.0291944198274655	0.154822131797629	573.643423446355	0.188567483786014
AARD	71	72	44	35	86	25	0.890412787842664	0.968000958093078	12277	-0.0742159279357746	0.538647868286336	52.7553723192448	-0.137781902250698
AARS1	310	445	251	807	518	317	2.76339388491852e-06	0.00013294135301566	250	0.974948558308173	0.207981688623234	427.469572531419	4.68766536497512
AARS2	99	104	146	152	140	126	0.100672328381183	0.372205992450196	3253	0.528100975968796	0.321698371284508	127.597225915081	1.64160288987521
AARSD1	171	98	39	125	111	189	0.0628564665677348	0.288650142577376	2619	0.835973404493636	0.449398431630439	124.757708021588	1.86020543387453
AASDH	136	102	81	96	130	133	0.162224085144191	0.471272722712363	4148	0.500389874119631	0.358027326012461	113.351597311146	1.3976303979161
AASDHPPT	469	457	398	280	472	319	0.999898863304496	0.999982008062795	13282	-2.76989996918459e-05	0.218522110442186	389.082572776049	-0.000126756050615638
