rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
A1BG	65	84	39	94	116	75	0.156390819770052	0.363199684156349	5285	0.494593096462779	0.348964809182533	77.9066280907767	1.41731510871078
A1CF	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
A2M	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
A2ML1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
A4GALT	0	6	15	5	2	0	0.251691725710808	1	6581	-1.75728899514504	1.53307655260516	4.79164280199052	-1.14624999786141
A4GNT	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
AAAS	374	397	327	349	430	370	0.841849598726558	0.928225307455654	13596	-0.0313693022522438	0.157217399491527	373.083909910388	-0.199528184244864
AACS	463	302	352	378	514	342	0.75239612306707	0.881142458293865	12469	0.0549529762242454	0.174187654730573	387.525353490292	0.315481463420842
AADAC	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
AADACL2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
AADACL3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
AADACL4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
AADAT	113	143	84	125	85	126	0.695018120382662	0.848591745970956	11885	-0.115428291597555	0.29441917212319	112.590266582177	-0.392054263196074
AAGAB	1048	968	1063	1042	1067	932	0.207116471399406	0.427599023434035	6036	-0.115692247813801	0.0917075844944668	1015.20500623332	-1.26153412993646
AAK1	256	234	233	274	241	226	0.715679095142255	0.860287345443874	12097	-0.0622339155290166	0.170859826235978	242.475511303467	-0.364239604475917
AAMDC	224	243	186	149	167	250	0.226554119657176	0.453475889346252	6270	-0.291518743667919	0.241067418530522	203.920163700001	-1.20928305220562
AAMP	1625	1447	1641	1922	1696	1410	0.931599305133657	0.969357204571274	14462	-0.00767472490027928	0.0894147909909386	1610.79449950412	-0.0858328338658986
AANAT	2	0	0	0	0	0	0.644898181406414	1	11250	-1.86468886645674	4.0460963429737	0.319271824611366	-0.460861212485683
AAR2	1257	1041	1120	1309	1247	1117	0.917974079627413	0.964089901413805	14340	0.00866351804587343	0.0841232572185737	1172.62468829181	0.102986003304216
AARD	84	44	50	48	43	43	0.202802977464688	0.423020641269354	5967	-0.489815210519917	0.384589185449497	51.5786417147943	-1.27360630265106
AARS1	1931	1272	1754	2329	2191	2238	0.000270498746835466	0.00319447509427714	944	0.359694272865642	0.098762086031318	1929.17994079185	3.64202790078351
AARS2	469	497	513	444	414	422	0.0222071925283796	0.093841661308543	2716	-0.307918286173047	0.134649981783564	459.708373205157	-2.28680525681759
AARSD1	689	533	664	756	711	727	0.269634259626694	0.505609783127691	6794	0.12644516181336	0.114543496069757	674.447285824455	1.10390520764579
AASDH	271	208	270	346	322	244	0.296128852788752	0.535046613738272	7124	0.185337594627092	0.1773954357378	273.592344507017	1.04477093142933
AASDHPPT	1265	1269	1382	1460	1571	1393	0.392063360671454	0.625060371508519	8292	0.0769920120614188	0.0899563984429573	1382.24709714662	0.855881442499508
AASS	1461	1387	1472	1484	1386	1482	0.316864581171816	0.555689370551079	7365	-0.0847281175262279	0.0846500809416581	1440.04272849462	-1.00092187253339
AATF	1	0	0	0	0	0	0.795414167036932	1	12991.5	-1.05801167206444	4.0804728567969	0.159635912305683	-0.259286535946954
AATK	39	31	32	35	14	0	0.369388176481703	1	8029	-1.19564240724121	1.33201401101871	25.0139855325935	-0.897619992996016
ABAT	182	165	129	204	127	171	0.942150879409462	0.974337918559281	14550	-0.0173219940601208	0.238704253748745	161.867615760238	-0.0725667590253901
ABCA1	4	11	5	0	0	0	0.00442486286585305	1	1783	-5.30216393304907	1.86291218732433	3.49953768472982	-2.84616954525617
ABCA10	1	0	0	0	6	0	0.443091906741135	1	8852	2.36886344626791	3.08854944598308	1.11063663994849	0.766982522927976
ABCA12	0	0	0	0	9	5	0.0495793727374787	1	3512	4.58586124150304	2.33546501344666	2.27448302432287	1.96357522596122
ABCA13	0	0	0	3	9	0	0.0827119228346687	1	4155	4.3199117402383	2.48962865531513	1.88715653277399	1.73516308587455
ABCA2	34	15	4	26	7	4	0.484966021829284	1	9331	-0.610819906761916	0.874676963125799	14.6163465192336	-0.698337709248741
ABCA3	325	241	191	148	126	128	4.27594369716365e-06	9.53157650245255e-05	498	-1.00095631416066	0.217717609832213	193.213817745188	-4.59749817633981
ABCA4	0	0	0	2	0	0	0.672877139662776	1	11635	1.70687919259077	4.04279644203747	0.307103627539851	0.422202605810781
