rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
A1BG	33	35	13	28	12	23	0.376288345331439	0.655345437165173	7440	-0.473619933030384	0.535311467082982	23.9988599180277	-0.884755814425633
A1CF	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
A2M	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
A2ML1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
A4GALT	0	0	15	2	1	0	0.227562095101796	1	5686	-2.4839488501859	2.05852802747739	3.0933048724055	-1.20666263321653
A4GNT	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
AAAS	38	31	24	30	52	35	0.574574120850453	0.800807649050795	9820	0.227687616423396	0.40562329668766	34.4670199278253	0.561327759728557
AACS	206	101	118	141	236	143	0.37881865869118	0.657301862209322	7468	0.20911811507091	0.237613959212802	153.606274364688	0.880075041734514
AADAC	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
AADACL2	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
AADACL3	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
AADACL4	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
AADAT	55	59	55	62	58	67	0.914883462166961	0.965943468193501	13582	0.031989485196674	0.299300284336404	59.0439082353196	0.106880904799672
AAGAB	334	266	284	285	270	266	0.112050989931405	0.344604715123179	4013	-0.210736859116622	0.132618839272641	281.682015931358	-1.58904164953053
AAK1	136	116	134	113	104	105	0.0745699880672977	0.271398077843316	3366	-0.369405721339941	0.207170474161734	117.432791265812	-1.78310023585481
AAMDC	47	32	53	37	50	74	0.594092758727531	0.812732512111382	10001	0.196302483377445	0.368356422594351	48.3662942160477	0.532914512511761
AAMP	237	216	306	328	270	172	0.605106288956952	0.818790235232987	10142	-0.101941345837996	0.197151375543391	252.313991607455	-0.517071440952536
AANAT	2	0	0	0	0	0	0.655246702030654	1	10726	-1.80967395672574	4.05315428445132	0.302297877090802	-0.446485337029483
AAR2	822	628	717	830	847	727	0.599502072374309	0.815851221815499	10050	0.0454575434150024	0.0865665556311776	751.754460472296	0.525116692971789
AARD	39	12	29	17	26	29	0.669715060444822	0.855098352005573	10908	-0.215319507258523	0.504806019802737	24.7901207284891	-0.426539103758436
AARS1	518	337	523	1030	988	998	7.69592818632336e-21	1.14823248539944e-18	80	1.0320758905404	0.110220416049166	714.281436758285	9.36374518927622
AARS2	129	128	131	148	114	87	0.225532938051582	0.503076275197848	5655	-0.273349072259243	0.225545531793885	122.127082462253	-1.21194629787233
AARSD1	203	99	173	264	270	272	0.000235298811673112	0.00407623601760561	689	0.677055218112577	0.184094867426842	208.245155655641	3.67775173515706
AASDH	216	143	217	205	218	143	0.492393939758602	0.745145703723822	8803	-0.129740435427864	0.188986538747812	187.594633059415	-0.686506225721148
AASDHPPT	590	503	582	574	484	556	0.145189595309225	0.398295336614781	4531	-0.160253150544031	0.110008457814362	544.358235206469	-1.45673481592167
AASS	454	336	337	414	406	473	0.422544234067994	0.694408368144785	7941	0.101885787110422	0.127037245814153	398.170722764347	0.802015081934899
AATF	1	0	0	0	0	0	0.792739764768315	1	12193	-1.07216283015502	4.0804728567969	0.151148938545401	-0.262754555117086
AATK	25	18	11	10	7	0	0.0319771051595291	0.161610930702408	2396	-1.78280853906919	0.831263712716078	11.7892266580657	-2.14469669708548
ABAT	70	41	37	58	44	65	0.785197966642824	0.914889001351888	12014	0.0924386209699866	0.339160147966388	51.5781637842272	0.272551540988087
ABCA1	4	0	5	0	0	0	0.162341504075622	1	4778.5	-4.0798460792501	2.91993284964027	1.4804356112578	-1.39723969328703
ABCA10	1	0	0	0	6	0	0.504896625737209	1	8981	2.34457760177496	3.5161362032249	1.08746984767978	0.666805113984089
ABCA12	0	0	0	0	9	1	0.16320283755127	1	4793	4.05230686817419	2.90617078388888	1.57104165865626	1.39438015502709
ABCA13	0	0	0	3	3	0	0.373585482870018	1	7398	3.3009630838719	3.70987562750185	0.932758179048943	0.889777290484182
ABCA2	13	10	2	0	5	1	0.102409489037547	0.328679661509051	3845	-2.15610447271329	1.32010463803623	5.17466765941352	-1.63328300695973
ABCA3	89	36	51	49	84	42	0.808694273820368	0.926679058680178	12374	-0.086104409922014	0.355640447877015	56.9635207550993	-0.242110846603674
ABCA4	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCA5	41	25	65	71	41	64	0.392492123618968	0.6678702931868	7628	0.325458580832444	0.380605847527346	50.4179753485879	0.85510662263028
ABCA6	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCA7	1	0	0	13	8	6	0.00645230292060363	1	1442	4.53014387917498	1.66313132013956	4.41219539320703	2.7238642098297
ABCA8	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCA9	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCB1	51	35	40	26	30	29	0.0832545808908707	0.290478420787323	3521	-0.663981759690994	0.38333769546943	34.9476687208666	-1.73210661914658
ABCB10	133	168	181	157	133	156	0.264509838149629	0.546067895568912	6157	-0.236090215221794	0.211589214287478	154.991817709813	-1.1157951316981
ABCB11	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCB4	5	0	3	17	13	10	0.0248069648250373	0.136832620608904	2189	2.26313764036564	1.00835063389112	7.60826729837413	2.24439551511208
ABCB5	2	0	0	2	1	1	0.745591832565582	1	11686	1.02694044492177	3.16510182953532	0.934643473222399	0.324457316140295
ABCB6	24	12	14	25	12	36	0.401050276738374	0.675643768969546	7724	0.477084144284673	0.568128455043453	20.1154676210669	0.839746962239699
ABCB7	220	174	214	284	330	269	0.00377096197789059	0.0359793782318961	1253	0.432098475038765	0.149168619240037	244.301679280575	2.89671163573249
ABCB8	32	44	26	23	44	23	0.483562421762191	0.738610911748859	8713	-0.312926142211023	0.446664450174459	32.0655875990944	-0.700584391904931
ABCB9	72	61	45	67	56	63	0.895272797246892	0.95967454943322	13383	-0.0396443413534571	0.301168108805166	60.0402554269635	-0.131635256836254
ABCC1	0	9	0	0	9	1	0.954250625086247	1	13944	-0.112595631068194	1.96262920372368	3.2923526752898	-0.0573697929565947
ABCC10	18	24	24	42	14	30	0.61713550675697	0.8251089628267	10266	0.255585600474712	0.511258952733066	25.2008006981715	0.499914180687524
ABCC11	0	0	3	5	0	0	0.858599347053795	1	13042.5	0.565769085616485	3.17566946875256	1.29983345504865	0.178157421980923
ABCC12	0	0	0	0	0	5	0.428713505891256	1	8018	3.13191634324875	3.9574627100639	0.832801474773491	0.791395035835518
ABCC2	23	22	15	5	0	16	0.0521704503573987	0.219417369790666	2899	-1.59440109119681	0.82112628148442	13.7508885696218	-1.94172458871305
ABCC3	0	0	0	4	1	2	0.25206301832306	1	5997	3.54871822793206	3.09836239942081	1.10863770740747	1.14535285755967
ABCC4	468	448	428	463	502	383	0.36024298676354	0.642420970210267	7249	-0.110920876034403	0.121237962643818	445.226990120972	-0.914902177631234
ABCC5	311	244	249	301	245	300	0.852131778134447	0.942898269017952	12967	-0.0272751211915141	0.146326443930976	272.106629631145	-0.186399125535916
ABCC6	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCC8	22	9	13	11	28	0	0.753595977038946	0.897607183109157	11750	-0.270640072067407	0.862181974400976	13.3967938587573	-0.313901334176514
ABCC9	1	3	0	0	0	0	0.443812014632006	1	8234.5	-3.04000948893965	3.96986274972891	0.724919277423246	-0.765771937366662
ABCD1	4	11	0	10	4	5	0.89027122888829	0.957846391132317	13332	0.166138548173887	1.20424272719559	5.71409482586929	0.137961014355293
ABCD2	6	1	2	0	0	0	0.137022913600778	1	4421	-4.05121968459464	2.72448101286571	1.44848635372883	-1.48696932203371
ABCD3	269	193	337	342	325	250	0.604264515973651	0.818512550563381	10130	0.0898164183109217	0.173297857397965	281.924826211163	0.518277719410376
ABCD4	102	99	117	192	122	124	0.136163224163714	0.382410410263079	4409	0.343848033903179	0.230734553749264	124.272521663797	1.49023207974664
ABCE1	594	500	622	697	652	660	0.240538652747885	0.519678797533198	5860	0.119638894585436	0.101938194056027	613.983542313186	1.17364149613717
ABCF1	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCF2	482	328	444	430	416	448	0.669657632513886	0.855098352005573	10889	-0.0518984727108084	0.121650939818126	419.490193753301	-0.42661793479277
ABCF2-H2BE1	1	18	0	0	0	0	0.172000928102452	1	4924	-5.35332813400139	3.91954745791147	3.59377097181247	-1.36580260641975
ABCF3	30	35	4	19	72	37	0.193647214845079	0.464980393422585	5221	0.773346639388925	0.594943775666007	32.2701614069186	1.29986508140741
ABCG1	5	16	6	4	1	7	0.208446520579298	0.482735287084692	5438	-1.32196552259474	1.05097349332194	6.80830017741458	-1.25784858609159
ABCG2	5	2	6	3	21	17	0.0927983068048266	0.309894191101461	3685	1.5770501595666	0.93826359023514	8.76251200115228	1.68081781706074
ABCG4	2	0	8	0	0	0	0.121399886261207	1	4167	-4.27938744616271	2.76281227792147	1.70364164841272	-1.54892443484513
ABCG5	0	0	0	0	0	0	1	1	16987.5	NA	NA	0	NA
ABCG8	1	0	0	0	0	0	0.792739764768315	1	12193	-1.07216283015502	4.0804728567969	0.151148938545401	-0.262754555117086
ABHD1	0	0	5	1	8	0	0.760661822747668	1	11794	0.686658757705508	2.25420922941374	2.27913364408262	0.304611811869873
ABHD10	373	302	319	434	480	411	0.0085369569002489	0.0656976902394397	1561	0.30914697626388	0.117543656156024	380.590442504758	2.63006091841764
