#slamdunk v0.4.2	3	sample info:	sample_0	0	NA	-1									
#annotation:	gencode.v41.customized.canonical.bed	27b6d2bfeb860a3d83e1c37a786d42ca													
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr1	70009	71585	OR4F5|ENSG00000186092.7	1576	+	0	0	484	0	0	0	0	0	-1	-1
chr1	944154	944574	SAMD11|ENSG00000187634.13	420	+	0.024446362	101.7095333	81	34770	850	1626	545	0	-1	-1
chr1	944203	944693	NOC2L|ENSG00000188976.11	490	-	0.008634861	84.69539246	118	52925	457	1354	164	0	-1	-1
chr1	965192	965719	KLHL17|ENSG00000187961.15	527	+	0.006739049	5.879886921	133	2671	18	94	10	0	-1	-1
chr1	974576	975865	PLEKHN1|ENSG00000187583.11	1289	+	0	0.688071874	206	86	0	11	0	0	-1	-1
chr1	975198	976171	PERM1|ENSG00000187642.10	973	-	0	0	169	0	0	0	0	0	-1	-1
chr1	998964	999058	HES4|ENSG00000188290.11	94	-	0.012761706	71.49692288	22	22019	281	1143	203	0	-1	-1
chr1	1014479	1014540	ISG15|ENSG00000187608.10	61	+	0.045212766	3.878223288	8	376	17	62	19	0	-1	-1
chr1	1054982	1056116	AGRN|ENSG00000188157.15	1134	+	0.010001961	13.01081361	246	5099	51	208	43	0	-1	-1
chr1	1070967	1071816	RNF223|ENSG00000237330.3	849	-	0	0	147	0	0	0	0	0	-1	-1
chr1	1081823	1082892	C1orf159|ENSG00000131591.18	1069	-	0.009562154	5.379471013	174	1987	19	86	15	0	-1	-1
chr1	1197848	1197936	TTLL10|ENSG00000162571.14	88	+	0	0	10	0	0	0	0	0	-1	-1
chr1	1203508	1203843	TNFRSF18|ENSG00000186891.14	335	-	0	0	54	0	0	0	0	0	-1	-1
chr1	1211340	1211554	TNFRSF4|ENSG00000186827.12	214	-	0	0	34	0	0	0	0	0	-1	-1
chr1	1216931	1217511	SDF4|ENSG00000078808.20	580	-	0.011802308	178.4608233	104	72274	853	2853	577	0	-1	-1
chr1	1233269	1235041	B3GALT6|ENSG00000176022.7	1772	+	0.042516898	88.01064785	423	46899	1994	1407	887	0	-1	-1
chr1	1242453	1242547	C1QTNF12|ENSG00000184163.3	94	-	0	0	12	0	0	0	0	0	-1	-1
chr1	1253912	1255202	UBE2J2|ENSG00000160087.21	1290	-	0.03318366	99.77042169	296	63917	2121	1595	883	0	-1	-1
chr1	1291611	1292025	SCNN1D|ENSG00000162572.21	414	+	0	1.939111644	69	714	0	31	0	0	-1	-1
chr1	1292391	1293563	ACAP3|ENSG00000131584.19	1172	-	0.01829587	5.692230955	232	1913	35	91	16	0	-1	-1
chr1	1311380	1311677	PUSL1|ENSG00000169972.12	297	+	0.013459119	21.33022809	53	7950	107	341	73	0	-1	-1
chr1	1311600	1311858	INTS11|ENSG00000127054.22	258	-	0.003047314	13.38612554	53	6235	19	214	23	0	-1	-1
chr1	1327764	1328896	CPTP|ENSG00000224051.7	1132	+	0.053053525	12.94826162	175	4241	225	207	127	0	-1	-1
chr1	1334465	1335314	TAS1R3|ENSG00000169962.5	849	+	0	0	120	0	0	0	0	0	-1	-1
chr1	1335278	1336141	DVL1|ENSG00000107404.21	863	-	0.021474389	37.90650504	176	21514	462	606	222	0	-1	-1
chr1	1352691	1353603	MXRA8|ENSG00000162576.17	912	-	0.033419023	0.750623862	205	389	13	12	5	0	-1	-1
chr1	1373736	1373800	AURKAIP1|ENSG00000175756.14	64	-	0.00867131	141.0547341	17	29292	254	2255	244	0	-1	-1
chr1	1385711	1387230	CCNL2|ENSG00000221978.13	1519	-	0.043263564	51.66794252	395	31389	1358	826	512	0	-1	-1
chr1	1401909	1402082	MRPL20|ENSG00000242485.6	173	-	0.013226676	307.2553676	56	167389	2214	4912	1094	0	-1	-1
chr1	1418420	1419099	ANKRD65|ENSG00000235098.9	679	-	0	0.250207954	150	152	0	4	0	0	-1	-1
chr1	1427788	1430255	TMEM88B|ENSG00000205116.4	2467	+	0	0	534	0	0	0	0	0	-1	-1
chr1	1439788	1442882	VWA1|ENSG00000179403.12	3094	+	0.008789723	3.502911357	546	1479	13	56	6	0	-1	-1
chr1	1468531	1470163	ATAD3C|ENSG00000215915.10	1632	+	0.071428571	0.062551989	356	14	1	1	1	0	-1	-1
chr1	1495818	1497848	ATAD3B|ENSG00000160072.20	2030	+	0.00958324	13.32357356	425	4487	43	213	42	0	-1	-1
chr1	1534073	1534685	ATAD3A|ENSG00000197785.14	612	+	0.006517205	47.9773752	115	15344	100	767	66	0	-1	-1
chr1	1534778	1535358	TMEM240|ENSG00000205090.9	580	-	0.076923077	0.375311931	91	78	6	6	6	0	-1	-1
chr1	1541673	1542065	SSU72|ENSG00000160075.12	392	-	0.016458397	60.11246097	116	29529	486	961	221	0	-1	-1
chr1	1598012	1599334	FNDC10|ENSG00000228594.4	1322	-	0.003244646	4.378639197	250	1541	5	70	5	0	-1	-1
chr1	1630531	1630605	MIB2|ENSG00000197530.13	74	+	0	6.317750841	15	1355	0	101	1	0	-1	-1
chr1	1634626	1634654	MMP23B|ENSG00000189409.14	28	+	0	0	8	0	0	0	0	0	-1	-1
chr1	1635225	1635763	CDK11B|ENSG00000248333.9	538	-	0	0	139	0	0	0	0	0	-1	-1
chr1	1661478	1665781	SLC35E2B|ENSG00000189339.12	4303	-	0.019161125	24.33272353	1091	15187	291	389	109	0	-1	-1
chr1	1702379	1702906	CDK11A|ENSG00000008128.23	527	-	0	0	139	0	0	0	0	0	-1	-1
chr1	1751232	1752903	NADK|ENSG00000008130.15	1671	-	0.008373824	20.07918832	446	9673	81	321	51	0	-1	-1
chr1	1917194	1917296	CALML6|ENSG00000169885.10	102	+	0	0	15	0	0	0	0	0	-1	-1
chr1	1917591	1917881	TMEM52|ENSG00000178821.13	290	-	0.029545455	1.188487782	53	440	13	19	8	0	-1	-1
chr1	1921957	1922286	CFAP74|ENSG00000142609.20	329	-	0	0	47	0	0	0	0	0	-1	-1
