rownames(readCount),DMSO.Total.1,DMSO.Total.2,DMSO.Total.3,TPG.Total.1,TPG.Total.2,TPG.Total.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SAMD11|ENSG00000187634.13|chr1,1626,1174,1282,1792,1673,1543,0.0174888362495863,0.0815657750547885,2340.0,0.209249022484958,0.0880579012015586,1497.08683964492,2.37626629331082,0,10.547942193093446,ns
NOC2L|ENSG00000188976.11|chr1,1354,1074,1091,1177,1088,1051,0.0509099207704944,0.172861876586666,3298.0,-0.172670384037795,0.0884473915822751,1131.4081355388,-1.95223828480204,0,10.143903734681889,ns
KLHL17|ENSG00000187961.15|chr1,94,45,77,125,117,144,0.0116458085148315,0.0605868180572583,2088.0,0.763609341840703,0.302695401326276,98.7747555154342,2.52269885335195,0,6.62607046517553,ns
HES4|ENSG00000188290.11|chr1,1143,941,801,1255,1126,1169,0.0393108691523932,0.144875499840776,3016.0,0.214773733216415,0.104212656266644,1060.98676562393,2.06091794327632,0,10.05119094535604,ns
ISG15|ENSG00000187608.10|chr1,62,32,37,55,36,44,0.938518180702505,0.974954787826056,13811.0,-0.0324362372977431,0.420526489839121,43.7373028753632,-0.0771324472571325,0,5.450792352120379,ns
AGRN|ENSG00000188157.15|chr1,208,167,180,76,40,52,3.5775284973772795e-11,2.3971705190970403e-09,158.0,-1.81490431882527,0.274130040031826,121.509841716372,-6.62059626378256,0,6.924929359740587,down
C1orf159|ENSG00000131591.18|chr1,86,45,70,107,88,48,0.6176586740162,0.801268518785628,10354.0,0.180473023529377,0.361545233791911,72.6350485158545,0.49917135301872,0,6.182593953282993,ns
SDF4|ENSG00000078808.20|chr1,2853,2265,2337,2484,2354,2278,0.0221921204962989,0.09609883909167,2535.0,-0.153792866298831,0.0672446875139698,2412.1631478822,-2.28706343927736,0,11.236111772613446,ns
B3GALT6|ENSG00000176022.7|chr1,1407,1050,1105,1349,1253,1217,0.866364846423438,0.944902137373697,13120.0,0.0152791701510959,0.0907973760279328,1218.80719400151,0.16827766197115,0,10.25125420532232,ns
UBE2J2|ENSG00000160087.21|chr1,1595,1423,1343,2067,1782,1855,0.0001510427731755,0.002060682783002,781.0,0.29814015941989,0.0786784704094202,1659.98542813373,3.78934869816933,0,10.696954861865928,ns
SCNN1D|ENSG00000162572.21|chr1,31,30,18,28,59,16,0.611862229025998,0.797069695914636,10298.0,0.283964699521393,0.55962783027046,29.8245159150625,0.507417044259857,0,4.898426816458948,ns
ACAP3|ENSG00000131584.19|chr1,91,57,41,101,127,80,0.0629458428567725,0.198631188770388,3560.0,0.625292107799864,0.33625559429983,81.1087554482497,1.85957384323042,0,6.341785752362991,ns
PUSL1|ENSG00000169972.12|chr1,341,391,330,461,465,376,0.191757622259201,0.414882442275235,5481.0,0.195663238981832,0.149887892349718,390.709586971655,1.30539722665065,0,8.60995284562079,ns
INTS11|ENSG00000127054.22|chr1,214,167,168,232,164,170,0.828762146350567,0.924660643209342,12687.0,-0.0452882351946947,0.209387184698291,184.049686299294,-0.216289431752717,0,7.523951480519037,ns
CPTP|ENSG00000224051.7|chr1,207,191,113,185,167,161,0.735901580791046,0.869336089693685,11741.0,-0.0799303518887427,0.236981185897281,169.191018638405,-0.33728564394723,0,7.402509176023705,ns
DVL1|ENSG00000107404.21|chr1,606,482,512,611,659,636,0.157961331415046,0.369577152638916,5016.0,0.167067781080053,0.118323194123968,579.084768861893,1.41196138522946,0,9.177630741210592,ns
AURKAIP1|ENSG00000175756.14|chr1,2255,2158,1962,2313,1979,1972,0.116627967178616,0.303918561247957,4418.0,-0.117390171557904,0.0748143777073537,2094.3102188492,-1.56908571794971,0,11.032259441375423,ns
CCNL2|ENSG00000221978.13|chr1,826,668,656,912,881,873,0.0273371971316163,0.111678883616588,2700.0,0.22437484231533,0.101680337660318,794.423378564886,2.20666893401648,0,9.633764269392444,ns
MRPL20|ENSG00000242485.6|chr1,4912,4003,3966,3909,3784,3657,3.25414036871044e-06,8.22233510346955e-05,419.0,-0.269053323831475,0.0578100770076103,4017.04209111424,-4.65409038974392,0,11.971917862879831,ns
VWA1|ENSG00000179403.12|chr1,56,42,21,22,47,51,0.919647598448702,0.967611696624245,13640.0,-0.0499825178995463,0.495476709696525,39.5694924749274,-0.100877633441459,0,5.306316656063505,ns
ATAD3B|ENSG00000160072.20|chr1,213,177,216,195,320,206,0.464967567659344,0.69371640907687,8614.0,0.159250542288228,0.217944957188694,219.213597633262,0.730691567001257,0,7.776193479996714,ns
ATAD3A|ENSG00000197785.14|chr1,767,747,606,887,918,712,0.187673928841906,0.410432531429304,5414.0,0.154160919379627,0.11701094051696,765.036386529353,1.31749149864565,0,9.579384556425847,ns
SSU72|ENSG00000160075.12|chr1,961,816,845,861,909,785,0.184644456294294,0.406699534132007,5369.0,-0.127079359235614,0.0957940217220177,857.305277257074,-1.32658966552613,0,9.74366521390338,ns
FNDC10|ENSG00000228594.4|chr1,70,146,73,63,57,50,0.0164791276026039,0.0779903996105352,2302.0,-0.876541882179522,0.365510957425653,77.2919793661934,-2.39812750991963,0,6.2722468074983055,ns
MIB2|ENSG00000197530.13|chr1,101,97,92,82,121,78,0.627609573087908,0.808333643586579,10511.0,-0.139028144377152,0.286600341454793,94.6248705778273,-0.485094133773326,0,6.564147516756094,ns
SLC35E2B|ENSG00000189339.12|chr1,389,300,345,246,246,309,0.0097880104009075,0.0530597368737367,1996.0,-0.449118080482945,0.173859128186924,305.526154135244,-2.58322979740286,0,8.255152074977987,ns
NADK|ENSG00000008130.15|chr1,321,283,223,308,372,306,0.329557381988142,0.572274680722085,7136.0,0.167286610414375,0.171574989688409,299.139552726236,0.975005801942219,0,8.224674868367655,ns
TMEM52|ENSG00000178821.13|chr1,19,12,13,9,6,7,0.171206300530857,1.0,5189.0,-1.08173870654346,0.790549341115256,10.9803775318077,-1.36833800280879,0,3.4568557534110953,ns
GABRD|ENSG00000187730.9|chr1,13,7,17,19,3,24,0.770719618981816,1.0,12034.0,0.240405376467317,0.824905801298867,13.7934011566304,0.291433732298626,0,3.785906333232696,ns
PRKCZ|ENSG00000067606.17|chr1,294,197,177,415,399,371,2.25598428751658e-05,0.0004027673803024,594.0,0.746632621792586,0.176178956862023,303.190236753363,4.23792168537655,0,8.244079486772216,up
FAAP20|ENSG00000162585.17|chr1,158,160,160,181,150,134,0.526511773706931,0.739477334602717,9336.0,-0.137247174387131,0.216703855117225,156.30490459966,-0.633339791361294,0,7.288219238301627,ns
SKI|ENSG00000157933.10|chr1,1739,1339,1337,1433,1210,1227,0.0025786340577474,0.0190806877931369,1444.0,-0.276045799094897,0.0915891292536678,1371.95644517066,-3.01395811210687,0,10.422018966366906,ns
RER1|ENSG00000157916.20|chr1,1680,1516,1413,1611,1731,1393,0.522514889995105,0.736812651070427,9287.0,-0.0525344310706332,0.0821526205427813,1545.64681753863,-0.639473588590831,0,10.593994983746454,ns
PEX10|ENSG00000157911.11|chr1,648,586,552,593,502,581,0.144624852150853,0.350777390543204,4797.0,-0.179267974461683,0.122888721991391,574.452683063772,-1.45878296687179,0,9.16604425458593,ns
PRDM16|ENSG00000142611.17|chr1,172,145,202,156,196,77,0.180210027080026,0.401913536274749,5297.0,-0.380992574461008,0.284299766965934,157.026381415425,-1.34010864140687,0,7.294863151056205,ns
ARHGEF16|ENSG00000130762.15|chr1,13,27,25,38,42,54,0.059552239873222,0.191868400346257,3484.0,0.943212481543727,0.500618547062205,32.9639560389311,1.88409416127071,0,5.042817487143347,ns
TPRG1L|ENSG00000158109.15|chr1,395,363,426,282,301,250,9.04410791448485e-05,0.0013335650486163,721.0,-0.601783076826458,0.153716015372966,336.302785898374,-3.9149016149445,0,8.393616919828995,down
WRAP73|ENSG00000116213.16|chr1,704,583,609,717,777,749,0.152977122405024,0.362562971771209,4937.0,0.156105289372846,0.109233719484295,683.994918917651,1.42909433195022,0,9.417841797810555,ns
TP73|ENSG00000078900.15|chr1,238,159,213,190,358,239,0.224433201431966,0.457817784886364,5877.0,0.284191311773591,0.233936189302727,230.26680932465,1.21482406215411,0,7.847162665718471,ns
SMIM1|ENSG00000235169.11|chr1,8,17,9,43,6,25,0.182994644194408,1.0,5337.0,1.00948224239408,0.758102367039602,17.7233400016446,1.33159093848515,0,4.147578603393305,ns
LRRC47|ENSG00000130764.10|chr1,2167,1639,1925,2316,2320,1945,0.168455253537122,0.385357772082435,5152.0,0.110219086316405,0.0800321938531778,2030.98367747854,1.37718436806326,0,10.987962929753863,ns
