rownames(tcReadCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	545	396	454	480	572	430	0.999736925737119	0.999736925737119	13635	-4.6918913733162e-05	0.142301553139726	474.899521896264	-0.000329714698806501
NOC2L|ENSG00000188976.11|chr1	164	100	201	129	111	132	0.134904423828657	0.446378113816924	3210	-0.408398898879381	0.273169506637454	139.250678840834	-1.49503838809286
KLHL17|ENSG00000187961.15|chr1	10	0	12	30	35	29	0.00829267326506168	1	898	2.01880824002795	0.764724605599312	18.7920358960555	2.63991536985503
PLEKHN1|ENSG00000187583.11|chr1	0	4	3	0	0	0	0.185724245057584	1	3934	-3.80717416204299	2.87695580247766	1.24415345983982	-1.32333425447976
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
HES4|ENSG00000188290.11|chr1	203	177	146	255	227	222	0.0861340861542407	0.355705648737295	2495	0.332781518635747	0.193911361324091	202.529261777735	1.71615276363079
ISG15|ENSG00000187608.10|chr1	19	3	2	11	8	9	0.851580735759476	1	12048	0.189548942621359	1.01307864379722	8.39419373508858	0.187101903472065
AGRN|ENSG00000188157.15|chr1	43	20	42	23	14	17	0.0568720776413499	1	1985	-1.04346172898193	0.547952393292698	26.4648979162704	-1.9042926753393
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	15	2	17	13	18	15	0.656331463532424	1	9724	0.361994011314921	0.81349930875663	13.138758799564	0.444983797058415
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	577	379	462	469	472	535	0.891379033370426	0.96895936224482	12450	-0.0205009066559524	0.150124412690471	478.631994545439	-0.136559446185621
B3GALT6|ENSG00000176022.7|chr1	887	604	577	839	801	798	0.21517479072571	0.549653168580957	4325	0.157988808037037	0.127465726525413	742.080844695722	1.23946108764805
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	883	669	694	866	730	803	0.924907848472999	0.976754457722321	12815	0.0107347796209446	0.11389273003312	767.513971097336	0.0942534226532536
SCNN1D|ENSG00000162572.21|chr1	0	9	5	0	6	0	0.45713213840916	1	7242	-1.38257962115985	1.85936190831738	3.43904702641411	-0.743577468687098
ACAP3|ENSG00000131584.19|chr1	16	4	0	3	26	9	0.431914026231813	1	6947	0.895790645647509	1.13979794727851	9.35389996003894	0.785920564066978
PUSL1|ENSG00000169972.12|chr1	73	62	60	82	39	44	0.370787574692037	0.699414694501236	6243	-0.337534542425562	0.377133950616956	59.5489162743707	-0.894999089510205
INTS11|ENSG00000127054.22|chr1	23	46	36	38	30	22	0.495149274204232	1	7719	-0.33999619026617	0.498424486683028	32.5668240621088	-0.682141827599233
CPTP|ENSG00000224051.7|chr1	127	93	62	67	87	77	0.257682234858464	0.593286448051548	4895	-0.36329603504279	0.320965128544302	84.8713822477482	-1.1318863101748
TAS1R3|ENSG00000169962.5|chr1	0	0	3	0	0	0	0.518628585230014	1	7982.5	-2.57675992161464	3.99212430414498	0.53014439774689	-0.645460843726538
DVL1|ENSG00000107404.21|chr1	222	162	129	172	239	160	0.760128672656794	0.92289030471605	10862	0.0720951817638996	0.236136226974218	178.431894601305	0.305311822280327
MXRA8|ENSG00000162576.17|chr1	5	0	12	8	4	0	0.673967255320725	1	9968	-0.633743522253093	1.50636861885719	4.78285762795041	-0.420709456051923
AURKAIP1|ENSG00000175756.14|chr1	244	315	191	204	169	170	0.0102142438872837	0.0978369837106891	970	-0.56317451506502	0.219262816347756	215.758237316725	-2.56849074752288
CCNL2|ENSG00000221978.13|chr1	512	330	333	479	520	527	0.0559929861345289	0.283079256668539	1974	0.300964130760171	0.1574829516771	444.55430971877	1.91109023265745
MRPL20|ENSG00000242485.6|chr1	1094	834	851	955	956	935	0.62070183698577	0.858545731983775	9250	-0.0497914486803537	0.100618074787681	930.059021130985	-0.494855907205747
ANKRD65|ENSG00000235098.9|chr1	0	0	0	4	0	0	0.494650202166298	1	7706	2.71480161302353	3.97521871281218	0.618046746827341	0.682931382938426
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	6	2	0	0	9	15	0.287167384911058	1	5241	1.58125939577844	1.48564874457159	5.27413371504999	1.06435616195026
ATAD3C|ENSG00000215915.10|chr1	1	0	0	1	0	0	0.982141113506497	1	13451.5	-0.0913400145584324	4.0804728567969	0.313221976640444	-0.0223846641710375
ATAD3B|ENSG00000160072.20|chr1	42	31	59	75	118	84	0.00783168249034087	0.0821385353494164	882	0.976197540436646	0.367096247088338	67.1087428383019	2.65924140652338
ATAD3A|ENSG00000197785.14|chr1	66	81	72	92	116	77	0.361933351064846	0.691482551113726	6143	0.278822807108958	0.305831623353146	83.2645719645707	0.911687300521567
TMEM240|ENSG00000205090.9|chr1	6	0	0	0	0	0	0.329387973933898	1	5746	-3.43273548484297	3.51950037805441	0.95226173960165	-0.975347383466002
SSU72|ENSG00000160075.12|chr1	221	213	210	144	157	161	0.0045261257801605	0.0555484860164283	746	-0.568195858917324	0.200142468463539	184.564781177055	-2.83895698538781
FNDC10|ENSG00000228594.4|chr1	5	9	6	11	0	3	0.610471188503212	1	9102	-0.641260204620373	1.25885152933513	5.66827688538843	-0.509400981511345
MIB2|ENSG00000197530.13|chr1	1	0	0	0	5	2	0.329351690349593	1	5740	2.61839358037917	2.6843739960583	1.28836262147864	0.975420557725556
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	3	0	0	0.564902906233595	1	8602.5	2.30097353756438	3.99769976039966	0.463535060120506	0.575574374133175
SLC35E2B|ENSG00000189339.12|chr1	109	56	69	101	71	121	0.43962476632972	0.748401480200461	7036	0.257428735488387	0.333100075802103	86.8247599916856	0.772827009626161
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
NADK|ENSG00000008130.15|chr1	51	62	34	77	110	95	0.0149838390856811	0.125247914051633	1120	0.850876476866581	0.349756317543893	70.5603104385557	2.43276942884612
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	8	0	0	5	1	0	0.83699974434895	1	11904	-0.453201780816018	2.20286744101088	2.20039952641307	-0.205732661157336
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16570	NA	NA	0	NA
