baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OR4F5|ENSG00000186092.7|chr1	0	NA	NA	NA	NA	NA
SAMD11|ENSG00000187634.13|chr1	575.876009821628	-0.00810782621785688	0.196070517626427	-0.0413515826652976	0.967015611188948	0.99116807800949
NOC2L|ENSG00000188976.11|chr1	142.832481353306	1.42113787380028	0.434115528795764	3.27363980215707	0.00106171855772355	0.0509512754338529
KLHL17|ENSG00000187961.15|chr1	11.6650346706238	-7.26855939255461	1.88303153638583	-3.86003062195411	0.000113372816829155	0.0135540186014435
PLEKHN1|ENSG00000187583.11|chr1	0.577514257683869	3.76155535537462	6.14966319588353	0.611668515097304	0.540757096969411	0.945883249825918
PERM1|ENSG00000187642.10|chr1	0	NA	NA	NA	NA	NA
HES4|ENSG00000188290.11|chr1	201.368784579821	-1.26286178187914	0.294652742028635	-4.2859325631404	1.81974188147882e-05	0.00364724442686395
ISG15|ENSG00000187608.10|chr1	6.15495960483123	-2.07872411802331	2.16871615057715	-0.958504467018477	0.33780844005411	0.836937144064255
AGRN|ENSG00000188157.15|chr1	17.0304074479761	-1.95308402294148	1.41916424868295	-1.37622126878832	0.168753139236129	0.646052574720835
RNF223|ENSG00000237330.3|chr1	0	NA	NA	NA	NA	NA
C1orf159|ENSG00000131591.18|chr1	13.1017184345679	-0.052622925690698	1.32906124132684	-0.0395940563567735	0.968416766065206	0.991328834662963
TTLL10|ENSG00000162571.14|chr1	0	NA	NA	NA	NA	NA
TNFRSF18|ENSG00000186891.14|chr1	0	NA	NA	NA	NA	NA
TNFRSF4|ENSG00000186827.12|chr1	0	NA	NA	NA	NA	NA
SDF4|ENSG00000078808.20|chr1	515.996533706708	-0.0489457798174294	0.243797050246972	-0.20076444636162	0.840882764551761	0.97395246596503
B3GALT6|ENSG00000176022.7|chr1	727.160133894904	-0.227157771905052	0.190654321777819	-1.19146405802315	0.233471458404027	0.734360144608467
C1QTNF12|ENSG00000184163.3|chr1	0	NA	NA	NA	NA	NA
UBE2J2|ENSG00000160087.21|chr1	829.589263836445	-0.295433385927602	0.187763614899413	-1.57343256352339	0.115618691840146	0.56349274990306
SCNN1D|ENSG00000162572.21|chr1	1.58837769680502	1.96814095771884	5.03593912074675	0.390819052917184	0.695930990641041	0.973449248026075
