baseMean	log2FoldChange	lfcSE	pvalue	padj
OR4F5|ENSG00000186092.7|chr1	0	NA	NA	NA	NA
SAMD11|ENSG00000187634.13|chr1	474.899521896264	-0.000822547945183032	0.13740475060919	0.989272215533004	0.996311395234477
NOC2L|ENSG00000188976.11|chr1	139.250678840834	-0.155381131868566	0.215818318658304	0.209900324120783	0.646810751329983
KLHL17|ENSG00000187961.15|chr1	18.7920358960555	0.128921515308285	0.278446659874581	0.00874976374477729	NA
PLEKHN1|ENSG00000187583.11|chr1	1.24415345983982	-0.00941710860522032	0.226944701961394	0.385610730461386	NA
PERM1|ENSG00000187642.10|chr1	0	NA	NA	NA	NA
HES4|ENSG00000188290.11|chr1	202.529261777735	0.185795678301244	0.200282402525919	0.154244363852664	0.581262985429054
ISG15|ENSG00000187608.10|chr1	8.39419373508858	0.0239260982288371	0.22498017004403	0.519932030855406	NA
AGRN|ENSG00000188157.15|chr1	26.4648979162704	-0.121833806409457	0.258346655686102	0.118221259538305	NA
RNF223|ENSG00000237330.3|chr1	0	NA	NA	NA	NA
C1orf159|ENSG00000131591.18|chr1	13.138758799564	0.0288595089897378	0.224201058346829	0.510360947226942	NA
TTLL10|ENSG00000162571.14|chr1	0	NA	NA	NA	NA
TNFRSF18|ENSG00000186891.14|chr1	0	NA	NA	NA	NA
TNFRSF4|ENSG00000186827.12|chr1	0	NA	NA	NA	NA
SDF4|ENSG00000078808.20|chr1	478.631994545439	-0.0101051312242513	0.135595166748386	0.924248465185529	0.984824463684706
B3GALT6|ENSG00000176022.7|chr1	742.080844695722	0.127776006026929	0.127289586016469	0.226197590824369	0.661180945495603
C1QTNF12|ENSG00000184163.3|chr1	0	NA	NA	NA	NA
UBE2J2|ENSG00000160087.21|chr1	767.513971097336	0.00860518050344602	0.11118046835218	0.930446605477439	0.985334283045485
SCNN1D|ENSG00000162572.21|chr1	3.43904702641411	-0.016058718336812	0.226918563120116	0.402629341520434	NA
ACAP3|ENSG00000131584.19|chr1	9.35389996003894	0.0273840399206411	0.227471998850998	0.197036963785057	NA
PUSL1|ENSG00000169972.12|chr1	59.5489162743707	-0.086074249581397	0.219702937317304	0.367457037789898	0.778880149187699
INTS11|ENSG00000127054.22|chr1	32.5668240621088	-0.0359141958565767	0.216468279291485	0.617707556899195	NA
CPTP|ENSG00000224051.7|chr1	84.8713822477482	-0.0883465348860871	0.212773426052645	0.389054272869437	0.792212263025737
TAS1R3|ENSG00000169962.5|chr1	0.53014439774689	-0.00401309203038727	0.22674054612425	0.696603981137342	NA
DVL1|ENSG00000107404.21|chr1	178.431894601305	0.0314698281038443	0.175108054957575	0.779384013674411	0.956421268696116
MXRA8|ENSG00000162576.17|chr1	4.78285762795041	0.00127615267542947	0.225860655137375	0.937085298748675	NA
AURKAIP1|ENSG00000175756.14|chr1	215.758237316725	-0.332490116700841	0.257605927494764	0.0345794284773232	0.287077059162719
CCNL2|ENSG00000221978.13|chr1	444.55430971877	0.21518294879221	0.172102228806996	0.0907437301660915	0.472581738650961
MRPL20|ENSG00000242485.6|chr1	930.059021130985	-0.0361565698683379	0.107161512092484	0.700036478658437	0.928121011629818
ANKRD65|ENSG00000235098.9|chr1	0.618046746827341	0.00414774594734008	0.226730987318605	0.72493964808184	NA
TMEM88B|ENSG00000205116.4|chr1	0	NA	NA	NA	NA
VWA1|ENSG00000179403.12|chr1	5.27413371504999	0.0107315271026413	0.226444236901724	0.368578206805988	NA
ATAD3C|ENSG00000215915.10|chr1	0.313221976640444	-9.83576014759654e-05	0.226556731037067	0.982182011459818	NA
ATAD3B|ENSG00000160072.20|chr1	67.1087428383019	0.394266675542756	0.53696390607412	0.0225725304844435	0.223693582009845
ATAD3A|ENSG00000197785.14|chr1	83.2645719645707	0.0797678523597962	0.205356196924486	0.450223115839924	0.819590813528198
TMEM240|ENSG00000205090.9|chr1	0.95226173960165	-0.00426429381953982	0.226748004090255	0.672600838320013	NA
SSU72|ENSG00000160075.12|chr1	184.564781177055	-0.386084030540971	0.257539286595103	0.0199148913520708	0.208341613245954
