Gene	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	1626	1174	1282	1792	1673	1543
NOC2L|ENSG00000188976.11|chr1	1354	1074	1091	1177	1088	1051
KLHL17|ENSG00000187961.15|chr1	94	45	77	125	117	144
PLEKHN1|ENSG00000187583.11|chr1	11	10	13	4	0	2
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0
HES4|ENSG00000188290.11|chr1	1143	941	801	1255	1126	1169
ISG15|ENSG00000187608.10|chr1	62	32	37	55	36	44
AGRN|ENSG00000188157.15|chr1	208	167	180	76	40	52
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	86	45	70	107	88	48
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	2853	2265	2337	2484	2354	2278
B3GALT6|ENSG00000176022.7|chr1	1407	1050	1105	1349	1253	1217
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	1595	1423	1343	2067	1782	1855
SCNN1D|ENSG00000162572.21|chr1	31	30	18	28	59	16
ACAP3|ENSG00000131584.19|chr1	91	57	41	101	127	80
PUSL1|ENSG00000169972.12|chr1	341	391	330	461	465	376
INTS11|ENSG00000127054.22|chr1	214	167	168	232	164	170
CPTP|ENSG00000224051.7|chr1	207	191	113	185	167	161
TAS1R3|ENSG00000169962.5|chr1	0	0	3	0	0	0
DVL1|ENSG00000107404.21|chr1	606	482	512	611	659	636
MXRA8|ENSG00000162576.17|chr1	12	0	20	30	22	23
AURKAIP1|ENSG00000175756.14|chr1	2255	2158	1962	2313	1979	1972
CCNL2|ENSG00000221978.13|chr1	826	668	656	912	881	873
