rownames(tcReadCount),DMSO.L10a.1,DMSO.L10a.2,DMSO.L10a.3,TPG.L10a.1,TPG.L10a.2,TPG.L10a.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SAMD11|ENSG00000187634.13|chr1,728,210,702,413,293,310,0.0760318738290694,0.302842552977303,2407.0,-0.542083220669676,0.30553857850367,425.456037492713,-1.77418911655755,0,8.732866255251247,ns
NOC2L|ENSG00000188976.11|chr1,180,96,139,222,124,110,0.49837465487995,0.768719154169576,7690.0,0.248281456584558,0.366711028024855,144.824501904063,0.677049332063531,0,7.178161892921686,ns
KLHL17|ENSG00000187961.15|chr1,6,6,14,3,3,2,0.224323172549222,1.0,4321.0,-1.63952956121099,1.34928207153947,5.49094254336766,-1.21511253709935,0,2.4570538151553825,ns
HES4|ENSG00000188290.11|chr1,282,113,222,231,155,151,0.811543487265903,0.934995717491687,11199.0,-0.0777645442826104,0.326145258577425,188.510032812539,-0.238435305243444,0,7.558497497903766,ns
AGRN|ENSG00000188157.15|chr1,17,6,5,2,2,1,0.097490104336935,1.0,2730.0,-2.41245080774654,1.45578714278226,5.25248971373861,-1.65714529057863,0,2.393001431586027,ns
SDF4|ENSG00000078808.20|chr1,759,479,638,504,539,504,0.205851176843063,0.517072581540326,4120.0,-0.219887630784513,0.173816489789006,560.109542566617,-1.26505621561816,0,9.129565197414149,ns
B3GALT6|ENSG00000176022.7|chr1,1014,643,1075,725,808,862,0.449623472240558,0.737657920149635,7065.0,-0.12310259458348,0.162824879161904,836.72950179489,-0.756042904604729,0,9.708617492966372,ns
UBE2J2|ENSG00000160087.21|chr1,1191,754,1041,649,804,822,0.0270232031243722,0.167983724621662,1463.0,-0.339502873520608,0.153539057317679,857.776759234453,-2.21118247989606,0,9.744458417625761,ns
PUSL1|ENSG00000169972.12|chr1,93,64,127,94,124,76,0.783601179147421,0.922059567432597,10838.0,0.0983724675140996,0.358201131969514,93.6571534334046,0.2746291363548,0,6.5493172850712655,ns
INTS11|ENSG00000127054.22|chr1,38,16,28,75,40,36,0.0841991605385581,0.320073214415929,2532.0,1.00929570763551,0.584480716751617,39.0315387559016,1.72682464743216,0,5.28656843472671,ns
CPTP|ENSG00000224051.7|chr1,225,103,165,83,41,144,0.0858559176372794,0.323095558663283,2560.0,-0.748680821512311,0.435868738503896,124.383312329277,-1.7176749681157,0,6.95864913155571,ns
DVL1|ENSG00000107404.21|chr1,278,242,210,122,128,148,0.0027227085501851,0.0388546883190078,596.0,-0.84687840467042,0.282535312169175,187.054920076128,-2.99742498793684,0,7.547318103143169,down
AURKAIP1|ENSG00000175756.14|chr1,459,231,440,152,249,274,0.0069254001711445,0.0712424630551742,848.0,-0.681012512165404,0.252188529672045,289.665706827297,-2.70041033607284,0,8.17824508557152,ns
CCNL2|ENSG00000221978.13|chr1,264,206,225,105,209,217,0.18213991059867,0.482489442045096,3859.0,-0.377889682216841,0.283234190990502,200.046030386427,-1.33419514393837,0,7.644188190622014,ns
