RIBO-DMSO-1	RIBO-DMSO-2	RIBO-DMSO-3	RIBO-TPG-1	RIBO-TPG-2	RIBO-TPG-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	2024	2362	1872	2294	2083	1463
NOC2L|ENSG00000188976.11|chr1	1146	1738	1344	2452	1524	1079
KLHL17|ENSG00000187961.15|chr1	77	77	76	75	103	90
PLEKHN1|ENSG00000187583.11|chr1	0	4	0	14	2	0
PERM1|ENSG00000187642.10|chr1	0	1	0	0	0	0
HES4|ENSG00000188290.11|chr1	1846	2078	1657	1295	1205	693
ISG15|ENSG00000187608.10|chr1	60	7	20	66	53	54
AGRN|ENSG00000188157.15|chr1	102	122	74	10	27	0
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	79	90	66	101	92	46
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	21	0	0
SDF4|ENSG00000078808.20|chr1	2983	4202	3008	2923	2332	2312
B3GALT6|ENSG00000176022.7|chr1	1275	1551	931	1234	931	812
C1QTNF12|ENSG00000184163.3|chr1	2	0	2	0	0	0
UBE2J2|ENSG00000160087.21|chr1	1703	2178	1669	2473	2133	1639
SCNN1D|ENSG00000162572.21|chr1	0	5	1	10	12	13
ACAP3|ENSG00000131584.19|chr1	71	82	63	103	76	51
PUSL1|ENSG00000169972.12|chr1	649	637	491	646	412	500
INTS11|ENSG00000127054.22|chr1	172	299	163	276	242	134
CPTP|ENSG00000224051.7|chr1	167	248	180	185	164	130
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0
DVL1|ENSG00000107404.21|chr1	490	607	406	470	523	224
MXRA8|ENSG00000162576.17|chr1	9	30	11	29	0	0
AURKAIP1|ENSG00000175756.14|chr1	4349	5245	3778	3291	3304	2675
CCNL2|ENSG00000221978.13|chr1	205	258	219	197	263	205
MRPL20|ENSG00000242485.6|chr1	8153	10011	7416	6746	6504	5397
ANKRD65|ENSG00000235098.9|chr1	0	5	1	0	9	0
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	60	67	59	112	65	42
ATAD3C|ENSG00000215915.10|chr1	0	0	5	0	0	0
ATAD3B|ENSG00000160072.20|chr1	114	234	123	214	176	262
ATAD3A|ENSG00000197785.14|chr1	798	1148	1021	1107	955	793
TMEM240|ENSG00000205090.9|chr1	0	6	0	0	14	2
SSU72|ENSG00000160075.12|chr1	999	1300	1129	923	881	717
FNDC10|ENSG00000228594.4|chr1	97	114	92	35	12	122
MIB2|ENSG00000197530.13|chr1	118	94	167	48	39	34
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	176	190	134	114	154	151
CDK11A|ENSG00000008128.23|chr1	0	0	0	1	0	0
NADK|ENSG00000008130.15|chr1	416	438	408	228	328	380
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	29	16	3	0	21	0
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	13	17	10	27	41	2
PRKCZ|ENSG00000067606.17|chr1	259	322	238	401	340	312
FAAP20|ENSG00000162585.17|chr1	305	366	266	144	48	230
SKI|ENSG00000157933.10|chr1	1115	1387	969	976	619	308
MORN1|ENSG00000116151.14|chr1	0	0	0	10	0	0
RER1|ENSG00000157916.20|chr1	2275	2947	2243	2065	1882	1370
PEX10|ENSG00000157911.11|chr1	690	784	747	360	597	397
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	81	99	102	67	49	21
ARHGEF16|ENSG00000130762.15|chr1	0	50	47	21	1	11
MEGF6|ENSG00000162591.17|chr1	33	13	15	7	31	0
TPRG1L|ENSG00000158109.15|chr1	440	454	319	203	252	202
WRAP73|ENSG00000116213.16|chr1	720	853	530	753	659	533
TP73|ENSG00000078900.15|chr1	147	195	161	189	199	125
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	22	14	27	8	1	1
LRRC47|ENSG00000130764.10|chr1	1875	2310	1762	2314	1937	1610
CEP104|ENSG00000116198.14|chr1	173	234	204	187	199	128
DFFB|ENSG00000169598.17|chr1	210	214	175	263	355	245
C1orf174|ENSG00000198912.12|chr1	401	563	455	491	250	551
NPHP4|ENSG00000131697.18|chr1	47	104	75	77	115	87
KCNAB2|ENSG00000069424.16|chr1	43	35	43	49	13	1
RPL22|ENSG00000116251.11|chr1	3421	4153	3294	4058	3059	3616
RNF207|ENSG00000158286.13|chr1	0	5	12	0	1	0
ICMT|ENSG00000116237.16|chr1	1588	1689	1320	1129	1214	1168
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	72	181	134	52	21	27
ACOT7|ENSG00000097021.20|chr1	1792	2099	1804	1915	1503	1672
