Gene	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	1014	507	1346	1197	992	901
NOC2L|ENSG00000188976.11|chr1	1426	630	1174	1218	1088	945
KLHL17|ENSG00000187961.15|chr1	38	59	71	118	69	77
PLEKHN1|ENSG00000187583.11|chr1	3	8	2	42	8	8
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0
HES4|ENSG00000188290.11|chr1	1504	938	1206	800	1157	1093
ISG15|ENSG00000187608.10|chr1	29	58	69	4	42	46
AGRN|ENSG00000188157.15|chr1	96	67	91	7	9	18
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	103	46	96	58	92	66
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	2824	2114	3087	1745	2260	2068
B3GALT6|ENSG00000176022.7|chr1	601	382	562	387	480	449
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	909	521	908	1066	1290	1079
SCNN1D|ENSG00000162572.21|chr1	56	30	6	21	20	22
ACAP3|ENSG00000131584.19|chr1	53	30	59	89	55	57
PUSL1|ENSG00000169972.12|chr1	778	481	593	467	579	459
INTS11|ENSG00000127054.22|chr1	272	156	182	301	232	149
CPTP|ENSG00000224051.7|chr1	126	84	100	119	77	75
TAS1R3|ENSG00000169962.5|chr1	1	0	8	0	7	5
DVL1|ENSG00000107404.21|chr1	397	330	490	331	426	373
MXRA8|ENSG00000162576.17|chr1	9	13	19	18	12	10
AURKAIP1|ENSG00000175756.14|chr1	4193	2804	3781	2455	2392	2098
CCNL2|ENSG00000221978.13|chr1	151	86	185	94	174	142
MRPL20|ENSG00000242485.6|chr1	7861	7607	7582	4302	5912	5374
ANKRD65|ENSG00000235098.9|chr1	9	0	1	0	0	0
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	1
VWA1|ENSG00000179403.12|chr1	67	26	16	42	12	19
