rownames(nonTcReadCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	545	396	454	480	572	430	0.00464582797438132	0.035091518523125	1409	0.307087988931455	0.108487994643989	1022.18731774866	2.83061724884108
NOC2L|ENSG00000188976.11|chr1	164	100	201	129	111	132	0.166117430532588	0.400349480185689	4782	-0.139777066091067	0.100937550539935	992.157456697961	-1.38478757750086
KLHL17|ENSG00000187961.15|chr1	10	0	12	30	35	29	0.124722578805843	0.335068450726479	4234	0.517356606793647	0.336985383453454	79.9827196193787	1.53524939714517
PLEKHN1|ENSG00000187583.11|chr1	0	4	3	0	0	0	0.0808228379712524	1	3532	-2.25811589039981	1.29335873721418	5.54087998622095	-1.7459316007434
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
HES4|ENSG00000188290.11|chr1	203	177	146	255	227	222	0.10713499206336	0.304703690836101	3961	0.187002833138518	0.116063941668566	858.457503846192	1.61120525849902
ISG15|ENSG00000187608.10|chr1	19	3	2	11	8	9	0.854995848780796	0.937957251205201	12616	-0.0851746993318067	0.466077643551136	35.3431091402746	-0.182747875832113
AGRN|ENSG00000188157.15|chr1	43	20	42	23	14	17	1.08701086957705e-10	1.09903070130795e-08	104	-2.07359275868827	0.321271738315255	95.0449438001011	-6.45432670038817
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	15	2	17	13	18	15	0.735240664252551	0.884370503061368	11176	0.140542909820809	0.415607501104825	59.4962897162905	0.338162591982094
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	577	379	462	469	472	535	0.0107637065533908	0.0640522775375802	1795	-0.186878005643919	0.0732775050630163	1933.53115333676	-2.55027795342117
B3GALT6|ENSG00000176022.7|chr1	887	604	577	839	801	798	0.127193206783583	0.339318170376817	4267	-0.206633150769766	0.135473675465498	476.726349305788	-1.52526422612923
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16732.5	NA	NA	0	NA
