rownames(tcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	682	809	730	728	210	702	0.082696088259884	0.42260843985281	1683	-0.724322474559911	0.417416178788303	630.006971396345	-1.73525251623574
NOC2L|ENSG00000188976.11|chr1	72	158	103	180	96	139	0.738640303878873	1	9935	0.107815019261625	0.323133739445081	119.547790781112	0.33365447831841
KLHL17|ENSG00000187961.15|chr1	11	9	16	6	6	14	0.443826641552221	1	6274	-0.73686917201732	0.962287578191605	10.442148221056	-0.765747359434997
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
HES4|ENSG00000188290.11|chr1	244	357	284	282	113	222	0.00209809629640953	0.070119710350639	179	-0.767855794125421	0.249629380652585	245.993930945982	-3.07598325212393
ISG15|ENSG00000187608.10|chr1	12	3	0	11	0	2	0.750730726049511	1	10072	-0.572635299199895	1.8025765814674	4.48840033459988	-0.317675989518147
AGRN|ENSG00000188157.15|chr1	7	22	24	17	6	5	0.202642664745876	1	3298	-1.16276484360102	0.912646313020286	13.4748031215506	-1.27405855588568
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	16	18	6	27	0	4	0.566631218490802	1	7794	-0.677876989769247	1.18299030641498	11.1606514157504	-0.573019902270828
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	605	755	533	759	479	638	0.114806402246471	0.488988451974958	2137	-0.230460651143348	0.146143030681807	614.162805333054	-1.57695272958396
B3GALT6|ENSG00000176022.7|chr1	892	1002	579	1014	643	1075	0.637142828200632	0.891364933406267	8685	-0.0764272762078715	0.162026087375408	841.036703780625	-0.471697350999981
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	1033	1210	1001	1191	754	1041	0.00423099667663811	0.100340389395858	250	-0.346347868598733	0.121083486978976	1021.31559351678	-2.86040547096956
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
ACAP3|ENSG00000131584.19|chr1	1	4	1	2	4	12	0.380103212053984	1	5452	1.42791102531418	1.62686685405376	3.69040775811988	0.877706139107928
PUSL1|ENSG00000169972.12|chr1	123	80	100	93	64	127	0.32316918504201	1	4751	-0.35739049545823	0.361743633490294	97.0839605967614	-0.987966234567663
INTS11|ENSG00000127054.22|chr1	26	30	30	38	16	28	0.582865300710898	1	7987	-0.325580330393028	0.59282196245166	27.3750094188285	-0.549204231649189
