Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	682	809	730	728	210	702
NOC2L|ENSG00000188976.11|chr1	72	158	103	180	96	139
KLHL17|ENSG00000187961.15|chr1	11	9	16	6	6	14
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	0	0	0
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0
HES4|ENSG00000188290.11|chr1	244	357	284	282	113	222
ISG15|ENSG00000187608.10|chr1	12	3	0	11	0	2
AGRN|ENSG00000188157.15|chr1	7	22	24	17	6	5
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	16	18	6	27	0	4
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	605	755	533	759	479	638
B3GALT6|ENSG00000176022.7|chr1	892	1002	579	1014	643	1075
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	1033	1210	1001	1191	754	1041
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0
ACAP3|ENSG00000131584.19|chr1	1	4	1	2	4	12
PUSL1|ENSG00000169972.12|chr1	123	80	100	93	64	127
INTS11|ENSG00000127054.22|chr1	26	30	30	38	16	28
CPTP|ENSG00000224051.7|chr1	112	154	107	225	103	165
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0
DVL1|ENSG00000107404.21|chr1	192	200	102	278	242	210
MXRA8|ENSG00000162576.17|chr1	0	11	0	4	0	4
AURKAIP1|ENSG00000175756.14|chr1	440	468	397	459	231	440
CCNL2|ENSG00000221978.13|chr1	116	206	124	264	206	225
MRPL20|ENSG00000242485.6|chr1	1666	1991	1466	1783	1894	1898
ANKRD65|ENSG00000235098.9|chr1	0	0	1	5	7	10
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	20	12	18	10	0	20
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0
ATAD3B|ENSG00000160072.20|chr1	19	44	18	49	44	40
ATAD3A|ENSG00000197785.14|chr1	67	93	107	89	55	87
TMEM240|ENSG00000205090.9|chr1	0	5	0	1	0	5
SSU72|ENSG00000160075.12|chr1	281	368	222	277	157	343
FNDC10|ENSG00000228594.4|chr1	33	11	35	19	1	10
MIB2|ENSG00000197530.13|chr1	4	0	2	0	0	0
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	9	55	7	99	65	101
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0
NADK|ENSG00000008130.15|chr1	32	49	50	67	36	57
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	0	9	3	1	0	5
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	0	3	0	0	0	0
PRKCZ|ENSG00000067606.17|chr1	127	80	74	97	71	159
FAAP20|ENSG00000162585.17|chr1	9	25	16	9	0	14
SKI|ENSG00000157933.10|chr1	883	1099	782	1160	810	1057
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0
RER1|ENSG00000157916.20|chr1	497	564	342	561	412	484
PEX10|ENSG00000157911.11|chr1	184	172	134	161	113	138
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	5	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
