ID	length
OR4F5|ENSG00000186092.7|chr1	981
OR4F29|ENSG00000284733.2|chr1	939
OR4F16|ENSG00000284662.2|chr1	939
SAMD11|ENSG00000187634.13|chr1	2535
NOC2L|ENSG00000188976.11|chr1	2250
KLHL17|ENSG00000187961.15|chr1	1929
PLEKHN1|ENSG00000187583.11|chr1	1836
PERM1|ENSG00000187642.10|chr1	2373
HES4|ENSG00000188290.11|chr1	666
ISG15|ENSG00000187608.10|chr1	498
AGRN|ENSG00000188157.15|chr1	6138
RNF223|ENSG00000237330.3|chr1	750
C1orf159|ENSG00000131591.18|chr1	597
TTLL10|ENSG00000162571.14|chr1	2022
TNFRSF18|ENSG00000186891.14|chr1	726
TNFRSF4|ENSG00000186827.12|chr1	834
SDF4|ENSG00000078808.20|chr1	1068
B3GALT6|ENSG00000176022.7|chr1	990
C1QTNF12|ENSG00000184163.3|chr1	909
UBE2J2|ENSG00000160087.21|chr1	780
SCNN1D|ENSG00000162572.21|chr1	2409
ACAP3|ENSG00000131584.19|chr1	2505
PUSL1|ENSG00000169972.12|chr1	912
INTS11|ENSG00000127054.22|chr1	1803
CPTP|ENSG00000224051.7|chr1	645
TAS1R3|ENSG00000169962.5|chr1	2559
DVL1|ENSG00000107404.21|chr1	2088
MXRA8|ENSG00000162576.17|chr1	1329
AURKAIP1|ENSG00000175756.14|chr1	600
CCNL2|ENSG00000221978.13|chr1	1563
MRPL20|ENSG00000242485.6|chr1	450
ANKRD65|ENSG00000235098.9|chr1	1200
TMEM88B|ENSG00000205116.4|chr1	492
VWA1|ENSG00000179403.12|chr1	1338
ATAD3C|ENSG00000215915.10|chr1	1236
ATAD3B|ENSG00000160072.20|chr1	1947
ATAD3A|ENSG00000197785.14|chr1	1761
TMEM240|ENSG00000205090.9|chr1	522
SSU72|ENSG00000160075.12|chr1	585
FNDC10|ENSG00000228594.4|chr1	681
MIB2|ENSG00000197530.13|chr1	2868
MMP23B|ENSG00000189409.14|chr1	1173
CDK11B|ENSG00000248333.9|chr1	2349
SLC35E2B|ENSG00000189339.12|chr1	1218
CDK11A|ENSG00000008128.23|chr1	2343
NADK|ENSG00000008130.15|chr1	1341
GNB1|ENSG00000078369.18|chr1	1023
CALML6|ENSG00000169885.10|chr1	546
