rownames(readCount),DMSO.L10a.1,DMSO.L10a.2,DMSO.L10a.3,TPG.L10a.1,TPG.L10a.2,TPG.L10a.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SAMD11|ENSG00000187634.13|chr1,1742,717,2048,1610,1285,1211,0.970354338605793,0.989521837986174,13850.0,-0.0090942060540949,0.244705508445002,1397.43152259266,-0.0371638796032206,0,10.448561874037198,ns
NOC2L|ENSG00000188976.11|chr1,1606,726,1313,1440,1212,1055,0.555841615234808,0.781880115105835,9480.0,0.126555109529943,0.214853672677308,1201.03332107196,0.589029305168165,0,10.230060461915809,ns
KLHL17|ENSG00000187961.15|chr1,44,65,85,121,72,79,0.227803855483865,0.50533819592269,5411.0,0.546787900580068,0.453376341477255,78.9188704453647,1.20603536302412,0,6.302298402006452,ns
PLEKHN1|ENSG00000187583.11|chr1,3,8,2,58,11,8,0.0138677678052722,1.0,1578.0,2.61118134198739,1.061166615304,16.3328882392313,2.46067045865304,0,4.029708028467326,ns
HES4|ENSG00000188290.11|chr1,1786,1051,1428,1031,1312,1244,0.21315920545657,0.486776859931207,5239.0,-0.196311530384895,0.157689403874537,1278.42848918204,-1.24492531242674,0,10.320155748184296,ns
ISG15|ENSG00000187608.10|chr1,40,58,71,5,47,52,0.254992716987241,0.536625693534193,5766.0,-0.750876254996264,0.659643571467979,44.5499364205108,-1.13830602991439,0,5.477351467692265,ns
AGRN|ENSG00000188157.15|chr1,113,73,96,9,11,19,5.37048837009737e-08,6.13416001305407e-06,91.0,-2.79774267324858,0.514424581880693,51.8761858798006,-5.43858666905121,0,5.697000506347102,down
C1orf159|ENSG00000131591.18|chr1,130,46,100,66,112,68,0.795488352441117,0.917285815974359,11938.0,-0.104100437653497,0.401636963753732,83.0010433932775,-0.259190380986267,0,6.375057567357113,ns
SDF4|ENSG00000078808.20|chr1,3583,2593,3725,2249,2799,2572,0.0100992354190011,0.0769585432148811,1409.0,-0.331981477836983,0.129054504934022,2860.70817059382,-2.57241293519126,0,11.482156616188563,ns
B3GALT6|ENSG00000176022.7|chr1,1615,1025,1637,1112,1288,1311,0.365788405756083,0.642523139158759,7176.0,-0.142260658240649,0.157300046523363,1302.99222437267,-0.904390439703524,0,10.347612759287658,ns
UBE2J2|ENSG00000160087.21|chr1,2100,1275,1949,1715,2094,1901,0.266205691841429,0.550310336007386,5890.0,0.158735166245818,0.14276761812481,1800.09025107903,1.11184292580303,0,10.813853525394848,ns
SCNN1D|ENSG00000162572.21|chr1,56,30,6,21,20,22,0.515708565353619,1.0,9032.0,-0.505390959569076,0.777554820242868,25.6842840545189,-0.649974698132818,0,4.68281395422959,ns
ACAP3|ENSG00000131584.19|chr1,55,34,71,89,70,62,0.209238098348291,0.482587103367339,5181.0,0.558529181555655,0.444808107087464,62.8676676830739,1.25566322343543,0,5.974246336698218,ns
PUSL1|ENSG00000169972.12|chr1,871,545,720,561,703,535,0.246472124071429,0.528087349816095,5645.0,-0.202334656707554,0.174582815605454,641.008780516281,-1.15896089775993,0,9.32420030874126,ns
INTS11|ENSG00000127054.22|chr1,310,172,210,376,272,185,0.257560631280981,0.540388615570148,5792.0,0.354194367236968,0.312844030982317,252.615570710782,1.13217556404964,0,7.980799756433456,ns
CPTP|ENSG00000224051.7|chr1,351,187,265,202,118,219,0.151880158954292,0.404468965455011,4393.0,-0.464202833288215,0.323955432918966,220.883693297362,-1.43292189640274,0,7.787143105673008,ns
DVL1|ENSG00000107404.21|chr1,675,572,700,453,554,521,0.0766340066335012,0.272282430028143,3177.0,-0.317269064740844,0.179191431572438,571.142703384922,-1.77055935072759,0,9.157707446297609,ns
MXRA8|ENSG00000162576.17|chr1,13,13,23,23,12,10,0.972462474231607,1.0,13878.0,-0.028891517242844,0.836949488080494,15.7112511041348,-0.0345200249887307,0,3.973726163480227,ns
AURKAIP1|ENSG00000175756.14|chr1,4652,3035,4221,2607,2641,2372,7.49525088873818e-05,0.0023186201707602,339.0,-0.581476797733863,0.146837899550213,3189.90702721,-3.95999125236072,0,11.639298660583973,ns
CCNL2|ENSG00000221978.13|chr1,415,292,410,199,383,359,0.340728840510675,0.620886319822573,6820.0,-0.223892790428339,0.235002251713323,333.58359901704,-0.952726149626278,0,8.381904548705842,ns
MRPL20|ENSG00000242485.6|chr1,9644,9501,9480,5688,7601,6889,0.0009164596668444,0.0147001261993534,657.0,-0.496681226730083,0.149828816165136,8060.9729316874,-3.31499133105783,0,12.976738262250274,ns
VWA1|ENSG00000179403.12|chr1,77,26,36,52,17,24,0.518491686503325,0.759149540712151,9063.0,-0.41535982428667,0.64329832158579,38.2074702845442,-0.645672171602701,0,5.255782834949693,ns
ATAD3B|ENSG00000160072.20|chr1,201,155,202,188,175,162,0.905767513810819,0.962990591244714,13247.0,-0.0324780403395846,0.274356871545182,178.753812014847,-0.118378811351317,0,7.481830198190365,ns
ATAD3A|ENSG00000197785.14|chr1,1004,599,973,985,1095,1012,0.0480350610682814,0.207599345007783,2573.0,0.329839971557511,0.166833725509528,927.085705267457,1.97705811909519,0,9.85655890602451,ns
SSU72|ENSG00000160075.12|chr1,1349,619,1420,802,548,610,0.0073852071470406,0.0627652028506466,1262.0,-0.664683860272354,0.24811300774002,866.205128520286,-2.67895611893444,0,9.758564903936014,ns
FNDC10|ENSG00000228594.4|chr1,102,37,82,69,34,44,0.380513068259494,0.656141162836582,7354.0,-0.441253166778744,0.503167218361055,59.9514077141184,-0.876951340780942,0,5.905721724729259,ns
MIB2|ENSG00000197530.13|chr1,98,54,70,60,46,59,0.433128463413741,0.697734385974402,8002.0,-0.342238769955424,0.436612894162882,63.5834837822289,-0.783849433974227,0,5.990580159769239,ns
SLC35E2B|ENSG00000189339.12|chr1,403,286,353,193,278,259,0.0297382636466089,0.15211590174353,2149.0,-0.48081317994459,0.221210079962121,289.017988666158,-2.1735590892916,0,8.175015479565738,ns
NADK|ENSG00000008130.15|chr1,428,275,376,276,212,279,0.10812936840029,0.332218934422883,3723.0,-0.410140147947822,0.255275296636909,303.897206266628,-1.60665819744864,0,8.247439601970214,ns
TMEM52|ENSG00000178821.13|chr1,19,7,21,18,15,9,0.953682147772896,1.0,13707.0,-0.0497789418736905,0.857024364337065,14.3705874753922,-0.0580834617370488,0,3.8450471358413236,ns
GABRD|ENSG00000187730.9|chr1,19,13,26,2,30,10,0.564580278797406,1.0,9578.0,-0.532028905348399,0.923578495561922,15.5404715555368,-0.576051638171483,0,3.957958376014759,ns
PRKCZ|ENSG00000067606.17|chr1,331,235,336,469,318,398,0.0632933282920689,0.242144519167696,2931.0,0.481029356234196,0.259018254739224,348.11196878387,1.8571253084787,0,8.443407607422328,ns
FAAP20|ENSG00000162585.17|chr1,266,160,323,96,102,112,4.43149475507371e-05,0.0015613883553978,297.0,-1.19519649616454,0.292671409199627,170.673312792398,-4.08374873183909,0,7.4150936798214815,down
SKI|ENSG00000157933.10|chr1,1517,1011,1412,784,976,909,0.0006435802156132,0.0114766628810235,590.0,-0.51322116703877,0.150392259369761,1076.71258945319,-3.41255041442619,0,10.072417482448516,ns
RER1|ENSG00000157916.20|chr1,2857,1685,2612,1854,2517,1823,0.261569951102912,0.545059757771384,5834.0,-0.159338007671103,0.141925434824316,2162.94465702056,-1.12268817684681,0,11.078781036386646,ns
PEX10|ENSG00000157911.11|chr1,905,410,774,441,453,521,0.0344811823885707,0.168078523615479,2259.0,-0.469219130864341,0.221916051441414,566.431027511865,-2.11439924158985,0,9.145756484170695,ns
PRDM16|ENSG00000142611.17|chr1,183,85,167,81,99,72,0.0353344538695817,0.170821541172294,2279.0,-0.715564814802101,0.340015799997876,110.206097381226,-2.10450459892326,0,6.784060235991471,ns
ARHGEF16|ENSG00000130762.15|chr1,23,14,63,37,59,55,0.254120925263335,0.536202374581223,5750.0,0.6748894597271,0.591802184419312,40.3352553691589,1.14039704059105,0,5.333969484788633,ns
TPRG1L|ENSG00000158109.15|chr1,715,407,616,319,296,273,4.05476895248867e-05,0.0014532851204195,292.0,-0.892328005878053,0.217411024528669,426.608617169153,-4.10433651105115,0,8.73676929708857,down
WRAP73|ENSG00000116213.16|chr1,719,530,773,600,882,679,0.437158842089855,0.701641291643291,8045.0,0.127472902216383,0.164057814891286,681.214283095739,0.776999878371256,0,9.411964874255895,ns
TP73|ENSG00000078900.15|chr1,278,170,205,215,229,216,0.77829431750798,0.909806958934801,11775.0,0.0721025435598529,0.256098235830865,215.473088509347,0.281542523422424,0,7.75136388508198,ns
SMIM1|ENSG00000235169.11|chr1,31,9,24,26,9,11,0.71928840882275,1.0,11254.0,-0.29887136276724,0.831561109126735,17.9931203111587,-0.359409981403652,0,4.1693734908753335,ns
LRRC47|ENSG00000130764.10|chr1,2542,2005,2230,2326,2842,2678,0.0873109203212424,0.291522552463538,3393.0,0.243465595329647,0.142397822881741,2408.89709222066,1.70975644432317,0,11.234157047805066,ns
CEP104|ENSG00000116198.14|chr1,197,92,179,140,188,133,0.88557748194644,0.953854129259201,13062.0,0.0430978546994198,0.299493493479423,149.712004569751,0.143902474136324,0,7.226046097469484,ns
DFFB|ENSG00000169598.17|chr1,224,197,304,257,392,345,0.0399754389602721,0.185162527875699,2392.0,0.4827918690876,0.235049296627794,280.912678284141,2.05400261142714,0,8.133977928104803,ns
C1orf174|ENSG00000198912.12|chr1,587,434,652,542,724,650,0.172501782970228,0.432044224624711,4698.0,0.237270020338392,0.173924972568173,586.590345138349,1.36420904275486,0,9.19620951532637,ns
NPHP4|ENSG00000131697.18|chr1,108,35,89,47,134,100,0.464584784078621,0.72267199127704,8393.0,0.324674382187442,0.443957717405423,80.9652560995188,0.731318252749166,0,6.339231044783346,ns
KCNAB2|ENSG00000069424.16|chr1,42,11,40,24,20,16,0.471818348012578,1.0,8476.0,-0.501102327479243,0.696436234377621,24.3864256080062,-0.719523630080877,0,4.608006408351269,ns
RPL22|ENSG00000116251.11|chr1,5081,4604,5130,4476,6603,5059,0.333850376165475,0.614516013170423,6747.0,0.131383008078499,0.135952735603474,5079.75349819479,0.966387380844592,0,12.31054277465944,ns
RNF207|ENSG00000158286.13|chr1,23,21,15,2,17,22,0.530162433476787,1.0,9210.0,-0.564169815719652,0.898705786031571,16.3664076475155,-0.62775807665695,0,4.032665786408707,ns
ICMT|ENSG00000116237.16|chr1,2068,1840,2227,1485,1869,1633,0.0578507556700592,0.23028407550738,2812.0,-0.272909313722373,0.143876744219823,1828.59306859812,-1.89682714327624,0,10.836518341031278,ns
GPR153|ENSG00000158292.7|chr1,190,91,214,151,135,117,0.547080657330159,0.776413038421907,9393.0,-0.197412452215161,0.327851177135039,145.579378015957,-0.602140440489705,0,7.185662195440374,ns
ACOT7|ENSG00000097021.20|chr1,1886,1470,2088,1582,1618,1497,0.304759347412289,0.584528184351213,6421.0,-0.15892362881835,0.154853976180658,1666.83379361239,-1.02628058212044,0,10.702894539504882,ns
