Gene	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	1081	778	828	1312	1101	1113
NOC2L|ENSG00000188976.11|chr1	1190	974	890	1048	977	919
KLHL17|ENSG00000187961.15|chr1	84	45	65	95	82	115
PLEKHN1|ENSG00000187583.11|chr1	11	6	10	4	0	2
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0
HES4|ENSG00000188290.11|chr1	940	764	655	1000	899	947
ISG15|ENSG00000187608.10|chr1	43	29	35	44	28	35
AGRN|ENSG00000188157.15|chr1	165	147	138	53	26	35
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	71	43	53	94	70	33
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	2276	1886	1875	2015	1882	1743
B3GALT6|ENSG00000176022.7|chr1	520	446	528	510	452	419
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	712	754	649	1201	1052	1052
SCNN1D|ENSG00000162572.21|chr1	31	21	13	28	53	16
ACAP3|ENSG00000131584.19|chr1	75	53	41	98	101	71
PUSL1|ENSG00000169972.12|chr1	268	329	270	379	426	332
INTS11|ENSG00000127054.22|chr1	191	121	132	194	134	148
CPTP|ENSG00000224051.7|chr1	80	98	51	118	80	84
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0
DVL1|ENSG00000107404.21|chr1	384	320	383	439	420	476
MXRA8|ENSG00000162576.17|chr1	7	0	8	22	18	23
AURKAIP1|ENSG00000175756.14|chr1	2011	1843	1771	2109	1810	1802
CCNL2|ENSG00000221978.13|chr1	314	338	323	433	361	346
MRPL20|ENSG00000242485.6|chr1	3818	3169	3115	2954	2828	2722
ANKRD65|ENSG00000235098.9|chr1	4	0	0	0	0	13
TMEM88B|ENSG00000205116.4|chr1	0	0	0	1	0	0
VWA1|ENSG00000179403.12|chr1	50	40	21	22	38	36
ATAD3C|ENSG00000215915.10|chr1	0	0	0	2	0	0
ATAD3B|ENSG00000160072.20|chr1	171	146	157	120	202	122
ATAD3A|ENSG00000197785.14|chr1	701	666	534	795	802	635
TMEM240|ENSG00000205090.9|chr1	0	1	0	4	0	0
SSU72|ENSG00000160075.12|chr1	740	603	635	717	752	624
FNDC10|ENSG00000228594.4|chr1	65	137	67	52	57	47
MIB2|ENSG00000197530.13|chr1	100	97	92	82	116	76
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	4	8	0	0	5
SLC35E2B|ENSG00000189339.12|chr1	280	244	276	145	175	188
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0
NADK|ENSG00000008130.15|chr1	270	221	189	231	262	211
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	11	12	13	4	5	7
CFAP74|ENSG00000142609.20|chr1	0	0	4	0	0	0
GABRD|ENSG00000187730.9|chr1	13	6	16	19	3	8
PRKCZ|ENSG00000067606.17|chr1	214	156	121	286	224	279
FAAP20|ENSG00000162585.17|chr1	156	146	154	160	135	114
SKI|ENSG00000157933.10|chr1	451	450	449	443	345	319
MORN1|ENSG00000116151.14|chr1	0	0	0	12	0	1
RER1|ENSG00000157916.20|chr1	1339	1155	1134	1206	1355	1089
PEX10|ENSG00000157911.11|chr1	513	452	430	383	316	377
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	26	48	59	59	72	22
ARHGEF16|ENSG00000130762.15|chr1	10	22	15	36	42	47
MEGF6|ENSG00000162591.17|chr1	19	24	11	12	0	0
TPRG1L|ENSG00000158109.15|chr1	141	174	188	105	103	67
WRAP73|ENSG00000116213.16|chr1	298	283	329	365	464	366
TP73|ENSG00000078900.15|chr1	68	72	86	79	132	130
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	7	17	9	33	6	25
LRRC47|ENSG00000130764.10|chr1	1373	1078	1340	1677	1734	1367
CEP104|ENSG00000116198.14|chr1	110	148	111	118	153	190
DFFB|ENSG00000169598.17|chr1	129	153	105	198	182	165
C1orf174|ENSG00000198912.12|chr1	74	116	85	161	123	206
NPHP4|ENSG00000131697.18|chr1	106	77	94	72	70	99
KCNAB2|ENSG00000069424.16|chr1	18	21	13	28	29	28
RPL22|ENSG00000116251.11|chr1	1609	1960	1947	1825	1671	1751
RNF207|ENSG00000158286.13|chr1	4	6	11	11	18	12
ICMT|ENSG00000116237.16|chr1	1174	1120	1215	1011	815	882
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	184	140	134	140	164	120
ACOT7|ENSG00000097021.20|chr1	1120	986	1016	1025	887	1025
HES2|ENSG00000069812.11|chr1	3	0	0	20	2	0
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0
TNFRSF25|ENSG00000215788.11|chr1	10	20	7	35	0	2
PLEKHG5|ENSG00000171680.23|chr1	12	11	5	24	15	15
