,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
SAMD11|ENSG00000187634.13|chr1,-0.000822547945183,0.996311395234477,-0.0104185337583048,0.970852450544032,SAMD11|ENSG00000187634.13|chr1,ns,0
CEP170B|ENSG00000099814.17|chr14,-0.19605663571192,0.557051284277783,-0.0540520671789542,0.872260529089177,CEP170B|ENSG00000099814.17|chr14,ns,0
AKT1|ENSG00000142208.18|chr14,-0.0795249291230043,0.842864378235644,-1.07744267283261,0.0058812950250685,AKT1|ENSG00000142208.18|chr14,ns,0
SIVA1|ENSG00000184990.13|chr14,-0.0114153446163653,0.981642517184922,-0.230949994557446,0.315247667869744,SIVA1|ENSG00000184990.13|chr14,ns,0
KIF26A|ENSG00000066735.16|chr14,-0.0881712821059145,0.793677803287704,-0.0577147805694557,0.87370154127107,KIF26A|ENSG00000066735.16|chr14,ns,0
ATP5MJ|ENSG00000156411.10|chr14,-0.063964862401854,0.87968904101457,-0.380581722295708,0.0254662321303083,ATP5MJ|ENSG00000156411.10|chr14,ns,0
PPP1R13B|ENSG00000088808.18|chr14,0.103449862071917,0.722412218255187,-0.0529981190109518,0.643341756281889,PPP1R13B|ENSG00000088808.18|chr14,ns,0
ZFYVE21|ENSG00000100711.14|chr14,-0.21833411476611,0.503794677215729,-0.560192674333407,0.113317815921262,ZFYVE21|ENSG00000100711.14|chr14,ns,0
COA8|ENSG00000256053.9|chr14,-0.140490118763394,0.642016477071879,-0.379611418164299,0.291945523077012,COA8|ENSG00000256053.9|chr14,ns,0
BAG5|ENSG00000166170.12|chr14,0.0216280686926178,0.96544792132507,-0.124064323907631,0.662973183334163,BAG5|ENSG00000166170.12|chr14,ns,0
TRMT61A|ENSG00000166166.13|chr14,0.073958901111748,0.850567573249892,-0.18091403544494,0.585957719041429,TRMT61A|ENSG00000166166.13|chr14,ns,0
MARK3|ENSG00000075413.19|chr14,-0.0673390388094495,0.876146218005601,-0.793149361438678,0.0493885244238624,MARK3|ENSG00000075413.19|chr14,ns,0
CDC42BPB|ENSG00000198752.11|chr14,-0.0998759286120764,0.756768368918537,-0.0872080195677261,0.654733487822394,CDC42BPB|ENSG00000198752.11|chr14,ns,0
TRAF3|ENSG00000131323.17|chr14,-0.151771771927058,0.660189251840355,-0.0384109851196677,0.695314001254292,TRAF3|ENSG00000131323.17|chr14,ns,0
CDCA4|ENSG00000170779.11|chr14,0.318580126756982,0.081225008699874,0.0205258721894484,0.952290715941971,CDCA4|ENSG00000170779.11|chr14,ns,0
RCOR1|ENSG00000089902.10|chr14,-0.0783916135616001,0.846528182511009,-0.0971036154599481,0.782239269532251,RCOR1|ENSG00000089902.10|chr14,ns,0
TECPR2|ENSG00000196663.16|chr14,-0.158943638842628,0.557700310974308,0.0442368601457042,0.834895841335026,TECPR2|ENSG00000196663.16|chr14,ns,0
CINP|ENSG00000100865.15|chr14,-0.046317276147351,0.889900085548969,0.595626576194469,0.146490175547255,CINP|ENSG00000100865.15|chr14,ns,0
ZNF839|ENSG00000022976.16|chr14,-0.184995272920493,0.581262985429054,-0.0246310480764783,0.74028776027253,ZNF839|ENSG00000022976.16|chr14,ns,0
MOK|ENSG00000080823.23|chr14,0.256448250819536,0.412037990590469,0.14437641540745,0.59454680962593,MOK|ENSG00000080823.23|chr14,ns,0
WDR20|ENSG00000140153.18|chr14,0.0128760747797952,0.979237154655882,-0.0729645662512463,0.834338013896574,WDR20|ENSG00000140153.18|chr14,ns,0
DYNC1H1|ENSG00000197102.14|chr14,0.136730884950092,0.700896912502907,0.453320678894257,0.199868325876671,DYNC1H1|ENSG00000197102.14|chr14,ns,0
PPP2R5C|ENSG00000078304.20|chr14,-0.12973399480475,0.705591236933327,-0.275521665270637,0.348080020925643,PPP2R5C|ENSG00000078304.20|chr14,ns,0
WDR25|ENSG00000176473.14|chr14,0.298124233203978,0.274792179127983,0.099436749699795,0.772291039435439,WDR25|ENSG00000176473.14|chr14,ns,0
SLC25A29|ENSG00000197119.13|chr14,0.064355817310128,0.833194633166134,-0.0955624557913929,0.494485295611096,SLC25A29|ENSG00000197119.13|chr14,ns,0
YY1|ENSG00000100811.14|chr14,-0.0566549540952735,0.816548418367842,-0.410496212182993,0.0002831217327641,YY1|ENSG00000100811.14|chr14,ns,0
EVL|ENSG00000196405.13|chr14,0.20451197731937,0.504883397425315,-0.183507028789956,0.297531197637505,EVL|ENSG00000196405.13|chr14,ns,0
EML1|ENSG00000066629.19|chr14,-0.0962165800097912,0.715296909675057,-0.0427942014327399,0.874690093022403,EML1|ENSG00000066629.19|chr14,ns,0
CCNK|ENSG00000090061.17|chr14,-0.156581579758253,0.64843958567187,0.0065415343659302,0.990583380188992,CCNK|ENSG00000090061.17|chr14,ns,0
ANKRD9|ENSG00000156381.9|chr14,-0.0988394908166161,0.788609848221222,-0.0488538158129957,0.900510741661543,ANKRD9|ENSG00000156381.9|chr14,ns,0
SETD3|ENSG00000183576.13|chr14,0.145392986802042,0.669463952233546,-0.306437973782955,0.314785103541603,SETD3|ENSG00000183576.13|chr14,ns,0
JAG2|ENSG00000184916.9|chr14,-0.163195819139468,0.582986309769677,-0.0890999141430786,0.776655700627857,JAG2|ENSG00000184916.9|chr14,ns,0
MTA1|ENSG00000182979.18|chr14,-0.352578300658116,0.168945312721625,0.0029369742182593,0.996351361880344,MTA1|ENSG00000182979.18|chr14,ns,0
CHST14|ENSG00000169105.8|chr15,-0.411825695244245,0.139937584481393,-0.301343866154094,0.270867704379142,CHST14|ENSG00000169105.8|chr15,ns,0
BAHD1|ENSG00000140320.12|chr15,-0.0825935143709787,0.83338390826722,-0.157863534668082,0.617548258332051,BAHD1|ENSG00000140320.12|chr15,ns,0
IVD|ENSG00000128928.10|chr15,0.0100754301213462,0.985334283045485,-0.0462608378822461,0.902180375349621,IVD|ENSG00000128928.10|chr15,ns,0
KNSTRN|ENSG00000128944.14|chr15,0.0489637886920401,0.918254401828052,-0.127750461954584,0.681865231305017,KNSTRN|ENSG00000128944.14|chr15,ns,0
INAFM2|ENSG00000259330.3|chr15,0.0607237894436,0.890812269358829,0.124663895280805,0.692900795047787,INAFM2|ENSG00000259330.3|chr15,ns,0
BUB1B|ENSG00000156970.13|chr15,-0.215118063444051,0.515694783496494,-0.133299398392831,0.715145186957517,BUB1B|ENSG00000156970.13|chr15,ns,0
SRP14|ENSG00000140319.11|chr15,-0.227478543036957,0.45082678080659,-0.247839795587926,0.285473346791846,SRP14|ENSG00000140319.11|chr15,ns,0
EIF2AK4|ENSG00000128829.12|chr15,-0.0068144287070937,0.98566574184437,-0.150826415319661,0.576782498167595,EIF2AK4|ENSG00000128829.12|chr15,ns,0
RASGRP1|ENSG00000172575.14|chr15,-0.0371041263969564,0.905319184506399,-0.0751180599593916,0.142424322813681,RASGRP1|ENSG00000172575.14|chr15,ns,0
FAM98B|ENSG00000171262.11|chr15,-0.0681248326993929,0.87349866197925,-0.0729896034890096,0.834698658064185,FAM98B|ENSG00000171262.11|chr15,ns,0
