rownames(readCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	2024	2362	1872	1742	717	2048	0.000198173337320029	0.0096798408402759	142	-0.738811056231359	0.198533942792973	1761.38295595429	-3.72133372176956
NOC2L|ENSG00000188976.11|chr1	1146	1738	1344	1606	726	1313	0.00811764872599378	0.0970876680658785	663	-0.45502076986027	0.171891666376556	1279.44575150059	-2.64713688250293
KLHL17|ENSG00000187961.15|chr1	77	77	76	44	65	85	0.278230944828047	1	5195	-0.448140250605006	0.413298393666243	70.9192020400396	-1.08430194133999
PLEKHN1|ENSG00000187583.11|chr1	0	4	0	3	8	2	0.396304784031276	1	6739	1.77757027215989	2.09560030231937	2.78333640317948	0.848239175281902
PERM1|ENSG00000187642.10|chr1	0	1	0	0	0	0	0.773946551284644	1	11409	-1.17197914228186	4.0804728567969	0.15191676824041	-0.287216502452572
HES4|ENSG00000188290.11|chr1	1846	2078	1657	1786	1051	1428	1.97332067379618e-06	0.000361227312231024	41	-0.617804484244736	0.129896261678634	1623.98326424973	-4.75613752282721
ISG15|ENSG00000187608.10|chr1	60	7	20	40	58	71	0.301195742938556	1	5482	0.701746603376188	0.678755417421701	42.3830837110244	1.03387256346597
AGRN|ENSG00000188157.15|chr1	102	122	74	113	73	96	0.381062074291479	1	6542	-0.290957313385717	0.332165399470792	94.534722764212	-0.875941063847325
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	79	90	66	130	46	100	0.947404032761523	1	13473	-0.0254913005340028	0.386424555912826	81.7066948261311	-0.0659670824329119
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	2983	4202	3008	3583	2593	3725	0.0171727696911635	0.14476981443884	985	-0.252834496504307	0.106099792338689	3277.40931899633	-2.38298766596276
B3GALT6|ENSG00000176022.7|chr1	1275	1551	931	1615	1025	1637	0.835875363352319	0.947114622505465	12105	-0.0303870276281894	0.146675205316631	1296.81406756115	-0.20717221811684
C1QTNF12|ENSG00000184163.3|chr1	2	0	2	0	0	0	0.424303103125027	1	7103.5	-3.17081944034748	3.96859361755646	0.76342996351383	-0.79897811313314
UBE2J2|ENSG00000160087.21|chr1	1703	2178	1669	2100	1275	1949	0.017721017717473	0.146710435625813	1009	-0.286700898821762	0.120899613574927	1772.57585235548	-2.37139632083341
SCNN1D|ENSG00000162572.21|chr1	0	5	1	56	30	6	0.000915444462180306	1	271	3.82034972174264	1.15233867217115	15.0446835721185	3.31530114713987
ACAP3|ENSG00000131584.19|chr1	71	82	63	55	34	71	0.102070915461242	1	2707	-0.669250964879347	0.409353922468392	61.8213873805767	-1.63489569330076
PUSL1|ENSG00000169972.12|chr1	649	637	491	871	545	720	0.823076492942406	0.940980918264585	11973	0.0372928075714505	0.166791176553912	635.394307652648	0.223589810576079
INTS11|ENSG00000127054.22|chr1	172	299	163	310	172	210	0.775722014553174	0.924210240165521	11462	-0.074486400778498	0.261449035680176	213.246043309202	-0.284898357282968
CPTP|ENSG00000224051.7|chr1	167	248	180	351	187	265	0.383154163042541	0.694631618830907	6573	0.208670487580427	0.2392737476792	224.008026685835	0.872099382420324
TAS1R3|ENSG00000169962.5|chr1	0	0	0	1	0	8	0.274300290329224	1	5129	3.69765090204457	3.38237004171383	1.26057282945767	1.09321300048264
DVL1|ENSG00000107404.21|chr1	490	607	406	675	572	700	0.279722594632722	0.600321408808896	5212	0.174279455616822	0.161229131386226	559.860609117978	1.08094271871585
MXRA8|ENSG00000162576.17|chr1	9	30	11	13	13	23	0.82040591177116	1	11939	-0.183849506697837	0.809827916416899	15.806536050703	-0.227022930391537
AURKAIP1|ENSG00000175756.14|chr1	4349	5245	3778	4652	3035	4221	0.000185839396214354	0.00931488478132738	139	-0.386705073274387	0.103465502547198	4139.44311257748	-3.73752665143615
CCNL2|ENSG00000221978.13|chr1	205	258	219	415	292	410	0.0138566951609592	0.129276072485182	885	0.490055056681922	0.199131901101577	288.837038809197	2.46095705394761
MRPL20|ENSG00000242485.6|chr1	8153	10011	7416	9644	9501	9480	0.84201020843752	0.948740805372235	12172	-0.0240252754458129	0.1205344786686	8905.48194985439	-0.199322846966207
ANKRD65|ENSG00000235098.9|chr1	0	5	1	14	7	11	0.114031098549558	1	2896	2.27703529854943	1.4408597878553	5.71826737813253	1.58033093694618
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	60	67	59	77	26	36	0.152121108676814	1	3470	-0.678783821880829	0.473984778745521	53.3298915355076	-1.43207936693103
ATAD3C|ENSG00000215915.10|chr1	0	0	5	0	3	0	0.792933878532803	1	11634	-0.831680340190443	3.16827307072554	1.53054883038007	-0.262502733074074
ATAD3B|ENSG00000160072.20|chr1	114	234	123	201	155	202	0.821646018106425	1	11959	0.0634437336357869	0.2814362914864	165.504333532958	0.225428402643846
ATAD3A|ENSG00000197785.14|chr1	798	1148	1021	1004	599	973	0.00575623239977354	0.0787003558392275	568	-0.437252967663445	0.158347331460783	907.938580758546	-2.7613535613749
TMEM240|ENSG00000205090.9|chr1	0	6	0	1	0	8	0.858703789042823	1	12470	0.452915797676059	2.5441215856601	2.17207343890013	0.178024430997681
SSU72|ENSG00000160075.12|chr1	999	1300	1129	1349	619	1420	0.1368295115764	0.429094203647179	3234	-0.27319942867176	0.1836385491025	1103.45646793415	-1.4877019558637
FNDC10|ENSG00000228594.4|chr1	97	114	92	102	37	82	0.0570550547633718	1	1912	-0.713665568974586	0.375043230776626	85.7435723499731	-1.90288881496875
MIB2|ENSG00000197530.13|chr1	118	94	167	98	54	70	0.00570917942395579	1	566	-1.04322894340478	0.377430011276122	102.162258233691	-2.76403283320672
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	176	190	134	403	286	353	0.000121746249370951	0.00771449791687086	111	0.845514295786849	0.220038007723292	245.760750969579	3.84258294526154
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	1	0	0.853865958661269	1	12365.5	0.751574209360629	4.0804728567969	0.185384957344862	0.184188018334376
NADK|ENSG00000008130.15|chr1	416	438	408	428	275	376	0.0129256936976284	0.124532633724227	855	-0.459235023289735	0.184742604628487	386.295224755722	-2.48581005022228
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	29	16	3	19	7	21	0.748401416898318	1	11112	-0.292758723923977	0.912737668996631	15.2877746852493	-0.320747936530115
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	13	17	10	19	13	26	0.681254192572377	1	10306	0.316988690143416	0.771727171662251	15.6288484289543	0.41075227332043
PRKCZ|ENSG00000067606.17|chr1	259	322	238	331	235	336	0.699525973988121	0.887375096732676	10524	-0.077165963106037	0.19993231665515	279.86464088151	-0.385960430994933
FAAP20|ENSG00000162585.17|chr1	305	366	266	266	160	323	0.0133521124254768	0.127456168567365	864	-0.55717679453548	0.22519136846245	275.949321614496	-2.47423690499215
SKI|ENSG00000157933.10|chr1	1115	1387	969	1517	1011	1412	0.791300746712307	0.932580700817393	11611	-0.0333910811875153	0.12618411793907	1201.77174948828	-0.264621901178076
MORN1|ENSG00000116151.14|chr1	0	0	0	3	0	1	0.527949007085664	1	8418	2.51182689276514	3.97982540003084	0.552174725235577	0.631139972307748
RER1|ENSG00000157916.20|chr1	2275	2947	2243	2857	1685	2612	0.0149138527107271	0.135893897206267	909	-0.289409338206364	0.118880093366552	2381.13423370888	-2.43446425730847
PEX10|ENSG00000157911.11|chr1	690	784	747	905	410	774	0.0651031783073751	0.287553582470243	2069	-0.346704910712556	0.18796189164909	702.497375728188	-1.84454895442225
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	5	0	0	0.476426434446074	1	7830	2.8238500414539	3.96573664142201	0.686266298353683	0.712061918574942
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0	0.494609402816076	1	8036.5	-2.72562448861986	3.99068910383695	0.560508570263454	-0.682995948243435
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	81	99	102	183	85	167	0.260611476256246	1	4943	0.367467435375055	0.326653097257035	114.375492116522	1.12494704155799
ARHGEF16|ENSG00000130762.15|chr1	0	50	47	23	14	63	0.899645924372432	1	12954	-0.198051233715233	1.57048102202841	31.3534976077952	-0.126108645018475
MEGF6|ENSG00000162591.17|chr1	33	13	15	6	7	18	0.147273169154441	1	3378	-1.24399553726622	0.858383378586902	15.7123774265188	-1.44923069143548
TPRG1L|ENSG00000158109.15|chr1	440	454	319	715	407	616	0.123834701508798	0.405723125011033	3045	0.287196889715197	0.186627765467693	473.427836139758	1.53887546687106
WRAP73|ENSG00000116213.16|chr1	720	853	530	719	530	773	0.0976391176900348	0.355222196946048	2646	-0.266569138593659	0.160932001997804	672.872694283619	-1.65640851592275
TP73|ENSG00000078900.15|chr1	147	195	161	278	170	205	0.533010916761734	0.797579914046282	8528	0.155283519213284	0.249084747562346	186.921088121395	0.623416410410342
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	22	14	27	31	9	24	0.687984673790931	1	10390	-0.292355722313339	0.727992773234757	20.7922326876208	-0.401591517199117
LRRC47|ENSG00000130764.10|chr1	1875	2310	1762	2542	2005	2230	0.890797216553179	0.967138613259608	12845	-0.0157086652405488	0.114414993166867	2078.34197760852	-0.137295513514026
CEP104|ENSG00000116198.14|chr1	173	234	204	197	92	179	0.0200736085597738	0.157837001326987	1062	-0.631636607991377	0.271675261319787	176.855041758789	-2.32496917431096
DFFB|ENSG00000169598.17|chr1	210	214	175	224	197	304	0.817587925069864	0.940297456581223	11908	0.0555512274953773	0.240848042292253	215.801287279068	0.23064844939852
C1orf174|ENSG00000198912.12|chr1	401	563	455	587	434	652	0.904113092251454	0.971937525900911	13000	0.0202431208548247	0.168038499152921	501.695582806033	0.120467160542792
NPHP4|ENSG00000131697.18|chr1	47	104	75	108	35	89	0.63049863635427	1	9707	-0.208866502353846	0.434211204589212	73.0053099717018	-0.481025132807076
KCNAB2|ENSG00000069424.16|chr1	43	35	43	42	11	40	0.241874167855533	1	4709	-0.681682221576327	0.582477482532396	35.1513003898608	-1.17031514868631
RPL22|ENSG00000116251.11|chr1	3421	4153	3294	5081	4604	5130	0.023966945731964	0.173182206550047	1163	0.24797999359199	0.109839451466369	4183.23251467949	2.25765870351161
RNF207|ENSG00000158286.13|chr1	0	5	12	23	21	15	0.143877733198603	1	3345	1.57099601684451	1.07491884430461	12.2542626112508	1.46150197772449
ICMT|ENSG00000116237.16|chr1	1588	1689	1320	2068	1840	2227	0.0956775517047334	0.351446520018003	2615	0.209818684470974	0.125927975378717	1748.17544417378	1.66618008301939
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	72	181	134	190	91	214	0.720293801340388	1	10812	0.123858863136258	0.345910550402322	140.059847769119	0.358066161879711
ACOT7|ENSG00000097021.20|chr1	1792	2099	1804	1886	1470	2088	0.0134712617477745	0.127734697723502	870	-0.285499783040015	0.115537299772836	1829.80703209539	-2.47106158445239
HES2|ENSG00000069812.11|chr1	0	0	7	0	1	10	0.917522086921721	1	13130	0.240571420549667	2.32311535160549	2.95368596126221	0.103555520987543
ESPN|ENSG00000187017.18|chr1	0	3	0	0	0	2	0.859720978378999	1	12486	-0.702512501180869	3.97507524228938	0.736580197167964	-0.176729359411136
TNFRSF25|ENSG00000215788.11|chr1	16	26	10	14	15	7	0.431788177445324	1	7219	-0.659543658743498	0.838969563718111	14.5732275514735	-0.786135382338018
PLEKHG5|ENSG00000171680.23|chr1	28	15	13	3	0	2	0.0012366097481523	1	312	-3.78782978738728	1.1725943033972	10.7361788092223	-3.23029864328464
NOL9|ENSG00000162408.11|chr1	1220	1493	1292	1906	1360	1854	0.261056183677901	0.582237143246251	4948	0.13225523455119	0.117675449478962	1480.5928509461	1.12389827391171
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	4	0.524104846284139	1	8369.5	2.5345511369932	3.97869542933534	0.561659784893469	0.63703070064265
ZBTB48|ENSG00000204859.13|chr1	30	45	74	95	21	69	0.995450570903927	1	14027	-0.00312239825157423	0.547607140507624	53.4831459193406	-0.00570189469896214
KLHL21|ENSG00000162413.17|chr1	474	544	484	864	599	790	0.0182919096765405	0.149164352297929	1024	0.360260057298957	0.152674849060824	606.084624513801	2.35965556550465
PHF13|ENSG00000116273.6|chr1	300	358	281	463	360	450	0.207126284292853	0.523575839466782	4271	0.227567195886428	0.18039314747545	358.671570187645	1.26150687579415
THAP3|ENSG00000041988.16|chr1	204	388	249	399	154	382	0.752094726623845	0.914164628101617	11143	-0.0861529317478857	0.272740721438245	282.534951477858	-0.315878506493549
DNAJC11|ENSG00000007923.17|chr1	573	637	730	751	304	624	0.028955010342441	0.190446217861674	1290	-0.482976318997112	0.221133029180883	593.142787696844	-2.18409850751896
CAMTA1|ENSG00000171735.20|chr1	31	120	75	127	146	146	0.0688448171887007	1	2135	0.744067175126567	0.408954670253515	103.635793355899	1.81943679641881
VAMP3|ENSG00000049245.13|chr1	1027	1301	879	1273	730	1336	0.262284652378581	0.582560114315756	4972	-0.171380948050438	0.152881173170949	1058.47172715511	-1.12100754131971
PER3|ENSG00000049246.15|chr1	4	21	7	7	20	17	0.684734921325468	1	10355	0.391760125703439	0.964901579728773	12.3572744854732	0.4060104511525
UTS2|ENSG00000049247.14|chr1	0	5	0	0	0	0	0.422279800736552	1	7072.5	-3.18423121826325	3.96802629377161	0.75958384120205	-0.802472308024108
TNFRSF9|ENSG00000049249.10|chr1	1	16	0	7	0	0	0.509919418034723	1	8197	-1.43666006525544	2.18018263559745	3.57827729962953	-0.658963172074685
PARK7|ENSG00000116288.13|chr1	9866	11824	9891	11455	11089	11838	0.516679228068625	0.789820485495765	8270	-0.0738004482057265	0.113806552154022	10857.3378623977	-0.648472753184259
ERRFI1|ENSG00000116285.13|chr1	145	282	162	201	191	262	0.914885912689973	0.976589283700544	13103	-0.0283504187403417	0.265260086885185	201.287288414132	-0.106877815932455
SLC45A1|ENSG00000162426.16|chr1	0	0	0	4	0	8	0.170367665247036	1	3744	4.10576206739833	2.99466960386646	1.67233260846988	1.37102338838893
RERE|ENSG00000142599.19|chr1	693	711	599	901	667	808	0.856865071308725	0.956102407708178	12447	0.0268746075935342	0.149000225637098	714.994928220416	0.180366220780023
ENO1|ENSG00000074800.16|chr1	51849	61990	48586	58947	27691	55804	0.00168566634622432	0.0351536114608173	352	-0.440091739071373	0.140127076300557	49632.8494658173	-3.14066168145423
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	0	11	0	2	0.154265339311822	1	3505	4.20486095334963	2.95155426349897	1.79061574882484	1.42462600310282
SLC2A5|ENSG00000142583.18|chr1	0	0	0	19	0	0	0.099906211191531	1	2681	4.74544155038092	2.88422602639831	2.60781193374399	1.64530848378302
