Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	2024	2362	1872	1742	717	2048
NOC2L|ENSG00000188976.11|chr1	1146	1738	1344	1606	726	1313
KLHL17|ENSG00000187961.15|chr1	77	77	76	44	65	85
PLEKHN1|ENSG00000187583.11|chr1	0	4	0	3	8	2
PERM1|ENSG00000187642.10|chr1	0	1	0	0	0	0
HES4|ENSG00000188290.11|chr1	1846	2078	1657	1786	1051	1428
ISG15|ENSG00000187608.10|chr1	60	7	20	40	58	71
AGRN|ENSG00000188157.15|chr1	102	122	74	113	73	96
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	79	90	66	130	46	100
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	2983	4202	3008	3583	2593	3725
B3GALT6|ENSG00000176022.7|chr1	1275	1551	931	1615	1025	1637
C1QTNF12|ENSG00000184163.3|chr1	2	0	2	0	0	0
UBE2J2|ENSG00000160087.21|chr1	1703	2178	1669	2100	1275	1949
SCNN1D|ENSG00000162572.21|chr1	0	5	1	56	30	6
ACAP3|ENSG00000131584.19|chr1	71	82	63	55	34	71
PUSL1|ENSG00000169972.12|chr1	649	637	491	871	545	720
INTS11|ENSG00000127054.22|chr1	172	299	163	310	172	210
CPTP|ENSG00000224051.7|chr1	167	248	180	351	187	265
TAS1R3|ENSG00000169962.5|chr1	0	0	0	1	0	8
DVL1|ENSG00000107404.21|chr1	490	607	406	675	572	700
MXRA8|ENSG00000162576.17|chr1	9	30	11	13	13	23
AURKAIP1|ENSG00000175756.14|chr1	4349	5245	3778	4652	3035	4221
CCNL2|ENSG00000221978.13|chr1	205	258	219	415	292	410
MRPL20|ENSG00000242485.6|chr1	8153	10011	7416	9644	9501	9480
ANKRD65|ENSG00000235098.9|chr1	0	5	1	14	7	11
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	60	67	59	77	26	36
ATAD3C|ENSG00000215915.10|chr1	0	0	5	0	3	0
ATAD3B|ENSG00000160072.20|chr1	114	234	123	201	155	202
ATAD3A|ENSG00000197785.14|chr1	798	1148	1021	1004	599	973
TMEM240|ENSG00000205090.9|chr1	0	6	0	1	0	8
SSU72|ENSG00000160075.12|chr1	999	1300	1129	1349	619	1420
FNDC10|ENSG00000228594.4|chr1	97	114	92	102	37	82
MIB2|ENSG00000197530.13|chr1	118	94	167	98	54	70
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	176	190	134	403	286	353
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	1	0
NADK|ENSG00000008130.15|chr1	416	438	408	428	275	376
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	29	16	3	19	7	21
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	13	17	10	19	13	26
PRKCZ|ENSG00000067606.17|chr1	259	322	238	331	235	336
FAAP20|ENSG00000162585.17|chr1	305	366	266	266	160	323
SKI|ENSG00000157933.10|chr1	1115	1387	969	1517	1011	1412
MORN1|ENSG00000116151.14|chr1	0	0	0	3	0	1
RER1|ENSG00000157916.20|chr1	2275	2947	2243	2857	1685	2612
PEX10|ENSG00000157911.11|chr1	690	784	747	905	410	774
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	5	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	81	99	102	183	85	167
ARHGEF16|ENSG00000130762.15|chr1	0	50	47	23	14	63
MEGF6|ENSG00000162591.17|chr1	33	13	15	6	7	18
TPRG1L|ENSG00000158109.15|chr1	440	454	319	715	407	616
WRAP73|ENSG00000116213.16|chr1	720	853	530	719	530	773
TP73|ENSG00000078900.15|chr1	147	195	161	278	170	205
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	22	14	27	31	9	24
LRRC47|ENSG00000130764.10|chr1	1875	2310	1762	2542	2005	2230
CEP104|ENSG00000116198.14|chr1	173	234	204	197	92	179
DFFB|ENSG00000169598.17|chr1	210	214	175	224	197	304
C1orf174|ENSG00000198912.12|chr1	401	563	455	587	434	652
NPHP4|ENSG00000131697.18|chr1	47	104	75	108	35	89
KCNAB2|ENSG00000069424.16|chr1	43	35	43	42	11	40
RPL22|ENSG00000116251.11|chr1	3421	4153	3294	5081	4604	5130
RNF207|ENSG00000158286.13|chr1	0	5	12	23	21	15
ICMT|ENSG00000116237.16|chr1	1588	1689	1320	2068	1840	2227
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	72	181	134	190	91	214
ACOT7|ENSG00000097021.20|chr1	1792	2099	1804	1886	1470	2088
HES2|ENSG00000069812.11|chr1	0	0	7	0	1	10
ESPN|ENSG00000187017.18|chr1	0	3	0	0	0	2
TNFRSF25|ENSG00000215788.11|chr1	16	26	10	14	15	7
PLEKHG5|ENSG00000171680.23|chr1	28	15	13	3	0	2
NOL9|ENSG00000162408.11|chr1	1220	1493	1292	1906	1360	1854
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	4
ZBTB48|ENSG00000204859.13|chr1	30	45	74	95	21	69
KLHL21|ENSG00000162413.17|chr1	474	544	484	864	599	790
PHF13|ENSG00000116273.6|chr1	300	358	281	463	360	450
THAP3|ENSG00000041988.16|chr1	204	388	249	399	154	382
DNAJC11|ENSG00000007923.17|chr1	573	637	730	751	304	624
CAMTA1|ENSG00000171735.20|chr1	31	120	75	127	146	146
VAMP3|ENSG00000049245.13|chr1	1027	1301	879	1273	730	1336
PER3|ENSG00000049246.15|chr1	4	21	7	7	20	17
UTS2|ENSG00000049247.14|chr1	0	5	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	1	16	0	7	0	0
PARK7|ENSG00000116288.13|chr1	9866	11824	9891	11455	11089	11838
ERRFI1|ENSG00000116285.13|chr1	145	282	162	201	191	262
SLC45A1|ENSG00000162426.16|chr1	0	0	0	4	0	8
RERE|ENSG00000142599.19|chr1	693	711	599	901	667	808
ENO1|ENSG00000074800.16|chr1	51849	61990	48586	58947	27691	55804
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	11	0	2
SLC2A5|ENSG00000142583.18|chr1	0	0	0	19	0	0
GPR157|ENSG00000180758.12|chr1	91	135	104	173	196	158
H6PD|ENSG00000049239.13|chr1	55	99	147	103	87	152
SPSB1|ENSG00000171621.14|chr1	24	77	52	84	51	72
SLC25A33|ENSG00000171612.7|chr1	561	714	623	810	597	914
TMEM201|ENSG00000188807.13|chr1	121	179	192	185	92	221
PIK3CD|ENSG00000171608.18|chr1	21	27	22	46	25	22
CLSTN1|ENSG00000171603.18|chr1	789	850	663	936	436	794
CTNNBIP1|ENSG00000178585.15|chr1	254	387	262	453	393	437
LZIC|ENSG00000162441.12|chr1	450	566	459	883	695	698
NMNAT1|ENSG00000173614.14|chr1	72	114	63	162	135	149
RBP7|ENSG00000162444.12|chr1	138	136	58	96	78	141
UBE4B|ENSG00000130939.20|chr1	336	400	306	534	381	524
KIF1B|ENSG00000054523.20|chr1	154	160	95	245	112	204
PGD|ENSG00000142657.21|chr1	1571	1756	1657	1959	797	1811
CENPS-CORT|ENSG00000251503.8|chr1	30	16	64	58	38	49
CENPS|ENSG00000175279.22|chr1	780	1086	862	1113	1132	1242
CORT|ENSG00000241563.4|chr1	30	16	64	58	38	49
DFFA|ENSG00000160049.12|chr1	1814	2475	1813	2794	2513	2764
PEX14|ENSG00000142655.13|chr1	268	217	251	244	116	197
CASZ1|ENSG00000130940.15|chr1	24	15	10	36	29	30
TARDBP|ENSG00000120948.19|chr1	1077	1468	1037	1748	1419	1993
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	7125	9546	7350	8070	2815	6547
EXOSC10|ENSG00000171824.14|chr1	744	695	760	811	711	787
MTOR|ENSG00000198793.14|chr1	199	256	180	262	251	319
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	909	762	603	1001	719	990
DISP3|ENSG00000204624.8|chr1	0	1	0	10	6	0
FBXO2|ENSG00000116661.11|chr1	11	11	1	6	12	0
FBXO44|ENSG00000132879.14|chr1	133	212	102	217	92	163
MAD2L2|ENSG00000116670.16|chr1	1577	2020	1488	1436	497	1477
FBXO6|ENSG00000116663.11|chr1	34	23	82	62	14	26
DRAXIN|ENSG00000162490.7|chr1	28	26	17	22	12	15
AGTRAP|ENSG00000177674.16|chr1	456	636	438	636	285	445
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	270	362	273	262	226	361
CLCN6|ENSG00000011021.23|chr1	0	8	19	30	31	23
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	0	3	9	2	9	10
KIAA2013|ENSG00000116685.16|chr1	674	1047	759	1124	787	1020
PLOD1|ENSG00000083444.17|chr1	529	601	387	514	443	704
MFN2|ENSG00000116688.18|chr1	945	1155	887	1550	1334	1399
MIIP|ENSG00000116691.11|chr1	203	208	53	137	141	214
TNFRSF8|ENSG00000120949.15|chr1	0	0	0	0	0	6
TNFRSF1B|ENSG00000028137.19|chr1	0	0	0	10	2	0
VPS13D|ENSG00000048707.15|chr1	64	89	66	94	114	88
