Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	1342	1553	1142	1601	1475	882
NOC2L|ENSG00000188976.11|chr1	1074	1580	1241	2217	1317	951
KLHL17|ENSG00000187961.15|chr1	66	68	60	74	103	90
PLEKHN1|ENSG00000187583.11|chr1	0	4	0	14	2	0
PERM1|ENSG00000187642.10|chr1	0	1	0	0	0	0
HES4|ENSG00000188290.11|chr1	1602	1721	1373	1157	1048	591
ISG15|ENSG00000187608.10|chr1	48	4	20	53	53	54
AGRN|ENSG00000188157.15|chr1	95	100	50	10	21	0
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	63	72	60	94	69	35
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	21	0	0
SDF4|ENSG00000078808.20|chr1	2378	3447	2475	2337	1692	1979
B3GALT6|ENSG00000176022.7|chr1	383	549	352	381	314	259
C1QTNF12|ENSG00000184163.3|chr1	2	0	2	0	0	0
UBE2J2|ENSG00000160087.21|chr1	670	968	668	1468	1281	1156
SCNN1D|ENSG00000162572.21|chr1	0	5	1	10	12	13
ACAP3|ENSG00000131584.19|chr1	70	78	62	103	76	50
PUSL1|ENSG00000169972.12|chr1	526	557	391	511	310	418
INTS11|ENSG00000127054.22|chr1	146	269	133	256	182	133
CPTP|ENSG00000224051.7|chr1	55	94	73	72	82	34
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0
DVL1|ENSG00000107404.21|chr1	298	407	304	348	354	190
MXRA8|ENSG00000162576.17|chr1	9	19	11	21	0	0
AURKAIP1|ENSG00000175756.14|chr1	3909	4777	3381	2987	2978	2428
CCNL2|ENSG00000221978.13|chr1	89	52	95	95	82	56
MRPL20|ENSG00000242485.6|chr1	6487	8020	5950	5487	5206	4148
ANKRD65|ENSG00000235098.9|chr1	0	5	0	0	0	0
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	40	55	41	97	57	42
ATAD3C|ENSG00000215915.10|chr1	0	0	5	0	0	0
ATAD3B|ENSG00000160072.20|chr1	95	190	105	166	174	211
ATAD3A|ENSG00000197785.14|chr1	731	1055	914	1001	891	753
TMEM240|ENSG00000205090.9|chr1	0	1	0	0	14	2
SSU72|ENSG00000160075.12|chr1	718	932	907	757	700	583
FNDC10|ENSG00000228594.4|chr1	64	103	57	26	12	122
MIB2|ENSG00000197530.13|chr1	114	94	165	48	39	34
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	167	135	127	84	127	87
CDK11A|ENSG00000008128.23|chr1	0	0	0	1	0	0
NADK|ENSG00000008130.15|chr1	384	389	358	175	262	312
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	29	7	0	0	18	0
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	13	14	10	27	10	2
PRKCZ|ENSG00000067606.17|chr1	132	242	164	262	270	264
FAAP20|ENSG00000162585.17|chr1	296	341	250	133	45	230
SKI|ENSG00000157933.10|chr1	232	288	187	198	129	48
MORN1|ENSG00000116151.14|chr1	0	0	0	10	0	0
RER1|ENSG00000157916.20|chr1	1778	2383	1901	1718	1543	1118
PEX10|ENSG00000157911.11|chr1	506	612	613	312	483	305
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	20	15	25	10	6	9
ARHGEF16|ENSG00000130762.15|chr1	0	37	29	19	1	3
MEGF6|ENSG00000162591.17|chr1	33	13	15	7	31	0
TPRG1L|ENSG00000158109.15|chr1	187	126	95	34	106	87
WRAP73|ENSG00000116213.16|chr1	262	426	245	351	380	324
TP73|ENSG00000078900.15|chr1	70	74	46	99	96	72
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	21	14	27	8	1	1
LRRC47|ENSG00000130764.10|chr1	1125	1541	1119	1672	1474	1001
CEP104|ENSG00000116198.14|chr1	126	212	152	174	177	128
DFFB|ENSG00000169598.17|chr1	110	78	99	183	278	205
C1orf174|ENSG00000198912.12|chr1	93	133	119	229	101	254
NPHP4|ENSG00000131697.18|chr1	34	99	42	55	82	86
KCNAB2|ENSG00000069424.16|chr1	28	35	26	31	13	1
RPL22|ENSG00000116251.11|chr1	2613	3319	2625	3282	2434	3023
RNF207|ENSG00000158286.13|chr1	0	5	0	0	1	0
ICMT|ENSG00000116237.16|chr1	921	907	805	728	727	692
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	64	152	84	43	21	27
ACOT7|ENSG00000097021.20|chr1	1615	1840	1581	1731	1344	1514
HES2|ENSG00000069812.11|chr1	0	0	7	0	0	12
ESPN|ENSG00000187017.18|chr1	0	3	0	0	20	5
TNFRSF25|ENSG00000215788.11|chr1	16	12	6	0	0	1
PLEKHG5|ENSG00000171680.23|chr1	14	15	8	42	19	0
NOL9|ENSG00000162408.11|chr1	860	1036	921	941	626	519
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	15
ZBTB48|ENSG00000204859.13|chr1	19	15	33	65	58	98
KLHL21|ENSG00000162413.17|chr1	70	55	24	23	58	104
PHF13|ENSG00000116273.6|chr1	17	51	48	98	13	54
THAP3|ENSG00000041988.16|chr1	38	153	38	123	144	282
DNAJC11|ENSG00000007923.17|chr1	422	505	557	649	522	377
CAMTA1|ENSG00000171735.20|chr1	6	13	25	14	33	46
VAMP3|ENSG00000049245.13|chr1	788	908	728	519	515	320
PER3|ENSG00000049246.15|chr1	4	12	7	39	12	1
UTS2|ENSG00000049247.14|chr1	0	5	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	0	16	0	0	0	0
PARK7|ENSG00000116288.13|chr1	8043	9733	8318	7061	6696	5382
ERRFI1|ENSG00000116285.13|chr1	6	32	18	62	22	21
SLC45A1|ENSG00000162426.16|chr1	0	0	0	18	0	0
RERE|ENSG00000142599.19|chr1	260	282	223	431	215	268
ENO1|ENSG00000074800.16|chr1	47165	56317	44221	44881	41163	32362
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0
SLC2A5|ENSG00000142583.18|chr1	0	0	0	3	0	0
GPR157|ENSG00000180758.12|chr1	30	29	61	31	30	4
H6PD|ENSG00000049239.13|chr1	46	50	113	42	34	62
