userId	geneSymbol	geneName	entrezgene	gLink
CHAC1	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	79094	https://www.ncbi.nlm.nih.gov/gene/?term=79094
HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	9709	https://www.ncbi.nlm.nih.gov/gene/?term=9709
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	https://www.ncbi.nlm.nih.gov/gene/?term=1649
EGR3	EGR3	early growth response 3	1960	https://www.ncbi.nlm.nih.gov/gene/?term=1960
LBH	LBH	limb bud and heart development	81606	https://www.ncbi.nlm.nih.gov/gene/?term=81606
ATF3	ATF3	activating transcription factor 3	467	https://www.ncbi.nlm.nih.gov/gene/?term=467
HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5	3309	https://www.ncbi.nlm.nih.gov/gene/?term=3309
SDF2L1	SDF2L1	stromal cell derived factor 2 like 1	23753	https://www.ncbi.nlm.nih.gov/gene/?term=23753
PDIA4	PDIA4	protein disulfide isomerase family A member 4	9601	https://www.ncbi.nlm.nih.gov/gene/?term=9601
RCAN1	RCAN1	regulator of calcineurin 1	1827	https://www.ncbi.nlm.nih.gov/gene/?term=1827
PTGS2	PTGS2	prostaglandin-endoperoxide synthase 2	5743	https://www.ncbi.nlm.nih.gov/gene/?term=5743
HSP90B1	HSP90B1	heat shock protein 90 beta family member 1	7184	https://www.ncbi.nlm.nih.gov/gene/?term=7184
DDIT4	DDIT4	DNA damage inducible transcript 4	54541	https://www.ncbi.nlm.nih.gov/gene/?term=54541
STC2	STC2	stanniocalcin 2	8614	https://www.ncbi.nlm.nih.gov/gene/?term=8614
CTH	CTH	cystathionine gamma-lyase	1491	https://www.ncbi.nlm.nih.gov/gene/?term=1491
RHEBL1	RHEBL1	RHEB like 1	121268	https://www.ncbi.nlm.nih.gov/gene/?term=121268
CEBPB	CEBPB	CCAAT enhancer binding protein beta	1051	https://www.ncbi.nlm.nih.gov/gene/?term=1051
DNAJB9	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	4189	https://www.ncbi.nlm.nih.gov/gene/?term=4189
MANF	MANF	mesencephalic astrocyte derived neurotrophic factor	7873	https://www.ncbi.nlm.nih.gov/gene/?term=7873
TRIB3	TRIB3	tribbles pseudokinase 3	57761	https://www.ncbi.nlm.nih.gov/gene/?term=57761
RGS2	RGS2	regulator of G protein signaling 2	5997	https://www.ncbi.nlm.nih.gov/gene/?term=5997
TSC22D3	TSC22D3	TSC22 domain family member 3	1831	https://www.ncbi.nlm.nih.gov/gene/?term=1831
