userId	geneSymbol	geneName	entrezgene	gLink
HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	9709	https://www.ncbi.nlm.nih.gov/gene/?term=9709
HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5	3309	https://www.ncbi.nlm.nih.gov/gene/?term=3309
MANF	MANF	mesencephalic astrocyte derived neurotrophic factor	7873	https://www.ncbi.nlm.nih.gov/gene/?term=7873
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	https://www.ncbi.nlm.nih.gov/gene/?term=1649
PDIA4	PDIA4	protein disulfide isomerase family A member 4	9601	https://www.ncbi.nlm.nih.gov/gene/?term=9601
HSP90B1	HSP90B1	heat shock protein 90 beta family member 1	7184	https://www.ncbi.nlm.nih.gov/gene/?term=7184
STC2	STC2	stanniocalcin 2	8614	https://www.ncbi.nlm.nih.gov/gene/?term=8614
ATF3	ATF3	activating transcription factor 3	467	https://www.ncbi.nlm.nih.gov/gene/?term=467
SDF2L1	SDF2L1	stromal cell derived factor 2 like 1	23753	https://www.ncbi.nlm.nih.gov/gene/?term=23753
SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	6303	https://www.ncbi.nlm.nih.gov/gene/?term=6303
CHAC1	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	79094	https://www.ncbi.nlm.nih.gov/gene/?term=79094
PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	5366	https://www.ncbi.nlm.nih.gov/gene/?term=5366
DDIT4	DDIT4	DNA damage inducible transcript 4	54541	https://www.ncbi.nlm.nih.gov/gene/?term=54541
GADD45A	GADD45A	growth arrest and DNA damage inducible alpha	1647	https://www.ncbi.nlm.nih.gov/gene/?term=1647
CALR	CALR	calreticulin	811	https://www.ncbi.nlm.nih.gov/gene/?term=811
TRIB3	TRIB3	tribbles pseudokinase 3	57761	https://www.ncbi.nlm.nih.gov/gene/?term=57761
CRELD2	CRELD2	cysteine rich with EGF like domains 2	79174	https://www.ncbi.nlm.nih.gov/gene/?term=79174
CEBPB	CEBPB	CCAAT enhancer binding protein beta	1051	https://www.ncbi.nlm.nih.gov/gene/?term=1051
IDI1	IDI1	isopentenyl-diphosphate delta isomerase 1	3422	https://www.ncbi.nlm.nih.gov/gene/?term=3422
TSC22D3	TSC22D3	TSC22 domain family member 3	1831	https://www.ncbi.nlm.nih.gov/gene/?term=1831
PDIA6	PDIA6	protein disulfide isomerase family A member 6	10130	https://www.ncbi.nlm.nih.gov/gene/?term=10130
CDK2AP2	CDK2AP2	cyclin dependent kinase 2 associated protein 2	10263	https://www.ncbi.nlm.nih.gov/gene/?term=10263
SLC3A2	SLC3A2	solute carrier family 3 member 2	6520	https://www.ncbi.nlm.nih.gov/gene/?term=6520
RABGGTB	RABGGTB	Rab geranylgeranyltransferase subunit beta	5876	https://www.ncbi.nlm.nih.gov/gene/?term=5876
ADAMTS1	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	https://www.ncbi.nlm.nih.gov/gene/?term=9510
SHMT2	SHMT2	serine hydroxymethyltransferase 2	6472	https://www.ncbi.nlm.nih.gov/gene/?term=6472
CCN1	CCN1	cellular communication network factor 1	3491	https://www.ncbi.nlm.nih.gov/gene/?term=3491
RPL22L1	RPL22L1	ribosomal protein L22 like 1	200916	https://www.ncbi.nlm.nih.gov/gene/?term=200916
SLC38A2	SLC38A2	solute carrier family 38 member 2	54407	https://www.ncbi.nlm.nih.gov/gene/?term=54407
JUN	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725	https://www.ncbi.nlm.nih.gov/gene/?term=3725
CEBPG	CEBPG	CCAAT enhancer binding protein gamma	1054	https://www.ncbi.nlm.nih.gov/gene/?term=1054
PPP1R15A	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	23645	https://www.ncbi.nlm.nih.gov/gene/?term=23645
ASNS	ASNS	asparagine synthetase (glutamine-hydrolyzing)	440	https://www.ncbi.nlm.nih.gov/gene/?term=440
CBX4	CBX4	chromobox 4	8535	https://www.ncbi.nlm.nih.gov/gene/?term=8535
PSAT1	PSAT1	phosphoserine aminotransferase 1	29968	https://www.ncbi.nlm.nih.gov/gene/?term=29968
P4HB	P4HB	prolyl 4-hydroxylase subunit beta	5034	https://www.ncbi.nlm.nih.gov/gene/?term=5034
EIF4A2	EIF4A2	eukaryotic translation initiation factor 4A2	1974	https://www.ncbi.nlm.nih.gov/gene/?term=1974
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
HMGCS1	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	3157	https://www.ncbi.nlm.nih.gov/gene/?term=3157
LBH	LBH	limb bud and heart development	81606	https://www.ncbi.nlm.nih.gov/gene/?term=81606
CTH	CTH	cystathionine gamma-lyase	1491	https://www.ncbi.nlm.nih.gov/gene/?term=1491
BTG1	BTG1	BTG anti-proliferation factor 1	694	https://www.ncbi.nlm.nih.gov/gene/?term=694
PHGDH	PHGDH	phosphoglycerate dehydrogenase	26227	https://www.ncbi.nlm.nih.gov/gene/?term=26227
RPL10A	RPL10A	ribosomal protein L10a	4736	https://www.ncbi.nlm.nih.gov/gene/?term=4736
PPIB	PPIB	peptidylprolyl isomerase B	5479	https://www.ncbi.nlm.nih.gov/gene/?term=5479
MYDGF	MYDGF	myeloid derived growth factor	56005	https://www.ncbi.nlm.nih.gov/gene/?term=56005
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
SELENOK	SELENOK	selenoprotein K	58515	https://www.ncbi.nlm.nih.gov/gene/?term=58515
FICD	FICD	FIC domain containing	11153	https://www.ncbi.nlm.nih.gov/gene/?term=11153
MYC	MYC	MYC proto-oncogene, bHLH transcription factor	4609	https://www.ncbi.nlm.nih.gov/gene/?term=4609
VEGFA	VEGFA	vascular endothelial growth factor A	7422	https://www.ncbi.nlm.nih.gov/gene/?term=7422
TES	TES	testin LIM domain protein	26136	https://www.ncbi.nlm.nih.gov/gene/?term=26136
NGRN	NGRN	neugrin, neurite outgrowth associated	51335	https://www.ncbi.nlm.nih.gov/gene/?term=51335
DNAJB11	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	51726	https://www.ncbi.nlm.nih.gov/gene/?term=51726
MTHFD2	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	10797	https://www.ncbi.nlm.nih.gov/gene/?term=10797
RCAN1	RCAN1	regulator of calcineurin 1	1827	https://www.ncbi.nlm.nih.gov/gene/?term=1827
LIMA1	LIMA1	LIM domain and actin binding 1	51474	https://www.ncbi.nlm.nih.gov/gene/?term=51474
TOE1	TOE1	target of EGR1, exonuclease	114034	https://www.ncbi.nlm.nih.gov/gene/?term=114034
SPEN	SPEN	spen family transcriptional repressor	23013	https://www.ncbi.nlm.nih.gov/gene/?term=23013
IFRD1	IFRD1	interferon related developmental regulator 1	3475	https://www.ncbi.nlm.nih.gov/gene/?term=3475
CIRBP	CIRBP	cold inducible RNA binding protein	1153	https://www.ncbi.nlm.nih.gov/gene/?term=1153
DNAJB9	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	4189	https://www.ncbi.nlm.nih.gov/gene/?term=4189
PCNA	PCNA	proliferating cell nuclear antigen	5111	https://www.ncbi.nlm.nih.gov/gene/?term=5111
RGS16	RGS16	regulator of G protein signaling 16	6004	https://www.ncbi.nlm.nih.gov/gene/?term=6004
MSX2	MSX2	msh homeobox 2	4488	https://www.ncbi.nlm.nih.gov/gene/?term=4488
ULBP1	ULBP1	UL16 binding protein 1	80329	https://www.ncbi.nlm.nih.gov/gene/?term=80329
ID4	ID4	inhibitor of DNA binding 4, HLH protein	3400	https://www.ncbi.nlm.nih.gov/gene/?term=3400
ATP2A2	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	488	https://www.ncbi.nlm.nih.gov/gene/?term=488
NFIL3	NFIL3	nuclear factor, interleukin 3 regulated	4783	https://www.ncbi.nlm.nih.gov/gene/?term=4783
SLC7A1	SLC7A1	solute carrier family 7 member 1	6541	https://www.ncbi.nlm.nih.gov/gene/?term=6541
IRF2BP2	IRF2BP2	interferon regulatory factor 2 binding protein 2	359948	https://www.ncbi.nlm.nih.gov/gene/?term=359948
HEY1	HEY1	hes related family bHLH transcription factor with YRPW motif 1	23462	https://www.ncbi.nlm.nih.gov/gene/?term=23462
MCL1	MCL1	MCL1, BCL2 family apoptosis regulator	4170	https://www.ncbi.nlm.nih.gov/gene/?term=4170
FAM24B	FAM24B	family with sequence similarity 24 member B	196792	https://www.ncbi.nlm.nih.gov/gene/?term=196792
ISL2	ISL2	ISL LIM homeobox 2	64843	https://www.ncbi.nlm.nih.gov/gene/?term=64843
CCNB1IP1	CCNB1IP1	cyclin B1 interacting protein 1	57820	https://www.ncbi.nlm.nih.gov/gene/?term=57820
MIS12	MIS12	MIS12, kinetochore complex component	79003	https://www.ncbi.nlm.nih.gov/gene/?term=79003
GATA3	GATA3	GATA binding protein 3	2625	https://www.ncbi.nlm.nih.gov/gene/?term=2625
EIF2S2	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	8894	https://www.ncbi.nlm.nih.gov/gene/?term=8894
GZF1	GZF1	GDNF inducible zinc finger protein 1	64412	https://www.ncbi.nlm.nih.gov/gene/?term=64412
RAB9A	RAB9A	RAB9A, member RAS oncogene family	9367	https://www.ncbi.nlm.nih.gov/gene/?term=9367
CDC6	CDC6	cell division cycle 6	990	https://www.ncbi.nlm.nih.gov/gene/?term=990
TMED9	TMED9	transmembrane p24 trafficking protein 9	54732	https://www.ncbi.nlm.nih.gov/gene/?term=54732
PNP	PNP	purine nucleoside phosphorylase	4860	https://www.ncbi.nlm.nih.gov/gene/?term=4860
PSPH	PSPH	phosphoserine phosphatase	5723	https://www.ncbi.nlm.nih.gov/gene/?term=5723
PYCR2	PYCR2	pyrroline-5-carboxylate reductase 2	29920	https://www.ncbi.nlm.nih.gov/gene/?term=29920
RPP38	RPP38	ribonuclease P/MRP subunit p38	10557	https://www.ncbi.nlm.nih.gov/gene/?term=10557
ZNF165	ZNF165	zinc finger protein 165	7718	https://www.ncbi.nlm.nih.gov/gene/?term=7718
DERL2	DERL2	derlin 2	51009	https://www.ncbi.nlm.nih.gov/gene/?term=51009
SLC25A25	SLC25A25	solute carrier family 25 member 25	114789	https://www.ncbi.nlm.nih.gov/gene/?term=114789
SRSF5	SRSF5	serine and arginine rich splicing factor 5	6430	https://www.ncbi.nlm.nih.gov/gene/?term=6430
SLC35B1	SLC35B1	solute carrier family 35 member B1	10237	https://www.ncbi.nlm.nih.gov/gene/?term=10237
UBC	UBC	ubiquitin C	7316	https://www.ncbi.nlm.nih.gov/gene/?term=7316
EIF5	EIF5	eukaryotic translation initiation factor 5	1983	https://www.ncbi.nlm.nih.gov/gene/?term=1983
HSD17B7	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7	51478	https://www.ncbi.nlm.nih.gov/gene/?term=51478
ZNF420	ZNF420	zinc finger protein 420	147923	https://www.ncbi.nlm.nih.gov/gene/?term=147923
ZNF48	ZNF48	zinc finger protein 48	197407	https://www.ncbi.nlm.nih.gov/gene/?term=197407
SLC7A11	SLC7A11	solute carrier family 7 member 11	23657	https://www.ncbi.nlm.nih.gov/gene/?term=23657
ZNF227	ZNF227	zinc finger protein 227	7770	https://www.ncbi.nlm.nih.gov/gene/?term=7770
CDT1	CDT1	chromatin licensing and DNA replication factor 1	81620	https://www.ncbi.nlm.nih.gov/gene/?term=81620
SNRPA	SNRPA	small nuclear ribonucleoprotein polypeptide A	6626	https://www.ncbi.nlm.nih.gov/gene/?term=6626
RNF113A	RNF113A	ring finger protein 113A	7737	https://www.ncbi.nlm.nih.gov/gene/?term=7737
GMPPB	GMPPB	GDP-mannose pyrophosphorylase B	29925	https://www.ncbi.nlm.nih.gov/gene/?term=29925
TRIM11	TRIM11	tripartite motif containing 11	81559	https://www.ncbi.nlm.nih.gov/gene/?term=81559
GRPEL2	GRPEL2	GrpE like 2, mitochondrial	134266	https://www.ncbi.nlm.nih.gov/gene/?term=134266
KLF9	KLF9	Kruppel like factor 9	687	https://www.ncbi.nlm.nih.gov/gene/?term=687
NUDT16L1	NUDT16L1	nudix hydrolase 16 like 1	84309	https://www.ncbi.nlm.nih.gov/gene/?term=84309
NXT1	NXT1	nuclear transport factor 2 like export factor 1	29107	https://www.ncbi.nlm.nih.gov/gene/?term=29107
EXOSC8	EXOSC8	exosome component 8	11340	https://www.ncbi.nlm.nih.gov/gene/?term=11340
AMMECR1L	AMMECR1L	AMMECR1 like	83607	https://www.ncbi.nlm.nih.gov/gene/?term=83607
SLC1A4	SLC1A4	solute carrier family 1 member 4	6509	https://www.ncbi.nlm.nih.gov/gene/?term=6509
GOT1	GOT1	glutamic-oxaloacetic transaminase 1	2805	https://www.ncbi.nlm.nih.gov/gene/?term=2805
MORF4L2	MORF4L2	mortality factor 4 like 2	9643	https://www.ncbi.nlm.nih.gov/gene/?term=9643
TXNIP	TXNIP	thioredoxin interacting protein	10628	https://www.ncbi.nlm.nih.gov/gene/?term=10628
SRSF7	SRSF7	serine and arginine rich splicing factor 7	6432	https://www.ncbi.nlm.nih.gov/gene/?term=6432
DLX2	DLX2	distal-less homeobox 2	1746	https://www.ncbi.nlm.nih.gov/gene/?term=1746
DPM1	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	8813	https://www.ncbi.nlm.nih.gov/gene/?term=8813
SREBF1	SREBF1	sterol regulatory element binding transcription factor 1	6720	https://www.ncbi.nlm.nih.gov/gene/?term=6720
SLFN11	SLFN11	schlafen family member 11	91607	https://www.ncbi.nlm.nih.gov/gene/?term=91607
NANS	NANS	N-acetylneuraminate synthase	54187	https://www.ncbi.nlm.nih.gov/gene/?term=54187
HS3ST3A1	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1	9955	https://www.ncbi.nlm.nih.gov/gene/?term=9955
KLF10	KLF10	Kruppel like factor 10	7071	https://www.ncbi.nlm.nih.gov/gene/?term=7071
FKBP2	FKBP2	FKBP prolyl isomerase 2	2286	https://www.ncbi.nlm.nih.gov/gene/?term=2286
OSTC	OSTC	oligosaccharyltransferase complex non-catalytic subunit	58505	https://www.ncbi.nlm.nih.gov/gene/?term=58505
RND3	RND3	Rho family GTPase 3	390	https://www.ncbi.nlm.nih.gov/gene/?term=390
METTL1	METTL1	methyltransferase like 1	4234	https://www.ncbi.nlm.nih.gov/gene/?term=4234
DNAJC3	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	5611	https://www.ncbi.nlm.nih.gov/gene/?term=5611
MAGT1	MAGT1	magnesium transporter 1	84061	https://www.ncbi.nlm.nih.gov/gene/?term=84061
ING3	ING3	inhibitor of growth family member 3	54556	https://www.ncbi.nlm.nih.gov/gene/?term=54556
CSRNP1	CSRNP1	cysteine and serine rich nuclear protein 1	64651	https://www.ncbi.nlm.nih.gov/gene/?term=64651
SYVN1	SYVN1	synoviolin 1	84447	https://www.ncbi.nlm.nih.gov/gene/?term=84447
ZNF829	ZNF829	zinc finger protein 829	374899	https://www.ncbi.nlm.nih.gov/gene/?term=374899
CDKN2AIP	CDKN2AIP	CDKN2A interacting protein	55602	https://www.ncbi.nlm.nih.gov/gene/?term=55602
