rownames(tcReadCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	728	210	702	413	293	310	0.0760318738290694	0.302842552977303	2407	-0.542083220669676	0.30553857850367	425.456037492713	-1.77418911655755
NOC2L|ENSG00000188976.11|chr1	180	96	139	222	124	110	0.49837465487995	0.768719154169576	7690	0.248281456584558	0.366711028024855	144.824501904063	0.677049332063531
KLHL17|ENSG00000187961.15|chr1	6	6	14	3	3	2	0.224323172549222	1	4321	-1.63952956121099	1.34928207153947	5.49094254336766	-1.21511253709935
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	16	3	0	0.0318045387999491	1	1586	5.26434680523122	2.45211620176459	3.47167941082422	2.1468586200943
PERM1|ENSG00000187642.10|chr1	0	0	0	1	0	6	0.284170564257797	1	5049	3.77110617232483	3.52111583330115	1.23101900804513	1.07099747661221
HES4|ENSG00000188290.11|chr1	282	113	222	231	155	151	0.811543487265903	0.934995717491687	11199	-0.0777645442826104	0.326145258577425	188.510032812539	-0.238435305243444
ISG15|ENSG00000187608.10|chr1	11	0	2	1	5	6	0.993573342012206	1	13209	0.0143180354434047	1.77759823447541	3.82432725826158	0.00805470840694781
AGRN|ENSG00000188157.15|chr1	17	6	5	2	2	1	0.097490104336935	1	2730	-2.41245080774654	1.45578714278226	5.25248971373861	-1.65714529057863
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	27	0	4	8	20	2	0.97501914829903	1	12990	0.042601875582307	1.36047501050862	9.18505598490688	0.0313139714094272
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	759	479	638	504	539	504	0.205851176843063	0.517072581540326	4120	-0.219887630784513	0.173816489789006	560.109542566617	-1.26505621561816
B3GALT6|ENSG00000176022.7|chr1	1014	643	1075	725	808	862	0.449623472240558	0.737657920149635	7065	-0.12310259458348	0.162824879161904	836.72950179489	-0.756042904604729
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	1191	754	1041	649	804	822	0.0270232031243722	0.167983724621662	1463	-0.339502873520608	0.153539057317679	857.776759234453	-2.21118247989606
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
ACAP3|ENSG00000131584.19|chr1	2	4	12	0	15	5	0.968013505326029	1	12920	0.0606130512161863	1.51155230655781	5.83859525979321	0.0400998701488656
PUSL1|ENSG00000169972.12|chr1	93	64	127	94	124	76	0.783601179147421	0.922059567432597	10838	0.0983724675140996	0.358201131969514	93.6571534334046	0.2746291363548
INTS11|ENSG00000127054.22|chr1	38	16	28	75	40	36	0.0841991605385581	0.320073214415929	2532	1.00929570763551	0.584480716751617	39.0315387559016	1.72682464743216
CPTP|ENSG00000224051.7|chr1	225	103	165	83	41	144	0.0858559176372794	0.323095558663283	2560	-0.748680821512311	0.435868738503896	124.383312329277	-1.7176749681157
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0	1	1	16385.5	NA	NA	0	NA
