Gene	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	728	210	702	413	293	310
NOC2L|ENSG00000188976.11|chr1	180	96	139	222	124	110
KLHL17|ENSG00000187961.15|chr1	6	6	14	3	3	2
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	16	3	0
PERM1|ENSG00000187642.10|chr1	0	0	0	1	0	6
HES4|ENSG00000188290.11|chr1	282	113	222	231	155	151
ISG15|ENSG00000187608.10|chr1	11	0	2	1	5	6
AGRN|ENSG00000188157.15|chr1	17	6	5	2	2	1
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	27	0	4	8	20	2
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	759	479	638	504	539	504
B3GALT6|ENSG00000176022.7|chr1	1014	643	1075	725	808	862
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	1191	754	1041	649	804	822
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0
ACAP3|ENSG00000131584.19|chr1	2	4	12	0	15	5
PUSL1|ENSG00000169972.12|chr1	93	64	127	94	124	76
INTS11|ENSG00000127054.22|chr1	38	16	28	75	40	36
CPTP|ENSG00000224051.7|chr1	225	103	165	83	41	144
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0
DVL1|ENSG00000107404.21|chr1	278	242	210	122	128	148
MXRA8|ENSG00000162576.17|chr1	4	0	4	5	0	0
AURKAIP1|ENSG00000175756.14|chr1	459	231	440	152	249	274
CCNL2|ENSG00000221978.13|chr1	264	206	225	105	209	217
MRPL20|ENSG00000242485.6|chr1	1783	1894	1898	1386	1689	1515
ANKRD65|ENSG00000235098.9|chr1	5	7	10	1	0	1
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	10	0	20	10	5	5
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0
ATAD3B|ENSG00000160072.20|chr1	49	44	40	25	32	31
ATAD3A|ENSG00000197785.14|chr1	89	55	87	84	68	114
TMEM240|ENSG00000205090.9|chr1	1	0	5	0	0	0
SSU72|ENSG00000160075.12|chr1	277	157	343	197	105	152
FNDC10|ENSG00000228594.4|chr1	19	1	10	17	6	2
MIB2|ENSG00000197530.13|chr1	0	0	0	0	0	0
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	99	65	101	33	103	78
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0
NADK|ENSG00000008130.15|chr1	67	36	57	93	31	75
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	1	0	5	11	9	0
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	0	0	0	0	0	0
PRKCZ|ENSG00000067606.17|chr1	97	71	159	109	81	136
FAAP20|ENSG00000162585.17|chr1	9	0	14	14	8	7
SKI|ENSG00000157933.10|chr1	1160	810	1057	552	719	702
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0
RER1|ENSG00000157916.20|chr1	561	412	484	336	494	388
PEX10|ENSG00000157911.11|chr1	161	113	138	145	118	157
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	5	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
