rownames(readCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	1742	717	2048	1610	1285	1211	0.970354338605793	0.989521837986174	13850	-0.00909420605409496	0.244705508445002	1397.43152259266	-0.0371638796032206
NOC2L|ENSG00000188976.11|chr1	1606	726	1313	1440	1212	1055	0.555841615234808	0.781880115105835	9480	0.126555109529943	0.214853672677308	1201.03332107196	0.589029305168165
KLHL17|ENSG00000187961.15|chr1	44	65	85	121	72	79	0.227803855483865	0.50533819592269	5411	0.546787900580068	0.453376341477255	78.9188704453647	1.20603536302412
PLEKHN1|ENSG00000187583.11|chr1	3	8	2	58	11	8	0.0138677678052722	1	1578	2.61118134198739	1.061166615304	16.3328882392313	2.46067045865304
PERM1|ENSG00000187642.10|chr1	0	0	0	1	0	6	0.281379826569568	1	6106	3.77106081145147	3.50071836460796	1.23101900804513	1.0772248489272
HES4|ENSG00000188290.11|chr1	1786	1051	1428	1031	1312	1244	0.21315920545657	0.486776859931207	5239	-0.196311530384895	0.157689403874537	1278.42848918204	-1.24492531242674
ISG15|ENSG00000187608.10|chr1	40	58	71	5	47	52	0.254992716987241	0.536625693534193	5766	-0.750876254996264	0.659643571467979	44.5499364205108	-1.13830602991439
AGRN|ENSG00000188157.15|chr1	113	73	96	9	11	19	5.37048837009737e-08	6.13416001305407e-06	91	-2.79774267324858	0.514424581880693	51.8761858798006	-5.43858666905121
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	130	46	100	66	112	68	0.795488352441117	0.917285815974359	11938	-0.104100437653497	0.401636963753732	83.0010433932775	-0.259190380986267
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	3583	2593	3725	2249	2799	2572	0.0100992354190011	0.0769585432148811	1409	-0.331981477836983	0.129054504934022	2860.70817059382	-2.57241293519126
B3GALT6|ENSG00000176022.7|chr1	1615	1025	1637	1112	1288	1311	0.365788405756083	0.642523139158759	7176	-0.142260658240649	0.157300046523363	1302.99222437267	-0.904390439703524
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	2100	1275	1949	1715	2094	1901	0.266205691841429	0.550310336007386	5890	0.158735166245818	0.14276761812481	1800.09025107903	1.11184292580303
SCNN1D|ENSG00000162572.21|chr1	56	30	6	21	20	22	0.515708565353619	1	9032	-0.505390959569076	0.777554820242868	25.6842840545189	-0.649974698132818
ACAP3|ENSG00000131584.19|chr1	55	34	71	89	70	62	0.209238098348291	0.482587103367339	5181	0.558529181555655	0.444808107087464	62.8676676830739	1.25566322343543
PUSL1|ENSG00000169972.12|chr1	871	545	720	561	703	535	0.246472124071429	0.528087349816095	5645	-0.202334656707554	0.174582815605454	641.008780516281	-1.15896089775993
INTS11|ENSG00000127054.22|chr1	310	172	210	376	272	185	0.257560631280981	0.540388615570148	5792	0.354194367236968	0.312844030982317	252.615570710782	1.13217556404964
CPTP|ENSG00000224051.7|chr1	351	187	265	202	118	219	0.151880158954292	0.404468965455011	4393	-0.464202833288215	0.323955432918966	220.883693297362	-1.43292189640274
TAS1R3|ENSG00000169962.5|chr1	1	0	8	0	7	5	0.820736925220817	1	12372	0.46652080867363	2.05881048311984	3.17577751202921	0.226597257250547
DVL1|ENSG00000107404.21|chr1	675	572	700	453	554	521	0.0766340066335012	0.272282430028143	3177	-0.317269064740844	0.179191431572438	571.142703384922	-1.77055935072759
MXRA8|ENSG00000162576.17|chr1	13	13	23	23	12	10	0.972462474231607	1	13878	-0.028891517242844	0.836949488080494	15.7112511041348	-0.0345200249887307
AURKAIP1|ENSG00000175756.14|chr1	4652	3035	4221	2607	2641	2372	7.49525088873818e-05	0.00231862017076026	339	-0.581476797733863	0.146837899550213	3189.90702721	-3.95999125236072
CCNL2|ENSG00000221978.13|chr1	415	292	410	199	383	359	0.340728840510675	0.620886319822573	6820	-0.223892790428339	0.235002251713323	333.58359901704	-0.952726149626278
MRPL20|ENSG00000242485.6|chr1	9644	9501	9480	5688	7601	6889	0.000916459666844432	0.0147001261993534	657	-0.496681226730083	0.149828816165136	8060.9729316874	-3.31499133105783
ANKRD65|ENSG00000235098.9|chr1	14	7	11	1	0	1	0.0191009658775336	1	1805	-3.87435443232305	1.65319571380515	5.43554321212091	-2.34355460758211
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	1	0.807578028220576	1	12096.5	0.99380616155426	4.0804728567969	0.173380393642944	0.243551714821203
VWA1|ENSG00000179403.12|chr1	77	26	36	52	17	24	0.518491686503325	0.759149540712151	9063	-0.41535982428667	0.64329832158579	38.2074702845442	-0.645672171602701
ATAD3C|ENSG00000215915.10|chr1	0	3	0	0	1	1	0.803244467416655	1	12006	-0.905540499123671	3.63451395379276	0.917789380387148	-0.249150370761049
ATAD3B|ENSG00000160072.20|chr1	201	155	202	188	175	162	0.905767513810819	0.962990591244714	13247	-0.0324780403395846	0.274356871545182	178.753812014847	-0.118378811351317
ATAD3A|ENSG00000197785.14|chr1	1004	599	973	985	1095	1012	0.0480350610682814	0.207599345007783	2573	0.329839971557511	0.166833725509528	927.085705267457	1.97705811909519
TMEM240|ENSG00000205090.9|chr1	1	0	8	0	0	0	0.255793903144787	1	5779.5	-3.86059054781941	3.39724461114913	1.32912504289011	-1.13638874726585
SSU72|ENSG00000160075.12|chr1	1349	619	1420	802	548	610	0.00738520714704067	0.0627652028506466	1262	-0.664683860272354	0.24811300774002	866.205128520286	-2.67895611893444
FNDC10|ENSG00000228594.4|chr1	102	37	82	69	34	44	0.380513068259494	0.656141162836582	7354	-0.441253166778744	0.503167218361055	59.9514077141184	-0.876951340780942
MIB2|ENSG00000197530.13|chr1	98	54	70	60	46	59	0.433128463413741	0.697734385974402	8002	-0.342238769955424	0.436612894162882	63.5834837822289	-0.783849433974227
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	403	286	353	193	278	259	0.0297382636466089	0.15211590174353	2149	-0.48081317994459	0.221210079962121	289.017988666158	-2.1735590892916
CDK11A|ENSG00000008128.23|chr1	0	1	0	17	0	0	0.102346756499225	1	3629	4.20219603637374	2.57238225042464	3.44400452834339	1.63358149267282
NADK|ENSG00000008130.15|chr1	428	275	376	276	212	279	0.10812936840029	0.332218934422883	3723	-0.410140147947822	0.255275296636909	303.897206266628	-1.60665819744864
CALML6|ENSG00000169885.10|chr1	0	0	0	2	0	0	0.608488491089227	1	10096.5	2.06122588479739	4.02400664566412	0.381473292374936	0.51223222680767
TMEM52|ENSG00000178821.13|chr1	19	7	21	18	15	9	0.953682147772896	1	13707	-0.0497789418736905	0.857024364337065	14.3705874753922	-0.0580834617370488
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	19	13	26	2	30	10	0.564580278797406	1	9578	-0.532028905348399	0.923578495561922	15.5404715555368	-0.576051638171483
PRKCZ|ENSG00000067606.17|chr1	331	235	336	469	318	398	0.0632933282920689	0.242144519167696	2931	0.481029356234196	0.259018254739224	348.11196878387	1.8571253084787
FAAP20|ENSG00000162585.17|chr1	266	160	323	96	102	112	4.43149475507371e-05	0.00156138835539784	297	-1.19519649616454	0.292671409199627	170.673312792398	-4.08374873183909
SKI|ENSG00000157933.10|chr1	1517	1011	1412	784	976	909	0.000643580215613212	0.0114766628810235	590	-0.51322116703877	0.150392259369761	1076.71258945319	-3.41255041442619
MORN1|ENSG00000116151.14|chr1	3	0	1	1	0	6	0.68393088037758	1	10926	1.04295971091079	2.5618937197442	1.81469126249646	0.407104987561674
RER1|ENSG00000157916.20|chr1	2857	1685	2612	1854	2517	1823	0.261569951102912	0.545059757771384	5834	-0.159338007671103	0.141925434824316	2162.94465702056	-1.12268817684681
PEX10|ENSG00000157911.11|chr1	905	410	774	441	453	521	0.0344811823885707	0.168078523615479	2259	-0.469219130864341	0.221916051441414	566.431027511865	-2.11439924158985
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	5	0	0	0	0	0	0.45065002828064	1	8208	-2.99187230659608	3.96625518599612	0.726141954939238	-0.754331772993238
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	183	85	167	81	99	72	0.0353344538695817	0.170821541172294	2279	-0.715564814802101	0.340015799997876	110.206097381226	-2.10450459892326
ARHGEF16|ENSG00000130762.15|chr1	23	14	63	37	59	55	0.254120925263335	0.536202374581223	5750	0.6748894597271	0.591802184419312	40.3352553691589	1.14039704059105
MEGF6|ENSG00000162591.17|chr1	6	7	18	0	0	7	0.200453921428473	1	5059	-2.03851336634857	1.59226588490265	6.15917137030281	-1.28025939993885
TPRG1L|ENSG00000158109.15|chr1	715	407	616	319	296	273	4.05476895248867e-05	0.00145328512041956	292	-0.892328005878053	0.217411024528669	426.608617169153	-4.10433651105115
WRAP73|ENSG00000116213.16|chr1	719	530	773	600	882	679	0.437158842089855	0.701641291643291	8045	0.127472902216383	0.164057814891286	681.214283095739	0.776999878371256
TP73|ENSG00000078900.15|chr1	278	170	205	215	229	216	0.77829431750798	0.909806958934801	11775	0.0721025435598529	0.256098235830865	215.473088509347	0.281542523422424
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16833	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	31	9	24	26	9	11	0.71928840882275	1	11254	-0.29887136276724	0.831561109126735	17.9931203111587	-0.359409981403652
