rownames(readCount),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SAMD11|ENSG00000187634.13|chr1,2024,2362,1872,2294,2083,1463,0.268032686382868,0.517946743433784,5978.0,0.112611046915919,0.101670816001691,1967.25131782694,1.10760443699052,0,10.941965559422412,ns
NOC2L|ENSG00000188976.11|chr1,1146,1738,1344,2452,1524,1079,0.0063336862846362,0.0432934334821407,1420.0,0.452280266390845,0.165671228715039,1503.39458008108,2.72998679311291,0,10.554007992529812,ns
KLHL17|ENSG00000187961.15|chr1,77,77,76,75,103,90,0.306111297796521,0.558110795313264,6473.0,0.46071344094671,0.450172301800577,83.4405733050505,1.02341578791936,0,6.382677165275145,ns
HES4|ENSG00000188290.11|chr1,1846,2078,1657,1295,1205,693,1.65411174884296e-05,0.0003613297881552,427.0,-0.606493386479633,0.140812571283022,1397.73021223663,-4.30709688029651,0,10.448870205440274,down
ISG15|ENSG00000187608.10|chr1,60,7,20,66,53,54,0.133377534198674,1.0,4293.0,1.15025386906344,0.766368400825818,44.6046654952628,1.50091505315714,0,5.479122713886144,ns
C1orf159|ENSG00000131591.18|chr1,79,90,66,101,92,46,0.638260763059107,0.822651153277686,10147.0,0.218142286103268,0.464002277260772,76.5778038299347,0.470131929935918,0,6.258854380707521,ns
SDF4|ENSG00000078808.20|chr1,2983,4202,3008,2923,2332,2312,0.0497984630895325,0.181708552744032,2834.0,-0.190331642132847,0.0970242694359117,2870.07843665964,-1.96169106182828,0,11.486874449658378,ns
B3GALT6|ENSG00000176022.7|chr1,1275,1551,931,1234,931,812,0.47023380866186,0.709679898293327,8360.0,-0.107099222279145,0.148316601308012,1084.53052349405,-0.722098681702733,0,10.082854942074123,ns
UBE2J2|ENSG00000160087.21|chr1,1703,2178,1669,2473,2133,1639,5.34293689218813e-05,0.0009646448634589,520.0,0.389605192396848,0.09643464168602,1931.19683751069,4.04009581603836,0,10.915279503341054,ns
ACAP3|ENSG00000131584.19|chr1,71,82,63,103,76,51,0.53667992597058,0.756351903092201,9113.0,0.287897243769885,0.465972770722275,72.3547260977188,0.617841345801459,0,6.177015349309268,ns
PUSL1|ENSG00000169972.12|chr1,649,637,491,646,412,500,0.861096917383524,0.942839537629294,12401.0,0.0363707189550916,0.207858806098193,545.450532447381,0.174978003760447,0,9.091304552540086,ns
INTS11|ENSG00000127054.22|chr1,172,299,163,276,242,134,0.397291862140252,0.649552908586587,7524.0,0.263115595244835,0.310839483093975,206.357508927306,0.846467741568365,0,7.689002125793951,ns
CPTP|ENSG00000224051.7|chr1,167,248,180,185,164,130,0.782198278486128,0.902909045669417,11586.0,-0.0829059163900554,0.299888892533018,173.455149240353,-0.276455442179898,0,7.438418859302185,ns
DVL1|ENSG00000107404.21|chr1,490,607,406,470,523,224,0.676101804165959,0.847602970339144,10506.0,-0.102305199845536,0.244873218713534,435.511485879467,-0.417788439189092,0,8.766566957744294,ns
AURKAIP1|ENSG00000175756.14|chr1,4349,5245,3778,3291,3304,2675,0.0003240110133661,0.0043368746211395,700.0,-0.294492808055426,0.0819103690964134,3655.032005714,-3.59530559200375,0,11.835668324022482,ns
CCNL2|ENSG00000221978.13|chr1,205,258,219,197,263,205,0.471582352035184,0.710210690170711,8378.0,0.205502402644425,0.285456935863853,222.168572940501,0.719906846973367,0,7.79551094318256,ns
MRPL20|ENSG00000242485.6|chr1,8153,10011,7416,6746,6504,5397,0.0002856532644218,0.0039785271204131,674.0,-0.223344484596212,0.061561753914731,7154.01546547191,-3.62797468222829,0,12.80453752180086,ns
VWA1|ENSG00000179403.12|chr1,60,67,59,112,65,42,0.423445121770942,0.671876947008019,7824.0,0.407731289945952,0.509372093939092,65.5497920641291,0.80045863288833,0,6.034519298850402,ns
ATAD3B|ENSG00000160072.20|chr1,114,234,123,214,176,262,0.0293445335287465,0.12736394702601,2323.0,0.770494995392123,0.353628373623702,188.039787587018,2.17882685005364,0,7.554894145726772,ns
ATAD3A|ENSG00000197785.14|chr1,798,1148,1021,1107,955,793,0.263279730243084,0.512504594685045,5918.0,0.165483818420861,0.147928697699788,951.125951871104,1.11867285384139,0,9.893492590910945,ns
SSU72|ENSG00000160075.12|chr1,999,1300,1129,923,881,717,0.110209200359826,0.302473220934422,3928.0,-0.21859155719448,0.136854638523412,964.102011192419,-1.59725354984651,0,9.913041995208275,ns
FNDC10|ENSG00000228594.4|chr1,97,114,92,35,12,122,0.497713121583061,0.729204427145393,8708.0,-0.469387317855384,0.692217360644753,79.0596128331859,-0.678092380431172,0,6.304868984967601,ns
MIB2|ENSG00000197530.13|chr1,118,94,167,48,39,34,0.0026193905299804,0.0222576101730998,1119.0,-1.47017055176304,0.488559061733343,80.4167664876898,-3.00919718190688,0,6.3294244222472065,down
SLC35E2B|ENSG00000189339.12|chr1,176,190,134,114,154,151,0.980300994410019,0.992788530164663,13478.0,0.0087606139123525,0.35480209152553,151.447147041172,0.0246915509282508,0,7.242670590698893,ns
NADK|ENSG00000008130.15|chr1,416,438,408,228,328,380,0.568768045770667,0.777554190395265,9465.0,-0.16164346477385,0.28365131187555,364.083432172959,-0.569866797742044,0,8.508125281379051,ns
GABRD|ENSG00000187730.9|chr1,13,17,10,27,41,2,0.368707922804751,1.0,7202.0,0.967897141604875,1.07676179085513,17.6231804857919,0.898896255258283,0,4.139402408306304,ns
PRKCZ|ENSG00000067606.17|chr1,259,322,238,401,340,312,0.0082797102446411,0.0528509140495289,1527.0,0.594744325706419,0.225243929567699,309.643675508059,2.64044552431618,0,8.274465168992311,ns
FAAP20|ENSG00000162585.17|chr1,305,366,266,144,48,230,0.0597451301734367,0.20494183419274,3040.0,-0.840063908456585,0.446208839751965,220.185209590037,-1.88266980305355,0,7.782573752374753,ns
SKI|ENSG00000157933.10|chr1,1115,1387,969,976,619,308,0.0021905060231914,0.0194333973053635,1069.0,-0.693148963404911,0.226289391118828,843.737480437917,-3.06310852655451,0,9.720650379958434,down
RER1|ENSG00000157916.20|chr1,2275,2947,2243,2065,1882,1370,0.0050126730381608,0.0365857980137475,1324.0,-0.269658397753281,0.096093167102531,2056.20104970686,-2.80621823470088,0,11.005765618860359,ns
PEX10|ENSG00000157911.11|chr1,690,784,747,360,597,397,0.0320695677260374,0.135382104046745,2397.0,-0.47987747485601,0.223871227253138,580.133860598449,-2.14354243170962,0,9.180242017151999,ns
PRDM16|ENSG00000142611.17|chr1,81,99,102,67,49,21,0.0938308666462591,0.275280800404704,3648.0,-0.880997424083992,0.525803161180872,66.1558544390123,-1.6755270586533,0,6.047796927829694,ns
TPRG1L|ENSG00000158109.15|chr1,440,454,319,203,252,202,0.0115236337038642,0.0670883382656754,1679.0,-0.642775136601673,0.254422775191281,300.529222279184,-2.52640564948802,0,8.231361469521556,ns
WRAP73|ENSG00000116213.16|chr1,720,853,530,753,659,533,0.487861622124853,0.722167194032979,8564.0,0.117899294607878,0.169953763090613,657.553110613027,0.693713939979186,0,9.360963615470235,ns
TP73|ENSG00000078900.15|chr1,147,195,161,189,199,125,0.434092852270902,0.680430356620305,7939.0,0.243972733709854,0.31190297676653,165.76149152289,0.782207134536185,0,7.372965079348821,ns
SMIM1|ENSG00000235169.11|chr1,22,14,27,8,1,1,0.0465535430925231,1.0,2752.0,-2.57895548521136,1.29573643547857,11.4849833866239,-1.99033955872271,0,3.521676864702664,ns
LRRC47|ENSG00000130764.10|chr1,1875,2310,1762,2314,1937,1610,0.0332428805660426,0.138699003540334,2433.0,0.201348639651917,0.0945681683041828,1927.141505186,2.12913756565814,0,10.912246793677584,ns
CEP104|ENSG00000116198.14|chr1,173,234,204,187,199,128,0.910698917860749,0.963657417711214,12841.0,-0.0336580425995685,0.300097547633785,182.532539528406,-0.112157006496575,0,7.512009861612188,ns
DFFB|ENSG00000169598.17|chr1,210,214,175,263,355,245,0.0062224149117647,0.0427126919834218,1414.0,0.756805720383508,0.276627993898292,244.366981033508,2.73582477940307,0,7.932905550555809,up
C1orf174|ENSG00000198912.12|chr1,401,563,455,491,250,551,0.6386972128568,0.823099149224945,10150.0,0.135654085218242,0.288920109868118,448.979158070156,0.46952109107311,0,8.810504665372061,ns
NPHP4|ENSG00000131697.18|chr1,47,104,75,77,115,87,0.225045421851516,0.467347689952632,5454.0,0.571372978769998,0.470955483745043,83.7177494426826,1.2132207788015,0,6.387461623495761,ns
KCNAB2|ENSG00000069424.16|chr1,43,35,43,49,13,1,0.357170318748131,1.0,7039.0,-0.886889320180879,0.963203565923769,28.6437927582673,-0.920770387026443,0,4.840150629083953,ns
RPL22|ENSG00000116251.11|chr1,3421,4153,3294,4058,3059,3616,0.0425083792518223,0.16296051681721,2674.0,0.223541401359786,0.11019988535733,3557.64696974237,2.02850847471336,0,11.796707641733953,ns
ICMT|ENSG00000116237.16|chr1,1588,1689,1320,1129,1214,1168,0.318871742005638,0.572695379960484,6599.0,-0.143969662642646,0.144434871994238,1325.77190998174,-0.996779106422365,0,10.372616875615428,ns
