rownames(readCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	1626	1174	1282	1792	1673	1543	0.0174888362495863	0.0815657750547885	2340	0.209249022484958	0.0880579012015586	1497.08683964492	2.37626629331082
NOC2L|ENSG00000188976.11|chr1	1354	1074	1091	1177	1088	1051	0.0509099207704944	0.172861876586666	3298	-0.172670384037795	0.0884473915822751	1131.4081355388	-1.95223828480204
KLHL17|ENSG00000187961.15|chr1	94	45	77	125	117	144	0.0116458085148315	0.0605868180572583	2088	0.763609341840703	0.302695401326276	98.7747555154342	2.52269885335195
PLEKHN1|ENSG00000187583.11|chr1	11	10	13	4	0	2	0.0244415425655795	1	2608	-2.6024250942794	1.15657342259958	6.78503344606077	-2.25011663196447
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
HES4|ENSG00000188290.11|chr1	1143	941	801	1255	1126	1169	0.0393108691523932	0.144875499840776	3016	0.214773733216415	0.104212656266644	1060.98676562393	2.06091794327632
ISG15|ENSG00000187608.10|chr1	62	32	37	55	36	44	0.938518180702505	0.974954787826056	13811	-0.0324362372977431	0.420526489839121	43.7373028753632	-0.0771324472571325
AGRN|ENSG00000188157.15|chr1	208	167	180	76	40	52	3.57752849737728e-11	2.39717051909704e-09	158	-1.81490431882527	0.274130040031826	121.509841716372	-6.62059626378256
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	86	45	70	107	88	48	0.6176586740162	0.801268518785628	10354	0.180473023529377	0.361545233791911	72.6350485158545	0.49917135301872
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	2853	2265	2337	2484	2354	2278	0.0221921204962989	0.09609883909167	2535	-0.153792866298831	0.0672446875139698	2412.1631478822	-2.28706343927736
B3GALT6|ENSG00000176022.7|chr1	1407	1050	1105	1349	1253	1217	0.866364846423438	0.944902137373697	13120	0.0152791701510959	0.0907973760279328	1218.80719400151	0.16827766197115
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	1595	1423	1343	2067	1782	1855	0.00015104277317555	0.002060682783002	781	0.29814015941989	0.0786784704094202	1659.98542813373	3.78934869816933
SCNN1D|ENSG00000162572.21|chr1	31	30	18	28	59	16	0.611862229025998	0.797069695914636	10298	0.283964699521393	0.55962783027046	29.8245159150625	0.507417044259857
ACAP3|ENSG00000131584.19|chr1	91	57	41	101	127	80	0.0629458428567725	0.198631188770388	3560	0.625292107799864	0.33625559429983	81.1087554482497	1.85957384323042
PUSL1|ENSG00000169972.12|chr1	341	391	330	461	465	376	0.191757622259201	0.414882442275235	5481	0.195663238981832	0.149887892349718	390.709586971655	1.30539722665065
INTS11|ENSG00000127054.22|chr1	214	167	168	232	164	170	0.828762146350567	0.924660643209342	12687	-0.0452882351946947	0.209387184698291	184.049686299294	-0.216289431752717
CPTP|ENSG00000224051.7|chr1	207	191	113	185	167	161	0.735901580791046	0.869336089693685	11741	-0.0799303518887427	0.236981185897281	169.191018638405	-0.33728564394723
TAS1R3|ENSG00000169962.5|chr1	0	0	3	0	0	0	0.518628585230014	1	9236.5	-2.57675992161464	3.99212430414498	0.53014439774689	-0.645460843726538
DVL1|ENSG00000107404.21|chr1	606	482	512	611	659	636	0.157961331415046	0.369577152638916	5016	0.167067781080053	0.118323194123968	579.084768861893	1.41196138522946
MXRA8|ENSG00000162576.17|chr1	12	0	20	30	22	23	0.164392807363567	1	5092	1.14192404998785	0.821263258518885	17.4505354220994	1.39044823708205
AURKAIP1|ENSG00000175756.14|chr1	2255	2158	1962	2313	1979	1972	0.116627967178616	0.303918561247957	4418	-0.117390171557904	0.0748143777073537	2094.3102188492	-1.56908571794971
CCNL2|ENSG00000221978.13|chr1	826	668	656	912	881	873	0.0273371971316163	0.111678883616588	2700	0.22437484231533	0.101680337660318	794.423378564886	2.20666893401648
MRPL20|ENSG00000242485.6|chr1	4912	4003	3966	3909	3784	3657	3.25414036871044e-06	8.22233510346955e-05	419	-0.269053323831475	0.0578100770076103	4017.04209111424	-4.65409038974392
ANKRD65|ENSG00000235098.9|chr1	4	0	0	4	0	13	0.257655705704907	1	6251	2.11806406518386	1.87116496015949	3.45546792577848	1.13194940600178
TMEM88B|ENSG00000205116.4|chr1	0	0	0	1	0	0	0.831080014846296	1	12767	0.870432657655198	4.0804728567969	0.154511686706835	0.213316615059773
VWA1|ENSG00000179403.12|chr1	56	42	21	22	47	51	0.919647598448702	0.967611696624245	13640	-0.0499825178995463	0.495476709696525	39.5694924749274	-0.100877633441459
ATAD3C|ENSG00000215915.10|chr1	1	0	0	3	0	0	0.725370361657146	1	11629.5	1.33973905039454	3.81376310293146	0.622245350054114	0.351290579471164
ATAD3B|ENSG00000160072.20|chr1	213	177	216	195	320	206	0.464967567659344	0.69371640907687	8614	0.159250542288228	0.217944957188694	219.213597633262	0.730691567001257
ATAD3A|ENSG00000197785.14|chr1	767	747	606	887	918	712	0.187673928841906	0.410432531429304	5414	0.154160919379627	0.11701094051696	765.036386529353	1.31749149864565
TMEM240|ENSG00000205090.9|chr1	6	1	0	4	0	0	0.712569494883565	1	11491	-0.870601691265962	2.36314942880618	1.74881075195222	-0.368407380698636
SSU72|ENSG00000160075.12|chr1	961	816	845	861	909	785	0.184644456294294	0.406699534132007	5369	-0.127079359235614	0.0957940217220177	857.305277257074	-1.32658966552613
FNDC10|ENSG00000228594.4|chr1	70	146	73	63	57	50	0.0164791276026039	0.0779903996105352	2302	-0.876541882179522	0.365510957425653	77.2919793661934	-2.39812750991963
MIB2|ENSG00000197530.13|chr1	101	97	92	82	121	78	0.627609573087908	0.808333643586579	10511	-0.139028144377152	0.286600341454793	94.6248705778273	-0.485094133773326
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	4	8	3	0	5	0.676294116299316	1	11137	-0.698138764237547	1.67208674738651	3.43840867744234	-0.417525445571975
SLC35E2B|ENSG00000189339.12|chr1	389	300	345	246	246	309	0.00978801040090751	0.0530597368737367	1996	-0.449118080482945	0.173859128186924	305.526154135244	-2.58322979740286
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
NADK|ENSG00000008130.15|chr1	321	283	223	308	372	306	0.329557381988142	0.572274680722085	7136	0.167286610414375	0.171574989688409	299.139552726236	0.975005801942219
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	19	12	13	9	6	7	0.171206300530857	1	5189	-1.08173870654346	0.790549341115256	10.9803775318077	-1.36833800280879
CFAP74|ENSG00000142609.20|chr1	0	0	4	0	0	0	0.44725012149977	1	8436.5	-2.99268548776172	3.93770537464996	0.706859196995854	-0.76000746704615
GABRD|ENSG00000187730.9|chr1	13	7	17	19	3	24	0.770719618981816	1	12034	0.240405376467317	0.824905801298867	13.7934011566304	0.291433732298626
PRKCZ|ENSG00000067606.17|chr1	294	197	177	415	399	371	2.25598428751658e-05	0.000402767380302496	594	0.746632621792586	0.176178956862023	303.190236753363	4.23792168537655
FAAP20|ENSG00000162585.17|chr1	158	160	160	181	150	134	0.526511773706931	0.739477334602717	9336	-0.137247174387131	0.216703855117225	156.30490459966	-0.633339791361294
SKI|ENSG00000157933.10|chr1	1739	1339	1337	1433	1210	1227	0.00257863405774746	0.0190806877931369	1444	-0.276045799094897	0.0915891292536678	1371.95644517066	-3.01395811210687
MORN1|ENSG00000116151.14|chr1	1	0	2	12	0	5	0.183322585074657	1	5341	2.39981997678392	1.80357020085844	3.21342629015075	1.33059416020607
RER1|ENSG00000157916.20|chr1	1680	1516	1413	1611	1731	1393	0.522514889995105	0.736812651070427	9287	-0.0525344310706332	0.0821526205427813	1545.64681753863	-0.639473588590831
PEX10|ENSG00000157911.11|chr1	648	586	552	593	502	581	0.144624852150853	0.350777390543204	4797	-0.179267974461683	0.122888721991391	574.452683063772	-1.45878296687179
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	2	0	0	0.670777760413804	1	11054	1.71825635217439	4.04218745608396	0.309023373413671	0.425080818453437
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	172	145	202	156	196	77	0.180210027080026	0.401913536274749	5297	-0.380992574461008	0.284299766965934	157.026381415425	-1.34010864140687
ARHGEF16|ENSG00000130762.15|chr1	13	27	25	38	42	54	0.059552239873222	0.191868400346257	3484	0.943212481543727	0.500618547062205	32.9639560389311	1.88409416127071
MEGF6|ENSG00000162591.17|chr1	21	24	11	13	0	0	0.0408992490261577	1	3058	-2.23718712105645	1.09421984573138	11.5694851800908	-2.04454994102314
TPRG1L|ENSG00000158109.15|chr1	395	363	426	282	301	250	9.04410791448485e-05	0.00133356504861631	721	-0.601783076826458	0.153716015372966	336.302785898374	-3.9149016149445
WRAP73|ENSG00000116213.16|chr1	704	583	609	717	777	749	0.152977122405024	0.362562971771209	4937	0.156105289372846	0.109233719484295	683.994918917651	1.42909433195022
TP73|ENSG00000078900.15|chr1	238	159	213	190	358	239	0.224433201431966	0.457817784886364	5877	0.284191311773591	0.233936189302727	230.26680932465	1.21482406215411
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	8	17	9	43	6	25	0.182994644194408	1	5337	1.00948224239408	0.758102367039602	17.7233400016446	1.33159093848515
LRRC47|ENSG00000130764.10|chr1	2167	1639	1925	2316	2320	1945	0.168455253537122	0.385357772082435	5152	0.110219086316405	0.0800321938531778	2030.98367747854	1.37718436806326
CEP104|ENSG00000116198.14|chr1	157	192	140	170	178	216	0.608716509501688	0.794875949694394	10271	0.116812512524302	0.228191148801971	174.945984967487	0.511906413274925
DFFB|ENSG00000169598.17|chr1	322	288	272	286	244	250	0.0993797241842268	0.272220734783547	4172	-0.267122539974967	0.162101886010434	275.718182397094	-1.64786818061928
C1orf174|ENSG00000198912.12|chr1	328	319	323	402	289	399	0.642969824119658	0.81875409284999	10664	0.0788454119572112	0.170090230811713	341.501925195925	0.463550502465317
NPHP4|ENSG00000131697.18|chr1	148	122	197	167	138	181	0.895178985661276	0.957842570155963	13401	-0.0325748862337091	0.247240476778318	158.375268203467	-0.131753856238178
KCNAB2|ENSG00000069424.16|chr1	18	22	13	29	29	38	0.156169034526606	1	4995	0.771441513386677	0.544006361694567	24.5868816193444	1.41807443387915
RPL22|ENSG00000116251.11|chr1	2194	2410	2470	2325	2127	2213	0.0344838982150412	0.131771143205159	2899	-0.181962429396829	0.0860599855141624	2285.47666377038	-2.11436741837336
RNF207|ENSG00000158286.13|chr1	11	12	16	24	21	16	0.403457473768413	1	7934	0.540449034708485	0.646886214667752	16.4557596020656	0.835462284485481
ICMT|ENSG00000116237.16|chr1	2001	1866	2018	1679	1352	1449	1.47450253295238e-08	6.50439929848617e-07	240	-0.486604142796638	0.0859041013738383	1726.03372366559	-5.66450419729123
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	237	195	163	168	189	133	0.083953547959097	0.243244721467696	3908	-0.369015989444925	0.213527015627103	179.61085219903	-1.72819344831458
ACOT7|ENSG00000097021.20|chr1	1193	1128	1114	1189	1010	1157	0.198007370226195	0.423239254711231	5574	-0.123269606424456	0.0957620220372273	1127.03659611319	-1.28724941059134
HES2|ENSG00000069812.11|chr1	7	2	0	21	2	0	0.41872943506808	1	8114	1.27060719203842	1.57131333495801	5.02903952824533	0.808627511630183
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TNFRSF25|ENSG00000215788.11|chr1	14	23	13	45	0	2	0.889941973839617	1	13359	-0.240320103715034	1.73669761402877	15.9166729226439	-0.138377632222079
PLEKHG5|ENSG00000171680.23|chr1	12	15	5	26	22	15	0.210196268949909	1	5707	0.878532061700451	0.701128395131695	15.5038668114066	1.25302593333912
NOL9|ENSG00000162408.11|chr1	2412	1812	2164	2406	2466	1997	0.855020806283244	0.937847624960703	13032	0.0150327471428087	0.0822738097052805	2188.79098026664	0.182716069629676
TAS1R1|ENSG00000173662.21|chr1	5	0	0	4	0	3	0.828292757129155	1	12676	0.486473072648352	2.24293093933744	1.9198858932377	0.216891685836772
ZBTB48|ENSG00000204859.13|chr1	51	60	63	118	87	99	0.0228353864146864	0.0980365920406671	2559	0.70631472095507	0.310307395902154	78.7030793812685	2.27617752680889
KLHL21|ENSG00000162413.17|chr1	1022	933	896	893	1027	969	0.490542285713255	0.712317278437923	8919	-0.0686608940153623	0.0995884192027539	951.66591274147	-0.689446569842366
PHF13|ENSG00000116273.6|chr1	423	455	384	443	355	353	0.122811897716386	0.315278749059985	4491	-0.228599756038061	0.148145319955163	400.615027121625	-1.54307781107934
THAP3|ENSG00000041988.16|chr1	287	135	215	311	329	345	0.00920291802769309	0.0507190490157141	1962	0.556018572969205	0.213490143094215	266.181797038202	2.6044226909522
DNAJC11|ENSG00000007923.17|chr1	605	545	611	545	624	602	0.511241412202203	0.728565463855798	9136	-0.0809034892311464	0.123158411138799	586.172544137155	-0.656905918833012
CAMTA1|ENSG00000171735.20|chr1	231	198	160	243	244	165	0.794233559128036	0.903617774102269	12254	0.054193431050595	0.207783276726142	204.372797330734	0.260817097046852
VAMP3|ENSG00000049245.13|chr1	1130	964	730	828	965	757	0.0661698971759764	0.205497419009112	3619	-0.233239968486148	0.126949136565232	889.237436786369	-1.83727101102652
PER3|ENSG00000049246.15|chr1	16	35	33	36	20	12	0.463119630270638	1	8591	-0.435074344622586	0.592970836590913	25.3772792840827	-0.733719633032713
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	0	0	1	0	0	0	0.796339065306535	1	12334.5	-1.05312069398729	4.0804728567969	0.176714799248963	-0.258087905727174
PARK7|ENSG00000116288.13|chr1	6210	5730	5362	5039	4604	4930	1.07653553450749e-08	4.912621424065e-07	232	-0.336045247910483	0.0587675841601654	5297.98713258418	-5.71820762607195
ERRFI1|ENSG00000116285.13|chr1	205	255	203	311	278	315	0.0569246330720046	0.186178897229939	3432	0.352831723036234	0.185321576157422	259.318273124112	1.90388906867768
SLC45A1|ENSG00000162426.16|chr1	1	2	0	0	0	0	0.524809420857301	1	9318	-2.54016782206949	3.99429252073508	0.515714820980075	-0.635949372481618
RERE|ENSG00000142599.19|chr1	987	848	999	1015	892	839	0.169351905937927	0.38668684616911	5159	-0.138520839026206	0.100794530845096	924.613175522675	-1.37428923836243
ENO1|ENSG00000074800.16|chr1	44788	37310	39653	39365	41668	38921	0.0109911293732059	0.0579713585205682	2054	-0.108818466291186	0.0427916993014052	40042.3753928038	-2.54298071980546
CA6|ENSG00000131686.15|chr1	0	0	0	2	0	0	0.670777760413804	1	11054	1.71825635217439	4.04218745608396	0.309023373413671	0.425080818453437
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	5	0	0.415407438064589	1	8069.5	3.06783479046576	3.76691986043737	0.790793867050157	0.81441466878182
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
GPR157|ENSG00000180758.12|chr1	201	171	198	162	118	87	0.00223517412128367	0.0170857678137402	1396	-0.735092992033892	0.240457272407968	155.848157646841	-3.05706283978265
H6PD|ENSG00000049239.13|chr1	168	143	138	137	187	128	0.727554175657505	0.865562062148641	11650	-0.0803270044314549	0.230572381888463	149.00652840921	-0.348380858858944
SPSB1|ENSG00000171621.14|chr1	63	86	96	62	77	61	0.228725821267688	0.463565707745487	5918	-0.396473886681271	0.329393664269069	74.4076971242059	-1.20364757944284
