Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	682	809	730	693	608	581
NOC2L|ENSG00000188976.11|chr1	72	158	103	235	207	128
KLHL17|ENSG00000187961.15|chr1	11	9	16	1	0	0
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	0	0	0
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0
HES4|ENSG00000188290.11|chr1	244	357	284	138	157	102
ISG15|ENSG00000187608.10|chr1	12	3	0	13	0	0
AGRN|ENSG00000188157.15|chr1	7	22	24	0	6	0
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	16	18	6	7	23	11
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	605	755	533	586	640	333
B3GALT6|ENSG00000176022.7|chr1	892	1002	579	853	617	553
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	1033	1210	1001	1005	852	483
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0
ACAP3|ENSG00000131584.19|chr1	1	4	1	0	0	1
PUSL1|ENSG00000169972.12|chr1	123	80	100	135	102	82
INTS11|ENSG00000127054.22|chr1	26	30	30	20	60	1
CPTP|ENSG00000224051.7|chr1	112	154	107	113	82	96
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0
DVL1|ENSG00000107404.21|chr1	192	200	102	122	169	34
MXRA8|ENSG00000162576.17|chr1	0	11	0	8	0	0
AURKAIP1|ENSG00000175756.14|chr1	440	468	397	304	326	247
CCNL2|ENSG00000221978.13|chr1	116	206	124	102	181	149
MRPL20|ENSG00000242485.6|chr1	1666	1991	1466	1259	1298	1249
ANKRD65|ENSG00000235098.9|chr1	0	0	1	0	9	0
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	20	12	18	15	8	0
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0
ATAD3B|ENSG00000160072.20|chr1	19	44	18	48	2	51
ATAD3A|ENSG00000197785.14|chr1	67	93	107	106	64	40
TMEM240|ENSG00000205090.9|chr1	0	5	0	0	0	0
SSU72|ENSG00000160075.12|chr1	281	368	222	166	181	134
FNDC10|ENSG00000228594.4|chr1	33	11	35	9	0	0
MIB2|ENSG00000197530.13|chr1	4	0	2	0	0	0
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	9	55	7	30	27	64
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0
NADK|ENSG00000008130.15|chr1	32	49	50	53	66	68
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	0	9	3	0	3	0
