rownames(nonTcReadCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	728	210	702	413	293	310	0.365794993990257	0.628216336436045	7254	0.220346913383304	0.24364470473016	971.975485099948	0.904378010707605
NOC2L|ENSG00000188976.11|chr1	180	96	139	222	124	110	0.613831376242369	0.811599358954847	9979	0.109203739120302	0.21641129823102	1056.2088191679	0.504612005070669
KLHL17|ENSG00000187961.15|chr1	6	6	14	3	3	2	0.135300234448537	0.357338306135767	4415	0.706236262940751	0.472865885011181	73.427927901997	1.49352339707072
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	16	3	0	0.0506101033830749	0.193425865092071	2941	2.19503691852901	1.12291255502241	12.8612088284071	1.95477101819848
PERM1|ENSG00000187642.10|chr1	0	0	0	1	0	6	1	1	16610.5	NA	NA	0	NA
HES4|ENSG00000188290.11|chr1	282	113	222	231	155	151	0.194949111862106	0.446633684170999	5208	-0.217299696348252	0.167659615282096	1089.91845636951	-1.29607655357334
ISG15|ENSG00000187608.10|chr1	11	0	2	1	5	6	0.243267743551201	0.506318014273921	5790	-0.828153850541347	0.709729797975349	40.7256091622492	-1.16685794073157
AGRN|ENSG00000188157.15|chr1	17	6	5	2	2	1	3.36713256741162e-07	2.99816274657929e-05	119	-2.84621192806006	0.557900780336487	46.623696166062	-5.10164536128346
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	27	0	4	8	20	2	0.76177492013495	0.895586865387557	11419	-0.12269102376541	0.404719408087737	73.8159874083706	-0.30315082823706
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	759	479	638	504	539	504	0.00903550351967075	0.0618587140373349	1583	-0.35975625677276	0.137800271707155	2300.5986280272	-2.61070789132617
B3GALT6|ENSG00000176022.7|chr1	1014	643	1075	725	808	862	0.350347533613829	0.61420954106091	7077	-0.178568930312939	0.191204610238867	466.262722577777	-0.933915401359086
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	1191	754	1041	649	804	822	0.000282300708698546	0.00525704448043901	573	0.618707298462049	0.170394791038459	942.313491844574	3.63102237275788
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0	0.520584214744437	0.752231056788771	8969	-0.505372276350149	0.786638834043276	25.6842840545189	-0.642445115190368
ACAP3|ENSG00000131584.19|chr1	2	4	12	0	15	5	0.206820061005219	0.461264021555736	5360	0.612094070592063	0.484881594247165	57.0290724232807	1.26235781653542
PUSL1|ENSG00000169972.12|chr1	93	64	127	94	124	76	0.181653556185236	0.428572965349268	5028	-0.25424515920083	0.190348710285597	547.351627082877	-1.33568101837603
INTS11|ENSG00000127054.22|chr1	38	16	28	75	40	36	0.462210656328801	0.709779171772823	8344	0.238960601770803	0.325022908921081	213.58403195488	0.735211565744819
CPTP|ENSG00000224051.7|chr1	225	103	165	83	41	144	0.77741326912591	0.902640252358197	11573	-0.110966342758425	0.392535008139737	96.500380968085	-0.282691582807621
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0	0.822944512860546	1	12145	0.466701745519083	2.08573011109428	3.17577751202921	0.223759413088316
DVL1|ENSG00000107404.21|chr1	278	242	210	122	128	148	0.736215776934089	0.880163920926688	11208	-0.0695108759771524	0.206344036652405	384.087783308794	-0.336868838590409
MXRA8|ENSG00000162576.17|chr1	4	0	4	5	0	0	0.981844005776748	0.994704951258287	13526	0.0203014904950951	0.892093685070132	13.5847059832949	0.0227571283541808
AURKAIP1|ENSG00000175756.14|chr1	459	231	440	152	249	274	0.000280766041128974	0.00524690823951077	571	-0.571698627143698	0.15738742754363	2900.2413203827	-3.63242881636919
CCNL2|ENSG00000221978.13|chr1	264	206	225	105	209	217	0.989361711250233	0.996793447980172	13604	0.00435577518408063	0.326678742835525	133.537568630613	0.0133335127540688
MRPL20|ENSG00000242485.6|chr1	1783	1894	1898	1386	1689	1515	0.000299649280629667	0.00550896152989784	580	-0.557131012165114	0.154090758717308	6376.11309973176	-3.61560301735691
ANKRD65|ENSG00000235098.9|chr1	5	7	10	1	0	1	0.23108380603481	1	5657.5	-3.99174605287453	3.33320010312266	1.45504260037841	-1.19757168168059
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	0.807578028220576	1	11880.5	0.99380616155426	4.0804728567969	0.173380393642944	0.243551714821203
VWA1|ENSG00000179403.12|chr1	10	0	20	10	5	5	0.567300122993547	0.782564018299221	9456	-0.428109589756052	0.748401136651789	30.3213545284461	-0.572032254883173
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0	0.805684653930638	1	11823	-0.906740859042745	3.68598532095442	0.917789380387148	-0.245996871959316
ATAD3B|ENSG00000160072.20|chr1	49	44	40	25	32	31	0.731406836608507	0.87729079020871	11168	0.106340946255517	0.30980184072435	142.230881907633	0.343254726979285
ATAD3A|ENSG00000197785.14|chr1	89	55	87	84	68	114	0.0526479163581782	0.197652198623287	2996	0.333278326731342	0.171988199702064	844.899198056761	1.93779763558594
TMEM240|ENSG00000205090.9|chr1	1	0	5	0	0	0	0.568029290933681	1	9475.5	-2.2856996142383	4.00328319842482	0.44396124446335	-0.57095626288384
SSU72|ENSG00000160075.12|chr1	277	157	343	197	105	152	0.00887017499509106	0.0612292235634417	1570	-0.671502438691405	0.25659071657409	664.959496344258	-2.61701766789178
FNDC10|ENSG00000228594.4|chr1	19	1	10	17	6	2	0.319042140199606	0.586083345519277	6683	-0.516091681937748	0.51794166948255	51.0816460111928	-0.996428193262283
MIB2|ENSG00000197530.13|chr1	0	0	0	0	0	0	0.440218719934495	0.691968188165836	8079	-0.342040548970055	0.443158780413517	63.5834837822289	-0.771823924262297
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	99	65	101	33	103	78	0.034789865550882	0.153277927391745	2537	-0.545415159131075	0.258393139631748	212.363073595275	-2.11079582030846
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	0.106229919303429	1	3951	4.20241487675057	2.6015134488177	3.44400452834339	1.61537311239364
NADK|ENSG00000008130.15|chr1	67	36	57	93	31	75	0.01188920878514	0.0752557086543273	1716	-0.631440995024945	0.2510284806108	243.397372177829	-2.51541575477225
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	0.608488491089227	1	9934.5	2.06122588479739	4.02400664566412	0.381473292374936	0.51223222680767
TMEM52|ENSG00000178821.13|chr1	1	0	5	11	9	0	0.432515913361821	1	7997	-0.78740109524016	1.00319460423416	10.127641353429	-0.784893670596705
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	0	0	0	0	0	0	0.569167513008059	0.783073008759586	9494	-0.532388898633091	0.935200243760089	15.5404715555368	-0.569277972482723
PRKCZ|ENSG00000067606.17|chr1	97	71	159	109	81	136	0.0278864337127439	0.133703462271599	2320	0.657660380073085	0.299088757015573	240.482538428242	2.19888031444405
