RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	545	396	454	480	572	430
NOC2L|ENSG00000188976.11|chr1	164	100	201	129	111	132
KLHL17|ENSG00000187961.15|chr1	10	0	12	30	35	29
PLEKHN1|ENSG00000187583.11|chr1	0	4	3	0	0	0
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0
HES4|ENSG00000188290.11|chr1	203	177	146	255	227	222
ISG15|ENSG00000187608.10|chr1	19	3	2	11	8	9
AGRN|ENSG00000188157.15|chr1	43	20	42	23	14	17
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	15	2	17	13	18	15
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	577	379	462	469	472	535
B3GALT6|ENSG00000176022.7|chr1	887	604	577	839	801	798
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	883	669	694	866	730	803
SCNN1D|ENSG00000162572.21|chr1	0	9	5	0	6	0
ACAP3|ENSG00000131584.19|chr1	16	4	0	3	26	9
PUSL1|ENSG00000169972.12|chr1	73	62	60	82	39	44
INTS11|ENSG00000127054.22|chr1	23	46	36	38	30	22
CPTP|ENSG00000224051.7|chr1	127	93	62	67	87	77
TAS1R3|ENSG00000169962.5|chr1	0	0	3	0	0	0
DVL1|ENSG00000107404.21|chr1	222	162	129	172	239	160
MXRA8|ENSG00000162576.17|chr1	5	0	12	8	4	0
AURKAIP1|ENSG00000175756.14|chr1	244	315	191	204	169	170
CCNL2|ENSG00000221978.13|chr1	512	330	333	479	520	527
MRPL20|ENSG00000242485.6|chr1	1094	834	851	955	956	935
ANKRD65|ENSG00000235098.9|chr1	0	0	0	4	0	0
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0
VWA1|ENSG00000179403.12|chr1	6	2	0	0	9	15
ATAD3C|ENSG00000215915.10|chr1	1	0	0	1	0	0
ATAD3B|ENSG00000160072.20|chr1	42	31	59	75	118	84
ATAD3A|ENSG00000197785.14|chr1	66	81	72	92	116	77
TMEM240|ENSG00000205090.9|chr1	6	0	0	0	0	0
SSU72|ENSG00000160075.12|chr1	221	213	210	144	157	161
FNDC10|ENSG00000228594.4|chr1	5	9	6	11	0	3
MIB2|ENSG00000197530.13|chr1	1	0	0	0	5	2
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	3	0	0
SLC35E2B|ENSG00000189339.12|chr1	109	56	69	101	71	121
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0
NADK|ENSG00000008130.15|chr1	51	62	34	77	110	95
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0
TMEM52|ENSG00000178821.13|chr1	8	0	0	5	1	0
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	0	1	1	0	0	16
PRKCZ|ENSG00000067606.17|chr1	80	41	56	129	175	92
FAAP20|ENSG00000162585.17|chr1	2	14	6	21	15	20
SKI|ENSG00000157933.10|chr1	1288	889	888	990	865	908
MORN1|ENSG00000116151.14|chr1	1	0	2	0	0	4
RER1|ENSG00000157916.20|chr1	341	361	279	405	376	304
PEX10|ENSG00000157911.11|chr1	135	134	122	210	186	204
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	0	0	0	2	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	146	97	143	97	124	55
ARHGEF16|ENSG00000130762.15|chr1	3	5	10	2	0	7
MEGF6|ENSG00000162591.17|chr1	2	0	0	1	0	0
TPRG1L|ENSG00000158109.15|chr1	254	189	238	177	198	183
WRAP73|ENSG00000116213.16|chr1	406	300	280	352	313	383
TP73|ENSG00000078900.15|chr1	170	87	127	111	226	109
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	1	0	0	10	0	0
LRRC47|ENSG00000130764.10|chr1	794	561	585	639	586	578
CEP104|ENSG00000116198.14|chr1	47	44	29	52	25	26
DFFB|ENSG00000169598.17|chr1	193	135	167	88	62	85
C1orf174|ENSG00000198912.12|chr1	254	203	238	241	166	193
NPHP4|ENSG00000131697.18|chr1	42	45	103	95	68	82
KCNAB2|ENSG00000069424.16|chr1	0	1	0	1	0	10
RPL22|ENSG00000116251.11|chr1	585	450	523	500	456	462
RNF207|ENSG00000158286.13|chr1	7	6	5	13	3	4
ICMT|ENSG00000116237.16|chr1	827	746	803	668	537	567
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	53	55	29	28	25	13
ACOT7|ENSG00000097021.20|chr1	73	142	98	164	123	132
HES2|ENSG00000069812.11|chr1	4	2	0	1	0	0
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	0
TNFRSF25|ENSG00000215788.11|chr1	4	3	6	10	0	0
PLEKHG5|ENSG00000171680.23|chr1	0	4	0	2	7	0
NOL9|ENSG00000162408.11|chr1	896	597	799	767	773	684
TAS1R1|ENSG00000173662.21|chr1	5	0	0	0	0	0
ZBTB48|ENSG00000204859.13|chr1	30	34	30	65	25	58
KLHL21|ENSG00000162413.17|chr1	908	694	711	740	849	771
PHF13|ENSG00000116273.6|chr1	341	336	216	321	301	275
THAP3|ENSG00000041988.16|chr1	241	102	124	197	243	211
DNAJC11|ENSG00000007923.17|chr1	148	120	243	111	185	127
CAMTA1|ENSG00000171735.20|chr1	206	148	110	182	226	99
VAMP3|ENSG00000049245.13|chr1	279	250	160	287	285	238
PER3|ENSG00000049246.15|chr1	15	8	21	11	7	5
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	0	0	0	0	0	0
PARK7|ENSG00000116288.13|chr1	1084	995	926	897	1004	938
ERRFI1|ENSG00000116285.13|chr1	187	185	158	220	220	221
SLC45A1|ENSG00000162426.16|chr1	0	2	0	0	0	0
RERE|ENSG00000142599.19|chr1	602	433	548	371	431	376
ENO1|ENSG00000074800.16|chr1	4494	3149	3557	4040	4063	3884
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	5	0
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0
GPR157|ENSG00000180758.12|chr1	159	127	151	113	73	59
H6PD|ENSG00000049239.13|chr1	95	66	58	61	123	75
SPSB1|ENSG00000171621.14|chr1	48	60	45	53	60	56
SLC25A33|ENSG00000171612.7|chr1	434	483	423	456	411	406
TMEM201|ENSG00000188807.13|chr1	100	108	65	82	50	70
PIK3CD|ENSG00000171608.18|chr1	2	6	7	7	14	10
CLSTN1|ENSG00000171603.18|chr1	257	171	245	241	256	158
CTNNBIP1|ENSG00000178585.15|chr1	95	40	50	49	66	44
LZIC|ENSG00000162441.12|chr1	224	213	248	192	173	197
NMNAT1|ENSG00000173614.14|chr1	89	38	45	54	51	87
RBP7|ENSG00000162444.12|chr1	7	16	12	2	0	1
UBE4B|ENSG00000130939.20|chr1	141	159	144	96	49	107
KIF1B|ENSG00000054523.20|chr1	107	73	78	100	98	95
PGD|ENSG00000142657.21|chr1	230	165	212	212	287	260
CENPS-CORT|ENSG00000251503.8|chr1	10	12	10	15	12	7
CENPS|ENSG00000175279.22|chr1	218	178	186	197	151	211
CORT|ENSG00000241563.4|chr1	10	12	10	15	12	7
DFFA|ENSG00000160049.12|chr1	925	767	912	719	704	639
PEX14|ENSG00000142655.13|chr1	172	91	127	179	172	164
CASZ1|ENSG00000130940.15|chr1	47	39	48	57	29	22
