rownames(readCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	2024	2362	1872	2294	2083	1463	0.268032686382868	0.517946743433784	5978	0.112611046915919	0.101670816001691	1967.25131782694	1.10760443699052
NOC2L|ENSG00000188976.11|chr1	1146	1738	1344	2452	1524	1079	0.00633368628463622	0.0432934334821407	1420	0.452280266390845	0.165671228715039	1503.39458008108	2.72998679311291
KLHL17|ENSG00000187961.15|chr1	77	77	76	75	103	90	0.306111297796521	0.558110795313264	6473	0.46071344094671	0.450172301800577	83.4405733050505	1.02341578791936
PLEKHN1|ENSG00000187583.11|chr1	0	4	0	14	2	0	0.421109396390856	1	7807	2.23858377863987	2.78258447612486	3.0195214683394	0.804498047713329
PERM1|ENSG00000187642.10|chr1	0	1	0	0	0	0	0.857221336264943	1	12289.5	-0.73412768554571	4.0804728567969	0.130227472799149	-0.179912405083853
HES4|ENSG00000188290.11|chr1	1846	2078	1657	1295	1205	693	1.65411174884296e-05	0.00036132978815527	427	-0.606493386479633	0.140812571283022	1397.73021223663	-4.30709688029651
ISG15|ENSG00000187608.10|chr1	60	7	20	66	53	54	0.133377534198674	1	4293	1.15025386906344	0.766368400825818	44.6046654952628	1.50091505315714
AGRN|ENSG00000188157.15|chr1	102	122	74	10	27	0	0.000451877179412092	0.00564815983227367	751	-2.83397758104919	0.80791398978287	50.8334336893335	-3.5077713926093
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	79	90	66	101	92	46	0.638260763059107	0.822651153277686	10147	0.218142286103268	0.464002277260772	76.5778038299347	0.470131929935918
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16583.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	21	0	0	0.109878254021716	1	3920.5	5.27424306703905	3.298998656249	3.23031798244091	1.5987405927094
SDF4|ENSG00000078808.20|chr1	2983	4202	3008	2923	2332	2312	0.0497984630895325	0.181708552744032	2834	-0.190331642132847	0.0970242694359117	2870.07843665964	-1.96169106182828
