baseMean	log2FoldChange	lfcSE	pvalue	padj
OR4F5|ENSG00000186092.7|chr1	0	NA	NA	NA	NA
SAMD11|ENSG00000187634.13|chr1	671.298467538435	-0.0104185337583048	0.131558234277024	0.932947824369296	0.970852450544032
NOC2L|ENSG00000188976.11|chr1	148.2945939549	0.83093995391882	0.357017096665903	0.00221287031625131	0.0293348566831293
KLHL17|ENSG00000187961.15|chr1	5.76760486403219	-0.107426182344462	0.39647452617191	0.0241719256055075	0.132385314408972
PLEKHN1|ENSG00000187583.11|chr1	0	NA	NA	NA	NA
PERM1|ENSG00000187642.10|chr1	0	NA	NA	NA	NA
HES4|ENSG00000188290.11|chr1	203.044683052848	-0.809217858717774	0.273587449348448	0.000436089320218478	0.00903351884714615
ISG15|ENSG00000187608.10|chr1	4.31651187544316	-0.0194328984779913	0.373300398577656	0.670323286155611	0.836523000517582
AGRN|ENSG00000188157.15|chr1	9.03796644831975	-0.122151766713914	0.401005930691495	0.019390612395213	0.11581581881163
RNF223|ENSG00000237330.3|chr1	0	NA	NA	NA	NA
C1orf159|ENSG00000131591.18|chr1	13.2872587326511	0.0205323505279507	0.361090459547803	0.830799360377112	0.923482622354666
TTLL10|ENSG00000162571.14|chr1	0	NA	NA	NA	NA
TNFRSF18|ENSG00000186891.14|chr1	0	NA	NA	NA	NA
TNFRSF4|ENSG00000186827.12|chr1	0	NA	NA	NA	NA
SDF4|ENSG00000078808.20|chr1	555.568391019341	-0.0741524391852733	0.153047903560751	0.591461364372875	0.784549882326423
B3GALT6|ENSG00000176022.7|chr1	725.126177806645	-0.0456120164431305	0.142021794814572	0.731489704905782	0.870150214162343
C1QTNF12|ENSG00000184163.3|chr1	0	NA	NA	NA	NA
UBE2J2|ENSG00000160087.21|chr1	894.550334340181	-0.265494726222617	0.144012250083473	0.0439489953713039	0.186757173611418
SCNN1D|ENSG00000162572.21|chr1	0	NA	NA	NA	NA
ACAP3|ENSG00000131584.19|chr1	1.06017133818173	-0.0190114410089476	0.374646000196258	0.535552493658796	NA
PUSL1|ENSG00000169972.12|chr1	102.593866992323	0.143990750935909	0.28676102700529	0.457746380701706	0.692547339352463
INTS11|ENSG00000127054.22|chr1	26.7377847227671	-0.0642089258558962	0.366289263513542	0.456102628364204	0.691092214804374
