Gene name,Gene stable ID
AARS1,ENSG00000090861
ACLY,ENSG00000131473
ACO2,ENSG00000100412
AFAP1,ENSG00000196526
AKAP8L,ENSG00000011243
ALDH18A1,ENSG00000059573
ANKRD17,ENSG00000132466
AP3B1,ENSG00000132842
AQR,ENSG00000021776
ARID4A,ENSG00000032219
ARID4B,ENSG00000054267
ASPH,ENSG00000198363
ATF4,ENSG00000128272
ATF5,ENSG00000169136
ATP8A1,ENSG00000124406
ATR,ENSG00000175054
BAZ1A,ENSG00000198604
BAZ1B,ENSG00000009954
BCLAF1,ENSG00000029363
BLM,ENSG00000197299
BMS1,ENSG00000165733
CDC5L,ENSG00000096401
CDCA2,ENSG00000184661
CDK5RAP2,ENSG00000136861
CEP290,ENSG00000198707
CGNL1,ENSG00000128849
CHD4,ENSG00000111642
CKAP5,ENSG00000175216
CLTC,ENSG00000141367
COL11A1,ENSG00000060718
COL5A2,ENSG00000204262
CPSF1,ENSG00000071894
CRYBG3,ENSG00000080200
CTR9,ENSG00000198730
CYFIP1,ENSG00000273749
DDB1,ENSG00000167986
DDIT3,ENSG00000175197
DDR2,ENSG00000162733
DENND4C,ENSG00000137145
DHX36,ENSG00000174953
DHX9,ENSG00000135829
DLGAP5,ENSG00000126787
DNMT1,ENSG00000130816
DOCK7,ENSG00000116641
EDC4,ENSG00000038358
EGFR,ENSG00000146648
EIF3A,ENSG00000107581
EIF5B,ENSG00000158417
EP400,ENSG00000183495
EPRS1,ENSG00000136628
ESF1,ENSG00000089048
EXOC4,ENSG00000131558
FILIP1L,ENSG00000168386
FLII,ENSG00000177731
GANAB,ENSG00000089597
GBF1,ENSG00000107862
GEMIN5,ENSG00000082516
GLG1,ENSG00000090863
GPD2,ENSG00000115159
HADHA,ENSG00000084754
HCFC1,ENSG00000172534
HDAC6,ENSG00000094631
HECTD1,ENSG00000092148
HELB,ENSG00000127311
HK1,ENSG00000156515
HLTF,ENSG00000071794
HOOK3,ENSG00000168172
HSPH1,ENSG00000120694
IBTK,ENSG00000005700
INCENP,ENSG00000149503
INTS4,ENSG00000149262
INTS6,ENSG00000102786
IPO5,ENSG00000065150
IQGAP1,ENSG00000140575
JAK1,ENSG00000162434
KIF11,ENSG00000138160
KTN1,ENSG00000126777
LARP4,ENSG00000161813
LRCH2,ENSG00000130224
LRPPRC,ENSG00000138095
LRRCC1,ENSG00000133739
LTBP1,ENSG00000049323
MED12,ENSG00000184634
MED23,ENSG00000112282
MICAL1,ENSG00000135596
MPDZ,ENSG00000107186
MSLN,ENSG00000102854
MTHFD1,ENSG00000100714
MYBBP1A,ENSG00000132382
MYO1B,ENSG00000128641
MYSM1,ENSG00000162601
NBEA,ENSG00000172915
NCAPG,ENSG00000109805
NFKB2,ENSG00000077150
NPC1,ENSG00000141458
NPEPPS,ENSG00000141279
NUP107,ENSG00000111581
NUP133,ENSG00000069248
NUP155,ENSG00000113569
NUP160,ENSG00000030066
NUP98,ENSG00000110713
PCM1,ENSG00000078674
PDS5B,ENSG00000083642
PEG3,ENSG00000198300
PGAP1,ENSG00000197121
PHIP,ENSG00000146247
PI4KA,ENSG00000241973
PLCD3,ENSG00000161714
POGZ,ENSG00000143442
POLR2A,ENSG00000181222
POLR3A,ENSG00000148606
POP1,ENSG00000104356
PPP1R12A,ENSG00000058272
PRKCA,ENSG00000154229
PRPF3,ENSG00000117360
PRPF8,ENSG00000174231
PTPRD,ENSG00000153707
RAB3GAP2,ENSG00000118873
RAD50,ENSG00000113522
RBM25,ENSG00000119707
RBM28,ENSG00000106344
RBM39,ENSG00000131051
RBM5,ENSG00000003756
RRBP1,ENSG00000125844
SAFB,ENSG00000160633
SEC23IP,ENSG00000107651
SENP7,ENSG00000138468
SETDB1,ENSG00000143379
SF3B1,ENSG00000115524
SFMBT2,ENSG00000198879
SLC4A7,ENSG00000033867
SLK,ENSG00000065613
SMARCA4,ENSG00000127616
SMC3,ENSG00000108055
SMC4,ENSG00000113810
SMC5,ENSG00000198887
SMG6,ENSG00000070366
SND1,ENSG00000197157
SON,ENSG00000159140
SPG11,ENSG00000104133
STAT3,ENSG00000168610
TAF1,ENSG00000147133
TAF1L,ENSG00000122728
TANC2,ENSG00000170921
TJP1,ENSG00000104067
TOP2A,ENSG00000131747
TPP2,ENSG00000134900
TPR,ENSG00000047410
TRIP12,ENSG00000153827
TP53BP2,ENSG00000143514
TTC17,ENSG00000052841
TTC21B,ENSG00000123607
UBA6,ENSG00000033178
UBE2O,ENSG00000175931
UBR1,ENSG00000159459
UBR2,ENSG00000024048
UBR3,ENSG00000144357
UHRF1,ENSG00000276043
USP33,ENSG00000077254
USP9X,ENSG00000124486
VARS1,ENSG00000204394
VCL,ENSG00000035403
VPS16,ENSG00000215305
WDR19,ENSG00000157796
WDR7,ENSG00000091157
XPO5,ENSG00000124571
YEATS2,ENSG00000163872
YLPM1,ENSG00000119596
ZNF318,ENSG00000171467
ZFR,ENSG00000056097
