rownames(tcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	682	809	730	693	608	581	0.929841215343643	0.977580470806449	12064	-0.0116820908174629	0.132683761306796	671.298467538435	-0.0880446160284168
NOC2L|ENSG00000188976.11|chr1	72	158	103	235	207	128	0.0010749522887971	0.0188684580921782	653	1.00196753092743	0.306399207568698	148.2945939549	3.27013747482613
KLHL17|ENSG00000187961.15|chr1	11	9	16	1	0	0	0.0139042163571702	0.110062243015113	1448	-4.87526061228413	1.98203202255171	5.76760486403219	-2.45972847906242
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
HES4|ENSG00000188290.11|chr1	244	357	284	138	157	102	0.000102657063344104	0.00308833401587957	381	-0.929761381320913	0.239368606328288	203.044683052848	-3.88422440011106
ISG15|ENSG00000187608.10|chr1	12	3	0	13	0	0	0.932425843381076	0.978884870565478	12082	-0.19714022051408	2.32495469326812	4.31651187544316	-0.0847931450384379
AGRN|ENSG00000188157.15|chr1	7	22	24	0	6	0	0.0697294217722354	0.293406252699472	2724	-2.93871461524355	1.62031892379636	9.03796644831975	-1.81366431761361
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	16	18	6	7	23	11	0.774493010024687	0.916123723519398	10664	0.31285999867688	1.09199610886086	13.2872587326511	0.286502851189871
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SDF4|ENSG00000078808.20|chr1	605	755	533	586	640	333	0.682521330538203	0.878310158014461	9735	-0.0687908161795908	0.168182433399799	555.568391019341	-0.409024978346358
B3GALT6|ENSG00000176022.7|chr1	892	1002	579	853	617	553	0.683085001442004	0.878615752188696	9741	-0.0633461351234237	0.155162396297997	725.126177806645	-0.408257004498464
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
UBE2J2|ENSG00000160087.21|chr1	1033	1210	1001	1005	852	483	0.0532575519250284	0.253571491715556	2405	-0.278620534613658	0.144151846017871	894.550334340181	-1.93282668457202
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
ACAP3|ENSG00000131584.19|chr1	1	4	1	0	0	1	0.46129490150666	1	7532	-2.16030288095888	2.93234033970608	1.06017133818173	-0.736716284841415
PUSL1|ENSG00000169972.12|chr1	123	80	100	135	102	82	0.484376142316559	0.765371421209437	7752	0.253471386917874	0.36247404841423	102.593866992323	0.699281474154561
INTS11|ENSG00000127054.22|chr1	26	30	30	20	60	1	0.948402624737082	0.983896701412693	12217	0.063788056528018	0.98570914769941	26.7377847227671	0.0647128584297871
CPTP|ENSG00000224051.7|chr1	112	154	107	113	82	96	0.730605963388206	0.89791956385895	10231	-0.112914131113829	0.327934101897448	107.762020085824	-0.34431957658719
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
DVL1|ENSG00000107404.21|chr1	192	200	102	122	169	34	0.322943215161962	0.630351834361894	6069	-0.41942739872128	0.424337954540993	129.039090265745	-0.988427724253362
MXRA8|ENSG00000162576.17|chr1	0	11	0	8	0	0	0.939689870549581	0.982553199667026	12126	-0.215846682794341	2.85286350155286	2.6630995274348	-0.0756596600842809
AURKAIP1|ENSG00000175756.14|chr1	440	468	397	304	326	247	0.0465629229228774	0.235319322108475	2268	-0.350826583095062	0.176272234474034	353.219531453571	-1.99025435935426
CCNL2|ENSG00000221978.13|chr1	116	206	124	102	181	149	0.47199036037539	0.75822606491426	7630	0.239414628473365	0.332869655639915	144.617169694513	0.719244378142878
MRPL20|ENSG00000242485.6|chr1	1666	1991	1466	1259	1298	1249	0.108396142018051	0.377640297814863	3290	-0.181295396667507	0.112925398797806	1453.66103722184	-1.60544393553232
ANKRD65|ENSG00000235098.9|chr1	0	0	1	0	9	0	0.308266773138903	0.616001827921471	5917	3.25357923180788	3.19333502471659	1.72005647535306	1.01886560809467
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
VWA1|ENSG00000179403.12|chr1	20	12	18	15	8	0	0.420512630912123	0.718961183698501	7094	-1.05925968323216	1.31498117549555	11.4711958781221	-0.805532203024105
ATAD3C|ENSG00000215915.10|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
ATAD3B|ENSG00000160072.20|chr1	19	44	18	48	2	51	0.489132499114645	0.76850519392227	7844	0.644909160145275	0.932368342830949	30.3051779355254	0.691689250395544
ATAD3A|ENSG00000197785.14|chr1	67	93	107	106	64	40	0.678973189185262	0.876625639820299	9706	-0.18029303859197	0.435632789576936	76.5692002177923	-0.413864711072509
TMEM240|ENSG00000205090.9|chr1	0	5	0	0	0	0	0.489104528236632	1	7828	-2.74486462393061	3.96809393640492	0.651137363995746	-0.691733781488412
SSU72|ENSG00000160075.12|chr1	281	368	222	166	181	134	0.007821128919068	0.0770814958472549	1163	-0.615011916948439	0.231233944393175	215.261700000337	-2.65969565395085
FNDC10|ENSG00000228594.4|chr1	33	11	35	9	0	0	0.0263677263035452	0.165090207328696	1830	-3.13473056919369	1.4115622990021	13.9677647903618	-2.22075254589172
MIB2|ENSG00000197530.13|chr1	4	0	2	0	0	0	0.338539470973042	1	6258	-3.30999669769259	3.45852279339255	0.976552918149375	-0.957055047899722
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SLC35E2B|ENSG00000189339.12|chr1	9	55	7	30	27	64	0.156153840466348	0.451067368806774	3968	1.20612350915023	0.850504890118214	32.5866548075937	1.41812648364971
CDK11A|ENSG00000008128.23|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
NADK|ENSG00000008130.15|chr1	32	49	50	53	66	68	0.132242855823818	0.415742235431831	3645	0.768293139404957	0.510386619080684	53.8018420198328	1.50531599121626
CALML6|ENSG00000169885.10|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TMEM52|ENSG00000178821.13|chr1	0	9	3	0	3	0	0.529533113653376	0.795701641110615	8213.5	-1.6900884368347	2.68814645594854	2.19142161506522	-0.628718882892241
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
GABRD|ENSG00000187730.9|chr1	0	3	0	0	31	0	0.127560866754268	0.407497952825368	3588	3.72675362079919	2.44571139768998	5.73920937888811	1.52379124712718
PRKCZ|ENSG00000067606.17|chr1	127	80	74	139	70	48	0.961537372159741	0.988609788528788	12332	0.0210520565281586	0.43654330292734	86.790627511456	0.0482244404781594
FAAP20|ENSG00000162585.17|chr1	9	25	16	11	3	0	0.22494206383863	0.531819416309491	4875	-1.71418062730036	1.41260239813167	9.58607233685557	-1.21349123402846
SKI|ENSG00000157933.10|chr1	883	1099	782	778	490	260	0.000735112577009183	0.014378601292968	586	-0.677420081024755	0.200649453974458	674.85078596635	-3.37613717658553
MORN1|ENSG00000116151.14|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
RER1|ENSG00000157916.20|chr1	497	564	342	347	339	252	0.055563530850513	0.258084306232438	2467	-0.34996188639746	0.182800857574973	375.586039308866	-1.9144433513061
PEX10|ENSG00000157911.11|chr1	184	172	134	48	114	92	0.0764872828331673	0.310335304719916	2825	-0.681914000790951	0.384948603575002	120.855222783639	-1.77144167937757
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PANK4|ENSG00000157881.16|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRXL2B|ENSG00000157870.17|chr1	3	0	0	0	0	0	0.566215579148968	1	8623	-2.28915184982342	3.99061478678521	0.48152720031224	-0.573633881527196
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
PRDM16|ENSG00000142611.17|chr1	61	84	77	57	43	12	0.139315012709534	0.426851408528518	3740	-0.83374603451873	0.563971937787536	52.3339109562978	-1.47834666701595
ARHGEF16|ENSG00000130762.15|chr1	0	13	18	2	0	8	0.504731083563308	0.780203273894332	7985	-1.25297666340315	1.87834474964737	6.703208775097	-0.667064266896891
MEGF6|ENSG00000162591.17|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TPRG1L|ENSG00000158109.15|chr1	253	328	224	169	146	115	0.00331394794009369	0.0432624957737515	878	-0.677633392787851	0.230722295803322	196.297291356884	-2.93700871183033
WRAP73|ENSG00000116213.16|chr1	458	427	285	402	279	209	0.367832661698017	0.671781065707883	6573	-0.194810773988387	0.216326490066304	330.965421979853	-0.900540539111402
TP73|ENSG00000078900.15|chr1	77	121	115	90	103	53	0.709238505287452	0.887864978986979	10002	-0.142109927306265	0.381115398978243	90.1757467682614	-0.372878995934713
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SMIM1|ENSG00000235169.11|chr1	1	0	0	0	0	0	0.857221336264943	1	11447	-0.73412768554571	4.0804728567969	0.160509066770747	-0.179912405083853
LRRC47|ENSG00000130764.10|chr1	750	769	643	642	463	609	0.571135471584014	0.81798760156141	8689	-0.0955956114981316	0.168783515527698	635.511982894333	-0.566380023542311
CEP104|ENSG00000116198.14|chr1	47	22	52	13	22	0	0.0952277654916142	0.349468998527647	3123	-1.7068872513794	1.02304182960885	24.901812934	-1.66844326593373
DFFB|ENSG00000169598.17|chr1	100	136	76	80	77	40	0.262682005767247	0.573606620328478	5331	-0.446188284750653	0.398355890687739	80.5242620093187	-1.12007452426606
C1orf174|ENSG00000198912.12|chr1	308	430	336	262	149	297	0.21616928302616	0.521079352691029	4773	-0.331561716099988	0.268084936002595	290.456635971994	-1.23677861592633
NPHP4|ENSG00000131697.18|chr1	13	5	33	22	33	1	0.877655194422972	0.959616924842874	11629	0.181024567223188	1.17592443808437	17.5465098935697	0.153942346430086
KCNAB2|ENSG00000069424.16|chr1	15	0	17	18	0	0	0.648971044505454	0.861037864581723	9421	-0.90640956838505	1.99126823884006	8.01987152057486	-0.455192098535678
RPL22|ENSG00000116251.11|chr1	808	834	669	776	625	593	0.94055910537485	0.982832388167247	12135	0.00981610468003549	0.131641126307005	702.813978005992	0.0745671581170083
RNF207|ENSG00000158286.13|chr1	0	0	12	0	0	0	0.193104070117951	0.49638846013963	4461.5	-4.35070900972157	3.34296754881422	2.00709990639833	-1.3014511646291
ICMT|ENSG00000116237.16|chr1	667	782	515	401	487	476	0.143492328802903	0.43242921494091	3802	-0.263736772242069	0.180282439804738	541.413963158934	-1.4629088253283
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
GPR153|ENSG00000158292.7|chr1	8	29	50	9	0	0	0.0220067250923476	0.148289878311868	1701	-3.22907639434259	1.40992200792496	14.8080075144757	-2.29025178427773
ACOT7|ENSG00000097021.20|chr1	177	259	223	184	159	158	0.516835356605074	0.787656808590262	8107	-0.159488254080103	0.246036025455212	188.590193333232	-0.648231305903352
HES2|ENSG00000069812.11|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
ESPN|ENSG00000187017.18|chr1	0	0	0	0	0	3	0.466352877694603	1	7576.5	2.90078695361678	3.9822674083741	0.634482164043572	0.728425958416771
TNFRSF25|ENSG00000215788.11|chr1	0	14	4	0	0	0	0.100914399203498	0.362656419375362	3189	-4.67184263534733	2.84792618127694	2.49221792132087	-1.64043670305127
PLEKHG5|ENSG00000171680.23|chr1	14	0	5	3	4	0	0.501798112850446	0.778313425609314	7961	-1.40050793143984	2.08513413008462	4.23502507097904	-0.671663233186346
NOL9|ENSG00000162408.11|chr1	360	457	371	393	424	186	0.820903156535264	0.936378519652805	11034	-0.0491854295735209	0.217265960743026	352.295091890882	-0.22638350437092
TAS1R1|ENSG00000173662.21|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
ZBTB48|ENSG00000204859.13|chr1	11	30	41	64	75	27	0.0750795029615952	0.306795459160715	2805	1.19009493241081	0.668600788624466	41.0251179366913	1.77997835578272
KLHL21|ENSG00000162413.17|chr1	404	489	460	350	452	233	0.370195548992921	0.674499300615753	6596	-0.180023068042692	0.200894582649289	386.567448447343	-0.89610713075806
PHF13|ENSG00000116273.6|chr1	283	307	233	192	152	100	0.00424663778053253	0.0520587831448812	935	-0.689161661168546	0.241030069168213	201.283866621453	-2.8592352130455
THAP3|ENSG00000041988.16|chr1	166	235	211	373	303	168	0.00751834055503952	0.0753106921812536	1143	0.653390659427294	0.244443869726364	237.724607131074	2.67296807303334
DNAJC11|ENSG00000007923.17|chr1	151	132	173	231	90	67	0.789444764380972	0.92351662475349	10778	-0.102053502077213	0.382177499021312	135.594166777802	-0.267031686424642
CAMTA1|ENSG00000171735.20|chr1	25	107	50	88	70	23	0.717877625778598	0.892248248392354	10071	0.213148281676599	0.589953504625486	56.7882353292339	0.361296746278183
VAMP3|ENSG00000049245.13|chr1	239	393	151	109	153	64	0.00210692092480869	0.0311986819699532	774	-1.01701808071258	0.330766461961883	171.497147545847	-3.07473156341279
PER3|ENSG00000049246.15|chr1	0	9	0	0	0	0	0.332605622656332	1	6176.5	-3.58811074814355	3.70336355846324	1.17204725519234	-0.968878883074739
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
TNFRSF9|ENSG00000049249.10|chr1	1	0	0	0	0	0	0.857221336264943	1	11447	-0.73412768554571	4.0804728567969	0.160509066770747	-0.179912405083853
PARK7|ENSG00000116288.13|chr1	1823	2091	1573	1515	1134	1046	0.000400886720405999	0.00899210095752164	511	-0.349166609336916	0.0986485862513375	1477.93073721687	-3.53949937455066
ERRFI1|ENSG00000116285.13|chr1	139	250	144	119	202	122	0.991613544067224	0.997356479650625	12584	-0.00326419505264868	0.310548687073218	157.911929069706	-0.010511057326992
SLC45A1|ENSG00000162426.16|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
RERE|ENSG00000142599.19|chr1	433	429	376	420	293	124	0.118300569025204	0.394933619409472	3433	-0.407634194861033	0.260978316810093	329.64097100536	-1.56194660094179
ENO1|ENSG00000074800.16|chr1	4684	5673	4365	5096	4391	3422	0.639675799496377	0.856086476597816	9343	0.0291606771601756	0.0622888908447648	4485.90362907184	0.468152133786573
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SLC2A7|ENSG00000197241.4|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
SLC2A5|ENSG00000142583.18|chr1	0	0	0	0	0	0	1	1	16078.5	NA	NA	0	NA
GPR157|ENSG00000180758.12|chr1	61	106	43	7	15	7	0.000205151462043944	0.00535566796420445	439	-2.58448764978538	0.696141965586059	35.9325011476011	-3.7125870548683
H6PD|ENSG00000049239.13|chr1	9	49	34	70	31	67	0.0862209678251661	0.332301524281121	2974	1.15876540772786	0.675397896877164	43.7988660684905	1.71567814037569
SPSB1|ENSG00000171621.14|chr1	22	70	51	33	16	0	0.145485342315615	0.435192489668654	3831	-1.42054120950754	0.975871190116697	29.0140411836211	-1.45566466547462
