rownames(nonTcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SAMD11|ENSG00000187634.13|chr1	682	809	730	693	608	581	0.214340727053029	0.482768229883033	5416	0.176497393880513	0.142139706977559	1295.9528502885	1.24171772711181
NOC2L|ENSG00000188976.11|chr1	72	158	103	235	207	128	0.0238874789117437	0.125240379700004	2181	0.394620017668923	0.174693012133775	1355.09998612618	2.25893418888863
KLHL17|ENSG00000187961.15|chr1	11	9	16	1	0	0	0.132424520321189	0.369137022507353	4316	0.70726852840702	0.470067855560625	77.6729684410183	1.50460943040553
PLEKHN1|ENSG00000187583.11|chr1	0	0	0	0	0	0	0.426269517436241	1	7955	2.23905017333374	2.81432143969108	3.0195214683394	0.795591484951169
PERM1|ENSG00000187642.10|chr1	0	0	0	0	0	0	0.857221336264943	1	12046.5	-0.73412768554571	4.0804728567969	0.130227472799149	-0.179912405083853
HES4|ENSG00000188290.11|chr1	244	357	284	138	157	102	0.000378091805335719	0.00632520743571249	676	-0.553331841663558	0.155652333126828	1194.68552918378	-3.55492160347314
ISG15|ENSG00000187608.10|chr1	12	3	0	13	0	0	0.108227385086509	0.327082709231249	3959	1.31686412900733	0.81985709618545	40.2881536198196	1.60621178390028
AGRN|ENSG00000188157.15|chr1	7	22	24	0	6	0	0.00102948690404586	0.0139430747279696	835	-2.81047670291438	0.856241297169117	41.7954672410138	-3.28234191951066
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
C1orf159|ENSG00000131591.18|chr1	16	18	6	7	23	11	0.703737383864871	0.870873814418532	10636	0.19814322535204	0.521045249914898	63.2905450972836	0.380280264304112
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0	0.113973437756762	1	4045.5	5.27411725451036	3.33681785844921	3.23031798244091	1.58058290210707
SDF4|ENSG00000078808.20|chr1	605	755	533	586	640	333	0.0815580779346103	0.277395579958649	3490	-0.219093748730359	0.125791860414984	2314.5100456403	-1.74171641954872
B3GALT6|ENSG00000176022.7|chr1	892	1002	579	853	617	553	0.368455674932184	0.647483979631961	7284	-0.195766457525466	0.217670683679184	359.404345687407	-0.899369883975734
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0	0.490921822798753	1	8632.5	-2.73372013948021	3.96856549989387	0.655534784607882	-0.688843396827725
UBE2J2|ENSG00000160087.21|chr1	1033	1210	1001	1005	852	483	1.91613364613003e-13	3.55238613181713e-11	61	0.999981967956113	0.135968338964734	1036.6465031705	7.35452073306183
SCNN1D|ENSG00000162572.21|chr1	0	0	0	0	0	0	0.0764241587744942	0.266014407996539	3407	2.920174191279	1.64811966506436	7.17646259178277	1.77182170274327
ACAP3|ENSG00000131584.19|chr1	1	4	1	0	0	1	0.504041719624702	0.748840650269236	8756	0.318481756553546	0.476666389065329	71.294554759537	0.668143934331181
PUSL1|ENSG00000169972.12|chr1	123	80	100	135	102	82	0.954986842676307	0.981950372053979	12959	-0.01326313226766	0.234972001830138	442.856665455058	-0.0564455857053472
INTS11|ENSG00000127054.22|chr1	26	30	30	20	60	1	0.379315004982314	0.655112002343462	7421	0.292732677312719	0.332968935724989	179.619724204539	0.879159122382809
CPTP|ENSG00000224051.7|chr1	112	154	107	113	82	96	0.945521317344414	0.978067336397618	12882	-0.0355498236514757	0.52025114786576	65.6931291545288	-0.0683320427015158
TAS1R3|ENSG00000169962.5|chr1	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
