Gene	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
OR4F5|ENSG00000186092.7|chr1	0	0	0	0	0	0
SAMD11|ENSG00000187634.13|chr1	1742	717	2048	1610	1285	1211
NOC2L|ENSG00000188976.11|chr1	1606	726	1313	1440	1212	1055
KLHL17|ENSG00000187961.15|chr1	44	65	85	121	72	79
PLEKHN1|ENSG00000187583.11|chr1	3	8	2	58	11	8
PERM1|ENSG00000187642.10|chr1	0	0	0	1	0	6
HES4|ENSG00000188290.11|chr1	1786	1051	1428	1031	1312	1244
ISG15|ENSG00000187608.10|chr1	40	58	71	5	47	52
AGRN|ENSG00000188157.15|chr1	113	73	96	9	11	19
RNF223|ENSG00000237330.3|chr1	0	0	0	0	0	0
C1orf159|ENSG00000131591.18|chr1	130	46	100	66	112	68
TTLL10|ENSG00000162571.14|chr1	0	0	0	0	0	0
TNFRSF18|ENSG00000186891.14|chr1	0	0	0	0	0	0
TNFRSF4|ENSG00000186827.12|chr1	0	0	0	0	0	0
SDF4|ENSG00000078808.20|chr1	3583	2593	3725	2249	2799	2572
B3GALT6|ENSG00000176022.7|chr1	1615	1025	1637	1112	1288	1311
C1QTNF12|ENSG00000184163.3|chr1	0	0	0	0	0	0
UBE2J2|ENSG00000160087.21|chr1	2100	1275	1949	1715	2094	1901
SCNN1D|ENSG00000162572.21|chr1	56	30	6	21	20	22
ACAP3|ENSG00000131584.19|chr1	55	34	71	89	70	62
PUSL1|ENSG00000169972.12|chr1	871	545	720	561	703	535
INTS11|ENSG00000127054.22|chr1	310	172	210	376	272	185
CPTP|ENSG00000224051.7|chr1	351	187	265	202	118	219
TAS1R3|ENSG00000169962.5|chr1	1	0	8	0	7	5
DVL1|ENSG00000107404.21|chr1	675	572	700	453	554	521
MXRA8|ENSG00000162576.17|chr1	13	13	23	23	12	10
AURKAIP1|ENSG00000175756.14|chr1	4652	3035	4221	2607	2641	2372
CCNL2|ENSG00000221978.13|chr1	415	292	410	199	383	359
MRPL20|ENSG00000242485.6|chr1	9644	9501	9480	5688	7601	6889
ANKRD65|ENSG00000235098.9|chr1	14	7	11	1	0	1
TMEM88B|ENSG00000205116.4|chr1	0	0	0	0	0	1
VWA1|ENSG00000179403.12|chr1	77	26	36	52	17	24
ATAD3C|ENSG00000215915.10|chr1	0	3	0	0	1	1
ATAD3B|ENSG00000160072.20|chr1	201	155	202	188	175	162
ATAD3A|ENSG00000197785.14|chr1	1004	599	973	985	1095	1012
TMEM240|ENSG00000205090.9|chr1	1	0	8	0	0	0
SSU72|ENSG00000160075.12|chr1	1349	619	1420	802	548	610
FNDC10|ENSG00000228594.4|chr1	102	37	82	69	34	44
MIB2|ENSG00000197530.13|chr1	98	54	70	60	46	59
MMP23B|ENSG00000189409.14|chr1	0	0	0	0	0	0
CDK11B|ENSG00000248333.9|chr1	0	0	0	0	0	0
SLC35E2B|ENSG00000189339.12|chr1	403	286	353	193	278	259
CDK11A|ENSG00000008128.23|chr1	0	1	0	17	0	0
NADK|ENSG00000008130.15|chr1	428	275	376	276	212	279
CALML6|ENSG00000169885.10|chr1	0	0	0	2	0	0
TMEM52|ENSG00000178821.13|chr1	19	7	21	18	15	9
CFAP74|ENSG00000142609.20|chr1	0	0	0	0	0	0
GABRD|ENSG00000187730.9|chr1	19	13	26	2	30	10
PRKCZ|ENSG00000067606.17|chr1	331	235	336	469	318	398
FAAP20|ENSG00000162585.17|chr1	266	160	323	96	102	112
SKI|ENSG00000157933.10|chr1	1517	1011	1412	784	976	909
MORN1|ENSG00000116151.14|chr1	3	0	1	1	0	6
RER1|ENSG00000157916.20|chr1	2857	1685	2612	1854	2517	1823
PEX10|ENSG00000157911.11|chr1	905	410	774	441	453	521
PLCH2|ENSG00000149527.18|chr1	0	0	0	0	0	0
PANK4|ENSG00000157881.16|chr1	5	0	0	0	0	0
HES5|ENSG00000197921.6|chr1	0	0	0	0	0	0
TNFRSF14|ENSG00000157873.18|chr1	0	0	0	0	0	0
PRXL2B|ENSG00000157870.17|chr1	0	0	0	0	0	0
MMEL1|ENSG00000142606.16|chr1	0	0	0	0	0	0
TTC34|ENSG00000215912.13|chr1	0	0	0	0	0	0
ACTRT2|ENSG00000169717.7|chr1	0	0	0	0	0	0
PRDM16|ENSG00000142611.17|chr1	183	85	167	81	99	72
ARHGEF16|ENSG00000130762.15|chr1	23	14	63	37	59	55
MEGF6|ENSG00000162591.17|chr1	6	7	18	0	0	7
TPRG1L|ENSG00000158109.15|chr1	715	407	616	319	296	273
WRAP73|ENSG00000116213.16|chr1	719	530	773	600	882	679
TP73|ENSG00000078900.15|chr1	278	170	205	215	229	216
CCDC27|ENSG00000162592.10|chr1	0	0	0	0	0	0
SMIM1|ENSG00000235169.11|chr1	31	9	24	26	9	11
LRRC47|ENSG00000130764.10|chr1	2542	2005	2230	2326	2842	2678
CEP104|ENSG00000116198.14|chr1	197	92	179	140	188	133
DFFB|ENSG00000169598.17|chr1	224	197	304	257	392	345
C1orf174|ENSG00000198912.12|chr1	587	434	652	542	724	650
NPHP4|ENSG00000131697.18|chr1	108	35	89	47	134	100
KCNAB2|ENSG00000069424.16|chr1	42	11	40	24	20	16
RPL22|ENSG00000116251.11|chr1	5081	4604	5130	4476	6603	5059
RNF207|ENSG00000158286.13|chr1	23	21	15	2	17	22
ICMT|ENSG00000116237.16|chr1	2068	1840	2227	1485	1869	1633
HES3|ENSG00000173673.8|chr1	0	0	0	0	0	0
GPR153|ENSG00000158292.7|chr1	190	91	214	151	135	117
ACOT7|ENSG00000097021.20|chr1	1886	1470	2088	1582	1618	1497
HES2|ENSG00000069812.11|chr1	0	1	10	0	10	1
ESPN|ENSG00000187017.18|chr1	0	0	2	0	0	0
TNFRSF25|ENSG00000215788.11|chr1	14	15	7	0	14	30
PLEKHG5|ENSG00000171680.23|chr1	3	0	2	0	13	9
NOL9|ENSG00000162408.11|chr1	1906	1360	1854	1401	2209	1902
TAS1R1|ENSG00000173662.21|chr1	0	0	4	0	10	0
ZBTB48|ENSG00000204859.13|chr1	95	21	69	101	54	71
KLHL21|ENSG00000162413.17|chr1	864	599	790	641	673	563
PHF13|ENSG00000116273.6|chr1	463	360	450	294	361	345
THAP3|ENSG00000041988.16|chr1	399	154	382	467	342	342
DNAJC11|ENSG00000007923.17|chr1	751	304	624	606	524	325
CAMTA1|ENSG00000171735.20|chr1	127	146	146	178	235	182
VAMP3|ENSG00000049245.13|chr1	1273	730	1336	833	565	653
PER3|ENSG00000049246.15|chr1	7	20	17	21	27	3
UTS2|ENSG00000049247.14|chr1	0	0	0	0	0	0
TNFRSF9|ENSG00000049249.10|chr1	7	0	0	0	0	0
PARK7|ENSG00000116288.13|chr1	11455	11089	11838	7153	9863	8227
ERRFI1|ENSG00000116285.13|chr1	201	191	262	280	446	290
SLC45A1|ENSG00000162426.16|chr1	4	0	8	0	1	3
RERE|ENSG00000142599.19|chr1	901	667	808	701	807	608
ENO1|ENSG00000074800.16|chr1	58947	27691	55804	39288	30088	34843
CA6|ENSG00000131686.15|chr1	0	0	0	0	0	0
SLC2A7|ENSG00000197241.4|chr1	11	0	2	0	0	0
SLC2A5|ENSG00000142583.18|chr1	19	0	0	0	2	0
GPR157|ENSG00000180758.12|chr1	173	196	158	78	162	169
H6PD|ENSG00000049239.13|chr1	103	87	152	194	158	136
SPSB1|ENSG00000171621.14|chr1	84	51	72	40	83	45
SLC25A33|ENSG00000171612.7|chr1	810	597	914	420	550	541
TMEM201|ENSG00000188807.13|chr1	185	92	221	252	189	207
PIK3CD|ENSG00000171608.18|chr1	46	25	22	8	18	19
CLSTN1|ENSG00000171603.18|chr1	936	436	794	606	574	503
CTNNBIP1|ENSG00000178585.15|chr1	453	393	437	252	300	275
LZIC|ENSG00000162441.12|chr1	883	695	698	411	829	587
NMNAT1|ENSG00000173614.14|chr1	162	135	149	155	222	159
RBP7|ENSG00000162444.12|chr1	96	78	141	41	68	63
UBE4B|ENSG00000130939.20|chr1	534	381	524	419	354	325
KIF1B|ENSG00000054523.20|chr1	245	112	204	230	263	170
PGD|ENSG00000142657.21|chr1	1959	797	1811	1492	1045	1133
CENPS-CORT|ENSG00000251503.8|chr1	58	38	49	80	32	41
CENPS|ENSG00000175279.22|chr1	1113	1132	1242	644	991	780
CORT|ENSG00000241563.4|chr1	58	38	49	80	32	41
DFFA|ENSG00000160049.12|chr1	2794	2513	2764	1974	3174	2588
PEX14|ENSG00000142655.13|chr1	244	116	197	354	361	223
CASZ1|ENSG00000130940.15|chr1	36	29	30	27	48	38
TARDBP|ENSG00000120948.19|chr1	1748	1419	1993	1015	1656	1610
MASP2|ENSG00000009724.18|chr1	0	0	0	0	0	0
SRM|ENSG00000116649.10|chr1	8070	2815	6547	4186	2715	2927
EXOSC10|ENSG00000171824.14|chr1	811	711	787	703	1033	994
MTOR|ENSG00000198793.14|chr1	262	251	319	153	318	289
ANGPTL7|ENSG00000171819.5|chr1	0	0	0	0	0	0
UBIAD1|ENSG00000120942.14|chr1	1001	719	990	816	1009	884
DISP3|ENSG00000204624.8|chr1	10	6	0	0	19	7
FBXO2|ENSG00000116661.11|chr1	6	12	0	12	0	1
FBXO44|ENSG00000132879.14|chr1	217	92	163	142	76	88
MAD2L2|ENSG00000116670.16|chr1	1436	497	1477	1293	632	607
FBXO6|ENSG00000116663.11|chr1	62	14	26	54	41	10
DRAXIN|ENSG00000162490.7|chr1	22	12	15	25	9	1
AGTRAP|ENSG00000177674.16|chr1	636	285	445	328	339	277
C1orf167|ENSG00000215910.8|chr1	0	0	0	0	0	0
MTHFR|ENSG00000177000.13|chr1	262	226	361	266	281	258
CLCN6|ENSG00000011021.23|chr1	30	31	23	31	69	95
NPPA|ENSG00000175206.11|chr1	0	0	0	0	0	0
NPPB|ENSG00000120937.9|chr1	2	9	10	0	1	0
KIAA2013|ENSG00000116685.16|chr1	1124	787	1020	428	575	538
PLOD1|ENSG00000083444.17|chr1	514	443	704	360	517	483
MFN2|ENSG00000116688.18|chr1	1550	1334	1399	1089	1466	1284
MIIP|ENSG00000116691.11|chr1	137	141	214	206	243	228
TNFRSF8|ENSG00000120949.15|chr1	0	0	6	0	0	0
TNFRSF1B|ENSG00000028137.19|chr1	10	2	0	0	0	0
VPS13D|ENSG00000048707.15|chr1	94	114	88	116	178	118
DHRS3|ENSG00000162496.9|chr1	401	215	414	227	163	172
AADACL4|ENSG00000204518.3|chr1	0	0	0	0	0	0
AADACL3|ENSG00000188984.12|chr1	0	0	0	0	0	0
CFAP107|ENSG00000157330.10|chr1	0	0	0	0	0	0
PRAMEF12|ENSG00000116726.5|chr1	0	0	0	0	0	0
PRAMEF1|ENSG00000116721.9|chr1	0	0	0	0	0	0
PRAMEF11|ENSG00000239810.3|chr1	0	0	0	0	0	0
HNRNPCL1|ENSG00000179172.10|chr1	0	0	0	0	0	0
PRAMEF2|ENSG00000120952.4|chr1	0	0	0	0	0	0
PRAMEF4|ENSG00000243073.4|chr1	0	0	0	0	0	0
PRAMEF10|ENSG00000187545.5|chr1	0	0	0	0	0	0
PRAMEF7|ENSG00000204510.6|chr1	0	0	0	0	0	0
PRAMEF6|ENSG00000232423.6|chr1	0	0	0	0	0	0
PRAMEF27|ENSG00000274764.6|chr1	0	0	0	0	0	0
HNRNPCL3|ENSG00000277058.3|chr1	0	0	0	0	0	0
PRAMEF25|ENSG00000229571.7|chr1	0	0	0	0	0	0
HNRNPCL2|ENSG00000275774.3|chr1	0	0	0	0	0	0
PRAMEF26|ENSG00000280267.6|chr1	0	0	0	0	0	0
HNRNPCL4|ENSG00000179412.11|chr1	0	0	0	0	0	0
PRAMEF9|ENSG00000204505.5|chr1	0	0	0	0	0	0
PRAMEF13|ENSG00000279169.3|chr1	0	0	0	0	0	0
PRAMEF18|ENSG00000279804.3|chr1	0	0	0	0	0	0
PRAMEF5|ENSG00000270601.5|chr1	0	0	0	0	0	0
PRAMEF8|ENSG00000182330.11|chr1	0	0	0	0	0	0
PRAMEF33|ENSG00000237700.2|chr1	0	0	0	0	0	0
PRAMEF15|ENSG00000204501.7|chr1	0	0	0	0	0	0
PRAMEF14|ENSG00000204481.8|chr1	0	0	0	0	0	0
PRAMEF19|ENSG00000204480.9|chr1	0	0	0	0	0	0
PRAMEF17|ENSG00000204479.4|chr1	0	0	0	0	0	0
PRAMEF20|ENSG00000204478.11|chr1	0	0	0	0	0	0
LRRC38|ENSG00000162494.6|chr1	0	0	0	0	0	0
PDPN|ENSG00000162493.17|chr1	746	591	605	309	402	355
KAZN|ENSG00000189337.17|chr1	0	0	1	0	0	0
TMEM51|ENSG00000171729.14|chr1	232	189	331	323	376	347
FHAD1|ENSG00000142621.21|chr1	0	0	0	0	8	0
EFHD2|ENSG00000142634.13|chr1	211	212	287	216	226	178
CTRC|ENSG00000162438.12|chr1	0	0	0	0	0	0
CELA2A|ENSG00000142615.8|chr1	0	0	0	0	0	2
CELA2B|ENSG00000215704.10|chr1	0	0	0	0	0	0
CASP9|ENSG00000132906.18|chr1	317	217	321	232	369	337
DNAJC16|ENSG00000116138.13|chr1	184	187	150	202	334	267
AGMAT|ENSG00000116771.6|chr1	0	0	0	13	8	0
RSC1A1|ENSG00000215695.2|chr1	26	18	59	93	110	52
PLEKHM2|ENSG00000116786.13|chr1	331	253	353	328	220	149
SLC25A34|ENSG00000162461.8|chr1	0	0	3	0	9	0
TMEM82|ENSG00000162460.7|chr1	0	0	0	0	0	0
FBLIM1|ENSG00000162458.13|chr1	190	206	201	137	213	182
SPEN|ENSG00000065526.12|chr1	1542	667	1441	1523	1591	1526
ZBTB17|ENSG00000116809.12|chr1	81	79	107	129	143	96
SRARP|ENSG00000183888.4|chr1	0	0	0	0	0	0
HSPB7|ENSG00000173641.18|chr1	2	0	0	0	0	0
CLCNKA|ENSG00000186510.12|chr1	0	0	0	0	0	0
CLCNKB|ENSG00000184908.20|chr1	0	0	0	0	0	4
FAM131C|ENSG00000185519.9|chr1	19	1	35	33	1	16
EPHA2|ENSG00000142627.13|chr1	358	156	313	256	504	388
ARHGEF19|ENSG00000142632.17|chr1	66	22	20	57	50	55
CPLANE2|ENSG00000132881.12|chr1	24	14	40	68	21	49
FBXO42|ENSG00000037637.11|chr1	172	86	191	201	254	222
SZRD1|ENSG00000055070.17|chr1	1737	1213	1859	1057	1027	946
SPATA21|ENSG00000187144.11|chr1	0	0	0	0	0	0
NECAP2|ENSG00000157191.20|chr1	802	375	644	450	715	542
NBPF1|ENSG00000219481.11|chr1	0	0	3	0	0	0
CROCC|ENSG00000058453.17|chr1	162	117	137	71	126	107
MFAP2|ENSG00000117122.14|chr1	0	0	0	0	0	0
ATP13A2|ENSG00000159363.19|chr1	181	139	199	116	49	63
SDHB|ENSG00000117118.10|chr1	3362	2787	2980	1989	3489	2896
PADI2|ENSG00000117115.13|chr1	14	38	17	39	76	21
PADI1|ENSG00000142623.11|chr1	0	0	0	0	0	0
PADI3|ENSG00000142619.4|chr1	0	0	0	0	0	0
PADI4|ENSG00000159339.13|chr1	0	0	0	0	0	0
PADI6|ENSG00000276747.1|chr1	0	0	0	0	0	0
RCC2|ENSG00000179051.14|chr1	27	15	23	3	11	16
ARHGEF10L|ENSG00000074964.17|chr1	25	56	26	20	57	44
ACTL8|ENSG00000117148.8|chr1	143	71	161	115	80	120
IGSF21|ENSG00000117154.12|chr1	2	0	17	0	0	0
KLHDC7A|ENSG00000179023.9|chr1	5	8	0	0	5	0
PAX7|ENSG00000009709.12|chr1	13	17	7	7	8	5
ALDH4A1|ENSG00000159423.17|chr1	104	59	97	175	158	171
IFFO2|ENSG00000169991.11|chr1	82	66	78	43	50	79
UBR4|ENSG00000127481.15|chr1	419	135	261	242	292	175
EMC1|ENSG00000127463.16|chr1	487	342	543	371	591	439
MRTO4|ENSG00000053372.5|chr1	5609	4831	5426	4715	6641	5658
