,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
SAMD11|ENSG00000187634.13|chr1,0.184830774961343,0.129806882886771,0.0917699821659648,0.616788328960427,SAMD11|ENSG00000187634.13|chr1,ns,0
EHD4|ENSG00000103966.11|chr15,-0.0116070084264507,0.968433330706931,-0.130912789609635,0.599364263322674,EHD4|ENSG00000103966.11|chr15,ns,0
JMJD7|ENSG00000243789.11|chr15,0.0077578174233475,0.972188598028677,0.113964401395472,0.571892754578768,JMJD7|ENSG00000243789.11|chr15,ns,0
TYRO3|ENSG00000092445.12|chr15,-0.605731286871241,0.0225907968373915,-0.331590128223179,0.219337599779147,TYRO3|ENSG00000092445.12|chr15,ns,0
RPAP1|ENSG00000103932.12|chr15,-0.121625642572838,0.541254009480533,0.0654406205444211,0.824621490478215,RPAP1|ENSG00000103932.12|chr15,ns,0
RTF1|ENSG00000137815.15|chr15,-0.0353340696004912,0.883401378488782,0.0746903826453567,0.801374764029838,RTF1|ENSG00000137815.15|chr15,ns,0
NDUFAF1|ENSG00000137806.10|chr15,-0.157963664702208,0.423663250052498,0.303572834436667,0.245880078934823,NDUFAF1|ENSG00000137806.10|chr15,ns,0
NUSAP1|ENSG00000137804.14|chr15,0.0831307175738223,0.641274000731586,0.0691275853350927,0.798784331409347,NUSAP1|ENSG00000137804.14|chr15,ns,0
OIP5|ENSG00000104147.9|chr15,0.029091536029319,0.897333575291787,-0.111937805483226,0.623737371101576,OIP5|ENSG00000104147.9|chr15,ns,0
ENSG00000285920|ENSG00000285920.2|chr15,0.0819886750702556,0.647582190233522,0.0669101114647474,0.805322537017289,ENSG00000285920|ENSG00000285920.2|chr15,ns,0
CHP1|ENSG00000187446.12|chr15,-0.26382112010312,0.139463893180578,-0.266268284470188,0.292441394648553,CHP1|ENSG00000187446.12|chr15,ns,0
RHOV|ENSG00000104140.7|chr15,-0.047424506910024,0.77586778859829,-0.186644155812866,0.376506131245697,RHOV|ENSG00000104140.7|chr15,ns,0
ZFYVE19|ENSG00000166140.17|chr15,0.172665147755602,0.275701054878663,0.146956074485117,0.407326065460144,ZFYVE19|ENSG00000166140.17|chr15,ns,0
GCHFR|ENSG00000137880.6|chr15,-0.136198736356885,0.489537344277954,-0.512273577687293,0.0801757002896522,GCHFR|ENSG00000137880.6|chr15,ns,0
RMDN3|ENSG00000137824.16|chr15,-0.0276141730354327,0.914126750623027,-0.210705200147463,0.395535595333952,RMDN3|ENSG00000137824.16|chr15,ns,0
RAD51|ENSG00000051180.17|chr15,0.252911456531503,0.22138005943157,0.701396102843469,0.0274690812907198,RAD51|ENSG00000051180.17|chr15,ns,0
RPUSD2|ENSG00000166133.18|chr15,-0.113346414192277,0.571032149938092,0.0085535140670456,0.980143928425987,RPUSD2|ENSG00000166133.18|chr15,ns,0
