rownames(tcReadCount),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SAMD11|ENSG00000187634.13|chr1,682,809,730,693,608,581,0.929841215343643,0.977580470806449,12064.0,-0.0116820908174629,0.132683761306796,671.298467538435,-0.0880446160284168,0,9.390810538761851,ns
NOC2L|ENSG00000188976.11|chr1,72,158,103,235,207,128,0.0010749522887971,0.0188684580921782,653.0,1.00196753092743,0.306399207568698,148.2945939549,3.27013747482613,0,7.212322195412074,up
HES4|ENSG00000188290.11|chr1,244,357,284,138,157,102,0.0001026570633441,0.0030883340158795,381.0,-0.929761381320913,0.239368606328288,203.044683052848,-3.88422440011106,0,7.66565343898367,down
C1orf159|ENSG00000131591.18|chr1,16,18,6,7,23,11,0.774493010024687,0.916123723519398,10664.0,0.31285999867688,1.09199610886086,13.2872587326511,0.286502851189871,0,3.7319715907176536,ns
SDF4|ENSG00000078808.20|chr1,605,755,533,586,640,333,0.682521330538203,0.878310158014461,9735.0,-0.0687908161795908,0.168182433399799,555.568391019341,-0.409024978346358,0,9.117820709510008,ns
B3GALT6|ENSG00000176022.7|chr1,892,1002,579,853,617,553,0.683085001442004,0.878615752188696,9741.0,-0.0633461351234237,0.155162396297997,725.126177806645,-0.408257004498464,0,9.502088247325915,ns
UBE2J2|ENSG00000160087.21|chr1,1033,1210,1001,1005,852,483,0.0532575519250284,0.253571491715556,2405.0,-0.278620534613658,0.144151846017871,894.550334340181,-1.93282668457202,0,9.805018851548752,ns
PUSL1|ENSG00000169972.12|chr1,123,80,100,135,102,82,0.484376142316559,0.765371421209437,7752.0,0.253471386917874,0.36247404841423,102.593866992323,0.699281474154561,0,6.680800679742867,ns
INTS11|ENSG00000127054.22|chr1,26,30,30,20,60,1,0.948402624737082,0.983896701412693,12217.0,0.063788056528018,0.98570914769941,26.7377847227671,0.0647128584297871,0,4.740808035192578,ns
CPTP|ENSG00000224051.7|chr1,112,154,107,113,82,96,0.730605963388206,0.89791956385895,10231.0,-0.112914131113829,0.327934101897448,107.762020085824,-0.34431957658719,0,6.751704990421099,ns
DVL1|ENSG00000107404.21|chr1,192,200,102,122,169,34,0.322943215161962,0.630351834361894,6069.0,-0.41942739872128,0.424337954540993,129.039090265745,-0.988427724253362,0,7.011664362319815,ns
AURKAIP1|ENSG00000175756.14|chr1,440,468,397,304,326,247,0.0465629229228774,0.235319322108475,2268.0,-0.350826583095062,0.176272234474034,353.219531453571,-1.99025435935426,0,8.464421309522534,ns
CCNL2|ENSG00000221978.13|chr1,116,206,124,102,181,149,0.47199036037539,0.75822606491426,7630.0,0.239414628473365,0.332869655639915,144.617169694513,0.719244378142878,0,7.176095036411064,ns
MRPL20|ENSG00000242485.6|chr1,1666,1991,1466,1259,1298,1249,0.108396142018051,0.377640297814863,3290.0,-0.181295396667507,0.112925398797806,1453.66103722184,-1.60544393553232,0,10.505475187393337,ns
ATAD3B|ENSG00000160072.20|chr1,19,44,18,48,2,51,0.489132499114645,0.76850519392227,7844.0,0.644909160145275,0.932368342830949,30.3051779355254,0.691689250395544,0,4.921492408179366,ns
ATAD3A|ENSG00000197785.14|chr1,67,93,107,106,64,40,0.678973189185262,0.876625639820299,9706.0,-0.18029303859197,0.435632789576936,76.5692002177923,-0.413864711072509,0,6.2586922830071865,ns
SSU72|ENSG00000160075.12|chr1,281,368,222,166,181,134,0.007821128919068,0.0770814958472549,1163.0,-0.615011916948439,0.231233944393175,215.261700000337,-2.65969565395085,0,7.749947843534982,ns
SLC35E2B|ENSG00000189339.12|chr1,9,55,7,30,27,64,0.156153840466348,0.451067368806774,3968.0,1.20612350915023,0.850504890118214,32.5866548075937,1.41812648364971,0,5.026209354291275,ns
NADK|ENSG00000008130.15|chr1,32,49,50,53,66,68,0.132242855823818,0.415742235431831,3645.0,0.768293139404957,0.510386619080684,53.8018420198328,1.50531599121626,0,5.749583662230329,ns
PRKCZ|ENSG00000067606.17|chr1,127,80,74,139,70,48,0.961537372159741,0.988609788528788,12332.0,0.0210520565281586,0.43654330292734,86.790627511456,0.0482244404781594,0,6.439467349851868,ns
SKI|ENSG00000157933.10|chr1,883,1099,782,778,490,260,0.0007351125770091,0.014378601292968,586.0,-0.677420081024755,0.200649453974458,674.85078596635,-3.37613717658553,0,9.398424737651553,down
RER1|ENSG00000157916.20|chr1,497,564,342,347,339,252,0.055563530850513,0.258084306232438,2467.0,-0.34996188639746,0.182800857574973,375.586039308866,-1.9144433513061,0,8.55299962818125,ns
PEX10|ENSG00000157911.11|chr1,184,172,134,48,114,92,0.0764872828331673,0.310335304719916,2825.0,-0.681914000790951,0.384948603575002,120.855222783639,-1.77144167937757,0,6.917136010592267,ns
PRDM16|ENSG00000142611.17|chr1,61,84,77,57,43,12,0.139315012709534,0.426851408528518,3740.0,-0.83374603451873,0.563971937787536,52.3339109562978,-1.47834666701595,0,5.709674171658129,ns
TPRG1L|ENSG00000158109.15|chr1,253,328,224,169,146,115,0.0033139479400936,0.0432624957737515,878.0,-0.677633392787851,0.230722295803322,196.297291356884,-2.93700871183033,0,7.616896455431831,down
WRAP73|ENSG00000116213.16|chr1,458,427,285,402,279,209,0.367832661698017,0.671781065707883,6573.0,-0.194810773988387,0.216326490066304,330.965421979853,-0.900540539111402,0,8.370536687338863,ns
TP73|ENSG00000078900.15|chr1,77,121,115,90,103,53,0.709238505287452,0.887864978986979,10002.0,-0.142109927306265,0.381115398978243,90.1757467682614,-0.372878995934713,0,6.4946675602737205,ns
LRRC47|ENSG00000130764.10|chr1,750,769,643,642,463,609,0.571135471584014,0.81798760156141,8689.0,-0.0955956114981316,0.168783515527698,635.511982894333,-0.566380023542311,0,9.311775517993542,ns
DFFB|ENSG00000169598.17|chr1,100,136,76,80,77,40,0.262682005767247,0.573606620328478,5331.0,-0.446188284750653,0.398355890687739,80.5242620093187,-1.12007452426606,0,6.331351628510045,ns
C1orf174|ENSG00000198912.12|chr1,308,430,336,262,149,297,0.21616928302616,0.521079352691029,4773.0,-0.331561716099988,0.268084936002595,290.456635971994,-1.23677861592633,0,8.182178980812498,ns
NPHP4|ENSG00000131697.18|chr1,13,5,33,22,33,1,0.877655194422972,0.959616924842874,11629.0,0.181024567223188,1.17592443808437,17.5465098935697,0.153942346430086,0,4.133112193225306,ns
RPL22|ENSG00000116251.11|chr1,808,834,669,776,625,593,0.94055910537485,0.982832388167247,12135.0,0.0098161046800354,0.131641126307005,702.813978005992,0.0745671581170083,0,9.45699907463181,ns
ICMT|ENSG00000116237.16|chr1,667,782,515,401,487,476,0.143492328802903,0.43242921494091,3802.0,-0.263736772242069,0.180282439804738,541.413963158934,-1.4629088253283,0,9.080588285159854,ns
ACOT7|ENSG00000097021.20|chr1,177,259,223,184,159,158,0.516835356605074,0.787656808590262,8107.0,-0.159488254080103,0.246036025455212,188.590193333232,-0.648231305903352,0,7.5591108477741855,ns
NOL9|ENSG00000162408.11|chr1,360,457,371,393,424,186,0.820903156535264,0.936378519652805,11034.0,-0.0491854295735209,0.217265960743026,352.295091890882,-0.22638350437092,0,8.460640565390998,ns
ZBTB48|ENSG00000204859.13|chr1,11,30,41,64,75,27,0.0750795029615952,0.306795459160715,2805.0,1.19009493241081,0.668600788624466,41.0251179366913,1.77997835578272,0,5.35843557601051,ns
KLHL21|ENSG00000162413.17|chr1,404,489,460,350,452,233,0.370195548992921,0.674499300615753,6596.0,-0.180023068042692,0.200894582649289,386.567448447343,-0.89610713075806,0,8.594576347911584,ns
PHF13|ENSG00000116273.6|chr1,283,307,233,192,152,100,0.0042466377805325,0.0520587831448812,935.0,-0.689161661168546,0.241030069168213,201.283866621453,-2.8592352130455,0,7.653087731244148,ns
THAP3|ENSG00000041988.16|chr1,166,235,211,373,303,168,0.0075183405550395,0.0753106921812536,1143.0,0.653390659427294,0.244443869726364,237.724607131074,2.67296807303334,0,7.893147435707809,ns
DNAJC11|ENSG00000007923.17|chr1,151,132,173,231,90,67,0.789444764380972,0.92351662475349,10778.0,-0.102053502077213,0.382177499021312,135.594166777802,-0.267031686424642,0,7.083151305256708,ns
CAMTA1|ENSG00000171735.20|chr1,25,107,50,88,70,23,0.717877625778598,0.892248248392354,10071.0,0.213148281676599,0.589953504625486,56.7882353292339,0.361296746278183,0,5.827520176199023,ns
VAMP3|ENSG00000049245.13|chr1,239,393,151,109,153,64,0.0021069209248086,0.0311986819699532,774.0,-1.01701808071258,0.330766461961883,171.497147545847,-3.07473156341279,0,7.422040770512846,down
